 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Äpfel ( Malus ) bilden eine Pflanzengattung der Kernobstgewächse ( Pyrinae ) aus der Familie der Rosengewächse ( Rosaceae ) . Die Gattung umfasst etwa 42 bis 55 Arten laubwerfender Bäume und Sträucher aus Wäldern und Dickichten der nördlichen gemäßigten Zone in Europa , Asien und Nordamerika , aus denen auch eine große Anzahl an oft schwer unterscheidbaren Hybriden hervorgegangen ist
1-1	Die	O	_	_	
1-2	Äpfel	B-NC	Hypernym	1-10	
1-3	(	O	_	_	
1-4	Malus	B-NC	_	_	
1-5	)	O	_	_	
1-6	bilden	O	_	_	
1-7	eine	O	_	_	
1-8	Pflanzengattung	B-NC	Hypernym	1-16	
1-9	der	O	_	_	
1-10	Kernobstgewächse	B-NC	Hypernym	1-18	
1-11	(	O	_	_	
1-12	Pyrinae	B-NC	_	_	
1-13	)	O	_	_	
1-14	aus	O	_	_	
1-15	der	O	_	_	
1-16	Familie	B-NC	_	_	
1-17	der	O	_	_	
1-18	Rosengewächse	B-NC	_	_	
1-19	(	O	_	_	
1-20	Rosaceae	B-NC	_	_	
1-21	)	O	_	_	
1-22	.	O	_	_	
1-23	Die	O	_	_	
1-24	Gattung	B-NC	Hypernym	1-16	
1-25	umfasst	O	_	_	
1-26	etwa	O	_	_	
1-27	42	O	_	_	
1-28	bis	O	_	_	
1-29	55	O	_	_	
1-30	Arten	B-NC	Hypernym	1-24	
1-31	laubwerfender	O	_	_	
1-32	Bäume	B-NC	Holonym|Holonym	1-38|1-36	
1-33	und	O	_	_	
1-34	Sträucher	B-NC	Co-Hyponym|Holonym|Holonym	1-32|1-38|1-36	
1-35	aus	O	_	_	
1-36	Wäldern	B-NC	_	_	
1-37	und	O	_	_	
1-38	Dickichten	B-NC	Holonym	1-36	
1-39	der	O	_	_	
1-40	nördlichen	O	_	_	
1-41	gemäßigten	O	_	_	
1-42	Zone	B-NC	_	_	
1-43	in	O	_	_	
1-44	Europa	B-NC	_	_	
1-45	,	O	_	_	
1-46	Asien	B-NC	_	_	
1-47	und	O	_	_	
1-48	Nordamerika	B-NC	_	_	
1-49	,	O	_	_	
1-50	aus	O	_	_	
1-51	denen	O	_	_	
1-52	auch	O	_	_	
1-53	eine	O	_	_	
1-54	große	O	_	_	
1-55	Anzahl	B-NC	_	_	
1-56	an	O	_	_	
1-57	oft	O	_	_	
1-58	schwer	O	_	_	
1-59	unterscheidbaren	O	_	_	
1-60	Hybriden	B-NC	_	_	
