 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Я́блоня ( лат . Mālus ) — род листопадных деревьев и кустарников семейства Розовые с шаровидными сладкими или кисло - сладкими плодами
1-1	Я́блоня	B-NC	Hypernym	1-9	
1-2	(	O	_	_	
1-3	лат	O	_	_	
1-4	.	O	_	_	
1-5	Mālus	O	_	_	
1-6	)	O	_	_	
1-7	—	O	_	_	
1-8	род	B-NC	Hypernym	1-13	
1-9	листопадных	B-NC	_	_	
1-10	деревьев	I-NC|B-NC	_	_	
1-11	и	O	_	_	
1-12	кустарников	B-NC	Co-Hyponym	1-10	
1-13	семейства	B-NC	_	_	
1-14	Розовые	O	_	_	
1-15	с	O	_	_	
1-16	шаровидными	O	_	_	
1-17	сладкими	O	_	_	
1-18	или	O	_	_	
1-19	кисло	O	_	_	
1-20	-	O	_	_	
1-21	сладкими	O	_	_	
1-22	плодами	B-NC	Holonym|Holonym	1-10|1-12	

#id=2
#text=Род относится к трибе Яблоневые ( Maleae ) подсемейства Сливовые ( Spiraeoídeae)[2 ] . Насчитывает 36 видов ( 1976 ) . Наиболее распространены : яблоня домашняя , или культурная ( Malus domestica ) , к которой относится большинство возделываемых в мире сортов ( число которых превышает 10 000[3 ] ) , яблоня сливолистная , китайская ( Malus prunifolia ) и яблоня низкая ( Malus pumila )
2-1	Род	B-NC	_	_	
2-2	относится	O	_	_	
2-3	к	O	_	_	
2-4	трибе	B-NC	Hypernym	2-9	
2-5	Яблоневые	O	_	_	
2-6	(	O	_	_	
2-7	Maleae	O	_	_	
2-8	)	O	_	_	
2-9	подсемейства	B-NC	_	_	
2-10	Сливовые	O	_	_	
2-11	(	O	_	_	
2-12	Spiraeoídeae)[2	O	_	_	
2-13	]	O	_	_	
2-14	.	O	_	_	
2-15	Насчитывает	O	_	_	
2-16	36	O	_	_	
2-17	видов	B-NC	Hypernym	2-1	
2-18	(	O	_	_	
2-19	1976	O	_	_	
2-20	)	O	_	_	
2-21	.	O	_	_	
2-22	Наиболее	O	_	_	
2-23	распространены	O	_	_	
2-24	:	O	_	_	
2-25	яблоня	B-NC|B-NC	Hypernym	2-17	
2-26	домашняя	I-NC	_	_	
2-27	,	O	_	_	
2-28	или	O	_	_	
2-29	культурная	B-NCpart	Hypernym	2-17	
2-30	(	O	_	_	
2-31	Malus	O	_	_	
2-32	domestica	O	_	_	
2-33	)	O	_	_	
2-34	,	O	_	_	
2-35	к	O	_	_	
2-36	которой	O	_	_	
2-37	относится	O	_	_	
2-38	большинство	B-NC	_	_	
2-39	возделываемых	O	_	_	
2-40	в	O	_	_	
2-41	мире	B-NC	_	_	
2-42	сортов	B-NC	Hypernym	2-17	
2-43	(	O	_	_	
2-44	число	B-NC	_	_	
2-45	которых	O	_	_	
2-46	превышает	O	_	_	
2-47	10	O	_	_	
2-48	000[3	O	_	_	
2-49	]	O	_	_	
2-50	)	O	_	_	
2-51	,	O	_	_	
2-52	яблоня	B-NC|B-NC	Hypernym	2-17	
2-53	сливолистная	I-NC	_	_	
2-54	,	O	_	_	
2-55	китайская	B-NCpart	Synonym	2-52	
2-56	(	O	_	_	
2-57	Malus	O	_	_	
2-58	prunifolia	O	_	_	
2-59	)	O	_	_	
2-60	и	O	_	_	
2-61	яблоня	B-NC|B-NC	Hypernym	2-17	
2-62	низкая	I-NC	_	_	
2-63	(	O	_	_	
2-64	Malus	O	_	_	
2-65	pumila	O	_	_	
2-66	)	O	_	_	

#id=3
#text=Многие виды яблони выращивают в качестве декоративных растений в садах и парках , используют в полезащитном лесоразведении . Все виды — хорошие медоносы . Древесина у яблони плотная , крепкая , легко режется и хорошо полируется ; пригодна для токарных и столярных изделий , мелких поделок[4 ]
3-1	Многие	O	_	_	
3-2	виды	B-NC	_	_	
3-3	яблони	B-NC	Hypernym	3-8	
3-4	выращивают	O	_	_	
3-5	в	O	_	_	
3-6	качестве	B-NC	_	_	
3-7	декоративных	O	_	_	
3-8	растений	B-NC	Holonym|Holonym	3-12|3-10	
3-9	в	O	_	_	
3-10	садах	B-NC	_	_	
3-11	и	O	_	_	
3-12	парках	B-NC	Co-Hyponym	3-10	
3-13	,	O	_	_	
3-14	используют	O	_	_	
3-15	в	O	_	_	
3-16	полезащитном	O	_	_	
3-17	лесоразведении	B-NC	_	_	
3-18	.	O	_	_	
3-19	Все	O	_	_	
3-20	виды	B-NC	_	_	
3-21	—	O	_	_	
3-22	хорошие	O	_	_	
3-23	медоносы	B-NC	Hypernym	3-8	
3-24	.	O	_	_	
3-25	Древесина	B-NC	Holonym|Holonym|Holonym	3-42|3-40|3-27	
3-26	у	O	_	_	
3-27	яблони	B-NC	_	_	
3-28	плотная	O	_	_	
3-29	,	O	_	_	
3-30	крепкая	O	_	_	
3-31	,	O	_	_	
3-32	легко	O	_	_	
3-33	режется	O	_	_	
3-34	и	O	_	_	
3-35	хорошо	O	_	_	
3-36	полируется	O	_	_	
3-37	;	O	_	_	
3-38	пригодна	O	_	_	
3-39	для	O	_	_	
3-40	токарных	B-NCpart	_	_	
3-41	и	O	_	_	
3-42	столярных	B-NC	_	_	
3-43	изделий	I-NC|B-NC	_	_	
3-44	,	O	_	_	
3-45	мелких	O	_	_	
3-46	поделок[4	B-NC	Synonym	3-43	
3-47	]	O	_	_	

