 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Das Auge ( lat. oculus , griech. ὤψ ops ) ist ein Sinnesorgan zur Wahrnehmung von Lichtreizen . Es ist Teil des visuellen Systems und ermöglicht Tieren das Sehen . Die Aufnahme der Reize geschieht mit Hilfe von Fotorezeptoren , lichtempfindlichen Nervenzellen , deren Erregungszustand durch die unterschiedlichen Wellenlängen elektromagnetischer Strahlung aus dem sichtbaren Spektrum verändert wird . Bei Wirbeltieren gelangen diese Nervenimpulse über die Sehnervenbahnen zum Sehzentrum des Gehirns , wo sie schließlich zu einer optischen Wahrnehmung verarbeitet werden
1-1	Das	O	_	_	
1-2	Auge	B-NC	Holonym|Holonym|Hypernym	1-60|1-27|1-13	
1-3	(	O	_	_	
1-4	lat.	B-NC	_	_	
1-5	oculus	B-NC	_	_	
1-6	,	O	_	_	
1-7	griech.	O	_	_	
1-8	ὤψ	O	_	_	
1-9	ops	B-NC	_	_	
1-10	)	O	_	_	
1-11	ist	O	_	_	
1-12	ein	O	_	_	
1-13	Sinnesorgan	B-NC	_	_	
1-14	zur	O	_	_	
1-15	Wahrnehmung	B-NC|B-NC	_	_	
1-16	von	O	_	_	
1-17	Lichtreizen	B-NC	Hypernym	1-51	
1-18	.	O	_	_	
1-19	Es	O	_	_	
1-20	ist	O	_	_	
1-21	Teil	B-NC	_	_	
1-22	des	O	_	_	
1-23	visuellen	O	_	_	
1-24	Systems	B-NC	_	_	
1-25	und	O	_	_	
1-26	ermöglicht	O	_	_	
1-27	Tieren	B-NC	_	_	
1-28	das	O	_	_	
1-29	Sehen	B-NC	_	_	
1-30	.	O	_	_	
1-31	Die	O	_	_	
1-32	Aufnahme	B-NC	_	_	
1-33	der	O	_	_	
1-34	Reize	B-NC	Hypernym	1-63	
1-35	geschieht	O	_	_	
1-36	mit	O	_	_	
1-37	Hilfe	B-NC	_	_	
1-38	von	O	_	_	
1-39	Fotorezeptoren	B-NC	Holonym|Hypernym	1-2|1-42	
1-40	,	O	_	_	
1-41	lichtempfindlichen	O	_	_	
1-42	Nervenzellen	B-NC	Holonym	1-66	
1-43	,	O	_	_	
1-44	deren	O	_	_	
1-45	Erregungszustand	B-NC	_	_	
1-46	durch	O	_	_	
1-47	die	O	_	_	
1-48	unterschiedlichen	O	_	_	
1-49	Wellenlängen	B-NC	Holonym	1-51	
