 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Глаз ( лат . oculus ) — сенсорный орган ( орган зрительной системы ) животных , обладающий способностью воспринимать электромагнитное излучение в световом диапазоне длин волн и обеспечивающий функцию зрения . У человека через глаз поступает около 90 % информации из окружающего мира[1 ]
1-1	Глаз	B-NC	Hypernym	1-8	
1-2	(	O	_	_	
1-3	лат	O	_	_	
1-4	.	O	_	_	
1-5	oculus	O	_	_	
1-6	)	O	_	_	
1-7	—	O	_	_	
1-8	сенсорный	B-NC	Holonym	1-12	
1-9	орган	I-NC|B-NC	_	_	
1-10	(	O	_	_	
1-11	орган	B-NC	Holonym	1-15	
1-12	зрительной	B-NC	Holonym	1-30	
1-13	системы	I-NC|B-NC	_	_	
1-14	)	O	_	_	
1-15	животных	B-NC	_	_	
1-16	,	O	_	_	
1-17	обладающий	O	_	_	
1-18	способностью	B-NC	_	_	
1-19	воспринимать	O	_	_	
1-20	электромагнитное	O	_	_	
1-21	излучение	B-NC	_	_	
1-22	в	O	_	_	
1-23	световом	O	_	_	
1-24	диапазоне	B-NC	_	_	
1-25	длин	O	_	_	
1-26	волн	B-NC	Hypernym	1-21	
1-27	и	O	_	_	
1-28	обеспечивающий	O	_	_	
1-29	функцию	B-NC	_	_	
1-30	зрения	B-NC	_	_	
1-31	.	O	_	_	
1-32	У	O	_	_	
1-33	человека	B-NC	Hypernym	1-15	
1-34	через	O	_	_	
1-35	глаз	B-NC	_	_	
1-36	поступает	O	_	_	
1-37	около	O	_	_	
1-38	90	O	_	_	
1-39	%	O	_	_	
1-40	информации	B-NC	_	_	
1-41	из	O	_	_	
1-42	окружающего	O	_	_	
1-43	мира[1	B-NC	_	_	
1-44	]	O	_	_	

#id=2
#text=Глаз позвоночных животных представляет собой периферическую часть зрительного анализатора , в котором фоторецепторную функцию выполняют нейросенсорные ( фоторецепторные ) клетки сетчатки[2 ]
2-1	Глаз	B-NC	Holonym	2-3	
2-2	позвоночных	O	_	_	
2-3	животных	B-NC	_	_	
2-4	представляет	O	_	_	
2-5	собой	O	_	_	
2-6	периферическую	O	_	_	
2-7	часть	B-NC	_	_	
2-8	зрительного	O	_	_	
2-9	анализатора	B-NC	_	_	
2-10	,	O	_	_	
2-11	в	O	_	_	
2-12	котором	O	_	_	
2-13	фоторецепторную	O	_	_	
2-14	функцию	B-NC	_	_	
2-15	выполняют	O	_	_	
2-16	нейросенсорные	O	_	_	
2-17	(	O	_	_	
2-18	фоторецепторные	O	_	_	
2-19	)	O	_	_	
2-20	клетки	B-NC	_	_	
2-21	сетчатки[2	O	_	_	
2-22	]	O	_	_	

