 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ein offizielles Endergebnis wurde noch nicht veröffentlicht , Hochrechnungen signalisieren aber einen klaren Sieg von Evo Morales von der sozialistischen Partei MAS ( Movimiento al Socialismo ) . Laut dieser Hochrechnungen entfielen auf Morales bei der Wahl am Sonntag etwa 50 Prozent der Stimmen . Andere Hochrechnungen sehen Morales bei 44,5 Prozent der Stimmen , vor dem konservativen Politiker Jorge Quiroga Ramírez , für den 34 Prozent der Wähler gestimmt haben sollen . Erreicht keiner der Kandidaten die absolute Mehrheit , so sieht die bolivianische Verfassung eine Wahl des Präsidenten durch das Parlament vor , die Mitte Januar stattfinden würde . Jorge Quiroga , dessen politisches Programm ein liberales Wirtschaftssystem und ein Festhalten an den Gesetzen gegen den Coca-Anbau vorsah , gestand in einer Fernsehansprache seine Niederlage ein
1-1	Ein	O	_	_	
1-2	offizielles	O	_	_	
1-3	Endergebnis	B-NC	_	_	
1-4	wurde	O	_	_	
1-5	noch	O	_	_	
1-6	nicht	O	_	_	
1-7	veröffentlicht	O	_	_	
1-8	,	O	_	_	
1-9	Hochrechnungen	B-NC	_	_	
1-10	signalisieren	O	_	_	
1-11	aber	O	_	_	
1-12	einen	O	_	_	
1-13	klaren	O	_	_	
1-14	Sieg	B-NC	_	_	
1-15	von	O	_	_	
1-16	Evo	B-NC	_	_	
1-17	Morales	B-NC	_	_	
1-18	von	O	_	_	
1-19	der	O	_	_	
1-20	sozialistischen	O	_	_	
1-21	Partei	B-NC	Holonym	1-93	
1-22	MAS	B-NC	_	_	
1-23	(	O	_	_	
1-24	Movimiento	B-NC	_	_	
1-25	al	B-NC	_	_	
1-26	Socialismo	B-NC	_	_	
1-27	)	O	_	_	
1-28	.	O	_	_	
1-29	Laut	O	_	_	
1-30	dieser	O	_	_	
1-31	Hochrechnungen	B-NC	_	_	
1-32	entfielen	O	_	_	
1-33	auf	O	_	_	
1-34	Morales	B-NC	_	_	
1-35	bei	O	_	_	
1-36	der	O	_	_	
1-37	Wahl	B-NC	_	_	
1-38	am	O	_	_	
1-39	Sonntag	B-NC	_	_	
1-40	etwa	O	_	_	
1-41	50	O	_	_	
1-42	Prozent	B-NC	_	_	
1-43	der	O	_	_	
1-44	Stimmen	B-NC	Holonym	1-37	
1-45	.	O	_	_	
1-46	Andere	O	_	_	
1-47	Hochrechnungen	B-NC	_	_	
1-48	sehen	O	_	_	
1-49	Morales	B-NC	_	_	
1-50	bei	O	_	_	
1-51	44,5	O	_	_	
1-52	Prozent	B-NC	_	_	
1-53	der	O	_	_	
1-54	Stimmen	B-NC	_	_	
1-55	,	O	_	_	
1-56	vor	O	_	_	
1-57	dem	O	_	_	
1-58	konservativen	O	_	_	
1-59	Politiker	B-NC	Holonym	1-93	
1-60	Jorge	B-NC	_	_	
1-61	Quiroga	B-NC	_	_	
1-62	Ramírez	B-NC	_	_	
1-63	,	O	_	_	
1-64	für	O	_	_	
1-65	den	O	_	_	
1-66	34	O	_	_	
1-67	Prozent	B-NC	_	_	
1-68	der	O	_	_	
1-69	Wähler	B-NC	Holonym|Co-Hyponym	1-37|1-59	
1-70	gestimmt	O	_	_	
1-71	haben	O	_	_	
1-72	sollen	O	_	_	
1-73	.	O	_	_	
1-74	Erreicht	O	_	_	
1-75	keiner	O	_	_	
1-76	der	O	_	_	
1-77	Kandidaten	B-NC	Co-Hyponym	1-59	
1-78	die	O	_	_	
1-79	absolute	O	_	_	
1-80	Mehrheit	B-NC	_	_	
1-81	,	O	_	_	
1-82	so	O	_	_	
1-83	sieht	O	_	_	
1-84	die	O	_	_	
1-85	bolivianische	O	_	_	
1-86	Verfassung	B-NC	_	_	
1-87	eine	O	_	_	
1-88	Wahl	B-NC	_	_	
1-89	des	O	_	_	
1-90	Präsidenten	B-NC	Hypernym	1-59	
1-91	durch	O	_	_	
1-92	das	O	_	_	
1-93	Parlament	B-NC	_	_	
1-94	vor	O	_	_	
1-95	,	O	_	_	
1-96	die	O	_	_	
1-97	Mitte	B-NC	_	_	
1-98	Januar	B-NC	_	_	
1-99	stattfinden	O	_	_	
1-100	würde	O	_	_	
1-101	.	O	_	_	
1-102	Jorge	B-NC	_	_	
1-103	Quiroga	B-NC	_	_	
1-104	,	O	_	_	
1-105	dessen	O	_	_	
1-106	politisches	O	_	_	
1-107	Programm	B-NC	_	_	
1-108	ein	O	_	_	
1-109	liberales	O	_	_	
1-110	Wirtschaftssystem	B-NC	_	_	
1-111	und	O	_	_	
1-112	ein	O	_	_	
1-113	Festhalten	B-NC	_	_	
1-114	an	O	_	_	
1-115	den	O	_	_	
1-116	Gesetzen	B-NC	_	_	
1-117	gegen	O	_	_	
1-118	den	O	_	_	
1-119	Coca-Anbau	B-NC	_	_	
1-120	vorsah	O	_	_	
1-121	,	O	_	_	
1-122	gestand	O	_	_	
1-123	in	O	_	_	
1-124	einer	O	_	_	
1-125	Fernsehansprache	B-NC	_	_	
1-126	seine	O	_	_	
1-127	Niederlage	B-NC	Co-Hyponym	1-14	
1-128	ein	O	_	_	

#id=2
