 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The New York Times has reported that Evo Morales has won presidential elections in Bolivia . Morales ran on a campaign of restoring coca farming in Bolivia , in spite of the United States ' program to wipe out coca growing ( in an effort to reduce the cocaine business ) . Morales is an Aymara Indian and former coca farmer himself . Morales described his victory as a signal that " a new history of Bolivia begins , a history where we search for equality , justice and peace with social justice .
1-1	The	O	_	_	
1-2	New	B-NC	_	_	
1-3	York	B-NC	_	_	
1-4	Times	B-NC	_	_	
1-5	has	O	_	_	
1-6	reported	O	_	_	
1-7	that	O	_	_	
1-8	Evo	B-NC	_	_	
1-9	Morales	B-NC	_	_	
1-10	has	O	_	_	
1-11	won	O	_	_	
1-12	presidential	O	_	_	
1-13	elections	B-NC	_	_	
1-14	in	O	_	_	
1-15	Bolivia	B-NC	_	_	
1-16	.	O	_	_	
1-17	Morales	B-NC	_	_	
1-18	ran	O	_	_	
1-19	on	O	_	_	
1-20	a	O	_	_	
1-21	campaign	B-NC	_	_	
1-22	of	O	_	_	
1-23	restoring	O	_	_	
1-24	coca	B-NC|B-NC	_	_	
1-25	farming	I-NC|B-NC	_	_	
1-26	in	O	_	_	
1-27	Bolivia	B-NC	_	_	
1-28	,	O	_	_	
1-29	in	O	_	_	
1-30	spite	B-NC	_	_	
1-31	of	O	_	_	
1-32	the	O	_	_	
1-33	United	B-NC	_	_	
1-34	States	B-NC	_	_	
1-35	'	O	_	_	
1-36	program	B-NC	_	_	
1-37	to	O	_	_	
1-38	wipe	O	_	_	
1-39	out	O	_	_	
1-40	coca	B-NC|B-NC	Hypernym	1-24	
1-41	growing	I-NC	_	_	
1-42	(	O	_	_	
1-43	in	O	_	_	
1-44	an	O	_	_	
1-45	effort	B-NC	_	_	
1-46	to	O	_	_	
1-47	reduce	O	_	_	
1-48	the	O	_	_	
1-49	cocaine	B-NC	_	_	
1-50	business	B-NC	_	_	
1-51	)	O	_	_	
1-52	.	O	_	_	
1-53	Morales	B-NC	_	_	
1-54	is	O	_	_	
1-55	an	O	_	_	
1-56	Aymara	B-NC	_	_	
1-57	Indian	B-NC	_	_	
1-58	and	O	_	_	
1-59	former	O	_	_	
1-60	coca	B-NC	_	_	
1-61	farmer	B-NC	_	_	
1-62	himself	O	_	_	
1-63	.	O	_	_	
1-64	Morales	B-NC	_	_	
1-65	described	O	_	_	
1-66	his	O	_	_	
1-67	victory	B-NC	_	_	
1-68	as	O	_	_	
1-69	a	O	_	_	
1-70	signal	B-NC	_	_	
1-71	that	O	_	_	
1-72	"	O	_	_	
1-73	a	O	_	_	
1-74	new	O	_	_	
1-75	history	B-NC	_	_	
1-76	of	O	_	_	
1-77	Bolivia	B-NC	_	_	
1-78	begins	O	_	_	
1-79	,	O	_	_	
1-80	a	O	_	_	
1-81	history	B-NC	_	_	
1-82	where	O	_	_	
1-83	we	O	_	_	
1-84	search	O	_	_	
1-85	for	O	_	_	
1-86	equality	B-NC	_	_	
1-87	,	O	_	_	
1-88	justice	B-NC	Co-Hyponym	1-86	
1-89	and	O	_	_	
1-90	peace	B-NC	Co-Hyponym	1-86	
1-91	with	O	_	_	
1-92	social	B-NC	Hypernym	1-88	
1-93	justice	I-NC|B-NC	_	_	
1-94	.	O	_	_	

#id=2
