 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The New York Times сообщает , что Эво Моралес выиграл президентские выборы в Боливии . Моралес проводил свою предвыборную кампанию под лозунгом восстановления ферм по выращиванию коки в Боливии , в противовес проводимой США кампании борьбы против выращивания коки ( в надежде на ограничение кокаинового бизнеса ) . Моралес — индеец племени Аймара ( Aymara ) и в прошлом сам фермер по выращиванию коки . Моралес называет свою победу как сигнал , который : «начинает новую историю Боливии , историю , в которой мы будем устанавливать равенство , социальную справедливость и мир»
1-1	The	O	_	_	
1-2	New	O	_	_	
1-3	York	O	_	_	
1-4	Times	O	_	_	
1-5	сообщает	O	_	_	
1-6	,	O	_	_	
1-7	что	O	_	_	
1-8	Эво	B-NC	_	_	
1-9	Моралес	B-NC	_	_	
1-10	выиграл	O	_	_	
1-11	президентские	O	_	_	
1-12	выборы	B-NC	_	_	
1-13	в	O	_	_	
1-14	Боливии	B-NC	_	_	
1-15	.	O	_	_	
1-16	Моралес	B-NC	_	_	
1-17	проводил	O	_	_	
1-18	свою	O	_	_	
1-19	предвыборную	B-NC	_	_	
1-20	кампанию	I-NC|B-NC	_	_	
1-21	под	O	_	_	
1-22	лозунгом	B-NC	Holonym	1-19	
1-23	восстановления	B-NC	_	_	
1-24	ферм	B-NC	_	_	
1-25	по	O	_	_	
1-26	выращиванию	B-NC	_	_	
1-27	коки	B-NC	_	_	
1-28	в	O	_	_	
1-29	Боливии	B-NC	_	_	
1-30	,	O	_	_	
1-31	в	O	_	_	
1-32	противовес	B-NC	_	_	
1-33	проводимой	O	_	_	
1-34	США	B-NC	_	_	
1-35	кампании	B-NC	_	_	
1-36	борьбы	B-NC	_	_	
1-37	против	O	_	_	
1-38	выращивания	B-NC	_	_	
1-39	коки	B-NC	_	_	
1-40	(	O	_	_	
1-41	в	O	_	_	
1-42	надежде	B-NC	_	_	
1-43	на	O	_	_	
1-44	ограничение	B-NC	_	_	
1-45	кокаинового	O	_	_	
1-46	бизнеса	B-NC	_	_	
1-47	)	O	_	_	
1-48	.	O	_	_	
1-49	Моралес	B-NC	_	_	
1-50	—	O	_	_	
1-51	индеец	B-NC	_	_	
1-52	племени	B-NC	_	_	
1-53	Аймара	B-NC	_	_	
1-54	(	O	_	_	
1-55	Aymara	O	_	_	
1-56	)	O	_	_	
1-57	и	O	_	_	
1-58	в	O	_	_	
1-59	прошлом	B-NC	_	_	
1-60	сам	O	_	_	
1-61	фермер	B-NC	_	_	
1-62	по	O	_	_	
1-63	выращиванию	B-NC	_	_	
1-64	коки	B-NC	_	_	
1-65	.	O	_	_	
1-66	Моралес	B-NC	_	_	
1-67	называет	O	_	_	
1-68	свою	O	_	_	
1-69	победу	B-NC	_	_	
1-70	как	O	_	_	
1-71	сигнал	B-NC	_	_	
1-72	,	O	_	_	
1-73	который	O	_	_	
1-74	:	O	_	_	
1-75	«начинает	O	_	_	
1-76	новую	O	_	_	
1-77	историю	B-NC	_	_	
