 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=And thinking he wanted to play ; she pushed him gently . He fell to the ground . He was dead
1-1	And	O	_	_	
1-2	thinking	O	_	_	
1-3	he	O	_	_	
1-4	wanted	O	_	_	
1-5	to	O	_	_	
1-6	play	O	_	_	
1-7	;	O	_	_	
1-8	she	O	_	_	
1-9	pushed	O	_	_	
1-10	him	O	_	_	
1-11	gently	O	_	_	
1-12	.	O	_	_	
1-13	He	O	_	_	
1-14	fell	O	_	_	
1-15	to	O	_	_	
1-16	the	O	_	_	
1-17	ground	B-NC	_	_	
1-18	.	O	_	_	
1-19	He	O	_	_	
1-20	was	O	_	_	
1-21	dead	O	_	_	

#id=2
#text=Thirty-six hours after , at the druggist 's request , Monsieur Canivet came thither . He made a post-mortem and found nothing
2-1	Thirty-six	B-NC	_	_	
2-2	hours	B-NC	_	_	
2-3	after	O	_	_	
2-4	,	O	_	_	
2-5	at	O	_	_	
2-6	the	O	_	_	
2-7	druggist	B-NC	_	_	
2-8	's	O	_	_	
2-9	request	B-NC	_	_	
2-10	,	O	_	_	
2-11	Monsieur	B-NC	_	_	
2-12	Canivet	B-NC	_	_	
2-13	came	O	_	_	
2-14	thither	O	_	_	
2-15	.	O	_	_	
2-16	He	O	_	_	
2-17	made	O	_	_	
2-18	a	O	_	_	
2-19	post-mortem	B-NC	_	_	
2-20	and	O	_	_	
2-21	found	O	_	_	
2-22	nothing	B-NC	_	_	

#id=3
#text=When everything had been sold , twelve francs seventy-five centimes remained , that served to pay for Mademoiselle Bovary 's going to her grandmother . The good woman died the same year ; old Rouault was paralysed , and it was an aunt who took charge of her . She is poor , and sends her to a cotton-factory to earn a living
3-1	When	O	_	_	
3-2	everything	B-NC	_	_	
3-3	had	O	_	_	
3-4	been	O	_	_	
3-5	sold	O	_	_	
3-6	,	O	_	_	
3-7	twelve	B-NC	_	_	
3-8	francs	B-NC	_	_	
3-9	seventy-five	O	_	_	
3-10	centimes	B-NC	_	_	
3-11	remained	O	_	_	
3-12	,	O	_	_	
3-13	that	O	_	_	
3-14	served	O	_	_	
3-15	to	O	_	_	
3-16	pay	O	_	_	
3-17	for	O	_	_	
3-18	Mademoiselle	B-NC	_	_	
3-19	Bovary	B-NC	_	_	
3-20	's	O	_	_	
3-21	going	O	_	_	
3-22	to	O	_	_	
3-23	her	O	_	_	
3-24	grandmother	B-NC	Hypernym	3-28	
3-25	.	O	_	_	
3-26	The	O	_	_	
3-27	good	O	_	_	
3-28	woman	B-NC	_	_	
3-29	died	O	_	_	
3-30	the	O	_	_	
3-31	same	O	_	_	
3-32	year	B-NC	_	_	
3-33	;	O	_	_	
3-34	old	O	_	_	
3-35	Rouault	B-NC	_	_	
3-36	was	O	_	_	
3-37	paralysed	O	_	_	
3-38	,	O	_	_	
3-39	and	O	_	_	
3-40	it	O	_	_	
3-41	was	O	_	_	
3-42	an	O	_	_	
3-43	aunt	B-NC	Co-Hyponym	3-24	
3-44	who	O	_	_	
3-45	took	O	_	_	
3-46	charge	B-NC	_	_	
3-47	of	O	_	_	
3-48	her	O	_	_	
3-49	.	O	_	_	
3-50	She	O	_	_	
3-51	is	O	_	_	
3-52	poor	O	_	_	
3-53	,	O	_	_	
3-54	and	O	_	_	
3-55	sends	O	_	_	
3-56	her	O	_	_	
3-57	to	O	_	_	
3-58	a	O	_	_	
3-59	cotton-factory	B-NC	_	_	
3-60	to	O	_	_	
3-61	earn	O	_	_	
3-62	a	O	_	_	
3-63	living	B-NC	_	_	

#id=4
#text=Since Bovary 's death three doctors have followed one another at Yonville without any success , so severely did Homais attack them . He has an enormous practice ; the authorities treat him with consideration , and public opinion protects him
4-1	Since	O	_	_	
4-2	Bovary	B-NC	_	_	
4-3	's	O	_	_	
4-4	death	B-NC	_	_	
4-5	three	O	_	_	
4-6	doctors	B-NC	_	_	
4-7	have	O	_	_	
4-8	followed	O	_	_	
4-9	one	O	_	_	
4-10	another	O	_	_	
4-11	at	O	_	_	
4-12	Yonville	B-NC	_	_	
4-13	without	O	_	_	
4-14	any	O	_	_	
4-15	success	B-NC	_	_	
4-16	,	O	_	_	
4-17	so	O	_	_	
4-18	severely	O	_	_	
4-19	did	O	_	_	
4-20	Homais	B-NC	_	_	
4-21	attack	O	_	_	
4-22	them	O	_	_	
4-23	.	O	_	_	
4-24	He	O	_	_	
4-25	has	O	_	_	
4-26	an	O	_	_	
4-27	enormous	O	_	_	
4-28	practice	B-NC	_	_	
4-29	;	O	_	_	
4-30	the	O	_	_	
4-31	authorities	B-NC	_	_	
4-32	treat	O	_	_	
4-33	him	O	_	_	
4-34	with	O	_	_	
4-35	consideration	B-NC	_	_	
4-36	,	O	_	_	
4-37	and	O	_	_	
4-38	public	O	_	_	
4-39	opinion	B-NC	_	_	
4-40	protects	O	_	_	
4-41	him	O	_	_	

#id=5
#text=He has just received the cross of the Legion of Honour
5-1	He	O	_	_	
5-2	has	O	_	_	
5-3	just	O	_	_	
5-4	received	O	_	_	
5-5	the	O	_	_	
5-6	cross	B-NC	_	_	
5-7	of	O	_	_	
5-8	the	O	_	_	
5-9	Legion	B-NC	_	_	
5-10	of	O	_	_	
5-11	Honour	B-NC	_	_	

