 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Allmählich machten Rudolfs Befürchtungen auf Emma Eindruck . Zuerst hatte die Liebe sie berauscht , und so hatte sie an nichts andres gedacht . Jetzt aber , da ihr diese Liebe zu einer Lebensbedingung geworden war , erwachte die Furcht in ihr , es könne ihr etwas davon verloren gehen oder man könne sie ihr gar stören . Wenn sie von dem Geliebten wieder heimging , hielt sie mit rastlosen Blicken Umschau ; sie spähte nach allem , was sich im Gesichtskreise regte , sie suchte die Häuser des Ortes bis hinauf in die Dachluken ab , ob jemand sie beobachte . Sie lauschte auf jedes Geräusch , jeden Tritt , jedes Rädergeknarr . Manchmal blieb sie stehen , blasser und zittriger als das Laub der Pappeln , die sich über ihrem Haupte wiegten
1-1	Allmählich	O	_	_	
1-2	machten	O	_	_	
1-3	Rudolfs	B-NC	_	_	
1-4	Befürchtungen	B-NC	Hypernym	1-40	
1-5	auf	O	_	_	
1-6	Emma	B-NC	_	_	
1-7	Eindruck	B-NC	_	_	
1-8	.	O	_	_	
1-9	Zuerst	O	_	_	
1-10	hatte	O	_	_	
1-11	die	O	_	_	
1-12	Liebe	B-NC	_	_	
1-13	sie	O	_	_	
1-14	berauscht	O	_	_	
1-15	,	O	_	_	
1-16	und	O	_	_	
1-17	so	O	_	_	
1-18	hatte	O	_	_	
1-19	sie	O	_	_	
1-20	an	O	_	_	
1-21	nichts	O	_	_	
1-22	andres	O	_	_	
1-23	gedacht	O	_	_	
1-24	.	O	_	_	
1-25	Jetzt	O	_	_	
1-26	aber	O	_	_	
1-27	,	O	_	_	
1-28	da	O	_	_	
1-29	ihr	O	_	_	
1-30	diese	O	_	_	
1-31	Liebe	B-NC	_	_	
1-32	zu	O	_	_	
1-33	einer	O	_	_	
1-34	Lebensbedingung	B-NC	_	_	
1-35	geworden	O	_	_	
1-36	war	O	_	_	
1-37	,	O	_	_	
1-38	erwachte	O	_	_	
1-39	die	O	_	_	
1-40	Furcht	B-NC	Co-Hyponym	1-31	
1-41	in	O	_	_	
1-42	ihr	O	_	_	
1-43	,	O	_	_	
1-44	es	O	_	_	
1-45	könne	O	_	_	
1-46	ihr	O	_	_	
1-47	etwas	O	_	_	
1-48	davon	O	_	_	
1-49	verloren	O	_	_	
1-50	gehen	O	_	_	
1-51	oder	O	_	_	
1-52	man	O	_	_	
1-53	könne	O	_	_	
1-54	sie	O	_	_	
1-55	ihr	O	_	_	
1-56	gar	O	_	_	
1-57	stören	O	_	_	
1-58	.	O	_	_	
1-59	Wenn	O	_	_	
1-60	sie	O	_	_	
1-61	von	O	_	_	
1-62	dem	O	_	_	
1-63	Geliebten	B-NC	_	_	
1-64	wieder	O	_	_	
1-65	heimging	O	_	_	
1-66	,	O	_	_	
1-67	hielt	O	_	_	
1-68	sie	O	_	_	
1-69	mit	O	_	_	
1-70	rastlosen	O	_	_	
1-71	Blicken	B-NC	_	_	
1-72	Umschau	B-NC	_	_	
1-73	;	O	_	_	
1-74	sie	O	_	_	
1-75	spähte	O	_	_	
1-76	nach	O	_	_	
1-77	allem	O	_	_	
1-78	,	O	_	_	
1-79	was	O	_	_	
1-80	sich	O	_	_	
1-81	im	O	_	_	
1-82	Gesichtskreise	B-NC	_	_	
1-83	regte	O	_	_	
1-84	,	O	_	_	
1-85	sie	O	_	_	
1-86	suchte	O	_	_	
1-87	die	O	_	_	
1-88	Häuser	B-NC	Holonym	1-90	
1-89	des	O	_	_	
1-90	Ortes	B-NC	_	_	
1-91	bis	O	_	_	
1-92	hinauf	O	_	_	
1-93	in	O	_	_	
1-94	die	O	_	_	
1-95	Dachluken	B-NC	Holonym	1-88	
1-96	ab	O	_	_	
1-97	,	O	_	_	
1-98	ob	O	_	_	
1-99	jemand	O	_	_	
1-100	sie	O	_	_	
1-101	beobachte	O	_	_	
1-102	.	O	_	_	
1-103	Sie	O	_	_	
1-104	lauschte	O	_	_	
1-105	auf	O	_	_	
1-106	jedes	O	_	_	
1-107	Geräusch	B-NC	_	_	
1-108	,	O	_	_	
1-109	jeden	O	_	_	
1-110	Tritt	B-NC	_	_	
1-111	,	O	_	_	
1-112	jedes	O	_	_	
1-113	Rädergeknarr	B-NC	Hypernym	1-107	
1-114	.	O	_	_	
1-115	Manchmal	O	_	_	
1-116	blieb	O	_	_	
1-117	sie	O	_	_	
1-118	stehen	O	_	_	
1-119	,	O	_	_	
1-120	blasser	O	_	_	
1-121	und	O	_	_	
1-122	zittriger	O	_	_	
1-123	als	O	_	_	
1-124	das	O	_	_	
1-125	Laub	B-NC	Holonym	1-127	
1-126	der	O	_	_	
1-127	Pappeln	B-NC	_	_	
1-128	,	O	_	_	
1-129	die	O	_	_	
1-130	sich	O	_	_	
1-131	über	O	_	_	
1-132	ihrem	O	_	_	
1-133	Haupte	B-NC	_	_	
1-134	wiegten	O	_	_	

#id=2
#text=Eines Morgens , auf dem Heimwege , erblickte sie mit einem Male den Lauf eines Gewehrs auf sich gerichtet . Es ragte schräg über den oberen Rand einer Tonne hervor , die zur Hälfte in einem Graben stand und vom Gebüsch verdeckt wurde . Vor Schreck halb ohnmächtig ging Emma dennoch weiter . Da tauchte ein Mann aus der Tonne wie ein Springteufel aus seinem Kasten . Er trug Wickelgamaschen bis an die Knie , und die Mütze hatte er tief ins Gesicht hereingezogen , so daß man nur eine rote Nase und bebende Lippen sah . Es war der Feuerwehrhauptmann Binet , der auf dem Anstand lag , um Wildenten zu schießen
2-1	Eines	O	_	_	
2-2	Morgens	B-NC	_	_	
2-3	,	O	_	_	
2-4	auf	O	_	_	
2-5	dem	O	_	_	
2-6	Heimwege	B-NC	_	_	
2-7	,	O	_	_	
2-8	erblickte	O	_	_	
2-9	sie	O	_	_	
2-10	mit	O	_	_	
2-11	einem	O	_	_	
2-12	Male	B-NC	_	_	
2-13	den	O	_	_	
2-14	Lauf	B-NC	_	_	
2-15	eines	O	_	_	
2-16	Gewehrs	B-NC	_	_	
2-17	auf	O	_	_	
2-18	sich	O	_	_	
2-19	gerichtet	O	_	_	
2-20	.	O	_	_	
2-21	Es	O	_	_	
2-22	ragte	O	_	_	
2-23	schräg	O	_	_	
2-24	über	O	_	_	
2-25	den	O	_	_	
2-26	oberen	O	_	_	
2-27	Rand	B-NC	_	_	
2-28	einer	O	_	_	
2-29	Tonne	B-NC	_	_	
2-30	hervor	O	_	_	
2-31	,	O	_	_	
2-32	die	O	_	_	
2-33	zur	O	_	_	
2-34	Hälfte	B-NC	_	_	
2-35	in	O	_	_	
2-36	einem	O	_	_	
2-37	Graben	B-NC	_	_	
2-38	stand	O	_	_	
2-39	und	O	_	_	
2-40	vom	O	_	_	
2-41	Gebüsch	B-NC	_	_	
2-42	verdeckt	O	_	_	
2-43	wurde	O	_	_	
2-44	.	O	_	_	
2-45	Vor	O	_	_	
2-46	Schreck	B-NC	_	_	
2-47	halb	O	_	_	
2-48	ohnmächtig	O	_	_	
2-49	ging	O	_	_	
2-50	Emma	B-NC	_	_	
2-51	dennoch	O	_	_	
2-52	weiter	O	_	_	
2-53	.	O	_	_	
2-54	Da	O	_	_	
2-55	tauchte	O	_	_	
2-56	ein	O	_	_	
2-57	Mann	B-NC	_	_	
2-58	aus	O	_	_	
2-59	der	O	_	_	
2-60	Tonne	B-NC	_	_	
2-61	wie	O	_	_	
2-62	ein	O	_	_	
2-63	Springteufel	B-NC	_	_	
2-64	aus	O	_	_	
2-65	seinem	O	_	_	
2-66	Kasten	B-NC	_	_	
2-67	.	O	_	_	
2-68	Er	O	_	_	
2-69	trug	O	_	_	
2-70	Wickelgamaschen	B-NC	_	_	
2-71	bis	O	_	_	
2-72	an	O	_	_	
2-73	die	O	_	_	
2-74	Knie	B-NC	Holonym	2-57	
2-75	,	O	_	_	
2-76	und	O	_	_	
2-77	die	O	_	_	
2-78	Mütze	B-NC	Co-Hyponym	2-70	
2-79	hatte	O	_	_	
2-80	er	O	_	_	
2-81	tief	O	_	_	
2-82	ins	O	_	_	
2-83	Gesicht	B-NC	Holonym	2-57	
2-84	hereingezogen	O	_	_	
2-85	,	O	_	_	
2-86	so	O	_	_	
2-87	daß	O	_	_	
2-88	man	O	_	_	
2-89	nur	O	_	_	
2-90	eine	O	_	_	
2-91	rote	O	_	_	
2-92	Nase	B-NC	Holonym	2-83	
2-93	und	O	_	_	
2-94	bebende	O	_	_	
2-95	Lippen	B-NC	Holonym	2-83	
2-96	sah	O	_	_	
2-97	.	O	_	_	
2-98	Es	O	_	_	
2-99	war	O	_	_	
2-100	der	O	_	_	
2-101	Feuerwehrhauptmann	B-NC	Hypernym	2-57	
2-102	Binet	B-NC	_	_	
2-103	,	O	_	_	
2-104	der	O	_	_	
2-105	auf	O	_	_	
2-106	dem	O	_	_	
2-107	Anstand	B-NC	_	_	
2-108	lag	O	_	_	
2-109	,	O	_	_	
2-110	um	O	_	_	
2-111	Wildenten	B-NC	_	_	
2-112	zu	O	_	_	
2-113	schießen	O	_	_	

#id=3
#text=»Sie hätten schon von weitem rufen sollen ! « schrie er ihr zu . »Wenn man ein Gewehr sieht , muß man sich bemerkbar machen !
3-1	»Sie	B-NC	_	_	
3-2	hätten	O	_	_	
3-3	schon	O	_	_	
3-4	von	O	_	_	
3-5	weitem	O	_	_	
3-6	rufen	O	_	_	
3-7	sollen	O	_	_	
3-8	!	O	_	_	
3-9	«	O	_	_	
3-10	schrie	O	_	_	
3-11	er	O	_	_	
3-12	ihr	O	_	_	
3-13	zu	O	_	_	
3-14	.	O	_	_	
3-15	»Wenn	B-NC	_	_	
3-16	man	O	_	_	
3-17	ein	O	_	_	
3-18	Gewehr	B-NC	_	_	
3-19	sieht	O	_	_	
3-20	,	O	_	_	
3-21	muß	O	_	_	
3-22	man	O	_	_	
3-23	sich	O	_	_	
3-24	bemerkbar	O	_	_	
3-25	machen	O	_	_	
3-26	!	O	_	_	

#id=4
#text=Der Steuereinnehmer suchte durch seine Grobheit seine eigene Angst zu bemänteln . Es bestand nämlich eine landrätliche Verordnung , nach der man die Jagd auf Wildenten nur vom Kahne aus betreiben durfte . Bei allem Respekt vor den Gesetzen machte sich also Binet einer Übertretung schuldig . Deshalb schwebte er in steter Furcht , der Landgendarm könne ihn erwischen , und doch fügte die Aufregung seinem Vergnügen einen Reiz mehr zu . Wenn er so einsam in seiner Tonne saß , war er stolz auf sein Jagdglück und seine Schlauheit
4-1	Der	O	_	_	
4-2	Steuereinnehmer	B-NC	_	_	
4-3	suchte	O	_	_	
4-4	durch	O	_	_	
4-5	seine	O	_	_	
4-6	Grobheit	B-NC	_	_	
4-7	seine	O	_	_	
4-8	eigene	O	_	_	
4-9	Angst	B-NC	_	_	
4-10	zu	O	_	_	
4-11	bemänteln	O	_	_	
4-12	.	O	_	_	
4-13	Es	O	_	_	
4-14	bestand	O	_	_	
4-15	nämlich	O	_	_	
4-16	eine	O	_	_	
4-17	landrätliche	O	_	_	
4-18	Verordnung	B-NC	_	_	
4-19	,	O	_	_	
4-20	nach	O	_	_	
4-21	der	O	_	_	
4-22	man	O	_	_	
4-23	die	O	_	_	
4-24	Jagd	B-NC	_	_	
4-25	auf	O	_	_	
4-26	Wildenten	B-NC	_	_	
4-27	nur	O	_	_	
4-28	vom	O	_	_	
4-29	Kahne	B-NC	_	_	
4-30	aus	O	_	_	
4-31	betreiben	O	_	_	
4-32	durfte	O	_	_	
4-33	.	O	_	_	
4-34	Bei	O	_	_	
4-35	allem	O	_	_	
4-36	Respekt	B-NC	_	_	
4-37	vor	O	_	_	
4-38	den	O	_	_	
4-39	Gesetzen	B-NC	Hypernym	4-18	
4-40	machte	O	_	_	
4-41	sich	O	_	_	
4-42	also	O	_	_	
4-43	Binet	B-NC	_	_	
4-44	einer	O	_	_	
4-45	Übertretung	B-NC	_	_	
4-46	schuldig	O	_	_	
4-47	.	O	_	_	
4-48	Deshalb	O	_	_	
4-49	schwebte	O	_	_	
4-50	er	O	_	_	
4-51	in	O	_	_	
4-52	steter	O	_	_	
4-53	Furcht	B-NC	Synonym	4-9	
4-54	,	O	_	_	
4-55	der	O	_	_	
4-56	Landgendarm	B-NC	Co-Hyponym	4-2	
4-57	könne	O	_	_	
4-58	ihn	O	_	_	
4-59	erwischen	O	_	_	
4-60	,	O	_	_	
4-61	und	O	_	_	
4-62	doch	O	_	_	
4-63	fügte	O	_	_	
4-64	die	O	_	_	
4-65	Aufregung	B-NC	_	_	
4-66	seinem	O	_	_	
4-67	Vergnügen	B-NC	_	_	
4-68	einen	O	_	_	
4-69	Reiz	B-NC	_	_	
4-70	mehr	O	_	_	
4-71	zu	O	_	_	
4-72	.	O	_	_	
4-73	Wenn	O	_	_	
4-74	er	O	_	_	
4-75	so	O	_	_	
4-76	einsam	O	_	_	
4-77	in	O	_	_	
4-78	seiner	O	_	_	
4-79	Tonne	B-NC	_	_	
4-80	saß	O	_	_	
4-81	,	O	_	_	
4-82	war	O	_	_	
4-83	er	O	_	_	
4-84	stolz	O	_	_	
4-85	auf	O	_	_	
4-86	sein	O	_	_	
4-87	Jagdglück	B-NC	_	_	
4-88	und	O	_	_	
4-89	seine	O	_	_	
4-90	Schlauheit	B-NC	Co-Hyponym	4-6	

#id=5
#text=Als er erkannte , daß es Frau Bovary war , fiel ihm ein großer Stein vom Herzen . Er begann sofort ein Gespräch mit ihr
5-1	Als	O	_	_	
5-2	er	O	_	_	
5-3	erkannte	O	_	_	
5-4	,	O	_	_	
5-5	daß	O	_	_	
5-6	es	O	_	_	
5-7	Frau	B-NC	_	_	
5-8	Bovary	B-NC	_	_	
5-9	war	O	_	_	
5-10	,	O	_	_	
5-11	fiel	O	_	_	
5-12	ihm	O	_	_	
5-13	ein	O	_	_	
5-14	großer	O	_	_	
5-15	Stein	B-NC	_	_	
5-16	vom	O	_	_	
5-17	Herzen	B-NC	_	_	
5-18	.	O	_	_	
5-19	Er	O	_	_	
5-20	begann	O	_	_	
5-21	sofort	O	_	_	
5-22	ein	O	_	_	
5-23	Gespräch	B-NC	_	_	
5-24	mit	O	_	_	
5-25	ihr	O	_	_	

