 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Мало-помалу она заразилась от Родольфа этим страхом . Сначала она была опьянена любовью и ни о чем на свете не думала . Но теперь , когда эта любовь стала для нее жизненной необходимостью , Эмма стала бояться потерять хотя бы частицу ее или даже встретить малейшую помеху . Возвращаясь от Родольфа , она подозрительно оглядывала все кругом , опасаясь всякой фигуры на горизонте , всякого окошка , из которого ее могли увидеть . Она прислушивалась к шагам , вскрикам , тарахтению телег ; она останавливалась , вся бледная и трепещущая , как листва тополей , склонившихся над ее головой
1-1	Мало-помалу	O	_	_	
1-2	она	O	_	_	
1-3	заразилась	O	_	_	
1-4	от	O	_	_	
1-5	Родольфа	B-NC	_	_	
1-6	этим	O	_	_	
1-7	страхом	B-NC	_	_	
1-8	.	O	_	_	
1-9	Сначала	O	_	_	
1-10	она	O	_	_	
1-11	была	O	_	_	
1-12	опьянена	O	_	_	
1-13	любовью	B-NC	Co-Hyponym	1-7	
1-14	и	O	_	_	
1-15	ни	O	_	_	
1-16	о	O	_	_	
1-17	чем	O	_	_	
1-18	на	O	_	_	
1-19	свете	B-NC	_	_	
1-20	не	O	_	_	
1-21	думала	O	_	_	
1-22	.	O	_	_	
1-23	Но	O	_	_	
1-24	теперь	O	_	_	
1-25	,	O	_	_	
1-26	когда	O	_	_	
1-27	эта	O	_	_	
1-28	любовь	B-NC	_	_	
1-29	стала	O	_	_	
1-30	для	O	_	_	
1-31	нее	O	_	_	
1-32	жизненной	O	_	_	
1-33	необходимостью	B-NC	_	_	
1-34	,	O	_	_	
1-35	Эмма	B-NC	_	_	
1-36	стала	O	_	_	
1-37	бояться	O	_	_	
1-38	потерять	O	_	_	
1-39	хотя	O	_	_	
1-40	бы	O	_	_	
1-41	частицу	B-NC	_	_	
1-42	ее	O	_	_	
1-43	или	O	_	_	
1-44	даже	O	_	_	
1-45	встретить	O	_	_	
1-46	малейшую	O	_	_	
1-47	помеху	B-NC	_	_	
1-48	.	O	_	_	
1-49	Возвращаясь	O	_	_	
1-50	от	O	_	_	
1-51	Родольфа	B-NC	_	_	
1-52	,	O	_	_	
1-53	она	O	_	_	
1-54	подозрительно	O	_	_	
1-55	оглядывала	O	_	_	
1-56	все	O	_	_	
1-57	кругом	O	_	_	
1-58	,	O	_	_	
1-59	опасаясь	O	_	_	
1-60	всякой	O	_	_	
1-61	фигуры	B-NC	_	_	
1-62	на	O	_	_	
1-63	горизонте	B-NC	_	_	
1-64	,	O	_	_	
1-65	всякого	O	_	_	
1-66	окошка	B-NC	_	_	
1-67	,	O	_	_	
1-68	из	O	_	_	
1-69	которого	O	_	_	
1-70	ее	O	_	_	
1-71	могли	O	_	_	
1-72	увидеть	O	_	_	
1-73	.	O	_	_	
1-74	Она	O	_	_	
1-75	прислушивалась	O	_	_	
1-76	к	O	_	_	
1-77	шагам	B-NC	_	_	
1-78	,	O	_	_	
1-79	вскрикам	B-NC	_	_	
1-80	,	O	_	_	
1-81	тарахтению	B-NC	_	_	
1-82	телег	B-NC	_	_	
1-83	;	O	_	_	
1-84	она	O	_	_	
1-85	останавливалась	O	_	_	
1-86	,	O	_	_	
1-87	вся	O	_	_	
1-88	бледная	O	_	_	
1-89	и	O	_	_	
1-90	трепещущая	O	_	_	
1-91	,	O	_	_	
1-92	как	O	_	_	
1-93	листва	B-NC	Holonym	1-94	
1-94	тополей	B-NC	_	_	
1-95	,	O	_	_	
1-96	склонившихся	O	_	_	
1-97	над	O	_	_	
1-98	ее	O	_	_	
1-99	головой	B-NC	_	_	

#id=2
#text=Однажды утром , когда она таким образом шла домой , ей вдруг показалось , что прямо в нее целится длинное дуло карабина . Оно высовывалось наискось из-за края небольшой бочки , полузапрятанной в траве , на краю канавы . Чуть не падая от ужаса , Эмма все-таки подошла , -- и из бочки встал человек ; так чертик выскакивает на пружинке из коробочки . На нем были гетры , застегнутые до самых колен , и надвинутая на глаза фуражка . Губы его тряслись , нос покраснел . То был капитан Бине : он сидел здесь в засаде на диких уток
2-1	Однажды	O	_	_	
2-2	утром	B-NC	_	_	
2-3	,	O	_	_	
2-4	когда	O	_	_	
2-5	она	O	_	_	
2-6	таким	O	_	_	
2-7	образом	B-NC	_	_	
2-8	шла	O	_	_	
2-9	домой	O	_	_	
2-10	,	O	_	_	
2-11	ей	O	_	_	
2-12	вдруг	O	_	_	
2-13	показалось	O	_	_	
2-14	,	O	_	_	
2-15	что	O	_	_	
2-16	прямо	O	_	_	
2-17	в	O	_	_	
2-18	нее	O	_	_	
2-19	целится	O	_	_	
2-20	длинное	O	_	_	
2-21	дуло	B-NC	Holonym	2-22	
2-22	карабина	B-NC	_	_	
2-23	.	O	_	_	
2-24	Оно	O	_	_	
2-25	высовывалось	O	_	_	
2-26	наискось	O	_	_	
2-27	из-за	B-NC	_	_	
2-28	края	B-NC	_	_	
2-29	небольшой	O	_	_	
2-30	бочки	B-NC	_	_	
2-31	,	O	_	_	
2-32	полузапрятанной	O	_	_	
2-33	в	O	_	_	
2-34	траве	B-NC	_	_	
2-35	,	O	_	_	
2-36	на	O	_	_	
2-37	краю	B-NC	_	_	
2-38	канавы	B-NC	_	_	
2-39	.	O	_	_	
2-40	Чуть	O	_	_	
2-41	не	O	_	_	
2-42	падая	O	_	_	
2-43	от	O	_	_	
2-44	ужаса	B-NC	_	_	
2-45	,	O	_	_	
2-46	Эмма	B-NC	_	_	
2-47	все-таки	O	_	_	
2-48	подошла	O	_	_	
2-49	,	O	_	_	
2-50	--	O	_	_	
2-51	и	O	_	_	
2-52	из	O	_	_	
2-53	бочки	B-NC	_	_	
2-54	встал	O	_	_	
2-55	человек	B-NC	_	_	
2-56	;	O	_	_	
2-57	так	O	_	_	
2-58	чертик	B-NC	_	_	
2-59	выскакивает	O	_	_	
2-60	на	O	_	_	
2-61	пружинке	B-NC	_	_	
2-62	из	O	_	_	
2-63	коробочки	B-NC	_	_	
2-64	.	O	_	_	
2-65	На	O	_	_	
2-66	нем	O	_	_	
2-67	были	O	_	_	
2-68	гетры	B-NC	_	_	
2-69	,	O	_	_	
2-70	застегнутые	O	_	_	
2-71	до	O	_	_	
2-72	самых	O	_	_	
2-73	колен	B-NC	Holonym	2-55	
2-74	,	O	_	_	
2-75	и	O	_	_	
2-76	надвинутая	O	_	_	
2-77	на	O	_	_	
2-78	глаза	B-NC	Holonym	2-55	
2-79	фуражка	B-NC	Co-Hyponym	2-68	
2-80	.	O	_	_	
2-81	Губы	B-NC	Holonym	2-55	
2-82	его	O	_	_	
2-83	тряслись	O	_	_	
2-84	,	O	_	_	
2-85	нос	B-NC	Holonym	2-55	
2-86	покраснел	O	_	_	
2-87	.	O	_	_	
2-88	То	O	_	_	
2-89	был	O	_	_	
2-90	капитан	B-NC	Hypernym	2-55	
2-91	Бине	B-NC	_	_	
2-92	:	O	_	_	
2-93	он	O	_	_	
2-94	сидел	O	_	_	
2-95	здесь	O	_	_	
2-96	в	O	_	_	
2-97	засаде	B-NC	_	_	
2-98	на	O	_	_	
2-99	диких	O	_	_	
2-100	уток	B-NC	Co-Hyponym	2-55	

#id=3
#text=-- Вам бы следовало окликнуть меня издали ! -- громко сказал он . -- Когда видишь ружье , всегда надо предупредить
3-1	--	O	_	_	
3-2	Вам	O	_	_	
3-3	бы	O	_	_	
3-4	следовало	O	_	_	
3-5	окликнуть	O	_	_	
3-6	меня	O	_	_	
3-7	издали	O	_	_	
3-8	!	O	_	_	
3-9	--	O	_	_	
3-10	громко	O	_	_	
3-11	сказал	O	_	_	
3-12	он	O	_	_	
3-13	.	O	_	_	
3-14	--	O	_	_	
3-15	Когда	O	_	_	
3-16	видишь	O	_	_	
3-17	ружье	B-NC	_	_	
3-18	,	O	_	_	
3-19	всегда	O	_	_	
3-20	надо	O	_	_	
3-21	предупредить	O	_	_	

#id=4
