 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Es war Arbeitsstunde . Da trat der Rektor ein , ihm zur Seite ein »Neuer« , in gewöhnlichem Anzuge . Der Pedell hinter den beiden , Schulstubengerät in den Händen . Alle Schüler erhoben sich von ihren Plätzen , wobei man so tat , als sei man aus seinen Studien aufgescheucht worden . Wer eingenickt war , fuhr mit auf
1-1	Es	O	_	_	
1-2	war	O	_	_	
1-3	Arbeitsstunde	B-NC	_	_	
1-4	.	O	_	_	
1-5	Da	O	_	_	
1-6	trat	O	_	_	
1-7	der	O	_	_	
1-8	Rektor	B-NC	_	_	
1-9	ein	O	_	_	
1-10	,	O	_	_	
1-11	ihm	O	_	_	
1-12	zur	O	_	_	
1-13	Seite	B-NC	_	_	
1-14	ein	O	_	_	
1-15	»Neuer«	B-NC	_	_	
1-16	,	O	_	_	
1-17	in	O	_	_	
1-18	gewöhnlichem	O	_	_	
1-19	Anzuge	B-NC	_	_	
1-20	.	O	_	_	
1-21	Der	O	_	_	
1-22	Pedell	B-NC	Co-Hyponym	1-8	
1-23	hinter	O	_	_	
1-24	den	O	_	_	
1-25	beiden	O	_	_	
1-26	,	O	_	_	
1-27	Schulstubengerät	B-NC	_	_	
1-28	in	O	_	_	
1-29	den	O	_	_	
1-30	Händen	B-NC	Holonym	1-22	
1-31	.	O	_	_	
1-32	Alle	O	_	_	
1-33	Schüler	B-NC	_	_	
1-34	erhoben	O	_	_	
1-35	sich	O	_	_	
1-36	von	O	_	_	
1-37	ihren	O	_	_	
1-38	Plätzen	B-NC	_	_	
1-39	,	O	_	_	
1-40	wobei	O	_	_	
1-41	man	O	_	_	
1-42	so	O	_	_	
1-43	tat	O	_	_	
1-44	,	O	_	_	
1-45	als	O	_	_	
1-46	sei	O	_	_	
1-47	man	O	_	_	
1-48	aus	O	_	_	
1-49	seinen	O	_	_	
1-50	Studien	B-NC	_	_	
1-51	aufgescheucht	O	_	_	
1-52	worden	O	_	_	
1-53	.	O	_	_	
1-54	Wer	O	_	_	
1-55	eingenickt	O	_	_	
1-56	war	O	_	_	
1-57	,	O	_	_	
1-58	fuhr	O	_	_	
1-59	mit	O	_	_	
1-60	auf	O	_	_	

#id=2
#text=Der Rektor winkte ab . Man setzte sich wieder hin . Darauf wandte er sich zu dem die Aufsicht führenden Lehrer
2-1	Der	O	_	_	
2-2	Rektor	B-NC	_	_	
2-3	winkte	O	_	_	
2-4	ab	O	_	_	
2-5	.	O	_	_	
2-6	Man	O	_	_	
2-7	setzte	O	_	_	
2-8	sich	O	_	_	
2-9	wieder	O	_	_	
2-10	hin	O	_	_	
2-11	.	O	_	_	
2-12	Darauf	O	_	_	
2-13	wandte	O	_	_	
2-14	er	O	_	_	
2-15	sich	O	_	_	
2-16	zu	O	_	_	
2-17	dem	O	_	_	
2-18	die	O	_	_	
2-19	Aufsicht	B-NC	_	_	
2-20	führenden	O	_	_	
2-21	Lehrer	B-NC	Co-Hyponym	2-2	

#id=3
#text=»Herr Roger ! « lispelte er . »Diesen neuen Zögling hier empfehle ich Ihnen besonders . Er kommt zunächst in die Quinta . Bei löblichem Fleiß und Betragen wird er aber in die Quarta versetzt , in die er seinem Alter nach gehört .
3-1	»Herr	B-NC	_	_	
3-2	Roger	B-NC	_	_	
3-3	!	O	_	_	
3-4	«	O	_	_	
3-5	lispelte	O	_	_	
3-6	er	O	_	_	
3-7	.	O	_	_	
3-8	»Diesen	O	_	_	
3-9	neuen	O	_	_	
3-10	Zögling	B-NC	_	_	
3-11	hier	O	_	_	
3-12	empfehle	O	_	_	
3-13	ich	O	_	_	
3-14	Ihnen	O	_	_	
3-15	besonders	O	_	_	
3-16	.	O	_	_	
3-17	Er	O	_	_	
3-18	kommt	O	_	_	
3-19	zunächst	O	_	_	
3-20	in	O	_	_	
3-21	die	O	_	_	
3-22	Quinta	B-NC	_	_	
3-23	.	O	_	_	
3-24	Bei	O	_	_	
3-25	löblichem	O	_	_	
3-26	Fleiß	B-NC	_	_	
3-27	und	O	_	_	
3-28	Betragen	B-NC	_	_	
3-29	wird	O	_	_	
3-30	er	O	_	_	
3-31	aber	O	_	_	
3-32	in	O	_	_	
3-33	die	O	_	_	
3-34	Quarta	B-NC	Co-Hyponym	3-22	
3-35	versetzt	O	_	_	
3-36	,	O	_	_	
3-37	in	O	_	_	
3-38	die	O	_	_	
3-39	er	O	_	_	
3-40	seinem	O	_	_	
3-41	Alter	B-NC	_	_	
3-42	nach	O	_	_	
3-43	gehört	O	_	_	
3-44	.	O	_	_	

#id=4
#text=Der Neuling blieb in dem Winkel hinter der Türe stehen . Man konnte ihn nicht ordentlich sehen , aber offenbar war er ein Bauernjunge , so ungefähr fünfzehn Jahre alt und größer als alle andern . Die Haare trug er mit Simpelfransen in die Stirn hinein , wie ein Dorfschulmeister . Sonst sah er gar nicht dumm aus , nur war er höchst verlegen . So schmächtig er war , beengte ihn sein grüner Tuchrock mit schwarzen Knöpfen doch sichtlich , und durch den Schlitz in den Ärmelaufschlägen schimmerten rote Handgelenke hervor , die zweifellos die freie Luft gewöhnt waren . Er hatte gelbbraune , durch die Träger übermäßig hochgezogene Hosen an und blaue Strümpfe . Seine Stiefel waren derb , schlecht gewichst und mit Nägeln beschlagen
4-1	Der	O	_	_	
4-2	Neuling	B-NC	_	_	
4-3	blieb	O	_	_	
4-4	in	O	_	_	
4-5	dem	O	_	_	
4-6	Winkel	B-NC	_	_	
4-7	hinter	O	_	_	
4-8	der	O	_	_	
4-9	Türe	B-NC	_	_	
4-10	stehen	O	_	_	
4-11	.	O	_	_	
4-12	Man	O	_	_	
4-13	konnte	O	_	_	
4-14	ihn	O	_	_	
4-15	nicht	O	_	_	
4-16	ordentlich	O	_	_	
4-17	sehen	O	_	_	
4-18	,	O	_	_	
4-19	aber	O	_	_	
4-20	offenbar	O	_	_	
4-21	war	O	_	_	
4-22	er	O	_	_	
4-23	ein	O	_	_	
4-24	Bauernjunge	B-NC	_	_	
4-25	,	O	_	_	
4-26	so	O	_	_	
4-27	ungefähr	O	_	_	
4-28	fünfzehn	O	_	_	
4-29	Jahre	B-NC	_	_	
4-30	alt	O	_	_	
4-31	und	O	_	_	
4-32	größer	O	_	_	
4-33	als	O	_	_	
4-34	alle	O	_	_	
4-35	andern	O	_	_	
4-36	.	O	_	_	
4-37	Die	O	_	_	
4-38	Haare	B-NC	_	_	
4-39	trug	O	_	_	
4-40	er	O	_	_	
4-41	mit	O	_	_	
4-42	Simpelfransen	B-NC	Hypernym	4-38	
4-43	in	O	_	_	
4-44	die	O	_	_	
4-45	Stirn	B-NC	_	_	
4-46	hinein	O	_	_	
4-47	,	O	_	_	
4-48	wie	O	_	_	
4-49	ein	O	_	_	
4-50	Dorfschulmeister	B-NC	_	_	
4-51	.	O	_	_	
4-52	Sonst	O	_	_	
4-53	sah	O	_	_	
4-54	er	O	_	_	
4-55	gar	O	_	_	
4-56	nicht	O	_	_	
4-57	dumm	O	_	_	
4-58	aus	O	_	_	
4-59	,	O	_	_	
4-60	nur	O	_	_	
4-61	war	O	_	_	
4-62	er	O	_	_	
4-63	höchst	O	_	_	
4-64	verlegen	O	_	_	
4-65	.	O	_	_	
4-66	So	O	_	_	
4-67	schmächtig	O	_	_	
4-68	er	O	_	_	
4-69	war	O	_	_	
4-70	,	O	_	_	
4-71	beengte	O	_	_	
4-72	ihn	O	_	_	
4-73	sein	O	_	_	
4-74	grüner	O	_	_	
