 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=We were in class when the head-master came in , followed by a "new fellow , "not wearing the school uniform , and a school servant carrying a large desk . Those who had been asleep woke up , and every one rose as if just surprised at his work
1-1	We	O	_	_	
1-2	were	O	_	_	
1-3	in	O	_	_	
1-4	class	B-NC	_	_	
1-5	when	O	_	_	
1-6	the	O	_	_	
1-7	head-master	B-NC	_	_	
1-8	came	O	_	_	
1-9	in	O	_	_	
1-10	,	O	_	_	
1-11	followed	O	_	_	
1-12	by	O	_	_	
1-13	a	O	_	_	
1-14	"new	O	_	_	
1-15	fellow	B-NC	Holonym	1-4	
1-16	,	O	_	_	
1-17	"not	O	_	_	
1-18	wearing	O	_	_	
1-19	the	O	_	_	
1-20	school	B-NC	_	_	
1-21	uniform	B-NC	_	_	
1-22	,	O	_	_	
1-23	and	O	_	_	
1-24	a	O	_	_	
1-25	school	B-NC|B-NC	Co-Hyponym	1-7	
1-26	servant	I-NC|B-NC	_	_	
1-27	carrying	O	_	_	
1-28	a	O	_	_	
1-29	large	O	_	_	
1-30	desk	B-NC	_	_	
1-31	.	O	_	_	
1-32	Those	O	_	_	
1-33	who	O	_	_	
1-34	had	O	_	_	
1-35	been	O	_	_	
1-36	asleep	O	_	_	
1-37	woke	O	_	_	
1-38	up	O	_	_	
1-39	,	O	_	_	
1-40	and	O	_	_	
1-41	every	O	_	_	
1-42	one	O	_	_	
1-43	rose	O	_	_	
1-44	as	O	_	_	
1-45	if	O	_	_	
1-46	just	O	_	_	
1-47	surprised	O	_	_	
1-48	at	O	_	_	
1-49	his	O	_	_	
1-50	work	B-NC	_	_	

#id=2
#text=The head-master made a sign to us to sit down . Then , turning to the class-master , he said to him in a low voice
2-1	The	O	_	_	
2-2	head-master	B-NC	_	_	
2-3	made	O	_	_	
2-4	a	O	_	_	
2-5	sign	B-NC	_	_	
2-6	to	O	_	_	
2-7	us	O	_	_	
2-8	to	O	_	_	
2-9	sit	O	_	_	
2-10	down	O	_	_	
2-11	.	O	_	_	
2-12	Then	O	_	_	
