 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Мы готовили уроки , когда вошел директор , а за ним новичок в штатском и служитель , который нес большую парту . Задремавшие проснулись , и все вскочили , словно только что оторвались от работы
1-1	Мы	O	_	_	
1-2	готовили	O	_	_	
1-3	уроки	B-NC	_	_	
1-4	,	O	_	_	
1-5	когда	O	_	_	
1-6	вошел	O	_	_	
1-7	директор	B-NC	_	_	
1-8	,	O	_	_	
1-9	а	O	_	_	
1-10	за	O	_	_	
1-11	ним	O	_	_	
1-12	новичок	B-NC	_	_	
1-13	в	O	_	_	
1-14	штатском	B-NC	_	_	
1-15	и	O	_	_	
1-16	служитель	B-NC	Co-Hyponym	1-7	
1-17	,	O	_	_	
1-18	который	O	_	_	
1-19	нес	O	_	_	
1-20	большую	O	_	_	
1-21	парту	B-NC	_	_	
1-22	.	O	_	_	
1-23	Задремавшие	O	_	_	
1-24	проснулись	O	_	_	
1-25	,	O	_	_	
1-26	и	O	_	_	
1-27	все	O	_	_	
1-28	вскочили	O	_	_	
1-29	,	O	_	_	
1-30	словно	O	_	_	
1-31	только	O	_	_	
1-32	что	O	_	_	
1-33	оторвались	O	_	_	
1-34	от	O	_	_	
1-35	работы	B-NC	Holonym	1-3	

#id=2
#text=Директор знаком велел нам садиться и вполголоса сказал воспитателю
2-1	Директор	B-NC	_	_	
2-2	знаком	O	_	_	
2-3	велел	O	_	_	
2-4	нам	O	_	_	
2-5	садиться	O	_	_	
2-6	и	O	_	_	
2-7	вполголоса	O	_	_	
2-8	сказал	O	_	_	
2-9	воспитателю	B-NC	Co-Hyponym	2-1	

#id=3
#text=-- Вот , господин Роже , рекомендую вам нового ученика . Он поступает в пятый класс , но , если заслужит своими успехами и поведением , перейдет в старшие , как ему подобает по возрасту
3-1	--	O	_	_	
3-2	Вот	O	_	_	
3-3	,	O	_	_	
3-4	господин	B-NC	_	_	
3-5	Роже	B-NC	_	_	
3-6	,	O	_	_	
3-7	рекомендую	O	_	_	
3-8	вам	O	_	_	
3-9	нового	O	_	_	
3-10	ученика	B-NC	_	_	
3-11	.	O	_	_	
3-12	Он	O	_	_	
3-13	поступает	O	_	_	
3-14	в	O	_	_	
3-15	пятый	O	_	_	
3-16	класс	B-NC	_	_	
3-17	,	O	_	_	
3-18	но	O	_	_	
3-19	,	O	_	_	
3-20	если	O	_	_	
3-21	заслужит	O	_	_	
3-22	своими	O	_	_	
3-23	успехами	B-NC	_	_	
3-24	и	O	_	_	
3-25	поведением	B-NC	_	_	
3-26	,	O	_	_	
3-27	перейдет	O	_	_	
3-28	в	O	_	_	
3-29	старшие	O	_	_	
3-30	,	O	_	_	
3-31	как	O	_	_	
3-32	ему	O	_	_	
3-33	подобает	O	_	_	
3-34	по	O	_	_	
3-35	возрасту	B-NC	_	_	

#id=4
#text=Новичок стоял в уголке за дверью , так что нам был еле виден . Это был деревенский мальчик лет пятнадцати , ростом выше нас всех . Волосы у него были подстрижены в кружок , как у сельского певчего ; вид степенный и очень смущенный . Хотя он был неширок в плечах , но зеленый суконный пиджачок с черными пуговицами явно жал ему в проймах . Из обшлагов высовывались красные , непривычные к перчаткам руки . Из-под высоко подтянутых на помочах панталон желтоватого цвета виднелись синие чулки . Башмаки были грубые , плохо вычищены , подбиты гвоздями
4-1	Новичок	B-NC	_	_	
4-2	стоял	O	_	_	
4-3	в	O	_	_	
4-4	уголке	B-NC	_	_	
4-5	за	O	_	_	
4-6	дверью	B-NC	_	_	
4-7	,	O	_	_	
4-8	так	O	_	_	
4-9	что	O	_	_	
4-10	нам	O	_	_	
4-11	был	O	_	_	
4-12	еле	O	_	_	
4-13	виден	O	_	_	
4-14	.	O	_	_	
4-15	Это	O	_	_	
4-16	был	O	_	_	
4-17	деревенский	O	_	_	
4-18	мальчик	B-NC	_	_	
4-19	лет	B-NC	_	_	
4-20	пятнадцати	O	_	_	
4-21	,	O	_	_	
4-22	ростом	B-NC	_	_	
4-23	выше	O	_	_	
4-24	нас	O	_	_	
4-25	всех	O	_	_	
4-26	.	O	_	_	
4-27	Волосы	B-NC	Holonym	4-18	
4-28	у	O	_	_	
4-29	него	O	_	_	
4-30	были	O	_	_	
4-31	подстрижены	O	_	_	
4-32	в	O	_	_	
4-33	кружок	B-NC	_	_	
4-34	,	O	_	_	
4-35	как	O	_	_	
4-36	у	O	_	_	
4-37	сельского	O	_	_	
4-38	певчего	B-NC	_	_	
4-39	;	O	_	_	
4-40	вид	B-NC	_	_	
4-41	степенный	O	_	_	
4-42	и	O	_	_	
4-43	очень	O	_	_	
4-44	смущенный	O	_	_	
4-45	.	O	_	_	
4-46	Хотя	O	_	_	
4-47	он	O	_	_	
4-48	был	O	_	_	
4-49	неширок	O	_	_	
4-50	в	O	_	_	
4-51	плечах	B-NC	Holonym|Co-Hyponym	4-18|4-27	
4-52	,	O	_	_	
4-53	но	O	_	_	
4-54	зеленый	O	_	_	
4-55	суконный	O	_	_	
4-56	пиджачок	B-NC	_	_	
4-57	с	O	_	_	
4-58	черными	O	_	_	
4-59	пуговицами	B-NC	Holonym	4-56	
4-60	явно	O	_	_	
4-61	жал	O	_	_	
4-62	ему	O	_	_	
4-63	в	O	_	_	
4-64	проймах	B-NC	Holonym	4-56	
4-65	.	O	_	_	
4-66	Из	O	_	_	
4-67	обшлагов	B-NC	Holonym	4-56	
4-68	высовывались	O	_	_	
4-69	красные	O	_	_	
4-70	,	O	_	_	
4-71	непривычные	O	_	_	
4-72	к	O	_	_	
4-73	перчаткам	B-NC	Co-Hyponym	4-56	
4-74	руки	B-NC	Holonym|Co-Hyponym	4-18|4-27	
4-75	.	O	_	_	
4-76	Из-под	B-NC	_	_	
4-77	высоко	O	_	_	
4-78	подтянутых	O	_	_	
4-79	на	O	_	_	
4-80	помочах	B-NC	Holonym	4-81	
4-81	панталон	B-NC	Co-Hyponym	4-56	
4-82	желтоватого	O	_	_	
4-83	цвета	B-NC	_	_	
4-84	виднелись	O	_	_	
4-85	синие	O	_	_	
4-86	чулки	B-NC	Co-Hyponym	4-56	
4-87	.	O	_	_	
4-88	Башмаки	B-NC	Co-Hyponym	4-56	
4-89	были	O	_	_	
4-90	грубые	O	_	_	
4-91	,	O	_	_	
4-92	плохо	O	_	_	
