 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Boxershorts sind kurze Hosen , die als Unterhosen getragen werden . Sie zählen zur Gruppe der Shorts und zur Unterwäsche . Sie sitzen locker am Körper und bedecken diesen von der Hüfte bis zum mittleren Oberschenkel . Meistens besitzen sie einen Eingriff , der mit Knöpfen verschlossen werden kann . Reißverschlüsse sind nicht üblich . Der obere Bund ist bei den meisten Modellen durchgehend und mit einem Gummizug versehen . Im unteren Teil sind zwei verschiedene Schnitte üblich : Eng anliegende mit Gummibündchen auch an den Beinen oder lose „ flatternde “ Hosen , die die Beine nicht dicht umschließen . [ 1 ] Der eng anliegende Schnitt ist eine Rückwärtsentwicklung in Richtung der älteren Unterhosentypen ( vgl. Retropants )
1-1	Boxershorts	B-NC	Hypernym	1-17	
1-2	sind	O	_	_	
1-3	kurze	O	_	_	
1-4	Hosen	B-NC	_	_	
1-5	,	O	_	_	
1-6	die	O	_	_	
1-7	als	O	_	_	
1-8	Unterhosen	B-NC	Hypernym|Hypernym	1-4|1-20	
1-9	getragen	O	_	_	
1-10	werden	O	_	_	
1-11	.	O	_	_	
1-12	Sie	O	_	_	
1-13	zählen	O	_	_	
1-14	zur	O	_	_	
1-15	Gruppe	B-NC	_	_	
1-16	der	O	_	_	
1-17	Shorts	B-NC	Hypernym|Hypernym	1-4|1-8	
1-18	und	O	_	_	
1-19	zur	O	_	_	
1-20	Unterwäsche	B-NC	_	_	
1-21	.	O	_	_	
1-22	Sie	O	_	_	
1-23	sitzen	O	_	_	
1-24	locker	O	_	_	
1-25	am	O	_	_	
1-26	Körper	B-NC	_	_	
1-27	und	O	_	_	
1-28	bedecken	O	_	_	
1-29	diesen	O	_	_	
1-30	von	O	_	_	
1-31	der	O	_	_	
1-32	Hüfte	B-NC	Holonym	1-26	
1-33	bis	O	_	_	
1-34	zum	O	_	_	
1-35	mittleren	O	_	_	
1-36	Oberschenkel	B-NC	Holonym	1-26	
1-37	.	O	_	_	
1-38	Meistens	O	_	_	
1-39	besitzen	O	_	_	
1-40	sie	O	_	_	
1-41	einen	O	_	_	
1-42	Eingriff	B-NC	Holonym	1-1	
1-43	,	O	_	_	
1-44	der	O	_	_	
1-45	mit	O	_	_	
1-46	Knöpfen	B-NC	Holonym	1-42	
1-47	verschlossen	O	_	_	
1-48	werden	O	_	_	
1-49	kann	O	_	_	
1-50	.	O	_	_	
1-51	Reißverschlüsse	B-NC	Holonym	1-42	
1-52	sind	O	_	_	
1-53	nicht	O	_	_	
1-54	üblich	O	_	_	
1-55	.	O	_	_	
1-56	Der	O	_	_	
1-57	obere	O	_	_	
1-58	Bund	B-NC	Holonym	1-4	
1-59	ist	O	_	_	
1-60	bei	O	_	_	
1-61	den	O	_	_	
1-62	meisten	O	_	_	
1-63	Modellen	B-NC	_	_	
1-64	durchgehend	O	_	_	
1-65	und	O	_	_	
1-66	mit	O	_	_	
1-67	einem	O	_	_	
1-68	Gummizug	B-NC	Holonym	1-58	
1-69	versehen	O	_	_	
1-70	.	O	_	_	
1-71	Im	O	_	_	
1-72	unteren	O	_	_	
1-73	Teil	B-NC	Holonym	1-15	
1-74	sind	O	_	_	
1-75	zwei	O	_	_	
1-76	verschiedene	O	_	_	
1-77	Schnitte	B-NC	Holonym	1-63	
1-78	üblich	O	_	_	
1-79	:	O	_	_	
1-80	Eng	O	_	_	
1-81	anliegende	O	_	_	
1-82	mit	O	_	_	
1-83	Gummibündchen	B-NC	Holonym	1-93	
1-84	auch	O	_	_	
1-85	an	O	_	_	
1-86	den	O	_	_	
1-87	Beinen	B-NC	_	_	
1-88	oder	O	_	_	
1-89	lose	O	_	_	
1-90	„	O	_	_	
1-91	flatternde	O	_	_	
1-92	“	O	_	_	
1-93	Hosen	B-NC	_	_	
1-94	,	O	_	_	
1-95	die	O	_	_	
1-96	die	O	_	_	
1-97	Beine	B-NC	_	_	
1-98	nicht	O	_	_	
1-99	dicht	O	_	_	
1-100	umschließen	O	_	_	
1-101	.	O	_	_	
1-102	[	O	_	_	
1-103	1	O	_	_	
1-104	]	O	_	_	
1-105	Der	O	_	_	
1-106	eng	O	_	_	
1-107	anliegende	O	_	_	
1-108	Schnitt	B-NC	Holonym	1-93	
1-109	ist	O	_	_	
1-110	eine	O	_	_	
1-111	Rückwärtsentwicklung	B-NC	_	_	
1-112	in	O	_	_	
1-113	Richtung	B-NC	_	_	
1-114	der	O	_	_	
1-115	älteren	O	_	_	
1-116	Unterhosentypen	B-NC	Hypernym	1-20	
1-117	(	O	_	_	
1-118	vgl.	O	_	_	
1-119	Retropants	B-NC	Hypernym|Hypernym	1-20|1-116	
1-120	)	O	_	_	

