 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Боксёры ( англ . Boxer shorts или boxers ; также «семейные» , «семейники» ) — тип мужского нижнего белья . Представляют собой свободные , необтягивающие трусы в виде шортов . Английский термин «Boxer shorts» введён в обиход в 1944 году[1 ]
1-1	Боксёры	B-NC	Hypernym	1-26	
1-2	(	O	_	_	
1-3	англ	O	_	_	
1-4	.	O	_	_	
1-5	Boxer	O	_	_	
1-6	shorts	O	_	_	
1-7	или	O	_	_	
1-8	boxers	O	_	_	
1-9	;	O	_	_	
1-10	также	O	_	_	
1-11	«семейные»	B-Text mistake	Synonym	1-1	
1-12	,	O	_	_	
1-13	«семейники»	B-NC	Synonym	1-1	
1-14	)	O	_	_	
1-15	—	O	_	_	
1-16	тип	B-NC	_	_	
1-17	мужского	O	_	_	
1-18	нижнего	B-NC	_	_	
1-19	белья	I-NC|B-NC	_	_	
1-20	.	O	_	_	
1-21	Представляют	O	_	_	
1-22	собой	O	_	_	
1-23	свободные	O	_	_	
1-24	,	O	_	_	
1-25	необтягивающие	O	_	_	
1-26	трусы	B-NC	Hypernym	1-18	
1-27	в	O	_	_	
1-28	виде	B-NC	Hypernym	1-16	
1-29	шортов	B-NC	Co-Hyponym	1-26	
1-30	.	O	_	_	
1-31	Английский	O	_	_	
1-32	термин	B-NC	_	_	
1-33	«Boxer	O	_	_	
1-34	shorts»	O	_	_	
1-35	введён	O	_	_	
1-36	в	O	_	_	
1-37	обиход	B-NC	_	_	
1-38	в	O	_	_	
1-39	1944	O	_	_	
1-40	году[1	B-NC	_	_	
1-41	]	O	_	_	

