 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Brust ( lateinisch pectus , Adjektiv pectoralis ) ist die vordere Hälfte des Rumpfes bei Wirbeltieren , beim aufrecht stehenden Menschen der obere Teil des Rumpfes
1-1	Die	O	_	_	
1-2	Brust	B-NC	Holonym|Holonym	1-22|1-15	
1-3	(	O	_	_	
1-4	lateinisch	O	_	_	
1-5	pectus	O	_	_	
1-6	,	O	_	_	
1-7	Adjektiv	B-NC	_	_	
1-8	pectoralis	B-NC	_	_	
1-9	)	O	_	_	
1-10	ist	O	_	_	
1-11	die	O	_	_	
1-12	vordere	O	_	_	
1-13	Hälfte	B-NC	_	_	
1-14	des	O	_	_	
1-15	Rumpfes	B-NC	Holonym	1-22	
1-16	bei	O	_	_	
1-17	Wirbeltieren	B-NC	_	_	
1-18	,	O	_	_	
1-19	beim	O	_	_	
1-20	aufrecht	O	_	_	
1-21	stehenden	O	_	_	
1-22	Menschen	B-NC	Hypernym	1-17	
1-23	der	O	_	_	
1-24	obere	O	_	_	
1-25	Teil	B-NC	_	_	
1-26	des	O	_	_	
1-27	Rumpfes	B-NC	_	_	

#id=2
#text=Die knöcherne Grundlage der Brust ist der Brustkorb ( Thorax ) , dieser umgibt die Brusthöhle ( Cavum thoracis ) mit den in ihr liegenden Organen . Der Brustkorb besteht aus der Brustwirbelsäule , den Rippen ( Costae ) und dem Brustbein ( Sternum ) . Der größte Muskel der Brust ist der große Brustmuskel ( Musculus pectoralis major ) . Der Lymphabfluss aus der Brust erfolgt vorwiegend über die Achsellymphknoten
2-1	Die	O	_	_	
2-2	knöcherne	O	_	_	
2-3	Grundlage	B-NC	_	_	
2-4	der	O	_	_	
2-5	Brust	B-NC	_	_	
2-6	ist	O	_	_	
2-7	der	O	_	_	
2-8	Brustkorb	B-NC	Holonym	2-5	
2-9	(	O	_	_	
2-10	Thorax	B-NC	Synonym	2-8	
2-11	)	O	_	_	
2-12	,	O	_	_	
2-13	dieser	O	_	_	
2-14	umgibt	O	_	_	
2-15	die	O	_	_	
2-16	Brusthöhle	B-NC	Holonym	2-5	
2-17	(	O	_	_	
2-18	Cavum	B-NC	_	_	
2-19	thoracis	B-NC	_	_	
2-20	)	O	_	_	
2-21	mit	O	_	_	
2-22	den	O	_	_	
2-23	in	O	_	_	
2-24	ihr	O	_	_	
2-25	liegenden	O	_	_	
2-26	Organen	B-NC	Holonym	2-16	
2-27	.	O	_	_	
2-28	Der	O	_	_	
2-29	Brustkorb	B-NC	_	_	
2-30	besteht	O	_	_	
2-31	aus	O	_	_	
2-32	der	O	_	_	
2-33	Brustwirbelsäule	B-NC	Holonym	2-29	
2-34	,	O	_	_	
2-35	den	O	_	_	
2-36	Rippen	B-NC	Holonym	2-29	
2-37	(	O	_	_	
2-38	Costae	B-NC	Synonym	2-36	
2-39	)	O	_	_	
2-40	und	O	_	_	
2-41	dem	O	_	_	
2-42	Brustbein	B-NC	Holonym	2-29	
2-43	(	O	_	_	
2-44	Sternum	B-NC	Synonym	2-42	
2-45	)	O	_	_	
2-46	.	O	_	_	
2-47	Der	O	_	_	
2-48	größte	O	_	_	
2-49	Muskel	B-NC	_	_	
2-50	der	O	_	_	
2-51	Brust	B-NC	_	_	
2-52	ist	O	_	_	
2-53	der	O	_	_	
2-54	große	O	_	_	
2-55	Brustmuskel	B-NC	Hypernym|Holonym	2-49|2-51	
2-56	(	O	_	_	
2-57	Musculus	B-NC	_	_	
2-58	pectoralis	B-NC	_	_	
2-59	major	O	_	_	
2-60	)	O	_	_	
2-61	.	O	_	_	
2-62	Der	O	_	_	
2-63	Lymphabfluss	B-NC	_	_	
2-64	aus	O	_	_	
2-65	der	O	_	_	
2-66	Brust	B-NC	_	_	
2-67	erfolgt	O	_	_	
2-68	vorwiegend	O	_	_	
2-69	über	O	_	_	
2-70	die	O	_	_	
2-71	Achsellymphknoten	B-NC	Holonym	2-66	

#id=3
#text=Der Begriff „ Brust “ wird auch für die Brust der Frau ( Mamma ) verwendet . Die Anordnung der Milchdrüse ( Glandula mammaria ) im Bereich der Brust ist jedoch nur für wenige Säugetiere typisch
3-1	Der	O	_	_	
3-2	Begriff	B-NC	_	_	
3-3	„	O	_	_	
3-4	Brust	B-NC	_	_	
3-5	“	O	_	_	
3-6	wird	O	_	_	
3-7	auch	O	_	_	
3-8	für	O	_	_	
3-9	die	O	_	_	
3-10	Brust	B-NC	Holonym	3-12	
3-11	der	O	_	_	
3-12	Frau	B-NC	Hypernym	3-35	
3-13	(	O	_	_	
3-14	Mamma	B-NC	Synonym	3-10	
3-15	)	O	_	_	
3-16	verwendet	O	_	_	
3-17	.	O	_	_	
3-18	Die	O	_	_	
3-19	Anordnung	B-NC	_	_	
3-20	der	O	_	_	
3-21	Milchdrüse	B-NC	Holonym|Holonym	3-35|3-29	
3-22	(	O	_	_	
3-23	Glandula	B-NC	_	_	
3-24	mammaria	B-NC	_	_	
3-25	)	O	_	_	
3-26	im	O	_	_	
3-27	Bereich	B-NC	_	_	
3-28	der	O	_	_	
3-29	Brust	B-NC	_	_	
3-30	ist	O	_	_	
3-31	jedoch	O	_	_	
3-32	nur	O	_	_	
3-33	für	O	_	_	
3-34	wenige	O	_	_	
3-35	Säugetiere	B-NC	_	_	
3-36	typisch	O	_	_	

