 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
1-2	thorax	B-NC	Holonym	1-25	
1-1	The	O	_	_	
#text=The thorax or chest ( Greek : θώραξ , Latin : thorax ) is a part of the anatomy of humans and various other animals located between the neck and the abdomen . [ 1][2]The thorax includes the thoracic cavity and the thoracic wall . It contains organs including the heart , lungs and thymus gland , as well as muscles and various other internal structures . Many diseases may affect the chest , and one of the most common symptoms is chest pain
1-3	or	O	_	_	
1-4	chest	B-NC	Synonym	1-2	
1-5	(	O	_	_	
1-6	Greek	B-NC	_	_	
1-7	:	O	_	_	
1-8	θώραξ	B-NC	_	_	
1-9	,	O	_	_	
1-10	Latin	B-NC	_	_	
1-11	:	O	_	_	
1-12	thorax	B-NC	_	_	
1-13	)	O	_	_	
1-14	is	O	_	_	
1-15	a	O	_	_	
1-16	part	B-NC	_	_	
1-17	of	O	_	_	
1-18	the	O	_	_	
1-19	anatomy	B-NC	_	_	
1-20	of	O	_	_	
1-21	humans	B-NC	Hypernym	1-25	
1-22	and	O	_	_	
1-23	various	O	_	_	
1-24	other	O	_	_	
1-25	animals	B-NC	_	_	
1-26	located	O	_	_	
1-27	between	O	_	_	
1-28	the	O	_	_	
1-29	neck	B-NC	Holonym	1-25	
1-30	and	O	_	_	
1-31	the	O	_	_	
1-32	abdomen	B-NC	Holonym	1-25	
1-33	.	O	_	_	
1-34	[	O	_	_	
1-35	1][2]The	O	_	_	
1-36	thorax	B-NC	_	_	
1-37	includes	O	_	_	
1-38	the	O	_	_	
1-39	thoracic	B-NC	Holonym	1-36	
1-40	cavity	I-NC|B-NC	_	_	
1-41	and	O	_	_	
1-42	the	O	_	_	
1-43	thoracic	B-NC	Holonym	1-36	
1-44	wall	I-NC|B-NC	_	_	
1-45	.	O	_	_	
1-46	It	O	_	_	
1-47	contains	O	_	_	
1-48	organs	B-NC	_	_	
1-49	including	O	_	_	
1-50	the	O	_	_	
1-51	heart	B-NC	Hypernym	1-48	
1-52	,	O	_	_	
1-53	lungs	B-NC	Hypernym	1-48	
1-54	and	O	_	_	
1-55	thymus	B-NC	Hypernym	1-48	
1-56	gland	I-NC	_	_	
1-57	,	O	_	_	
1-58	as	O	_	_	
1-59	well	O	_	_	
1-60	as	O	_	_	
1-61	muscles	B-NC	Holonym|Hypernym	1-36|1-66	
1-62	and	O	_	_	
1-63	various	O	_	_	
1-64	other	O	_	_	
1-65	internal	O	_	_	
1-66	structures	B-NC	_	_	
1-67	.	O	_	_	
1-68	Many	O	_	_	
1-69	diseases	B-NC	_	_	
1-70	may	O	_	_	
1-71	affect	O	_	_	
1-72	the	O	_	_	
1-73	chest	B-NC	Synonym	1-36	
1-74	,	O	_	_	
1-75	and	O	_	_	
1-76	one	O	_	_	
1-77	of	O	_	_	
1-78	the	O	_	_	
1-79	most	O	_	_	
1-80	common	O	_	_	
1-81	symptoms	B-NC	_	_	
1-82	is	O	_	_	
1-83	chest	B-NC	Hypernym	1-81	
1-84	pain	I-NC	_	_	
