 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Грудная клетка , грудь ( лат . Thorax ) — одна из частей туловища . Образуется грудиной , рёбрами , позвоночником , а также мышцами . Грудная клетка содержит в себе грудную полость ( Cavum thoracis ) , а также из-за изогнутости диафрагмы верхнюю часть брюшной полости . Укреплённая внутри и снаружи на грудной клетке дыхательная мускулатура обеспечивает дыхание у сухопутных позвоночных
1-1	Грудная	B-NC	Holonym	1-14	
1-2	клетка	I-NC|B-NC	_	_	
1-3	,	O	_	_	
1-4	грудь	B-NC	Synonym	1-1	
1-5	(	O	_	_	
1-6	лат	O	_	_	
1-7	.	O	_	_	
1-8	Thorax	O	_	_	
1-9	)	O	_	_	
1-10	—	O	_	_	
1-11	одна	O	_	_	
1-12	из	O	_	_	
1-13	частей	B-NC	_	_	
1-14	туловища	B-NC	_	_	
1-15	.	O	_	_	
1-16	Образуется	O	_	_	
1-17	грудиной	B-NC	Holonym	1-1	
1-18	,	O	_	_	
1-19	рёбрами	B-NC	Holonym	1-1	
1-20	,	O	_	_	
1-21	позвоночником	B-NC	Holonym	1-1	
1-22	,	O	_	_	
1-23	а	O	_	_	
1-24	также	O	_	_	
1-25	мышцами	B-NC	Holonym	1-1	
1-26	.	O	_	_	
1-27	Грудная	B-NC	_	_	
1-28	клетка	I-NC|B-NC	_	_	
1-29	содержит	O	_	_	
1-30	в	O	_	_	
1-31	себе	O	_	_	
1-32	грудную	B-NC	Holonym	1-27	
1-33	полость	I-NC|B-NC	_	_	
1-34	(	O	_	_	
1-35	Cavum	O	_	_	
1-36	thoracis	O	_	_	
1-37	)	O	_	_	
1-38	,	O	_	_	
1-39	а	O	_	_	
1-40	также	O	_	_	
1-41	из-за	B-NC	_	_	
1-42	изогнутости	B-NC	_	_	
1-43	диафрагмы	B-NC	Holonym	1-27	
1-44	верхнюю	O	_	_	
1-45	часть	B-NC	_	_	
1-46	брюшной	B-NC	Holonym	1-27	
1-47	полости	I-NC|B-NC	_	_	
1-48	.	O	_	_	
1-49	Укреплённая	O	_	_	
1-50	внутри	O	_	_	
1-51	и	O	_	_	
1-52	снаружи	O	_	_	
1-53	на	O	_	_	
1-54	грудной	O	_	_	
1-55	клетке	B-NC	_	_	
1-56	дыхательная	O	_	_	
1-57	мускулатура	B-NC	_	_	
1-58	обеспечивает	O	_	_	
1-59	дыхание	B-NC	_	_	
1-60	у	O	_	_	
1-61	сухопутных	O	_	_	
1-62	позвоночных	B-NC	_	_	

#id=2
#text=Грудная клетка по форме конус . Имеет два отверстия ( апертуры ) — верхнее и нижнее . Верхнее отверстие ограничено сзади телом I грудного позвонка , с боков — первыми ребрами , спереди рукояткой грудины . Через него в область шеи выступает верхушка легкого , а также проходят пищевод , трахея , сосуды и нервы . Нижнее отверстие больше верхнего , оно ограничено телом XII грудного позвонка , XI и XII ребрами и реберными дугами , мечевидным отростком и закрывается диафрагмой
2-1	Грудная	B-NC	_	_	
2-2	клетка	I-NC|B-NC	_	_	
2-3	по	O	_	_	
2-4	форме	B-NC	_	_	
2-5	конус	B-NC	Hypernym	2-4	
2-6	.	O	_	_	
2-7	Имеет	O	_	_	
2-8	два	O	_	_	
2-9	отверстия	B-NC	Holonym	2-1	
2-10	(	O	_	_	
2-11	апертуры	B-NC	Synonym	2-9	
2-12	)	O	_	_	
2-13	—	O	_	_	
2-14	верхнее	O	_	_	
2-15	и	O	_	_	
2-16	нижнее	O	_	_	
2-17	.	O	_	_	
2-18	Верхнее	O	_	_	
2-19	отверстие	B-NC	_	_	
2-20	ограничено	O	_	_	
2-21	сзади	O	_	_	
2-22	телом	B-NC|B-NC	Holonym	2-1	
2-23	I	I-NC	_	_	
2-24	грудного	I-NC|B-NC	_	_	
2-25	позвонка	I-NC|I-NC|B-NC	_	_	
2-26	,	O	_	_	
2-27	с	O	_	_	
2-28	боков	B-NC	_	_	
2-29	—	O	_	_	
2-30	первыми	O	_	_	
2-31	ребрами	B-NC	Holonym	2-1	
2-32	,	O	_	_	
2-33	спереди	O	_	_	
2-34	рукояткой	B-NC|B-NC	Holonym	2-1	
2-35	грудины	I-NC|B-NC	_	_	
2-36	.	O	_	_	
2-37	Через	O	_	_	
2-38	него	O	_	_	
2-39	в	O	_	_	
2-40	область	B-NC	_	_	
2-41	шеи	B-NC	Co-Hyponym	2-1	
2-42	выступает	O	_	_	
2-43	верхушка	B-NC|B-NC	Co-Hyponym	2-1	
