 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Washington D. C. ( Vereinigte Staaten ) , 28.10.2006 – US-Präsident George W. Bush hat am 27 . Oktober 2006 ein Gesetz zum Bau eines mehr als 1.000 Kilometer langen Zauns an der Grenze zwischen den Vereinigten Staaten und Mexiko unterzeichnet . Der Zaun soll die illegale Einwanderung aus Mexiko erschweren . Bei der Unterzeichnung des Gesetzes sagte Bush , die Vereinigten Staaten hätten in dem letzten Jahrzehnt leider keine vollständige Kontrolle über die Grenze gewährleisten können . In der letzten Zeit hat die illegale Einwanderung aus Mexiko ständig zugenommen , einigen Schätzungen zufolge leben zurzeit etwa 10 Millionen Mexikaner in den Vereinigten Staaten , unter ihnen vier Millionen illegal . Mexiko hat sich gegen den Bau eines Zaunes ausgesprochen
1-1	Washington	B-NC	_	_	
1-2	D.	B-NC	_	_	
1-3	C.	B-NC	_	_	
1-4	(	O	_	_	
1-5	Vereinigte	O	_	_	
1-6	Staaten	B-NC	_	_	
1-7	)	O	_	_	
1-8	,	O	_	_	
1-9	28.10.2006	O	_	_	
1-10	–	O	_	_	
1-11	US-Präsident	O	_	_	
1-12	George	B-NC	_	_	
1-13	W.	B-NC	_	_	
1-14	Bush	B-NC	_	_	
1-15	hat	O	_	_	
1-16	am	O	_	_	
1-17	27	O	_	_	
1-18	.	O	_	_	
1-19	Oktober	B-NC	_	_	
1-20	2006	O	_	_	
1-21	ein	O	_	_	
1-22	Gesetz	B-NC	Holonym	1-6	
1-23	zum	O	_	_	
1-24	Bau	B-NC	_	_	
1-25	eines	O	_	_	
1-26	mehr	O	_	_	
1-27	als	O	_	_	
1-28	1.000	O	_	_	
1-29	Kilometer	B-NC	_	_	
1-30	langen	O	_	_	
1-31	Zauns	B-NC	Hypernym	1-34	
1-32	an	O	_	_	
1-33	der	O	_	_	
1-34	Grenze	B-NC	Holonym	1-38	
1-35	zwischen	O	_	_	
1-36	den	O	_	_	
1-37	Vereinigten	O	_	_	
1-38	Staaten	B-NC	_	_	
1-39	und	O	_	_	
1-40	Mexiko	B-NC	_	_	
1-41	unterzeichnet	O	_	_	
1-42	.	O	_	_	
1-43	Der	O	_	_	
1-44	Zaun	B-NC	Hypernym	1-75	
1-45	soll	O	_	_	
1-46	die	O	_	_	
1-47	illegale	O	_	_	
1-48	Einwanderung	B-NC	_	_	
1-49	aus	O	_	_	
1-50	Mexiko	B-NC	_	_	
1-51	erschweren	O	_	_	
1-52	.	O	_	_	
1-53	Bei	O	_	_	
1-54	der	O	_	_	
1-55	Unterzeichnung	B-NC	_	_	
1-56	des	O	_	_	
1-57	Gesetzes	B-NC	Holonym	1-63	
1-58	sagte	O	_	_	
1-59	Bush	B-NC	_	_	
1-60	,	O	_	_	
1-61	die	O	_	_	
