 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Today U. S. President George W. Bush signed into law the Secure Fence Act of 2006 , a plan to build a 700 mile ( 1,125 kilometer ) fence between the United States and Mexico , to prevent illegal immigration . Mexico has expressed strong opposition to the fence , which covers about one third of the total border length
1-1	Today	B-NC	_	_	
1-2	U.	B-NC	_	_	
1-3	S.	B-NC	_	_	
1-4	President	B-NC	_	_	
1-5	George	B-NC	_	_	
1-6	W.	B-NC	_	_	
1-7	Bush	B-NC	_	_	
1-8	signed	O	_	_	
1-9	into	O	_	_	
1-10	law	B-NC	_	_	
1-11	the	O	_	_	
1-12	Secure	B-NC	_	_	
1-13	Fence	B-NC	_	_	
1-14	Act	B-NC	_	_	
1-15	of	O	_	_	
1-16	2006	O	_	_	
1-17	,	O	_	_	
1-18	a	O	_	_	
1-19	plan	B-NC	_	_	
1-20	to	O	_	_	
1-21	build	O	_	_	
1-22	a	O	_	_	
1-23	700	O	_	_	
1-24	mile	B-NC	_	_	
1-25	(	O	_	_	
1-26	1,125	O	_	_	
1-27	kilometer	B-NC	_	_	
1-28	)	O	_	_	
1-29	fence	B-NC	_	_	
1-30	between	O	_	_	
1-31	the	O	_	_	
1-32	United	B-NC	_	_	
1-33	States	B-NC	_	_	
1-34	and	O	_	_	
1-35	Mexico	B-NC	_	_	
1-36	,	O	_	_	
1-37	to	O	_	_	
1-38	prevent	O	_	_	
1-39	illegal	O	_	_	
1-40	immigration	B-NC	_	_	
1-41	.	O	_	_	
1-42	Mexico	B-NC	_	_	
1-43	has	O	_	_	
1-44	expressed	O	_	_	
1-45	strong	O	_	_	
1-46	opposition	B-NC	_	_	
1-47	to	O	_	_	
1-48	the	O	_	_	
1-49	fence	B-NC	Hypernym	1-59	
1-50	,	O	_	_	
1-51	which	O	_	_	
1-52	covers	O	_	_	
1-53	about	O	_	_	
1-54	one	O	_	_	
1-55	third	B-NC	_	_	
1-56	of	O	_	_	
1-57	the	O	_	_	
1-58	total	O	_	_	
1-59	border	B-NC	_	_	
1-60	length	B-NC	_	_	

#id=2
#text=" Unfortunately , the United States has not been in complete control of its borders for decades and therefore illegal immigration has been on the rise , " Bush was quoted saying . " Ours is a nation of immigrants . We 're also a nation of law ... We have a responsibility to address these challenges . We have a responsibility to enforce our laws . We have a responsibility to secure our borders . We take this responsibility seriously , " the President explained
2-1	"	O	_	_	
2-2	Unfortunately	O	_	_	
2-3	,	O	_	_	
2-4	the	O	_	_	
2-5	United	B-NC	_	_	
2-6	States	B-NC	_	_	
2-7	has	O	_	_	
2-8	not	O	_	_	
2-9	been	O	_	_	
2-10	in	O	_	_	
2-11	complete	O	_	_	
2-12	control	B-NC	_	_	
2-13	of	O	_	_	
2-14	its	O	_	_	
2-15	borders	B-NC	Holonym	2-38	
2-16	for	O	_	_	
2-17	decades	B-NC	_	_	
2-18	and	O	_	_	
2-19	therefore	O	_	_	
2-20	illegal	O	_	_	
2-21	immigration	B-NC	Hypernym	2-57	
2-22	has	O	_	_	
2-23	been	O	_	_	
2-24	on	O	_	_	
2-25	the	O	_	_	
2-26	rise	B-NC	_	_	
2-27	,	O	_	_	
2-28	"	O	_	_	
2-29	Bush	B-NC	_	_	
2-30	was	O	_	_	
2-31	quoted	O	_	_	
2-32	saying	O	_	_	
2-33	.	O	_	_	
2-34	"	O	_	_	
2-35	Ours	O	_	_	
2-36	is	O	_	_	
2-37	a	O	_	_	
2-38	nation	B-NC	_	_	
2-39	of	O	_	_	
2-40	immigrants	B-NC	_	_	
2-41	.	O	_	_	
2-42	We	O	_	_	
2-43	're	O	_	_	
2-44	also	O	_	_	
2-45	a	O	_	_	
2-46	nation	B-NC	_	_	
2-47	of	O	_	_	
2-48	law	B-NC	Hypernym	2-12	
2-49	...	O	_	_	
2-50	We	O	_	_	
2-51	have	O	_	_	
2-52	a	O	_	_	
2-53	responsibility	B-NC	_	_	
2-54	to	O	_	_	
2-55	address	O	_	_	
2-56	these	O	_	_	
2-57	challenges	B-NC	_	_	
2-58	.	O	_	_	
2-59	We	O	_	_	
2-60	have	O	_	_	
2-61	a	O	_	_	
2-62	responsibility	B-NC	_	_	
2-63	to	O	_	_	
2-64	enforce	O	_	_	
2-65	our	O	_	_	
2-66	laws	B-NC	_	_	
2-67	.	O	_	_	
2-68	We	O	_	_	
2-69	have	O	_	_	
2-70	a	O	_	_	
2-71	responsibility	B-NC	_	_	
2-72	to	O	_	_	
2-73	secure	O	_	_	
2-74	our	O	_	_	
2-75	borders	B-NC	_	_	
2-76	.	O	_	_	
2-77	We	O	_	_	
2-78	take	O	_	_	
2-79	this	O	_	_	
2-80	responsibility	B-NC	_	_	
2-81	seriously	O	_	_	
2-82	,	O	_	_	
2-83	"	O	_	_	
2-84	the	O	_	_	
2-85	President	O	_	_	
2-86	explained	O	_	_	

#id=3
#text=Congress passed the bill last month with a convincing majority , but the signing has been delayed until now , 12 days before the mid-term elections in the U. S. Yesterday the president already envisioned funding and manpower increases for border control , and extra beds to counter the " catch-and-release at our southern border "
3-1	Congress	B-NC	_	_	
3-2	passed	O	_	_	
3-3	the	O	_	_	
3-4	bill	B-NC	_	_	
3-5	last	O	_	_	
3-6	month	B-NC	_	_	
3-7	with	O	_	_	
3-8	a	O	_	_	
3-9	convincing	O	_	_	
3-10	majority	B-NC	_	_	
3-11	,	O	_	_	
3-12	but	O	_	_	
3-13	the	O	_	_	
3-14	signing	B-NC	_	_	
3-15	has	O	_	_	
3-16	been	O	_	_	
3-17	delayed	O	_	_	
3-18	until	O	_	_	
3-19	now	O	_	_	
3-20	,	O	_	_	
3-21	12	O	_	_	
3-22	days	B-NC	_	_	
3-23	before	O	_	_	
3-24	the	O	_	_	
3-25	mid-term	B-NC	_	_	
3-26	elections	B-NC	_	_	
3-27	in	O	_	_	
3-28	the	O	_	_	
3-29	U.	B-NC	_	_	
3-30	S.	B-NC	_	_	
3-31	Yesterday	B-NC	_	_	
3-32	the	O	_	_	
3-33	president	B-NC	_	_	
3-34	already	O	_	_	
3-35	envisioned	O	_	_	
3-36	funding	B-NC	_	_	
3-37	and	O	_	_	
3-38	manpower	B-NC	_	_	
3-39	increases	B-NC	_	_	
3-40	for	O	_	_	
3-41	border	B-NC	_	_	
3-42	control	B-NC	_	_	
3-43	,	O	_	_	
3-44	and	O	_	_	
3-45	extra	O	_	_	
3-46	beds	B-NC	_	_	
3-47	to	O	_	_	
3-48	counter	O	_	_	
3-49	the	O	_	_	
3-50	"	O	_	_	
3-51	catch-and-release	B-NC	_	_	
3-52	at	O	_	_	
3-53	our	O	_	_	
3-54	southern	O	_	_	
3-55	border	B-NC	_	_	
3-56	"	O	_	_	

#id=4
#text=Earlier this month , Bush arranged a $1.2 billion budget for the fence , along with cameras , sensors , satellites and other security measures , to create a " 21st-century " border — but the fence alone is roughly estimated to cost twice that amount . A U. S. poll this week showed that there are more Americans in favor of an increased number of Border Patrol agents , while less then half of those questioned agreed with the fence
4-1	Earlier	B-NC	_	_	
4-2	this	O	_	_	
4-3	month	B-NC	_	_	
4-4	,	O	_	_	
4-5	Bush	B-NC	_	_	
4-6	arranged	O	_	_	
4-7	a	O	_	_	
4-8	$1.2	O	_	_	
4-9	billion	O	_	_	
4-10	budget	B-NC	_	_	
4-11	for	O	_	_	
4-12	the	O	_	_	
4-13	fence	B-NC	_	_	
4-14	,	O	_	_	
4-15	along	O	_	_	
4-16	with	O	_	_	
4-17	cameras	B-NC	_	_	
4-18	,	O	_	_	
4-19	sensors	B-NC	Co-Hyponym	4-17	
4-20	,	O	_	_	
4-21	satellites	B-NC	Co-Hyponym	4-19	
4-22	and	O	_	_	
4-23	other	O	_	_	
4-24	security	B-NC|B-NC	_	_	
4-25	measures	I-NC|B-NC	_	_	
4-26	,	O	_	_	
4-27	to	O	_	_	
4-28	create	O	_	_	
4-29	a	O	_	_	
4-30	"	O	_	_	
4-31	21st-century	O	_	_	
4-32	"	O	_	_	
4-33	border	B-NC	_	_	
4-34	—	O	_	_	
4-35	but	O	_	_	
4-36	the	O	_	_	
4-37	fence	B-NC	Hypernym	4-33	
4-38	alone	O	_	_	
4-39	is	O	_	_	
4-40	roughly	O	_	_	
4-41	estimated	O	_	_	
4-42	to	O	_	_	
4-43	cost	O	_	_	
4-44	twice	O	_	_	
4-45	that	O	_	_	
4-46	amount	B-NC	_	_	
4-47	.	O	_	_	
4-48	A	O	_	_	
4-49	U.	B-NC	_	_	
4-50	S.	B-NC	_	_	
4-51	poll	B-NC	_	_	
4-52	this	O	_	_	
4-53	week	B-NC	_	_	
4-54	showed	O	_	_	
4-55	that	O	_	_	
4-56	there	O	_	_	
4-57	are	O	_	_	
4-58	more	O	_	_	
4-59	Americans	B-NC	_	_	
4-60	in	O	_	_	
4-61	favor	B-NC	_	_	
4-62	of	O	_	_	
4-63	an	O	_	_	
4-64	increased	O	_	_	
4-65	number	B-NC	_	_	
4-66	of	O	_	_	
4-67	Border	B-NC	_	_	
4-68	Patrol	B-NC	_	_	
4-69	agents	B-NC	_	_	
4-70	,	O	_	_	
4-71	while	O	_	_	
4-72	less	O	_	_	
4-73	then	O	_	_	
4-74	half	O	_	_	
4-75	of	O	_	_	
4-76	those	O	_	_	
4-77	questioned	O	_	_	
4-78	agreed	O	_	_	
4-79	with	O	_	_	
4-80	the	O	_	_	
4-81	fence	B-NC	_	_	

#id=5
#text=According to the BBC , about 10 million Mexicans live in the U. S. , and about four million of them are estimated to be illegal . Though , since illegal immigrants are not registered in any official sense , this number may be much higher , and other figures have circulated in the press . Bush has declared he will attempt to counter " widespread document fraud " , and opposes the idea of granting illegals who work in the U. S. quick citizenship , or amnesty . According to Bush , " There is a rational middle ground between granting an automatic path to citizenship for every illegal immigrant and a program of mass deportation , and I look forward to working with Congress to find that middle ground .
5-1	According	O	_	_	
5-2	to	O	_	_	
5-3	the	O	_	_	
5-4	BBC	B-NC	_	_	
5-5	,	O	_	_	
5-6	about	O	_	_	
5-7	10	O	_	_	
5-8	million	O	_	_	
5-9	Mexicans	B-NC	_	_	
5-10	live	O	_	_	
5-11	in	O	_	_	
5-12	the	O	_	_	
5-13	U.	B-NC	_	_	
5-14	S.	B-NC	_	_	
5-15	,	O	_	_	
5-16	and	O	_	_	
5-17	about	O	_	_	
5-18	four	O	_	_	
5-19	million	O	_	_	
5-20	of	O	_	_	
5-21	them	O	_	_	
5-22	are	O	_	_	
5-23	estimated	O	_	_	
5-24	to	O	_	_	
5-25	be	O	_	_	
5-26	illegal	O	_	_	
5-27	.	O	_	_	
5-28	Though	O	_	_	
5-29	,	O	_	_	
5-30	since	O	_	_	
5-31	illegal	O	_	_	
5-32	immigrants	B-NC	_	_	
5-33	are	O	_	_	
5-34	not	O	_	_	
5-35	registered	O	_	_	
5-36	in	O	_	_	
