 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Кэтсьют или кэтсьюит ( англ . Catsuit — букв . костюм кошки ) — предмет одежды в виде разновидности комбинезона ( иногда с капюшоном или маской ) плотно облегающего тело[1 ] . Обычно изготавливается из латекса , винила , стрейч - кожи , лайкры , спандекса , бифлекса и других эластичных тканей и материалов . В качестве базового принято считать кэтсьют , покрывающий туловище , руки и ноги , за исключением кистей рук и ступней ног . Однако , имеются модели с добавленными перчатками , чулками и масками и капюшоном . Застёжка - молния может располагаться спереди ( с двумя - тремя бегунками , от копчика через пах до верха воротника ) или сзади ( с двумя - тремя бегунками , от пупка через пах до верха воротника )
1-1	Кэтсьют	B-NC	Hypernym	1-20	
1-2	или	O	_	_	
1-3	кэтсьюит	B-NC	Synonym	1-1	
1-4	(	O	_	_	
1-5	англ	O	_	_	
1-6	.	O	_	_	
1-7	Catsuit	O	_	_	
1-8	—	O	_	_	
1-9	букв	B-NC	_	_	
1-10	.	O	_	_	
1-11	костюм	B-NC	_	_	
1-12	кошки	B-NC	_	_	
1-13	)	O	_	_	
1-14	—	O	_	_	
1-15	предмет	B-NC	_	_	
1-16	одежды	B-NC	_	_	
1-17	в	O	_	_	
1-18	виде	B-NC	_	_	
1-19	разновидности	B-NC	_	_	
1-20	комбинезона	B-NC	Hypernym	1-16	
1-21	(	O	_	_	
1-22	иногда	O	_	_	
1-23	с	O	_	_	
1-24	капюшоном	B-NC	Holonym	1-16	
1-25	или	O	_	_	
1-26	маской	B-NC	Holonym	1-16	
1-27	)	O	_	_	
1-28	плотно	O	_	_	
1-29	облегающего	O	_	_	
1-30	тело[1	B-Text mistake	_	_	
1-31	]	O	_	_	
1-32	.	O	_	_	
1-33	Обычно	O	_	_	
1-34	изготавливается	O	_	_	
1-35	из	O	_	_	
1-36	латекса	B-NC	Hypernym	1-52	
1-37	,	O	_	_	
1-38	винила	B-NC	Hypernym	1-52	
1-39	,	O	_	_	
1-40	стрейч	B-NC	Hypernym	1-52	
1-41	-	I-NC	_	_	
1-42	кожи	I-NC|B-NC	_	_	
1-43	,	O	_	_	
1-44	лайкры	B-NC	Hypernym	1-52	
1-45	,	O	_	_	
1-46	спандекса	B-NC	Hypernym	1-52	
1-47	,	O	_	_	
1-48	бифлекса	B-NC	Hypernym	1-52	
1-49	и	O	_	_	
1-50	других	O	_	_	
1-51	эластичных	O	_	_	
1-52	тканей	B-NC	_	_	
1-53	и	O	_	_	
1-54	материалов	B-NC	_	_	
1-55	.	O	_	_	
1-56	В	O	_	_	
1-57	качестве	B-NC	_	_	
1-58	базового	O	_	_	
1-59	принято	O	_	_	
1-60	считать	O	_	_	
1-61	кэтсьют	B-NC	_	_	
1-62	,	O	_	_	
1-63	покрывающий	O	_	_	
1-64	туловище	B-NC	Holonym	1-30	
1-65	,	O	_	_	
1-66	руки	B-NC	Holonym	1-30	
1-67	и	O	_	_	
1-68	ноги	B-NC	Holonym	1-30	
1-69	,	O	_	_	
1-70	за	O	_	_	
1-71	исключением	B-NC	_	_	
1-72	кистей	B-NC|B-NC	Holonym|Holonym	1-30|1-73	
1-73	рук	I-NC|B-NC	_	_	
1-74	и	O	_	_	
1-75	ступней	B-NC|B-NC	Holonym|Holonym	1-30|1-76	
1-76	ног	I-NC|B-NC	_	_	
1-77	.	O	_	_	
1-78	Однако	O	_	_	
1-79	,	O	_	_	
1-80	имеются	O	_	_	
1-81	модели	B-NC	_	_	
1-82	с	O	_	_	
1-83	добавленными	O	_	_	
1-84	перчатками	B-NC	Holonym	1-61	
1-85	,	O	_	_	
1-86	чулками	B-NC	Holonym	1-61	
1-87	и	O	_	_	
1-88	масками	B-NC	Holonym	1-61	
1-89	и	O	_	_	
1-90	капюшоном	B-NC	Holonym	1-61	
1-91	.	O	_	_	
1-92	Застёжка	B-NC|B-NC	Holonym	1-61	
1-93	-	I-NC	_	_	
1-94	молния	I-NC|B-NC	_	_	
1-95	может	O	_	_	
1-96	располагаться	O	_	_	
1-97	спереди	O	_	_	
1-98	(	O	_	_	
1-99	с	O	_	_	
1-100	двумя	O	_	_	
1-101	-	O	_	_	
1-102	тремя	O	_	_	
1-103	бегунками	B-NC	Holonym	1-92	
1-104	,	O	_	_	
1-105	от	O	_	_	
1-106	копчика	B-NC	Holonym	1-30	
1-107	через	O	_	_	
1-108	пах	B-NC	Holonym	1-30	
1-109	до	O	_	_	
1-110	верха	B-NC	_	_	
1-111	воротника	B-NC	Holonym	1-61	
1-112	)	O	_	_	
1-113	или	O	_	_	
1-114	сзади	O	_	_	
1-115	(	O	_	_	
1-116	с	O	_	_	
1-117	двумя	O	_	_	
1-118	-	O	_	_	
1-119	тремя	O	_	_	
1-120	бегунками	B-NC	_	_	
1-121	,	O	_	_	
1-122	от	O	_	_	
1-123	пупка	B-NC	_	_	
1-124	через	O	_	_	
1-125	пах	B-NC	_	_	
1-126	до	O	_	_	
1-127	верха	B-NC	_	_	
1-128	воротника	B-NC	_	_	
1-129	)	O	_	_	

