 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Kaschtanka sprang über die Barriere , dann über die Schulter irgend jemandes und befand sich in einer Loge . Um in den nächsten Rang zu gelangen , mußte man über eine hohe Wand springen . Kaschtanka sprang , aber zu kurz , und rutschte längs der Wand zurück . Darauf ging er von Hand zu Hand , leckte irgend welche Gesichter und Hände , kam immer höher und höher und gelangte endlich auf die Galerie . .
1-1	Kaschtanka	B-NC	_	_	
1-2	sprang	O	_	_	
1-3	über	O	_	_	
1-4	die	O	_	_	
1-5	Barriere	B-NC	_	_	
1-6	,	O	_	_	
1-7	dann	O	_	_	
1-8	über	O	_	_	
1-9	die	O	_	_	
1-10	Schulter	B-NC	_	_	
1-11	irgend	O	_	_	
1-12	jemandes	O	_	_	
1-13	und	O	_	_	
1-14	befand	O	_	_	
1-15	sich	O	_	_	
1-16	in	O	_	_	
1-17	einer	O	_	_	
1-18	Loge	B-NC	_	_	
1-19	.	O	_	_	
1-20	Um	O	_	_	
1-21	in	O	_	_	
1-22	den	O	_	_	
1-23	nächsten	O	_	_	
1-24	Rang	B-NC	Co-Hyponym	1-18	
1-25	zu	O	_	_	
1-26	gelangen	O	_	_	
1-27	,	O	_	_	
1-28	mußte	O	_	_	
1-29	man	O	_	_	
1-30	über	O	_	_	
1-31	eine	O	_	_	
1-32	hohe	O	_	_	
1-33	Wand	B-NC	Hypernym	1-5	
1-34	springen	O	_	_	
1-35	.	O	_	_	
1-36	Kaschtanka	B-NC	_	_	
1-37	sprang	O	_	_	
1-38	,	O	_	_	
1-39	aber	O	_	_	
1-40	zu	O	_	_	
1-41	kurz	O	_	_	
1-42	,	O	_	_	
1-43	und	O	_	_	
1-44	rutschte	O	_	_	
1-45	längs	O	_	_	
1-46	der	O	_	_	
1-47	Wand	B-NC	_	_	
1-48	zurück	O	_	_	
1-49	.	O	_	_	
1-50	Darauf	O	_	_	
1-51	ging	O	_	_	
1-52	er	O	_	_	
1-53	von	O	_	_	
1-54	Hand	B-NC	Co-Hyponym	1-10	
1-55	zu	O	_	_	
1-56	Hand	B-NC	_	_	
1-57	,	O	_	_	
1-58	leckte	O	_	_	
1-59	irgend	O	_	_	
1-60	welche	O	_	_	
1-61	Gesichter	B-NC	Co-Hyponym	1-10	
1-62	und	O	_	_	
1-63	Hände	B-NC	_	_	
1-64	,	O	_	_	
1-65	kam	O	_	_	
1-66	immer	O	_	_	
1-67	höher	O	_	_	
1-68	und	O	_	_	
1-69	höher	O	_	_	
1-70	und	O	_	_	
1-71	gelangte	O	_	_	
1-72	endlich	O	_	_	
1-73	auf	O	_	_	
1-74	die	O	_	_	
1-75	Galerie	B-NC	Co-Hyponym	1-18	
1-76	.	O	_	_	
1-77	.	O	_	_	

#id=2
#text=Eine halbe Stunde später lief Kaschtanka auf der Straße hinter zwei Menschen her , die nach Leim und Lack rochen . Der Tischler Luka Alexandritsch schwankte und hielt sich instinktiv , durch Erfahrung belehrt , möglichst weit von der Straßenrinne
2-1	Eine	O	_	_	
2-2	halbe	O	_	_	
2-3	Stunde	B-NC	_	_	
2-4	später	O	_	_	
2-5	lief	O	_	_	
2-6	Kaschtanka	B-NC	_	_	
2-7	auf	O	_	_	
2-8	der	O	_	_	
2-9	Straße	B-NC	_	_	
2-10	hinter	O	_	_	
2-11	zwei	O	_	_	
2-12	Menschen	B-NC	_	_	
2-13	her	O	_	_	
2-14	,	O	_	_	
2-15	die	O	_	_	
2-16	nach	O	_	_	
2-17	Leim	B-NC	_	_	
2-18	und	O	_	_	
2-19	Lack	B-NC	Co-Hyponym	2-17	
2-20	rochen	O	_	_	
2-21	.	O	_	_	
2-22	Der	O	_	_	
2-23	Tischler	B-NC	Hypernym	2-12	
2-24	Luka	B-NC	_	_	
2-25	Alexandritsch	B-NC	_	_	
2-26	schwankte	O	_	_	
2-27	und	O	_	_	
2-28	hielt	O	_	_	
2-29	sich	O	_	_	
2-30	instinktiv	O	_	_	
2-31	,	O	_	_	
2-32	durch	O	_	_	
2-33	Erfahrung	B-NC	_	_	
2-34	belehrt	O	_	_	
2-35	,	O	_	_	
2-36	möglichst	O	_	_	
2-37	weit	O	_	_	
2-38	von	O	_	_	
2-39	der	O	_	_	
2-40	Straßenrinne	B-NC	Holonym	2-9	

#id=3
#text=»Im Pfuhle des Lasters gehe ich unter . . . « murmelte er . »Und Du , Kaschtanka , bist ein Mißverständnis . Im Vergleich zu uns Menschen bist Du so . . . so wie ein Zimmermann im Vergleich zum Tischler . . .
3-1	»Im	B-NC	_	_	
3-2	Pfuhle	B-NC	_	_	
3-3	des	O	_	_	
3-4	Lasters	B-NC	_	_	
3-5	gehe	O	_	_	
3-6	ich	O	_	_	
3-7	unter	O	_	_	
3-8	.	O	_	_	
3-9	.	O	_	_	
3-10	.	O	_	_	
3-11	«	O	_	_	
3-12	murmelte	O	_	_	
3-13	er	O	_	_	
3-14	.	O	_	_	
3-15	»Und	B-NC	_	_	
3-16	Du	O	_	_	
3-17	,	O	_	_	
3-18	Kaschtanka	B-NC	_	_	
3-19	,	O	_	_	
3-20	bist	O	_	_	
3-21	ein	O	_	_	
3-22	Mißverständnis	B-NC	_	_	
3-23	.	O	_	_	
3-24	Im	O	_	_	
3-25	Vergleich	B-NC	_	_	
3-26	zu	O	_	_	
3-27	uns	O	_	_	
3-28	Menschen	B-NC	_	_	
3-29	bist	O	_	_	
3-30	Du	O	_	_	
3-31	so	O	_	_	
3-32	.	O	_	_	
3-33	.	O	_	_	
3-34	.	O	_	_	
3-35	so	O	_	_	
3-36	wie	O	_	_	
3-37	ein	O	_	_	
3-38	Zimmermann	B-NC	_	_	
3-39	im	O	_	_	
3-40	Vergleich	B-NC	_	_	
3-41	zum	O	_	_	
3-42	Tischler	B-NC	Co-Hyponym	3-38	
3-43	.	O	_	_	
3-44	.	O	_	_	
3-45	.	O	_	_	

#id=4
#text=Neben ihm schritt Fedjuschka einher , in der alten Mütze des Vaters . Kaschtanka blickte ihnen beiden auf den Rücken , und es war ihm , als ginge er schon lange hinter ihnen her , und als wäre sein Leben nicht einen Augenblick unterbrochen worden . .
4-1	Neben	O	_	_	
4-2	ihm	O	_	_	
4-3	schritt	O	_	_	
4-4	Fedjuschka	B-NC	_	_	
4-5	einher	O	_	_	
4-6	,	O	_	_	
4-7	in	O	_	_	
4-8	der	O	_	_	
4-9	alten	O	_	_	
4-10	Mütze	B-NC	_	_	
4-11	des	O	_	_	
4-12	Vaters	B-NC	_	_	
4-13	.	O	_	_	
4-14	Kaschtanka	B-NC	_	_	
4-15	blickte	O	_	_	
4-16	ihnen	O	_	_	
4-17	beiden	O	_	_	
4-18	auf	O	_	_	
4-19	den	O	_	_	
4-20	Rücken	B-NC	Holonym	4-12	
4-21	,	O	_	_	
4-22	und	O	_	_	
4-23	es	O	_	_	
4-24	war	O	_	_	
4-25	ihm	O	_	_	
4-26	,	O	_	_	
4-27	als	O	_	_	
4-28	ginge	O	_	_	
4-29	er	O	_	_	
4-30	schon	O	_	_	
4-31	lange	O	_	_	
4-32	hinter	O	_	_	
4-33	ihnen	O	_	_	
4-34	her	O	_	_	
4-35	,	O	_	_	
4-36	und	O	_	_	
4-37	als	O	_	_	
4-38	wäre	O	_	_	
4-39	sein	O	_	_	
4-40	Leben	B-NC	_	_	
4-41	nicht	O	_	_	
4-42	einen	O	_	_	
4-43	Augenblick	B-NC	_	_	
4-44	unterbrochen	O	_	_	
4-45	worden	O	_	_	
4-46	.	O	_	_	
4-47	.	O	_	_	

#id=5
#text=Er erinnerte sich an das Zimmerchen mit den schmutzigen Tapeten , den Gänserich , an Theodor , an die schönen Diners , die Stunden , den Zirkus , aber alles erschien ihm jetzt wie ein langer , wirrer , schwerer Traum
5-1	Er	O	_	_	
5-2	erinnerte	O	_	_	
5-3	sich	O	_	_	
5-4	an	O	_	_	
5-5	das	O	_	_	
5-6	Zimmerchen	B-NC	_	_	
5-7	mit	O	_	_	
5-8	den	O	_	_	
5-9	schmutzigen	O	_	_	
5-10	Tapeten	B-NC	Holonym	5-6	
5-11	,	O	_	_	
5-12	den	O	_	_	
5-13	Gänserich	B-NC	_	_	
5-14	,	O	_	_	
5-15	an	O	_	_	
5-16	Theodor	B-NC	_	_	
5-17	,	O	_	_	
5-18	an	O	_	_	
5-19	die	O	_	_	
5-20	schönen	O	_	_	
5-21	Diners	B-NC	_	_	
5-22	,	O	_	_	
