 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Auntie leaped over the barrier , then across someone 's shoulders . She found herself in a box : to get into the next tier she had to leap over a high wall . Auntie jumped , but did not jump high enough , and slipped back down the wall . Then she was passed from hand to hand , licked hands and faces , kept mounting higher and higher , and at last got into the gallery . . .
1-1	Auntie	B-NC	_	_	
1-2	leaped	O	_	_	
1-3	over	O	_	_	
1-4	the	O	_	_	
1-5	barrier	B-NC	_	_	
1-6	,	O	_	_	
1-7	then	O	_	_	
1-8	across	O	_	_	
1-9	someone	B-NC	_	_	
1-10	's	O	_	_	
1-11	shoulders	B-NC	_	_	
1-12	.	O	_	_	
1-13	She	O	_	_	
1-14	found	O	_	_	
1-15	herself	O	_	_	
1-16	in	O	_	_	
1-17	a	O	_	_	
1-18	box	B-NC	_	_	
1-19	:	O	_	_	
1-20	to	O	_	_	
1-21	get	O	_	_	
1-22	into	O	_	_	
1-23	the	O	_	_	
1-24	next	O	_	_	
1-25	tier	B-NC	Co-Hyponym	1-18	
1-26	she	O	_	_	
1-27	had	O	_	_	
1-28	to	O	_	_	
1-29	leap	O	_	_	
1-30	over	O	_	_	
1-31	a	O	_	_	
1-32	high	O	_	_	
1-33	wall	B-NC	Hypernym	1-5	
1-34	.	O	_	_	
1-35	Auntie	B-NC	_	_	
1-36	jumped	O	_	_	
1-37	,	O	_	_	
1-38	but	O	_	_	
1-39	did	O	_	_	
1-40	not	O	_	_	
1-41	jump	O	_	_	
1-42	high	O	_	_	
1-43	enough	B-NC	_	_	
1-44	,	O	_	_	
1-45	and	O	_	_	
1-46	slipped	O	_	_	
1-47	back	O	_	_	
1-48	down	O	_	_	
1-49	the	O	_	_	
1-50	wall	B-NC	_	_	
1-51	.	O	_	_	
1-52	Then	O	_	_	
1-53	she	O	_	_	
1-54	was	O	_	_	
1-55	passed	O	_	_	
1-56	from	O	_	_	
1-57	hand	B-NC	Co-Hyponym	1-11	
1-58	to	O	_	_	
1-59	hand	B-NC	_	_	
1-60	,	O	_	_	
1-61	licked	O	_	_	
1-62	hands	B-NC	_	_	
1-63	and	O	_	_	
1-64	faces	B-NC	Co-Hyponym	1-11	
1-65	,	O	_	_	
1-66	kept	O	_	_	
1-67	mounting	O	_	_	
1-68	higher	O	_	_	
1-69	and	O	_	_	
1-70	higher	O	_	_	
1-71	,	O	_	_	
1-72	and	O	_	_	
1-73	at	O	_	_	
1-74	last	O	_	_	
1-75	got	O	_	_	
1-76	into	O	_	_	
1-77	the	O	_	_	
1-78	gallery	B-NC	Co-Hyponym	1-18	
1-79	.	O	_	_	
1-80	.	O	_	_	
1-81	.	O	_	_	

#id=2
#text=Half an hour afterwards , Kashtanka was in the street , following the people who smelt of glue and varnish . Luka Alexandritch staggered and instinctively , taught by experience , tried to keep as far from the gutter as possible
2-1	Half	B-NC	_	_	
2-2	an	O	_	_	
2-3	hour	B-NC	_	_	
2-4	afterwards	O	_	_	
2-5	,	O	_	_	
2-6	Kashtanka	B-NC	_	_	
2-7	was	O	_	_	
2-8	in	O	_	_	
2-9	the	O	_	_	
2-10	street	B-NC	_	_	
2-11	,	O	_	_	
2-12	following	O	_	_	
2-13	the	O	_	_	
2-14	people	B-NC	_	_	
2-15	who	O	_	_	
2-16	smelt	O	_	_	
2-17	of	O	_	_	
2-18	glue	B-NC	_	_	
2-19	and	O	_	_	
2-20	varnish	B-NC	Co-Hyponym	2-18	
2-21	.	O	_	_	
2-22	Luka	B-NC	_	_	
2-23	Alexandritch	B-NC	_	_	
2-24	staggered	O	_	_	
2-25	and	O	_	_	
2-26	instinctively	O	_	_	
2-27	,	O	_	_	
