 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Молодая рыжая собака - помесь такса с дворняжкой - очень похожая мордой на лисицу , бегала взад и вперед по тротуару и беспокойно оглядывалась посторонам . Изредка она останавливалась и , плача , приподнимая то одну озябшую лапу , то другую , старалась дать себе отчет : как это могло случиться , что она заблудилась
1-1	Молодая	O	_	_	
1-2	рыжая	O	_	_	
1-3	собака	B-NC	_	_	
1-4	-	O	_	_	
1-5	помесь	B-NC	_	_	
1-6	такса	B-NC	Hypernym	1-3	
1-7	с	O	_	_	
1-8	дворняжкой	B-NC	Hypernym	1-3	
1-9	-	O	_	_	
1-10	очень	O	_	_	
1-11	похожая	O	_	_	
1-12	мордой	B-NC	Holonym|Holonym	1-3|1-14	
1-13	на	O	_	_	
1-14	лисицу	B-NC	Co-Hyponym	1-3	
1-15	,	O	_	_	
1-16	бегала	O	_	_	
1-17	взад	O	_	_	
1-18	и	O	_	_	
1-19	вперед	O	_	_	
1-20	по	O	_	_	
1-21	тротуару	B-NC	_	_	
1-22	и	O	_	_	
1-23	беспокойно	O	_	_	
1-24	оглядывалась	O	_	_	
1-25	посторонам	B-NC	_	_	
1-26	.	O	_	_	
1-27	Изредка	O	_	_	
1-28	она	O	_	_	
1-29	останавливалась	O	_	_	
1-30	и	O	_	_	
1-31	,	O	_	_	
1-32	плача	O	_	_	
1-33	,	O	_	_	
1-34	приподнимая	O	_	_	
1-35	то	O	_	_	
1-36	одну	O	_	_	
1-37	озябшую	O	_	_	
1-38	лапу	B-NC	Holonym	1-3	
1-39	,	O	_	_	
1-40	то	O	_	_	
1-41	другую	O	_	_	
1-42	,	O	_	_	
1-43	старалась	O	_	_	
1-44	дать	O	_	_	
1-45	себе	O	_	_	
1-46	отчет	B-NC	_	_	
1-47	:	O	_	_	
1-48	как	O	_	_	
1-49	это	O	_	_	
1-50	могло	O	_	_	
1-51	случиться	O	_	_	
1-52	,	O	_	_	
1-53	что	O	_	_	
1-54	она	O	_	_	
1-55	заблудилась	O	_	_	

#id=2
#text=Она отлично помнила , как она провела день и как в конце концов попала на этот незнакомый тротуар
2-1	Она	O	_	_	
2-2	отлично	O	_	_	
2-3	помнила	O	_	_	
2-4	,	O	_	_	
2-5	как	O	_	_	
2-6	она	O	_	_	
2-7	провела	O	_	_	
2-8	день	B-NC	_	_	
2-9	и	O	_	_	
2-10	как	O	_	_	
2-11	в	O	_	_	
2-12	конце	B-NC	_	_	
2-13	концов	B-NC	_	_	
2-14	попала	O	_	_	
2-15	на	O	_	_	
2-16	этот	O	_	_	
2-17	незнакомый	O	_	_	
2-18	тротуар	B-NC	_	_	

#id=3
#text=День начался с того , что ее хозяин , столяр Лука Александрыч , надел шапку , взял под мышку какую - то деревянную штуку , завернутую в красный платок , и крикнул
3-1	День	B-NC	_	_	
3-2	начался	O	_	_	
3-3	с	O	_	_	
3-4	того	O	_	_	
3-5	,	O	_	_	
3-6	что	O	_	_	
3-7	ее	O	_	_	
3-8	хозяин	B-NC	_	_	
3-9	,	O	_	_	
3-10	столяр	B-NC	_	_	
3-11	Лука	B-NC	_	_	
3-12	Александрыч	B-NC	_	_	
3-13	,	O	_	_	
3-14	надел	O	_	_	
3-15	шапку	B-NC	_	_	
3-16	,	O	_	_	
3-17	взял	O	_	_	
3-18	под	O	_	_	
3-19	мышку	B-NC	Holonym	3-8	
3-20	какую	O	_	_	
3-21	-	O	_	_	
3-22	то	O	_	_	
3-23	деревянную	O	_	_	
3-24	штуку	B-NC	_	_	
3-25	,	O	_	_	
3-26	завернутую	O	_	_	
3-27	в	O	_	_	
3-28	красный	O	_	_	
3-29	платок	B-NC	_	_	
3-30	,	O	_	_	
3-31	и	O	_	_	
3-32	крикнул	O	_	_	

#id=4
#text=- Каштанка , пойдем
4-1	-	O	_	_	
4-2	Каштанка	B-NC	_	_	
4-3	,	O	_	_	
4-4	пойдем	O	_	_	

#id=5
#text=Услыхав свое имя , помесь такса с дворняжкой вышла из - под верстака , где она спала на стружках , сладко потянулась и побежала за хозяином . Заказчики Луки Александрыча жили ужасно далеко , так что , прежде чем дойти до каждого из них , столяр должен был по нескольку раз заходить в трактир и подкрепляться . Каштанка помнила , что по дороге она вела себя крайне неприлично . От радости , что ее взяли гулять , она прыгала , бросалась с лаем на вагоны конножелезки , забегала во дворы и гонялась за собаками . Столяр то и дело терял ее из виду , останавливался и сердито кричал на нее . Раз даже он с выражением алчности на лице забрал в кулак ее лисье ухо , потрепал и проговорил с расстановкой
5-1	Услыхав	O	_	_	
5-2	свое	O	_	_	
5-3	имя	B-NC	_	_	
5-4	,	O	_	_	
5-5	помесь	B-NC	_	_	
5-6	такса	B-NC	Hypernym	5-94	
5-7	с	O	_	_	
5-8	дворняжкой	B-NC	Hypernym	5-94	
5-9	вышла	O	_	_	
5-10	из	O	_	_	
5-11	-	O	_	_	
5-12	под	O	_	_	
5-13	верстака	B-NC	_	_	
5-14	,	O	_	_	
5-15	где	O	_	_	
5-16	она	O	_	_	
5-17	спала	O	_	_	
5-18	на	O	_	_	
5-19	стружках	B-NC	_	_	
5-20	,	O	_	_	
5-21	сладко	O	_	_	
5-22	потянулась	O	_	_	
5-23	и	O	_	_	
5-24	побежала	O	_	_	
5-25	за	O	_	_	
5-26	хозяином	B-NC	_	_	
5-27	.	O	_	_	
5-28	Заказчики	B-NC	_	_	
5-29	Луки	B-NC	_	_	
5-30	Александрыча	B-NC	_	_	
5-31	жили	O	_	_	
5-32	ужасно	O	_	_	
5-33	далеко	O	_	_	
5-34	,	O	_	_	
5-35	так	O	_	_	
5-36	что	O	_	_	
5-37	,	O	_	_	
5-38	прежде	O	_	_	
5-39	чем	O	_	_	
5-40	дойти	O	_	_	
5-41	до	O	_	_	
5-42	каждого	O	_	_	
5-43	из	O	_	_	
5-44	них	O	_	_	
5-45	,	O	_	_	
5-46	столяр	B-NC	_	_	
5-47	должен	O	_	_	
5-48	был	O	_	_	
5-49	по	O	_	_	
5-50	нескольку	O	_	_	
5-51	раз	B-NC	_	_	
5-52	заходить	O	_	_	
5-53	в	O	_	_	
5-54	трактир	B-NC	_	_	
5-55	и	O	_	_	
5-56	подкрепляться	O	_	_	
5-57	.	O	_	_	
5-58	Каштанка	B-NC	_	_	
5-59	помнила	O	_	_	
5-60	,	O	_	_	
5-61	что	O	_	_	
5-62	по	O	_	_	
5-63	дороге	B-NC	_	_	
5-64	она	O	_	_	
5-65	вела	O	_	_	
5-66	себя	O	_	_	
5-67	крайне	O	_	_	
5-68	неприлично	O	_	_	
5-69	.	O	_	_	
5-70	От	O	_	_	
5-71	радости	B-NC	_	_	
5-72	,	O	_	_	
5-73	что	O	_	_	
5-74	ее	O	_	_	
5-75	взяли	O	_	_	
5-76	гулять	O	_	_	
5-77	,	O	_	_	
5-78	она	O	_	_	
5-79	прыгала	O	_	_	
5-80	,	O	_	_	
5-81	бросалась	O	_	_	
5-82	с	O	_	_	
5-83	лаем	B-NC	_	_	
5-84	на	O	_	_	
5-85	вагоны	B-NC	_	_	
5-86	конножелезки	B-NC	_	_	
5-87	,	O	_	_	
5-88	забегала	O	_	_	
5-89	во	O	_	_	
5-90	дворы	B-NC	_	_	
5-91	и	O	_	_	
5-92	гонялась	O	_	_	
5-93	за	O	_	_	
5-94	собаками	B-NC	_	_	
5-95	.	O	_	_	
5-96	Столяр	B-NC	_	_	
5-97	то	O	_	_	
5-98	и	O	_	_	
5-99	дело	B-NC	_	_	
5-100	терял	O	_	_	
5-101	ее	O	_	_	
5-102	из	O	_	_	
5-103	виду	B-NC	_	_	
5-104	,	O	_	_	
5-105	останавливался	O	_	_	
5-106	и	O	_	_	
5-107	сердито	O	_	_	
5-108	кричал	O	_	_	
5-109	на	O	_	_	
5-110	нее	O	_	_	
5-111	.	O	_	_	
5-112	Раз	O	_	_	
5-113	даже	O	_	_	
5-114	он	O	_	_	
5-115	с	O	_	_	
5-116	выражением	B-NC	_	_	
5-117	алчности	B-NC	_	_	
5-118	на	O	_	_	
5-119	лице	B-NC	Holonym	5-96	
5-120	забрал	O	_	_	
5-121	в	O	_	_	
5-122	кулак	B-NC	Holonym	5-96	
5-123	ее	O	_	_	
5-124	лисье	O	_	_	
5-125	ухо	B-NC	Hypernym|Holonym	5-94|5-94	
5-126	,	O	_	_	
5-127	потрепал	O	_	_	
5-128	и	O	_	_	
5-129	проговорил	O	_	_	
5-130	с	O	_	_	
5-131	расстановкой	B-NC	_	_	

