 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Als Clementine oder Klementine [ klemɛnˈtiːnə ] ( Citrus × aurantium ) bezeichnet man eine Gruppe von Hybriden aus der Gattung der Zitruspflanzen ( Citrus ) . Die Clementine ist eine Hybride zwischen Mandarine ( Citrus reticulata ) und Orange ( Citrus sinensis ) . Frucht und Baum tragen die gleiche Bezeichnung , der Baum kann etwa vier bis sechs Meter groß werden . Sie wird in Deutschland umgangssprachlich als Mandarine bezeichnet
1-1	Als	O	_	_	
1-2	Clementine	B-NC	_	_	
1-3	oder	O	_	_	
1-4	Klementine	B-NC	Synonym	1-2	
1-5	[	O	_	_	
1-6	klemɛnˈtiːnə	O	_	_	
1-7	]	O	_	_	
1-8	(	O	_	_	
1-9	Citrus	B-NC	_	_	
1-10	×	O	_	_	
1-11	aurantium	B-NC	_	_	
1-12	)	O	_	_	
1-13	bezeichnet	O	_	_	
1-14	man	O	_	_	
1-15	eine	O	_	_	
1-16	Gruppe	B-NC	_	_	
1-17	von	O	_	_	
1-18	Hybriden	B-NC	_	_	
1-19	aus	O	_	_	
1-20	der	O	_	_	
1-21	Gattung	B-NC	_	_	
1-22	der	O	_	_	
1-23	Zitruspflanzen	B-NC	Hypernym|Hypernym	1-21|1-48	
1-24	(	O	_	_	
1-25	Citrus	B-NC	Synonym	1-23	
1-26	)	O	_	_	
1-27	.	O	_	_	
1-28	Die	O	_	_	
1-29	Clementine	B-NC	Hypernym|Hypernym|Hypernym|Hypernym	1-23|1-48|1-46|1-32	
1-30	ist	O	_	_	
1-31	eine	O	_	_	
1-32	Hybride	B-NC	_	_	
1-33	zwischen	O	_	_	
1-34	Mandarine	B-NC	Hypernym|Hypernym|Hypernym	1-23|1-48|1-46	
1-35	(	O	_	_	
1-36	Citrus	B-NC	_	_	
1-37	reticulata	B-NC	_	_	
1-38	)	O	_	_	
1-39	und	O	_	_	
1-40	Orange	B-NC	Hypernym|Hypernym|Hypernym	1-23|1-48|1-46	
1-41	(	O	_	_	
1-42	Citrus	B-NC	_	_	
1-43	sinensis	B-NC	_	_	
1-44	)	O	_	_	
1-45	.	O	_	_	
1-46	Frucht	B-NC	Holonym	1-48	
1-47	und	O	_	_	
1-48	Baum	B-NC	_	_	
1-49	tragen	O	_	_	
1-50	die	O	_	_	
1-51	gleiche	O	_	_	
1-52	Bezeichnung	B-NC	_	_	
1-53	,	O	_	_	
1-54	der	O	_	_	
1-55	Baum	B-NC	_	_	
1-56	kann	O	_	_	
1-57	etwa	O	_	_	
1-58	vier	O	_	_	
1-59	bis	O	_	_	
1-60	sechs	O	_	_	
1-61	Meter	B-NC	_	_	
1-62	groß	O	_	_	
1-63	werden	O	_	_	
1-64	.	O	_	_	
1-65	Sie	O	_	_	
1-66	wird	O	_	_	
1-67	in	O	_	_	
1-68	Deutschland	B-NC	_	_	
1-69	umgangssprachlich	O	_	_	
1-70	als	O	_	_	
1-71	Mandarine	B-NC	_	_	
1-72	bezeichnet	O	_	_	

#id=2
#text=Die Clementinen sind im Mittelmeerraum entstanden , ähnliche Sortengruppen sind auch aus Ostasien bekannt , etwa unter der Bezeichnung Satsuma
2-1	Die	O	_	_	
2-2	Clementinen	B-NC	_	_	
2-3	sind	O	_	_	
2-4	im	O	_	_	
2-5	Mittelmeerraum	B-NC	_	_	
2-6	entstanden	O	_	_	
2-7	,	O	_	_	
2-8	ähnliche	O	_	_	
2-9	Sortengruppen	B-NC	_	_	
2-10	sind	O	_	_	
2-11	auch	O	_	_	
2-12	aus	O	_	_	
2-13	Ostasien	B-NC	_	_	
2-14	bekannt	O	_	_	
2-15	,	O	_	_	
2-16	etwa	O	_	_	
2-17	unter	O	_	_	
2-18	der	O	_	_	
2-19	Bezeichnung	B-NC	_	_	
2-20	Satsuma	B-NC	Synonym	2-2	

