 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=A clementine ( Citrus ×clementina ) is a hybrid between a mandarin and a sweet orange , so named in 1902 . [ 1 ] The exterior is a deep orange colour with a smooth , glossy appearance . Clementines can be separated into 7 to 14 segments . They tend to be very easy to peel , like a tangerine , but are almost always seedless when grown commercially ( unfertilized ) . For this reason they are sometimes known as seedless tangerines ; the clementine is also occasionally referred to as the Moroccan clementine . [ 2 ] They are typically juicy and sweet , with less acid than oranges . [ 1 ] Their oils , like other citrus fruits , contain mostly limonene as well as myrcene , linalool , α-pinene and many complex aromatics . [ 3 ] It is called Cantra in India 
1-1	A	O	_	_	
1-2	clementine	B-NC	Hypernym	1-9	
1-3	(	O	_	_	
1-4	Citrus	B-NC	_	_	
1-5	×clementina	I-NC	_	_	
1-6	)	O	_	_	
1-7	is	O	_	_	
1-8	a	O	_	_	
1-9	hybrid	B-NC	_	_	
1-10	between	O	_	_	
1-11	a	O	_	_	
1-12	mandarin	B-NC	Hypernym	1-122	
1-13	and	O	_	_	
1-14	a	O	_	_	
1-15	sweet	O	_	_	
1-16	orange	B-NC	_	_	
1-17	,	O	_	_	
1-18	so	O	_	_	
1-19	named	O	_	_	
1-20	in	O	_	_	
1-21	1902	O	_	_	
1-22	.	O	_	_	
1-23	[	O	_	_	
1-24	1	O	_	_	
1-25	]	O	_	_	
1-26	The	O	_	_	
1-27	exterior	B-NC	_	_	
1-28	is	O	_	_	
1-29	a	O	_	_	
1-30	deep	O	_	_	
1-31	orange	O	_	_	
1-32	colour	B-NC	_	_	
1-33	with	O	_	_	
1-34	a	O	_	_	
1-35	smooth	O	_	_	
1-36	,	O	_	_	
1-37	glossy	O	_	_	
1-38	appearance	B-NC	_	_	
1-39	.	O	_	_	
1-40	Clementines	B-NC	_	_	
1-41	can	O	_	_	
1-42	be	O	_	_	
1-43	separated	O	_	_	
1-44	into	O	_	_	
1-45	7	O	_	_	
1-46	to	O	_	_	
1-47	14	O	_	_	
1-48	segments	B-NC	Holonym|Holonym	1-40|1-61	
1-49	.	O	_	_	
1-50	They	O	_	_	
1-51	tend	O	_	_	
1-52	to	O	_	_	
1-53	be	O	_	_	
1-54	very	O	_	_	
1-55	easy	O	_	_	
1-56	to	O	_	_	
1-57	peel	O	_	_	
1-58	,	O	_	_	
1-59	like	O	_	_	
1-60	a	O	_	_	
1-61	tangerine	B-NC	_	_	
1-62	,	O	_	_	
1-63	but	O	_	_	
1-64	are	O	_	_	
1-65	almost	O	_	_	
1-66	always	O	_	_	
1-67	seedless	O	_	_	
1-68	when	O	_	_	
1-69	grown	O	_	_	
1-70	commercially	O	_	_	
1-71	(	O	_	_	
1-72	unfertilized	O	_	_	
1-73	)	O	_	_	
1-74	.	O	_	_	
1-75	For	O	_	_	
1-76	this	O	_	_	
1-77	reason	B-NC	_	_	
1-78	they	O	_	_	
1-79	are	O	_	_	
1-80	sometimes	O	_	_	
1-81	known	O	_	_	
1-82	as	O	_	_	
1-83	seedless	O	_	_	
1-84	tangerines	B-NC	Hypernym	1-122	
1-85	;	O	_	_	
1-86	the	O	_	_	
1-87	clementine	B-NC	Hypernym	1-122	
1-88	is	O	_	_	
1-89	also	O	_	_	
1-90	occasionally	O	_	_	
1-91	referred	O	_	_	
1-92	to	O	_	_	
