 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Клементи́н ( лат . Citrus clementina ) — один из вариантов танжело , гибрид мандарина и апельсина — королька из подвида bigarage[источник не указан 983 дня ] , созданный в 1902 году французским священником и селекционером братом Клементом ( Клеманом ) Родье . Плоды по форме напоминают мандарин , но более сладкие . Листья плотные , некрупные , на коротком , чуть крылатом , черешке с зазубринками по краю и острым концом . В пазухах листьев имеются небольшие колючки
1-1	Клементи́н	B-NC	Hypernym	1-12	
1-2	(	O	_	_	
1-3	лат	O	_	_	
1-4	.	O	_	_	
1-5	Citrus	O	_	_	
1-6	clementina	O	_	_	
1-7	)	O	_	_	
1-8	—	O	_	_	
1-9	один	O	_	_	
1-10	из	O	_	_	
1-11	вариантов	B-NC	_	_	
1-12	танжело	B-NC	Hypernym|Hypernym	1-44|1-14	
1-13	,	O	_	_	
1-14	гибрид	B-NC	_	_	
1-15	мандарина	B-NC	_	_	
1-16	и	O	_	_	
1-17	апельсина	B-NC|B-NC	Hypernym	1-44	
1-18	—	I-NC	_	_	
1-19	королька	I-NC|B-NC	_	_	
1-20	из	O	_	_	
1-21	подвида	B-NC	_	_	
1-22	bigarage[источник	B-NC	_	_	
1-23	не	O	_	_	
1-24	указан	O	_	_	
1-25	983	O	_	_	
1-26	дня	B-NC	_	_	
1-27	]	O	_	_	
1-28	,	O	_	_	
1-29	созданный	O	_	_	
1-30	в	O	_	_	
1-31	1902	O	_	_	
1-32	году	B-NC	_	_	
1-33	французским	O	_	_	
1-34	священником	B-NC	_	_	
1-35	и	O	_	_	
1-36	селекционером	B-NC	_	_	
1-37	братом	B-NC	_	_	
1-38	Клементом	B-NC	_	_	
1-39	(	O	_	_	
1-40	Клеманом	B-NC	_	_	
1-41	)	O	_	_	
1-42	Родье	B-NC	_	_	
1-43	.	O	_	_	
1-44	Плоды	B-NC	_	_	
1-45	по	O	_	_	
1-46	форме	B-NC	_	_	
1-47	напоминают	O	_	_	
1-48	мандарин	B-NC	Hypernym	1-44	
1-49	,	O	_	_	
1-50	но	O	_	_	
1-51	более	O	_	_	
1-52	сладкие	O	_	_	
1-53	.	O	_	_	
1-54	Листья	B-NC	_	_	
1-55	плотные	O	_	_	
1-56	,	O	_	_	
1-57	некрупные	O	_	_	
1-58	,	O	_	_	
1-59	на	O	_	_	
1-60	коротком	O	_	_	
1-61	,	O	_	_	
1-62	чуть	O	_	_	
1-63	крылатом	B-NC	_	_	
1-64	,	O	_	_	
1-65	черешке	O	_	_	
1-66	с	O	_	_	
1-67	зазубринками	B-NC	_	_	
1-68	по	O	_	_	
1-69	краю	B-NC	_	_	
1-70	и	O	_	_	
1-71	острым	O	_	_	
1-72	концом	B-NC	Co-Hyponym	1-69	
1-73	.	O	_	_	
1-74	В	O	_	_	
1-75	пазухах	B-NC	_	_	
1-76	листьев	B-NC	_	_	
1-77	имеются	O	_	_	
1-78	небольшие	O	_	_	
1-79	колючки	B-NC	Co-Hyponym	1-76	

#id=2
#text=Гибрид мандарина и горького севильского апельсина выведен в 1902 году в Алжире . Произрастает , в основном , в странах Средиземноморья ; маленький , оранжевого цвета и круглый , клементин имеет твёрдую кожуру , плотно прилегающую к сочной мякоти . На базарах с конца октября по февраль . Основные поставщики — Испания , Марокко , Италия и Алжир
2-1	Гибрид	B-NC	_	_	
2-2	мандарина	B-NC	_	_	
2-3	и	O	_	_	
2-4	горького	O	_	_	
2-5	севильского	O	_	_	
2-6	апельсина	B-NC	Co-Hyponym	2-2	
2-7	выведен	O	_	_	
2-8	в	O	_	_	
2-9	1902	O	_	_	
2-10	году	B-NC	_	_	
2-11	в	O	_	_	
2-12	Алжире	B-NC	_	_	
2-13	.	O	_	_	
2-14	Произрастает	O	_	_	
2-15	,	O	_	_	
2-16	в	O	_	_	
2-17	основном	B-NC	_	_	
2-18	,	O	_	_	
2-19	в	O	_	_	
2-20	странах	B-NC	_	_	
2-21	Средиземноморья	B-NC	_	_	
2-22	;	O	_	_	
2-23	маленький	O	_	_	
2-24	,	O	_	_	
2-25	оранжевого	O	_	_	
2-26	цвета	B-NC	_	_	
2-27	и	O	_	_	
2-28	круглый	O	_	_	
2-29	,	O	_	_	
2-30	клементин	B-NC	Co-Hyponym	2-2	
2-31	имеет	O	_	_	
2-32	твёрдую	O	_	_	
2-33	кожуру	B-NC	Holonym	2-30	
2-34	,	O	_	_	
2-35	плотно	O	_	_	
2-36	прилегающую	O	_	_	
2-37	к	O	_	_	
2-38	сочной	O	_	_	
2-39	мякоти	B-NC	Holonym	2-30	
2-40	.	O	_	_	
2-41	На	O	_	_	
2-42	базарах	B-NC	_	_	
2-43	с	O	_	_	
2-44	конца	B-NC	_	_	
2-45	октября	B-NC	_	_	
2-46	по	O	_	_	
2-47	февраль	B-NC	_	_	
2-48	.	O	_	_	
2-49	Основные	O	_	_	
2-50	поставщики	B-NC	_	_	
2-51	—	O	_	_	
2-52	Испания	B-NC	_	_	
2-53	,	O	_	_	
2-54	Марокко	B-NC	_	_	
2-55	,	O	_	_	
2-56	Италия	B-NC	_	_	
2-57	и	O	_	_	
2-58	Алжир	B-NC	_	_	

#id=3
#text=Различают три вида клементинов
3-1	Различают	O	_	_	
3-2	три	O	_	_	
3-3	вида	B-NC	_	_	
3-4	клементинов	B-NC	_	_	

#id=4
#text=Корсиканский защищён товарным знаком региона , с оранжево-красной кожурой , душистый и без семян ; его продают с листьями ( два на плод ) с начала ноября по начало февраля
4-1	Корсиканский	O	_	_	
4-2	защищён	O	_	_	
4-3	товарным	O	_	_	
4-4	знаком	B-NC	_	_	
4-5	региона	B-NC	_	_	
4-6	,	O	_	_	
4-7	с	O	_	_	
4-8	оранжево-красной	O	_	_	
4-9	кожурой	B-NC	Holonym	4-23	
4-10	,	O	_	_	
4-11	душистый	O	_	_	
4-12	и	O	_	_	
4-13	без	O	_	_	
4-14	семян	B-NC	Holonym	4-23	
4-15	;	O	_	_	
4-16	его	O	_	_	
4-17	продают	O	_	_	
4-18	с	O	_	_	
4-19	листьями	B-NC	Co-Hyponym	4-23	
4-20	(	O	_	_	
4-21	два	O	_	_	
4-22	на	O	_	_	
4-23	плод	B-NC	_	_	
4-24	)	O	_	_	
4-25	с	O	_	_	
4-26	начала	B-NC	_	_	
4-27	ноября	B-NC	_	_	
4-28	по	O	_	_	
4-29	начало	B-NC	_	_	
4-30	февраля	B-NC	_	_	

#id=5
#text=Испанский имеет разновидности : более мелкие плоды и крупнее , каждый плод содержит от 2 до 10 семян
5-1	Испанский	O	_	_	
5-2	имеет	O	_	_	
5-3	разновидности	B-NC	_	_	
5-4	:	O	_	_	
5-5	более	O	_	_	
5-6	мелкие	O	_	_	
5-7	плоды	B-NC	_	_	
5-8	и	O	_	_	
5-9	крупнее	O	_	_	
5-10	,	O	_	_	
5-11	каждый	O	_	_	
5-12	плод	B-NC	_	_	
5-13	содержит	O	_	_	
5-14	от	O	_	_	
5-15	2	O	_	_	
5-16	до	O	_	_	
5-17	10	O	_	_	
5-18	семян	B-NC	Holonym	5-12	

#id=6
#text=Монреальский — очень редкий , появляется в середине октября , поставщики — Испания и Алжир , плод содержит от 10 до 12 семян
6-1	Монреальский	B-NC	_	_	
6-2	—	O	_	_	
6-3	очень	O	_	_	
6-4	редкий	O	_	_	
6-5	,	O	_	_	
6-6	появляется	O	_	_	
6-7	в	O	_	_	
6-8	середине	B-NC	_	_	
6-9	октября	B-NC	_	_	
6-10	,	O	_	_	
6-11	поставщики	B-NC	_	_	
6-12	—	O	_	_	
6-13	Испания	B-NC	_	_	
6-14	и	O	_	_	
6-15	Алжир	B-NC	_	_	
6-16	,	O	_	_	
6-17	плод	B-NC	_	_	
6-18	содержит	O	_	_	
6-19	от	O	_	_	
6-20	10	O	_	_	
6-21	до	O	_	_	
6-22	12	O	_	_	
6-23	семян	B-NC	Holonym	6-17	

#id=7
#text=Основные сорта клементин - Arrufatina , Clemenules , Marisol , Oronules , Orogrande , Loretina , Clemenpons , Mioro , Hernandina , Tour , Clemenvilla
7-1	Основные	O	_	_	
7-2	сорта	B-NC	_	_	
7-3	клементин	B-NC	_	_	
7-4	-	O	_	_	
7-5	Arrufatina	O	_	_	
7-6	,	O	_	_	
7-7	Clemenules	O	_	_	
7-8	,	O	_	_	
7-9	Marisol	O	_	_	
7-10	,	O	_	_	
7-11	Oronules	O	_	_	
7-12	,	O	_	_	
7-13	Orogrande	O	_	_	
7-14	,	O	_	_	
7-15	Loretina	O	_	_	
7-16	,	O	_	_	
7-17	Clemenpons	O	_	_	
7-18	,	O	_	_	
7-19	Mioro	O	_	_	
7-20	,	O	_	_	
7-21	Hernandina	O	_	_	
7-22	,	O	_	_	
7-23	Tour	O	_	_	
7-24	,	O	_	_	
7-25	Clemenvilla	O	_	_	

#id=8
#text=Сочные , сладкие , богатые витамином C клементины хорошо хранятся в холоде ; их засахаривают и добавляют в бренди , сок замораживают для сорбе и смешивают с напитками . В Англии на клементинах делают ликёры и маринад
8-1	Сочные	O	_	_	
8-2	,	O	_	_	
8-3	сладкие	O	_	_	
8-4	,	O	_	_	
8-5	богатые	O	_	_	
8-6	витамином	B-NC	Holonym	8-8	
8-7	C	O	_	_	
8-8	клементины	B-NC	_	_	
8-9	хорошо	O	_	_	
8-10	хранятся	O	_	_	
8-11	в	O	_	_	
8-12	холоде	B-NC	_	_	
8-13	;	O	_	_	
8-14	их	O	_	_	
8-15	засахаривают	O	_	_	
8-16	и	O	_	_	
8-17	добавляют	O	_	_	
8-18	в	O	_	_	
8-19	бренди	B-NC	Hypernym	8-28	
8-20	,	O	_	_	
8-21	сок	B-NC	Holonym|Hypernym|Holonym	8-8|8-28|8-24	
8-22	замораживают	O	_	_	
8-23	для	O	_	_	
8-24	сорбе	B-NC	_	_	
8-25	и	O	_	_	
8-26	смешивают	O	_	_	
8-27	с	O	_	_	
8-28	напитками	B-NC	Co-Hyponym	8-24	
8-29	.	O	_	_	
8-30	В	O	_	_	
8-31	Англии	B-NC	_	_	
8-32	на	O	_	_	
8-33	клементинах	B-NC	_	_	
8-34	делают	O	_	_	
8-35	ликёры	B-NC	Hypernym	8-28	
8-36	и	O	_	_	
8-37	маринад	B-NC	Co-Hyponym	8-28	

