 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Der Durianbaum ( Durio zibethinus ) , auch Zibetbaum genannt , ist eine Pflanzenart innerhalb der Familie der Malvengewächse ( Malvaceae ) . Sie ist ursprünglich in Indonesien und Malaysia beheimatet . Heute wird sie überall in Südostasien und manchen anderen tropischen Gebieten kultiviert . Die Frucht wird Durian , häufig auch Stink - oder Käsefrucht genannt und wird als Obst verwendet
1-1	Der	O	_	_	
1-2	Durianbaum	B-NC	Hypernym|Hypernym	1-19|1-14	
1-3	(	O	_	_	
1-4	Durio	B-NC	_	_	
1-5	zibethinus	B-NC	_	_	
1-6	)	O	_	_	
1-7	,	O	_	_	
1-8	auch	O	_	_	
1-9	Zibetbaum	B-NC	Synonym	1-2	
1-10	genannt	O	_	_	
1-11	,	O	_	_	
1-12	ist	O	_	_	
1-13	eine	O	_	_	
1-14	Pflanzenart	B-NC	_	_	
1-15	innerhalb	O	_	_	
1-16	der	O	_	_	
1-17	Familie	B-NC	_	_	
1-18	der	O	_	_	
1-19	Malvengewächse	B-NC	_	_	
1-20	(	O	_	_	
1-21	Malvaceae	B-NC	_	_	
1-22	)	O	_	_	
1-23	.	O	_	_	
1-24	Sie	O	_	_	
1-25	ist	O	_	_	
1-26	ursprünglich	O	_	_	
1-27	in	O	_	_	
1-28	Indonesien	B-NC	_	_	
1-29	und	O	_	_	
1-30	Malaysia	B-NC	_	_	
1-31	beheimatet	O	_	_	
1-32	.	O	_	_	
1-33	Heute	O	_	_	
1-34	wird	O	_	_	
1-35	sie	O	_	_	
1-36	überall	O	_	_	
1-37	in	O	_	_	
1-38	Südostasien	B-NC	_	_	
1-39	und	O	_	_	
1-40	manchen	O	_	_	
1-41	anderen	O	_	_	
1-42	tropischen	O	_	_	
1-43	Gebieten	B-NC	_	_	
1-44	kultiviert	O	_	_	
1-45	.	O	_	_	
1-46	Die	O	_	_	
1-47	Frucht	B-NC	Holonym|Hypernym	1-19|1-61	
1-48	wird	O	_	_	
1-49	Durian	B-NC	Holonym|Hypernym	1-2|1-47	
1-50	,	O	_	_	
1-51	häufig	O	_	_	
1-52	auch	O	_	_	
1-53	Stink	B-NCpart	Synonym|Synonym	1-49|1-49	
1-54	-	O	_	_	
1-55	oder	O	_	_	
1-56	Käsefrucht	B-NC	Synonym	1-49	
1-57	genannt	O	_	_	
1-58	und	O	_	_	
1-59	wird	O	_	_	
1-60	als	O	_	_	
1-61	Obst	B-NC	_	_	
1-62	verwendet	O	_	_	

