 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Дуриан цибетиновый ( лат . Durio zibethinus ) — тропическое дерево семейства Мальвовые , плод которого — фрукт знаменитый как своим вкусом , так и запахом . Название durian пришло из Малайзии от слова duri(шип ) с суффиксом - ан[2 ] . В Малайзии можно встретить более 30 разновидностей этого растения , 9 из которых съедобны
1-1	Дуриан	B-NC	Hypernym	1-11	
1-2	цибетиновый	O	_	_	
1-3	(	O	_	_	
1-4	лат	O	_	_	
1-5	.	O	_	_	
1-6	Durio	O	_	_	
1-7	zibethinus	O	_	_	
1-8	)	O	_	_	
1-9	—	O	_	_	
1-10	тропическое	O	_	_	
1-11	дерево	B-NC	Hypernym	1-51	
1-12	семейства	B-NC	_	_	
1-13	Мальвовые	O	_	_	
1-14	,	O	_	_	
1-15	плод	B-NC	_	_	
1-16	которого	O	_	_	
1-17	—	O	_	_	
1-18	фрукт	B-NC	Hypernym	1-15	
1-19	знаменитый	O	_	_	
1-20	как	O	_	_	
1-21	своим	O	_	_	
1-22	вкусом	B-NC	_	_	
1-23	,	O	_	_	
1-24	так	O	_	_	
1-25	и	O	_	_	
1-26	запахом	B-NC	Co-Hyponym	1-22	
1-27	.	O	_	_	
1-28	Название	B-NC	Hypernym	1-34	
1-29	durian	O	_	_	
1-30	пришло	O	_	_	
1-31	из	O	_	_	
1-32	Малайзии	B-NC	_	_	
1-33	от	O	_	_	
1-34	слова	B-NC	_	_	
1-35	duri(шип	O	_	_	
1-36	)	O	_	_	
1-37	с	O	_	_	
1-38	суффиксом	B-NC	Holonym	1-34	
1-39	-	O	_	_	
1-40	ан[2	O	_	_	
1-41	]	O	_	_	
1-42	.	O	_	_	
1-43	В	O	_	_	
1-44	Малайзии	B-NC	_	_	
1-45	можно	O	_	_	
1-46	встретить	O	_	_	
1-47	более	O	_	_	
1-48	30	O	_	_	
1-49	разновидностей	B-NC	Hypernym	1-12	
1-50	этого	O	_	_	
1-51	растения	B-NC	_	_	
1-52	,	O	_	_	
1-53	9	O	_	_	
1-54	из	O	_	_	
1-55	которых	O	_	_	
1-56	съедобны	O	_	_	

#id=2
#text=Родина — Юго - Восточная Азия . Выращивается в Индокитае , Малайзии , Индонезии , Индии , на Шри - Ланке , Филиппинах , а также в Африке и Бразилии . В Юго - Восточной Азии его называют «королём фруктов» . Культивируется в этих странах уже более 600 лет . Британский натуралист Альфред Рассел Уоллес , знаменитый писатель , говорит о мякоти плода и о запахе миндаля от дуриана . Мякоть используют на различной стадии зрелости в кухнях Юго - Восточной Азии . Семена тоже употребляют в пищу в качестве приправы . В магазинах можно встретить только разновидность Durio zibethinus . Другие виды продают только в странах Юго - Восточной Азии . Там возделывается более сотни растений , которые имеют общее имя и кодовый номер с префиксом «D» . Разновидность Durio zibethinus культивируется в больших масштабах за необычную форму деревьев , разнообразие фруктов и цветов
2-1	Родина	B-NC	_	_	
2-2	—	O	_	_	
2-3	Юго	O	_	_	
2-4	-	O	_	_	
2-5	Восточная	O	_	_	
2-6	Азия	B-NC	_	_	
2-7	.	O	_	_	
2-8	Выращивается	O	_	_	
2-9	в	O	_	_	
2-10	Индокитае	B-NC	_	_	
2-11	,	O	_	_	
2-12	Малайзии	B-NC	_	_	
2-13	,	O	_	_	
2-14	Индонезии	B-NC	_	_	
2-15	,	O	_	_	
2-16	Индии	B-NC	_	_	
2-17	,	O	_	_	
2-18	на	O	_	_	
2-19	Шри	B-NC	_	_	
2-20	-	O	_	_	
2-21	Ланке	B-NC	_	_	
2-22	,	O	_	_	
2-23	Филиппинах	B-NC	_	_	
2-24	,	O	_	_	
2-25	а	O	_	_	
2-26	также	O	_	_	
2-27	в	O	_	_	
2-28	Африке	B-NC	_	_	
2-29	и	O	_	_	
2-30	Бразилии	B-NC	_	_	
2-31	.	O	_	_	
2-32	В	O	_	_	
2-33	Юго	O	_	_	
2-34	-	O	_	_	
2-35	Восточной	O	_	_	
2-36	Азии	B-NC	_	_	
2-37	его	O	_	_	
2-38	называют	O	_	_	
2-39	«королём	O	_	_	
2-40	фруктов»	B-NC	_	_	
2-41	.	O	_	_	
2-42	Культивируется	O	_	_	
2-43	в	O	_	_	
2-44	этих	O	_	_	
2-45	странах	B-NC	_	_	
2-46	уже	O	_	_	
2-47	более	O	_	_	
2-48	600	O	_	_	
2-49	лет	B-NC	_	_	
2-50	.	O	_	_	
2-51	Британский	O	_	_	
2-52	натуралист	B-NC	_	_	
2-53	Альфред	B-NC	_	_	
2-54	Рассел	B-NC	_	_	
2-55	Уоллес	B-NC	_	_	
2-56	,	O	_	_	
2-57	знаменитый	O	_	_	
2-58	писатель	B-NC	_	_	
2-59	,	O	_	_	
2-60	говорит	O	_	_	
2-61	о	O	_	_	
2-62	мякоти	B-NC	_	_	
2-63	плода	B-NC	_	_	
2-64	и	O	_	_	
2-65	о	O	_	_	
2-66	запахе	B-NC	_	_	
2-67	миндаля	B-NC	_	_	
2-68	от	O	_	_	
2-69	дуриана	B-NC	_	_	
2-70	.	O	_	_	
2-71	Мякоть	B-NC	_	_	
2-72	используют	O	_	_	
2-73	на	O	_	_	
2-74	различной	O	_	_	
2-75	стадии	B-NC	_	_	
2-76	зрелости	B-NC	_	_	
2-77	в	O	_	_	
2-78	кухнях	B-NC	_	_	
2-79	Юго	O	_	_	
2-80	-	O	_	_	
2-81	Восточной	O	_	_	
2-82	Азии	B-NC	_	_	
2-83	.	O	_	_	
2-84	Семена	B-NC	Holonym	2-63	
2-85	тоже	O	_	_	
2-86	употребляют	O	_	_	
2-87	в	O	_	_	
2-88	пищу	B-NC	_	_	
2-89	в	O	_	_	
2-90	качестве	B-NC	_	_	
2-91	приправы	B-NC	_	_	
2-92	.	O	_	_	
2-93	В	O	_	_	
2-94	магазинах	B-NC	_	_	
2-95	можно	O	_	_	
2-96	встретить	O	_	_	
2-97	только	O	_	_	
2-98	разновидность	B-NC	_	_	
2-99	Durio	O	_	_	
2-100	zibethinus	O	_	_	
2-101	.	O	_	_	
2-102	Другие	O	_	_	
2-103	виды	B-NC	_	_	
2-104	продают	O	_	_	
2-105	только	O	_	_	
2-106	в	O	_	_	
2-107	странах	B-NC	_	_	
2-108	Юго	O	_	_	
2-109	-	O	_	_	
2-110	Восточной	O	_	_	
2-111	Азии	B-NC	_	_	
2-112	.	O	_	_	
2-113	Там	O	_	_	
2-114	возделывается	O	_	_	
2-115	более	O	_	_	
2-116	сотни	B-NC	_	_	
2-117	растений	B-NC	_	_	
2-118	,	O	_	_	
2-119	которые	O	_	_	
2-120	имеют	O	_	_	
2-121	общее	O	_	_	
2-122	имя	B-NC	_	_	
2-123	и	O	_	_	
2-124	кодовый	O	_	_	
2-125	номер	B-NC	_	_	
2-126	с	O	_	_	
2-127	префиксом	B-NC	_	_	
2-128	«D»	O	_	_	
2-129	.	O	_	_	
2-130	Разновидность	B-NC	_	_	
2-131	Durio	O	_	_	
2-132	zibethinus	O	_	_	
2-133	культивируется	O	_	_	
2-134	в	O	_	_	
2-135	больших	O	_	_	
2-136	масштабах	B-NC	_	_	
2-137	за	O	_	_	
2-138	необычную	O	_	_	
2-139	форму	B-NC	_	_	
2-140	деревьев	B-NC	_	_	
2-141	,	O	_	_	
2-142	разнообразие	B-NC	_	_	
2-143	фруктов	B-NC	Holonym	2-140	
2-144	и	O	_	_	
2-145	цветов	B-NC	Holonym	2-140	

