 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ein Finger – wissenschaftlich digitus ( plural : digiti ) – ist ein Teil der Hand . Finger gehören zu den Akren . Ein Finger beim Menschen hat drei knöcherne Stützelemente , die Fingerknochen mit Phalanx proximalis , media und distalis , lediglich der Daumen hat nur zwei Phalangen ( Fingergliedknochen ; vom griech. Wort phalanx für Schlachtreihe von Kriegern ; Mz : phalanges ) . Die Phalangen sind gelenkig verbunden und schließen an den entsprechenden Mittelhandknochen ( Ossa metacarpi ) an . Dabei nimmt beim Menschen der Daumen eine Sonderstellung ein , da seine gelenkige Aufhängung ihm eine Oppositionsstellung gegenüber den übrigen Fingern erlaubt . Finger haben neben der Greif - , Stütz - und Halte - auch gestikuläre Funktionen , zum Beispiel nach oben oder nach unten gerichteter Daumen , ausgestreckter Mittelfinger , Berührung des Daumens mit dem Zeigefinger , Schwurfinger
1-1	Ein	O	_	_	
1-2	Finger	B-NC	Holonym	1-16	
1-3	–	O	_	_	
1-4	wissenschaftlich	O	_	_	
1-5	digitus	O	_	_	
1-6	(	O	_	_	
1-7	plural	O	_	_	
1-8	:	O	_	_	
1-9	digiti	B-NC	_	_	
1-10	)	O	_	_	
1-11	–	B-NC	_	_	
1-12	ist	O	_	_	
1-13	ein	O	_	_	
1-14	Teil	B-NC	_	_	
1-15	der	O	_	_	
1-16	Hand	B-NC	Holonym	1-27	
1-17	.	O	_	_	
1-18	Finger	O	_	_	
1-19	gehören	O	_	_	
1-20	zu	O	_	_	
1-21	den	O	_	_	
1-22	Akren	B-NC	Holonym	1-27	
1-23	.	O	_	_	
1-24	Ein	O	_	_	
1-25	Finger	B-NC	Hypernym|Holonym	1-22|1-27	
1-26	beim	O	_	_	
1-27	Menschen	B-NC	_	_	
1-28	hat	O	_	_	
1-29	drei	O	_	_	
1-30	knöcherne	O	_	_	
1-31	Stützelemente	B-NC	_	_	
1-32	,	O	_	_	
1-33	die	O	_	_	
1-34	Fingerknochen	B-NC	Holonym|Hypernym	1-25|1-31	
1-35	mit	O	_	_	
1-36	Phalanx	B-NC	_	_	
1-37	proximalis	B-NC	_	_	
1-38	,	O	_	_	
1-39	media	B-NC	_	_	
1-40	und	O	_	_	
1-41	distalis	B-NC	_	_	
1-42	,	O	_	_	
1-43	lediglich	O	_	_	
1-44	der	O	_	_	
1-45	Daumen	B-NC	Hypernym	1-25	
1-46	hat	O	_	_	
1-47	nur	O	_	_	
1-48	zwei	O	_	_	
1-49	Phalangen	B-NC	Holonym	1-45	
1-50	(	O	_	_	
1-51	Fingergliedknochen	B-NC	Holonym|Synonym	1-25|1-49	
1-52	;	O	_	_	
1-53	vom	O	_	_	
1-54	griech.	O	_	_	
1-55	Wort	B-NC	_	_	
1-56	phalanx	O	_	_	
1-57	für	O	_	_	
1-58	Schlachtreihe	B-NC	_	_	
1-59	von	O	_	_	
1-60	Kriegern	B-NC	_	_	
1-61	;	O	_	_	
1-62	Mz	B-NC	_	_	
1-63	:	O	_	_	
1-64	phalanges	O	_	_	
1-65	)	O	_	_	
1-66	.	O	_	_	
1-67	Die	O	_	_	
1-68	Phalangen	B-NC	_	_	
1-69	sind	O	_	_	
1-70	gelenkig	O	_	_	
1-71	verbunden	O	_	_	
1-72	und	O	_	_	
1-73	schließen	O	_	_	
1-74	an	O	_	_	
1-75	den	O	_	_	
1-76	entsprechenden	O	_	_	
1-77	Mittelhandknochen	B-NC	Holonym	1-16	
1-78	(	O	_	_	
1-79	Ossa	B-NC	_	_	
1-80	metacarpi	O	_	_	
1-81	)	O	_	_	
1-82	an	O	_	_	
1-83	.	O	_	_	
1-84	Dabei	O	_	_	
1-85	nimmt	O	_	_	
1-86	beim	O	_	_	
1-87	Menschen	B-NC	_	_	
1-88	der	O	_	_	
1-89	Daumen	B-NC	Holonym|Hypernym	1-87|1-104	
1-90	eine	O	_	_	
1-91	Sonderstellung	B-NC	_	_	
1-92	ein	O	_	_	
1-93	,	O	_	_	
1-94	da	O	_	_	
1-95	seine	O	_	_	
1-96	gelenkige	O	_	_	
1-97	Aufhängung	B-NC	_	_	
1-98	ihm	O	_	_	
1-99	eine	O	_	_	
1-100	Oppositionsstellung	B-NC	_	_	
1-101	gegenüber	O	_	_	
1-102	den	O	_	_	
1-103	übrigen	O	_	_	
1-104	Fingern	B-NC	Holonym	1-87	
1-105	erlaubt	O	_	_	
1-106	.	O	_	_	
1-107	Finger	B-NC	_	_	
1-108	haben	O	_	_	
1-109	neben	O	_	_	
1-110	der	O	_	_	
1-111	Greif	B-NC	_	_	
1-112	-	O	_	_	
1-113	,	O	_	_	
1-114	Stütz	O	_	_	
1-115	-	O	_	_	
1-116	und	O	_	_	
1-117	Halte	B-NC	_	_	
1-118	-	O	_	_	
1-119	auch	O	_	_	
1-120	gestikuläre	O	_	_	
1-121	Funktionen	B-NC	_	_	
1-122	,	O	_	_	
1-123	zum	O	_	_	
1-124	Beispiel	B-NC	_	_	
1-125	nach	O	_	_	
1-126	oben	O	_	_	
1-127	oder	O	_	_	
1-128	nach	O	_	_	
1-129	unten	O	_	_	
1-130	gerichteter	O	_	_	
1-131	Daumen	B-NC	Hypernym	1-107	
1-132	,	O	_	_	
1-133	ausgestreckter	O	_	_	
1-134	Mittelfinger	B-NC	Hypernym	1-107	
1-135	,	O	_	_	
1-136	Berührung	B-NC	_	_	
1-137	des	O	_	_	
1-138	Daumens	B-NC	_	_	
1-139	mit	O	_	_	
1-140	dem	O	_	_	
1-141	Zeigefinger	B-NC	Hypernym	1-107	
1-142	,	O	_	_	
1-143	Schwurfinger	B-NC	Hypernym	1-107	

#id=2
#text=Das Pendant zu den Fingern sind an den unteren Extremitäten die Zehen
2-1	Das	O	_	_	
2-2	Pendant	B-NC	_	_	
2-3	zu	O	_	_	
2-4	den	O	_	_	
2-5	Fingern	B-NC	Holonym	2-10	
2-6	sind	O	_	_	
2-7	an	O	_	_	
2-8	den	O	_	_	
2-9	unteren	O	_	_	
2-10	Extremitäten	B-NC	_	_	
2-11	die	O	_	_	
2-12	Zehen	B-NC	Co-Hyponym|Holonym	2-5|2-10	

