 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=A finger is a limb of the human body and a type of digit , an organ of manipulation and sensation found in the hands of humans and other primates . [ 1][2 ] Normally humans have five digits , the bones of which are termed phalanges , [ 2 ] on each hand ( exceptions are polydactyly , oligodactyly and digit loss ) . The first digit is the thumb , followed by index finger , middle finger , ring finger , and little finger or pinky . According to different definitions , the thumb can be called a finger , or not
1-1	A	O	_	_	
1-2	finger	B-NC	Holonym|Hypernym|Hypernym|Hypernym	1-25|1-17|1-14|1-5	
1-3	is	O	_	_	
1-4	a	O	_	_	
1-5	limb	B-NC	Holonym|Hypernym|Holonym	1-30|1-17|1-9	
1-6	of	O	_	_	
1-7	the	O	_	_	
1-8	human	O	_	_	
1-9	body	B-NC	Holonym	1-30	
1-10	and	O	_	_	
1-11	a	O	_	_	
1-12	type	B-NC	_	_	
1-13	of	O	_	_	
1-14	digit	B-NC	_	_	
1-15	,	O	_	_	
1-16	an	O	_	_	
1-17	organ	B-NC	Holonym|Holonym|Holonym	1-9|1-30|1-27	
1-18	of	O	_	_	
1-19	manipulation	B-NC	_	_	
1-20	and	O	_	_	
1-21	sensation	B-NC	_	_	
1-22	found	O	_	_	
1-23	in	O	_	_	
1-24	the	O	_	_	
1-25	hands	B-NC	_	_	
1-26	of	O	_	_	
1-27	humans	B-NC	Hypernym	1-30	
1-28	and	O	_	_	
1-29	other	O	_	_	
1-30	primates	B-NC	_	_	
1-31	.	O	_	_	
1-32	[	O	_	_	
1-33	1][2	B-NC	_	_	
1-34	]	O	_	_	
1-35	Normally	B-NC	_	_	
1-36	humans	B-NC	_	_	
1-37	have	O	_	_	
1-38	five	O	_	_	
1-39	digits	B-NC	Holonym	1-54	
1-40	,	O	_	_	
1-41	the	O	_	_	
1-42	bones	B-NC	Holonym|Holonym|Holonym|Holonym	1-5|1-30|1-39|1-54	
1-43	of	O	_	_	
1-44	which	O	_	_	
1-45	are	O	_	_	
1-46	termed	O	_	_	
1-47	phalanges	B-NC	Hypernym	1-42	
1-48	,	O	_	_	
1-49	[	O	_	_	
1-50	2	O	_	_	
1-51	]	O	_	_	
1-52	on	O	_	_	
1-53	each	O	_	_	
1-54	hand	B-NC	_	_	
1-55	(	O	_	_	
1-56	exceptions	B-NC	_	_	
1-57	are	O	_	_	
1-58	polydactyly	B-NC	_	_	
1-59	,	O	_	_	
1-60	oligodactyly	B-NC	Co-Hyponym	1-58	
1-61	and	O	_	_	
1-62	digit	B-NC|B-NC	Co-Hyponym	1-58	
1-63	loss	I-NC|B-NC	_	_	
1-64	)	O	_	_	
1-65	.	O	_	_	
1-66	The	O	_	_	
1-67	first	O	_	_	
1-68	digit	B-NC	_	_	
1-69	is	O	_	_	
1-70	the	O	_	_	
1-71	thumb	B-NC	Hypernym	1-2	
1-72	,	O	_	_	
1-73	followed	O	_	_	
1-74	by	O	_	_	
1-75	index	B-NC|B-NC	Hypernym	1-2	
1-76	finger	I-NC|B-NC	_	_	
1-77	,	O	_	_	
1-78	middle	B-NC|B-NC	Hypernym	1-2	
1-79	finger	I-NC|I-NC|B-NC	_	_	
1-80	,	O	_	_	
1-81	ring	B-NC|B-NC	Hypernym	1-2	
1-82	finger	I-NC|B-NC	_	_	
1-83	,	O	_	_	
1-84	and	O	_	_	
1-85	little	B-NC	Hypernym	1-2	
1-86	finger	I-NC|B-NC	_	_	
1-87	or	O	_	_	
1-88	pinky	B-NC	Synonym	1-85	
1-89	.	O	_	_	
1-90	According	O	_	_	
1-91	to	O	_	_	
1-92	different	O	_	_	
1-93	definitions	B-NC	_	_	
1-94	,	O	_	_	
1-95	the	O	_	_	
1-96	thumb	B-NC	Hypernym	1-101	
1-97	can	O	_	_	
1-98	be	O	_	_	
1-99	called	O	_	_	
1-100	a	O	_	_	
1-101	finger	B-NC	_	_	
1-102	,	O	_	_	
1-103	or	O	_	_	
1-104	not	O	_	_	

