 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=1 . Пальцы — части тела четвероногих позвоночных ( необязательно ) , расположенные на концах конечностей и служащие , в основном , для осязания и манипуляции ( особенно у приматов)[1 ] . У птиц пальцы передних конечностей служат частью каркаса крыльев , а у рукокрылых они являются его основной частью
1-1	1	O	_	_	
1-2	.	O	_	_	
1-3	Пальцы	B-NC	Holonym|Hypernym	1-16|1-5	
1-4	—	O	_	_	
1-5	части	B-NC|B-NC	_	_	
1-6	тела	I-NC|B-NC	Holonym	1-30	
1-7	четвероногих	O	_	_	
1-8	позвоночных	B-NC	_	_	
1-9	(	O	_	_	
1-10	необязательно	O	_	_	
1-11	)	O	_	_	
1-12	,	O	_	_	
1-13	расположенные	O	_	_	
1-14	на	O	_	_	
1-15	концах	B-NC	_	_	
1-16	конечностей	B-NC	Holonym	1-6	
1-17	и	O	_	_	
1-18	служащие	B-NC	_	_	
1-19	,	O	_	_	
1-20	в	O	_	_	
1-21	основном	B-NC	_	_	
1-22	,	O	_	_	
1-23	для	O	_	_	
1-24	осязания	B-NC	_	_	
1-25	и	O	_	_	
1-26	манипуляции	B-NC	_	_	
1-27	(	O	_	_	
1-28	особенно	O	_	_	
1-29	у	O	_	_	
1-30	приматов)[1	B-NC	Hypernym	1-8	
1-31	]	O	_	_	
1-32	.	O	_	_	
1-33	У	O	_	_	
1-34	птиц	B-NC	Hypernym	1-8	
1-35	пальцы	B-NC	Holonym	1-37	
1-36	передних	O	_	_	
1-37	конечностей	B-NC	Holonym	1-34	
1-38	служат	O	_	_	
1-39	частью	B-NC	_	_	
1-40	каркаса	B-NC	Holonym	1-41	
1-41	крыльев	B-NC	Holonym	1-34	
1-42	,	O	_	_	
1-43	а	O	_	_	
1-44	у	O	_	_	
1-45	рукокрылых	B-NC	Hypernym	1-8	
1-46	они	O	_	_	
1-47	являются	O	_	_	
1-48	его	O	_	_	
1-49	основной	O	_	_	
1-50	частью	B-NC	_	_	

#id=2
#text=2 . Пальцы ( англ . digits ) — трубчатые кутикулярные придатки , расположенные на концах ножек морских тихоходок семейств Halechiniscidae , Batillipedidae , Renaudarctidae и Neostygarctidae ( класс Heterotardigrada , отряд Arthrotardigrada ) , оканчивающиеся коготками или «присосками» ( адгезивными придатками )
2-1	2	O	_	_	
2-2	.	O	_	_	
2-3	Пальцы	B-NC	Hypernym	2-12	
2-4	(	O	_	_	
2-5	англ	O	_	_	
2-6	.	O	_	_	
2-7	digits	O	_	_	
2-8	)	O	_	_	
2-9	—	O	_	_	
2-10	трубчатые	O	_	_	
2-11	кутикулярные	O	_	_	
2-12	придатки	B-NC	Holonym	2-17	
2-13	,	O	_	_	
2-14	расположенные	O	_	_	
2-15	на	O	_	_	
2-16	концах	B-NC	_	_	
2-17	ножек	B-NC	_	_	
2-18	морских	O	_	_	
2-19	тихоходок	O	_	_	
2-20	семейств	B-NC	Hypernym	2-32	
2-21	Halechiniscidae	O	_	_	
2-22	,	O	_	_	
2-23	Batillipedidae	O	_	_	
2-24	,	O	_	_	
2-25	Renaudarctidae	O	_	_	
2-26	и	O	_	_	
2-27	Neostygarctidae	O	_	_	
2-28	(	O	_	_	
2-29	класс	B-NC	_	_	
2-30	Heterotardigrada	O	_	_	
2-31	,	O	_	_	
2-32	отряд	B-NC	Hypernym	2-29	
2-33	Arthrotardigrada	O	_	_	
2-34	)	O	_	_	
2-35	,	O	_	_	
2-36	оканчивающиеся	O	_	_	
2-37	коготками	B-NC	Holonym	2-3	
2-38	или	O	_	_	
2-39	«присосками»	O	_	_	
2-40	(	O	_	_	
2-41	адгезивными	O	_	_	
2-42	придатками	B-NC	_	_	
2-43	)	O	_	_	

