 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Evarist Gamelin , Maler und Schüler Davids , Bürger des Stadtbezirks Pont - Neuf ( vormals Henri IV . ) , ging frühmorgens nach der einstigen Barnabitenkirche , in der seit drei Jahren – seit dem 21 . Mai 1791 – die Generalversammlung dieses Bezirks tagte . Die Kirche ragte auf einem engen , düsteren Platze , nahe dem Gitter des Justizpalastes . Die verwitterte , von Menschenhand verstümmelte Fassade bestand aus zwei antiken Pfeilergeschossen , die mit halb zerstörten Gesimsen und mit Pechpfannen geschmückt waren . Die Wahrzeichen des Glaubens waren roh abgemeißelt , und über dem Portal stand in schwarzen Buchstaben der Wahlspruch der Republik : »Freiheit , Gleichheit , Brüderlichkeit oder Tod . « Evarist Gamelin trat ein . Unter den Wölbungen des Kirchenschiffs , die einst vom Chorgesang der Bruderschaft St. Pauli widerhallten , saßen jetzt die Patrioten in roter Mütze , um die Stadtverwaltung zu wählen und über die Geschäfte des Bezirks zu beraten . Die Heiligenfiguren waren aus ihren Nischen entfernt und durch Büsten von Brutus , Jean Jacques Rousseau und Le Peltier ersetzt worden . Auf dem seines Schmuckes beraubten Altar stand eine Tafel mit der Verkündigung der Menschenrechte
1-1	Evarist	B-NC	_	_	
1-2	Gamelin	B-NC	_	_	
1-3	,	O	_	_	
1-4	Maler	B-NC	Hypernym	1-9	
1-5	und	O	_	_	
1-6	Schüler	B-NC	Hypernym	1-9	
1-7	Davids	B-NC	_	_	
1-8	,	O	_	_	
1-9	Bürger	B-NC	Holonym|Holonym	1-149|1-43	
1-10	des	O	_	_	
1-11	Stadtbezirks	B-NC	Hypernym	1-45	
1-12	Pont	O	_	_	
1-13	-	O	_	_	
1-14	Neuf	O	_	_	
1-15	(	O	_	_	
1-16	vormals	O	_	_	
1-17	Henri	B-NC	_	_	
1-18	IV	B-NC	_	_	
1-19	.	O	_	_	
1-20	)	O	_	_	
1-21	,	O	_	_	
1-22	ging	O	_	_	
1-23	frühmorgens	O	_	_	
1-24	nach	O	_	_	
1-25	der	O	_	_	
1-26	einstigen	O	_	_	
1-27	Barnabitenkirche	B-NC	_	_	
1-28	,	O	_	_	
1-29	in	O	_	_	
1-30	der	O	_	_	
1-31	seit	O	_	_	
1-32	drei	O	_	_	
1-33	Jahren	B-NC	_	_	
1-34	–	B-NC	_	_	
1-35	seit	O	_	_	
1-36	dem	O	_	_	
1-37	21	O	_	_	
1-38	.	O	_	_	
1-39	Mai	B-NC	_	_	
1-40	1791	O	_	_	
1-41	–	B-NC	_	_	
1-42	die	O	_	_	
1-43	Generalversammlung	B-NC	_	_	
1-44	dieses	O	_	_	
1-45	Bezirks	B-NC	Holonym	1-107	
1-46	tagte	O	_	_	
1-47	.	O	_	_	
1-48	Die	O	_	_	
1-49	Kirche	B-NC	Hypernym	1-89	
1-50	ragte	O	_	_	
1-51	auf	O	_	_	
1-52	einem	O	_	_	
1-53	engen	O	_	_	
1-54	,	O	_	_	
1-55	düsteren	O	_	_	
1-56	Platze	B-NC	_	_	
1-57	,	O	_	_	
1-58	nahe	O	_	_	
1-59	dem	O	_	_	
1-60	Gitter	B-NC	_	_	
1-61	des	O	_	_	
1-62	Justizpalastes	B-NC	_	_	
1-63	.	O	_	_	
1-64	Die	O	_	_	
1-65	verwitterte	O	_	_	
1-66	,	O	_	_	
1-67	von	O	_	_	
1-68	Menschenhand	B-NC	_	_	
1-69	verstümmelte	O	_	_	
1-70	Fassade	B-NC	Holonym|Holonym	1-49|1-127	
1-71	bestand	O	_	_	
1-72	aus	O	_	_	
1-73	zwei	O	_	_	
1-74	antiken	O	_	_	
1-75	Pfeilergeschossen	B-NC	Holonym	1-70	
1-76	,	O	_	_	
1-77	die	O	_	_	
1-78	mit	O	_	_	
1-79	halb	O	_	_	
1-80	zerstörten	O	_	_	
1-81	Gesimsen	B-NC	Holonym	1-75	
1-82	und	O	_	_	
1-83	mit	O	_	_	
1-84	Pechpfannen	B-NC	Holonym	1-75	
1-85	geschmückt	O	_	_	
1-86	waren	O	_	_	
1-87	.	O	_	_	
1-88	Die	O	_	_	
1-89	Wahrzeichen	B-NC	_	_	
1-90	des	O	_	_	
1-91	Glaubens	B-NC	_	_	
1-92	waren	O	_	_	
1-93	roh	O	_	_	
1-94	abgemeißelt	O	_	_	
1-95	,	O	_	_	
1-96	und	O	_	_	
1-97	über	O	_	_	
1-98	dem	O	_	_	
1-99	Portal	B-NC	Holonym	1-49	
1-100	stand	O	_	_	
1-101	in	O	_	_	
1-102	schwarzen	O	_	_	
1-103	Buchstaben	B-NC	Holonym	1-105	
1-104	der	O	_	_	
1-105	Wahlspruch	B-NC	Hypernym	1-194	
1-106	der	O	_	_	
1-107	Republik	B-NC	_	_	
1-108	:	O	_	_	
1-109	»Freiheit	B-Text mistake	Hypernym	1-196	
1-110	,	O	_	_	
1-111	Gleichheit	B-NC	Co-Hyponym|Hypernym	1-109|1-196	
1-112	,	O	_	_	
1-113	Brüderlichkeit	B-NC	Co-Hyponym	1-109	
1-114	oder	O	_	_	
1-115	Tod	B-NC	_	_	
1-116	.	O	_	_	
1-117	«	O	_	_	
1-118	Evarist	B-NC	_	_	
1-119	Gamelin	B-NC	_	_	
1-120	trat	O	_	_	
1-121	ein	O	_	_	
1-122	.	O	_	_	
1-123	Unter	O	_	_	
1-124	den	O	_	_	
1-125	Wölbungen	B-NC	Holonym	1-127	
1-126	des	O	_	_	
1-127	Kirchenschiffs	B-NC	Holonym	1-49	
1-128	,	O	_	_	
1-129	die	O	_	_	
1-130	einst	O	_	_	
1-131	vom	O	_	_	
1-132	Chorgesang	B-NC	_	_	
1-133	der	O	_	_	
1-134	Bruderschaft	B-NC	_	_	
1-135	St.	B-NC	_	_	
1-136	Pauli	B-NC	_	_	
1-137	widerhallten	O	_	_	
1-138	,	O	_	_	
1-139	saßen	O	_	_	
1-140	jetzt	O	_	_	
1-141	die	O	_	_	
1-142	Patrioten	B-NC	Hypernym	1-9	
1-143	in	O	_	_	
1-144	roter	O	_	_	
1-145	Mütze	B-NC	_	_	
1-146	,	O	_	_	
1-147	um	O	_	_	
1-148	die	O	_	_	
1-149	Stadtverwaltung	B-NC	_	_	
1-150	zu	O	_	_	
1-151	wählen	O	_	_	
1-152	und	O	_	_	
1-153	über	O	_	_	
1-154	die	O	_	_	
1-155	Geschäfte	B-NC	_	_	
1-156	des	O	_	_	
1-157	Bezirks	B-NC	_	_	
1-158	zu	O	_	_	
1-159	beraten	O	_	_	
1-160	.	O	_	_	
1-161	Die	O	_	_	
1-162	Heiligenfiguren	B-NC	_	_	
1-163	waren	O	_	_	
1-164	aus	O	_	_	
1-165	ihren	O	_	_	
1-166	Nischen	B-NC	_	_	
1-167	entfernt	O	_	_	
1-168	und	O	_	_	
1-169	durch	O	_	_	
1-170	Büsten	B-NC	Co-Hyponym	1-162	
1-171	von	O	_	_	
1-172	Brutus	B-NC	_	_	
1-173	,	O	_	_	
1-174	Jean	B-NC	_	_	
1-175	Jacques	B-NC	_	_	
1-176	Rousseau	B-NC	_	_	
1-177	und	O	_	_	
1-178	Le	B-NC	_	_	
1-179	Peltier	B-NC	_	_	
1-180	ersetzt	O	_	_	
1-181	worden	O	_	_	
1-182	.	O	_	_	
1-183	Auf	O	_	_	
1-184	dem	O	_	_	
1-185	seines	O	_	_	
1-186	Schmuckes	B-NC	Co-Hyponym	1-145	
1-187	beraubten	O	_	_	
1-188	Altar	B-NC	Holonym	1-49	
1-189	stand	O	_	_	
1-190	eine	O	_	_	
1-191	Tafel	B-NC	_	_	
1-192	mit	O	_	_	
1-193	der	O	_	_	
1-194	Verkündigung	B-NC	_	_	
1-195	der	O	_	_	
1-196	Menschenrechte	B-NC	_	_	

#id=2
#text=Zweimal wöchentlich , von fünf Uhr nachmittags bis elf Uhr nachts , fanden hier die öffentlichen Versammlungen statt . Die Kanzel , an der die Nationalfahne prangte , diente als Rednertribüne . Gegenüber , auf der linken Altarseite , war ein Brettergerüst aufgeschlagen ; es war für die Frauen und Kinder bestimmt , die diesen Versammlungen in großer Zahl beiwohnten . An einem Schreibtisch zu Füßen der Kanzel saß an jedem Morgen in roter Mütze und Karmagnole der Bürger Dupont der Ältere , Tischler von der Place de Thionville und Mitglied vom Überwachungsausschuß . Auf dem Schreibtische stand eine Flasche mit Gläsern und Schreibzeug , daneben lag ein Schriftstück , der Text einer Petition , zwanzig unwürdige Mitglieder des Konvents zu ächten
2-1	Zweimal	B-NC	_	_	
2-2	wöchentlich	O	_	_	
2-3	,	O	_	_	
2-4	von	O	_	_	
2-5	fünf	O	_	_	
2-6	Uhr	B-NC	_	_	
2-7	nachmittags	O	_	_	
2-8	bis	O	_	_	
2-9	elf	O	_	_	
2-10	Uhr	B-NC	_	_	
2-11	nachts	O	_	_	
2-12	,	O	_	_	
2-13	fanden	O	_	_	
2-14	hier	O	_	_	
2-15	die	O	_	_	
2-16	öffentlichen	O	_	_	
2-17	Versammlungen	B-NC	_	_	
2-18	statt	O	_	_	
2-19	.	O	_	_	
2-20	Die	O	_	_	
2-21	Kanzel	B-NC	Hypernym	2-31	
2-22	,	O	_	_	
2-23	an	O	_	_	
2-24	der	O	_	_	
2-25	die	O	_	_	
2-26	Nationalfahne	B-NC	_	_	
2-27	prangte	O	_	_	
2-28	,	O	_	_	
2-29	diente	O	_	_	
2-30	als	O	_	_	
2-31	Rednertribüne	B-NC	_	_	
2-32	.	O	_	_	
2-33	Gegenüber	O	_	_	
2-34	,	O	_	_	
2-35	auf	O	_	_	
2-36	der	O	_	_	
2-37	linken	O	_	_	
2-38	Altarseite	B-NC	_	_	
2-39	,	O	_	_	
2-40	war	O	_	_	
2-41	ein	O	_	_	
2-42	Brettergerüst	B-NC	_	_	
2-43	aufgeschlagen	O	_	_	
2-44	;	O	_	_	
2-45	es	O	_	_	
2-46	war	O	_	_	
2-47	für	O	_	_	
2-48	die	O	_	_	
2-49	Frauen	B-NC	Hypernym|Holonym	2-79|2-56	
2-50	und	O	_	_	
2-51	Kinder	B-NC	Hypernym|Holonym	2-79|2-56	
2-52	bestimmt	O	_	_	
2-53	,	O	_	_	
2-54	die	O	_	_	
2-55	diesen	O	_	_	
2-56	Versammlungen	B-NC	_	_	
2-57	in	O	_	_	
2-58	großer	O	_	_	
2-59	Zahl	B-NC	_	_	
2-60	beiwohnten	O	_	_	
2-61	.	O	_	_	
2-62	An	O	_	_	
2-63	einem	O	_	_	
2-64	Schreibtisch	B-NC	_	_	
2-65	zu	O	_	_	
2-66	Füßen	B-NC	Holonym	2-68	
2-67	der	O	_	_	
2-68	Kanzel	B-NC	_	_	
2-69	saß	O	_	_	
2-70	an	O	_	_	
2-71	jedem	O	_	_	
2-72	Morgen	B-NC	_	_	
2-73	in	O	_	_	
2-74	roter	O	_	_	
2-75	Mütze	B-NC	_	_	
2-76	und	O	_	_	
2-77	Karmagnole	B-NC	_	_	
2-78	der	O	_	_	
2-79	Bürger	B-NC	Hypernym	2-91	
2-80	Dupont	B-NC	_	_	
2-81	der	O	_	_	
2-82	Ältere	B-NC	_	_	
2-83	,	O	_	_	
2-84	Tischler	B-NC	Hypernym	2-79	
2-85	von	O	_	_	
2-86	der	O	_	_	
2-87	Place	B-NC	_	_	
2-88	de	B-NC	_	_	
2-89	Thionville	B-NC	_	_	
2-90	und	O	_	_	
2-91	Mitglied	B-NC	Holonym|Holonym	2-17|2-93	
2-92	vom	O	_	_	
2-93	Überwachungsausschuß	B-NC	_	_	
2-94	.	O	_	_	
2-95	Auf	O	_	_	
2-96	dem	O	_	_	
2-97	Schreibtische	B-NC	Synonym	2-64	
2-98	stand	O	_	_	
2-99	eine	O	_	_	
2-100	Flasche	B-NC	_	_	
2-101	mit	O	_	_	
2-102	Gläsern	B-NC	_	_	
2-103	und	O	_	_	
2-104	Schreibzeug	B-NC	_	_	
2-105	,	O	_	_	
2-106	daneben	O	_	_	
2-107	lag	O	_	_	
2-108	ein	O	_	_	
2-109	Schriftstück	B-NC	_	_	
2-110	,	O	_	_	
2-111	der	O	_	_	
2-112	Text	B-NC	Holonym|Holonym	2-109|2-114	
2-113	einer	O	_	_	
2-114	Petition	B-NC	Hypernym	2-109	
2-115	,	O	_	_	
2-116	zwanzig	O	_	_	
2-117	unwürdige	O	_	_	
2-118	Mitglieder	B-NC	Holonym	2-120	
2-119	des	O	_	_	
2-120	Konvents	B-NC	Hypernym	2-17	
2-121	zu	O	_	_	
2-122	ächten	O	_	_	

#id=3
#text=Evarist Gamelin griff zur Feder und unterschrieb
3-1	Evarist	B-NC	_	_	
3-2	Gamelin	B-NC	_	_	
3-3	griff	O	_	_	
3-4	zur	O	_	_	
3-5	Feder	B-NC	_	_	
3-6	und	O	_	_	
3-7	unterschrieb	O	_	_	

#id=4
#text=»Ich wußte es wohl« , sprach der Tischler und Beamte , »du würdest deine Unterschrift leisten , Bürger Gamelin . Du bist lauter . Aber die Leute vom Bezirk sind lau und ohne Bürgertugend . Ich gab dem Überwachungsausschuß den Rat , jedem , der die Petition nicht unterschreibt , die Bescheinigung des Bürgerrechts zu verweigern .
4-1	»Ich	B-NC	_	_	
4-2	wußte	O	_	_	
4-3	es	O	_	_	
4-4	wohl«	O	_	_	
4-5	,	O	_	_	
4-6	sprach	O	_	_	
4-7	der	O	_	_	
4-8	Tischler	B-NC	Hypernym	4-18	
4-9	und	O	_	_	
4-10	Beamte	B-NC	Hypernym	4-18	
4-11	,	O	_	_	
4-12	»du	B-NC	_	_	
4-13	würdest	O	_	_	
4-14	deine	O	_	_	
4-15	Unterschrift	B-NC	Holonym	4-47	
4-16	leisten	O	_	_	
4-17	,	O	_	_	
4-18	Bürger	B-NC	Holonym|Hypernym	4-39|4-27	
4-19	Gamelin	B-NC	_	_	
4-20	.	O	_	_	
4-21	Du	O	_	_	
4-22	bist	O	_	_	
4-23	lauter	O	_	_	
4-24	.	O	_	_	
4-25	Aber	O	_	_	
4-26	die	O	_	_	
4-27	Leute	B-NC	_	_	
4-28	vom	O	_	_	
4-29	Bezirk	B-NC	_	_	
4-30	sind	O	_	_	
4-31	lau	O	_	_	
4-32	und	O	_	_	
4-33	ohne	O	_	_	
4-34	Bürgertugend	B-NC	_	_	
4-35	.	O	_	_	
4-36	Ich	O	_	_	
4-37	gab	O	_	_	
4-38	dem	O	_	_	
4-39	Überwachungsausschuß	B-NC	_	_	
4-40	den	O	_	_	
4-41	Rat	B-NC	_	_	
4-42	,	O	_	_	
4-43	jedem	O	_	_	
4-44	,	O	_	_	
4-45	der	O	_	_	
4-46	die	O	_	_	
4-47	Petition	B-NC	_	_	
4-48	nicht	O	_	_	
4-49	unterschreibt	O	_	_	
4-50	,	O	_	_	
4-51	die	O	_	_	
4-52	Bescheinigung	B-NC	Co-Hyponym	4-47	
4-53	des	O	_	_	
4-54	Bürgerrechts	B-NC	_	_	
4-55	zu	O	_	_	
4-56	verweigern	O	_	_	
4-57	.	O	_	_	

#id=5
#text=»Ich bin bereit« , erwiderte Gamelin , »die Ächtung der föderalistischen Verräter mit meinem Blute zu unterschreiben . Sie wollten Marats Tod : nieder mit ihnen !
5-1	»Ich	B-NC	_	_	
5-2	bin	O	_	_	
5-3	bereit«	O	_	_	
5-4	,	O	_	_	
5-5	erwiderte	O	_	_	
5-6	Gamelin	B-NC	_	_	
5-7	,	O	_	_	
5-8	»die	B-NC	_	_	
5-9	Ächtung	B-NC	_	_	
5-10	der	O	_	_	
5-11	föderalistischen	O	_	_	
5-12	Verräter	B-NC	_	_	
5-13	mit	O	_	_	
5-14	meinem	O	_	_	
5-15	Blute	B-NC	_	_	
5-16	zu	O	_	_	
5-17	unterschreiben	O	_	_	
5-18	.	O	_	_	
5-19	Sie	O	_	_	
5-20	wollten	O	_	_	
5-21	Marats	B-NC	_	_	
5-22	Tod	B-NC	_	_	
5-23	:	O	_	_	
5-24	nieder	O	_	_	
5-25	mit	O	_	_	
5-26	ihnen	O	_	_	
5-27	!	O	_	_	

