 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Évariste Gamelin , painter , pupil of David , member of the Section du Pont - Neuf , formerly Section Henri IV , had betaken himself at an early hour in the morning to the old church of the Barnabites , which for three years , since 21st May 1790 , had served as meeting - place for the General Assembly of the Section . The church stood in a narrow , gloomy square , not far from the gates of the Palais de Justice . On the façade , which consisted of two of the Classical orders superimposed and was decorated with inverted brackets and flaming urns , blackened by the weather and disfigured by the hand of man , the religious emblems had been battered to pieces , while above the doorway had been inscribed in black letters the Republican catchword of " Liberty , Equality , Fraternity or Death . " Évariste Gamelin made his way into the nave ; the same vaults which had heard the surpliced clerks of the Congregation of St. Paul sing the divine offices , now looked down on red - capped patriots assembled to elect the Municipal magistrates and deliberate on the affairs of the Section . The Saints had been dragged from their niches and replaced by the busts of Brutus , Jean - Jacques and Le Peltier . The altar had been stripped bare and was surmounted by the Table of the Rights of Man
1-1	Évariste	B-NC	_	_	
1-2	Gamelin	B-NC	_	_	
1-3	,	O	_	_	
1-4	painter	B-NC	Hypernym	1-120	
1-5	,	O	_	_	
1-6	pupil	B-NC	_	_	
1-7	of	O	_	_	
1-8	David	B-NC	_	_	
1-9	,	O	_	_	
1-10	member	B-NC	Hypernym	1-120	
1-11	of	O	_	_	
1-12	the	O	_	_	
1-13	Section	B-NC	_	_	
1-14	du	B-NC	_	_	
1-15	Pont	B-NC	_	_	
1-16	-	O	_	_	
1-17	Neuf	B-NC	_	_	
1-18	,	O	_	_	
1-19	formerly	O	_	_	
1-20	Section	B-NC	_	_	
1-21	Henri	B-NC	_	_	
1-22	IV	B-NC	_	_	
1-23	,	O	_	_	
1-24	had	O	_	_	
1-25	betaken	O	_	_	
1-26	himself	O	_	_	
1-27	at	O	_	_	
1-28	an	O	_	_	
1-29	early	O	_	_	
1-30	hour	B-NC	_	_	
1-31	in	O	_	_	
1-32	the	O	_	_	
1-33	morning	B-NC	_	_	
1-34	to	O	_	_	
1-35	the	O	_	_	
1-36	old	O	_	_	
1-37	church	B-NC	_	_	
1-38	of	O	_	_	
1-39	the	O	_	_	
1-40	Barnabites	B-NC	_	_	
1-41	,	O	_	_	
1-42	which	O	_	_	
1-43	for	O	_	_	
1-44	three	O	_	_	
1-45	years	B-NC	_	_	
1-46	,	O	_	_	
1-47	since	O	_	_	
1-48	21st	O	_	_	
1-49	May	B-NC	_	_	
1-50	1790	O	_	_	
1-51	,	O	_	_	
1-52	had	O	_	_	
1-53	served	O	_	_	
1-54	as	O	_	_	
1-55	meeting	B-NC	_	_	
1-56	-	O	_	_	
1-57	place	B-NC	_	_	
1-58	for	O	_	_	
1-59	the	O	_	_	
1-60	General	B-NC	_	_	
1-61	Assembly	B-NC	_	_	
1-62	of	O	_	_	
1-63	the	O	_	_	
1-64	Section	B-NC	_	_	
1-65	.	O	_	_	
1-66	The	O	_	_	
1-67	church	B-NC	_	_	
1-68	stood	O	_	_	
1-69	in	O	_	_	
1-70	a	O	_	_	
1-71	narrow	O	_	_	
1-72	,	O	_	_	
1-73	gloomy	O	_	_	
1-74	square	B-NC	_	_	
1-75	,	O	_	_	
1-76	not	O	_	_	
1-77	far	O	_	_	
1-78	from	O	_	_	
1-79	the	O	_	_	
1-80	gates	B-NC	_	_	
1-81	of	O	_	_	
1-82	the	O	_	_	
1-83	Palais	B-NC	_	_	
1-84	de	B-NC	_	_	
1-85	Justice	B-NC	_	_	
1-86	.	O	_	_	
1-87	On	O	_	_	
1-88	the	O	_	_	
1-89	façade	B-NC	Holonym	1-67	
1-90	,	O	_	_	
1-91	which	O	_	_	
1-92	consisted	O	_	_	
1-93	of	O	_	_	
1-94	two	O	_	_	
