 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Эварист Гамлен , художник , ученик Давида , член секции Нового Моста , прежде – секции Генриха IV , ранним утром отправился в бывшею церковь варнавитов , которая в течение трех лет , с 21 мая 1790 г . , служила местом общих собраний секции . Церковь эта находилась на тесной , мрачной площади , близ решетки Суда . На фасаде , составленном из двух классических орденов , украшенном опрокинутыми консолями и артиллерийскими ракетами , пострадавшем от времени , потерпевшем от людей , религиозные эмблемы были сбиты , и на их месте , над главным входом , черными буквами вывели республиканский девиз : «Свобода , Равенство , Братство или Смерть» . Эварист Гамлен вошел внутрь : своды , некогда внимавшие богослужениям клириков конгрегации святого Павла , облаченных в стихари , теперь глядели на патриотов в красных колпаках , сходившихся сюда для выборов муниципальных чиновников и для обсуждения дел секции . Святых вытащили из ниш и заменили бюстами Брута , Жан - Жака и Ле - Пельтье . На разоренном алтаре высилась доска с Декларацией Прав человека
1-1	Эварист	B-NC	_	_	
1-2	Гамлен	B-NC	_	_	
1-3	,	O	_	_	
1-4	художник	B-NC	_	_	
1-5	,	O	_	_	
1-6	ученик	B-NC	_	_	
1-7	Давида	B-NC	_	_	
1-8	,	O	_	_	
1-9	член	B-NC	Holonym	1-10	
1-10	секции	B-NC	_	_	
1-11	Нового	O	_	_	
1-12	Моста	B-NC	_	_	
1-13	,	O	_	_	
1-14	прежде	O	_	_	
1-15	–	O	_	_	
1-16	секции	B-NC	Holonym	1-25	
1-17	Генриха	B-NC	_	_	
1-18	IV	O	_	_	
1-19	,	O	_	_	
1-20	ранним	O	_	_	
1-21	утром	B-NC	_	_	
1-22	отправился	O	_	_	
1-23	в	O	_	_	
1-24	бывшею	B-NC	_	_	
1-25	церковь	B-NC	Hypernym	1-42	
1-26	варнавитов	B-NC	_	_	
1-27	,	O	_	_	
1-28	которая	O	_	_	
1-29	в	O	_	_	
1-30	течение	B-NC	_	_	
1-31	трех	O	_	_	
1-32	лет	B-NC	_	_	
1-33	,	O	_	_	
1-34	с	O	_	_	
1-35	21	O	_	_	
1-36	мая	B-NC	_	_	
1-37	1790	O	_	_	
1-38	г	B-NC	_	_	
1-39	.	O	_	_	
1-40	,	O	_	_	
1-41	служила	O	_	_	
1-42	местом	B-NC	_	_	
1-43	общих	O	_	_	
1-44	собраний	B-NC	_	_	
1-45	секции	B-NC	_	_	
1-46	.	O	_	_	
1-47	Церковь	B-NC	Hypernym	1-123	
1-48	эта	O	_	_	
1-49	находилась	O	_	_	
1-50	на	O	_	_	
1-51	тесной	O	_	_	
1-52	,	O	_	_	
1-53	мрачной	O	_	_	
1-54	площади	B-NC	_	_	
1-55	,	O	_	_	
1-56	близ	O	_	_	
1-57	решетки	B-NC	_	_	
1-58	Суда	B-NC	_	_	
1-59	.	O	_	_	
1-60	На	O	_	_	
1-61	фасаде	B-NC	Holonym	1-47	
1-62	,	O	_	_	
1-63	составленном	O	_	_	
1-64	из	O	_	_	
1-65	двух	O	_	_	
1-66	классических	O	_	_	
1-67	орденов	B-NC	_	_	
1-68	,	O	_	_	
1-69	украшенном	O	_	_	
1-70	опрокинутыми	O	_	_	
1-71	консолями	B-NC	Holonym	1-61	
1-72	и	O	_	_	
1-73	артиллерийскими	O	_	_	
1-74	ракетами	B-NC	_	_	
1-75	,	O	_	_	
1-76	пострадавшем	B-NC	_	_	
1-77	от	O	_	_	
1-78	времени	B-NC	_	_	
1-79	,	O	_	_	
1-80	потерпевшем	O	_	_	
1-81	от	O	_	_	
1-82	людей	B-NC	_	_	
1-83	,	O	_	_	
1-84	религиозные	O	_	_	
1-85	эмблемы	B-NC	_	_	
1-86	были	O	_	_	
1-87	сбиты	O	_	_	
1-88	,	O	_	_	
1-89	и	O	_	_	
1-90	на	O	_	_	
1-91	их	O	_	_	
1-92	месте	B-NC	_	_	
1-93	,	O	_	_	
1-94	над	O	_	_	
1-95	главным	O	_	_	
1-96	входом	B-NC	Holonym	1-47	
1-97	,	O	_	_	
1-98	черными	O	_	_	
1-99	буквами	B-NC	Holonym	1-102	
1-100	вывели	O	_	_	
1-101	республиканский	O	_	_	
1-102	девиз	B-NC	_	_	
1-103	:	O	_	_	
1-104	«Свобода	B-NC	_	_	
1-105	,	O	_	_	
1-106	Равенство	B-NC	_	_	
1-107	,	O	_	_	
1-108	Братство	B-NC	_	_	
1-109	или	O	_	_	
1-110	Смерть»	B-NC	_	_	
1-111	.	O	_	_	
1-112	Эварист	B-NC	_	_	
1-113	Гамлен	B-NC	_	_	
1-114	вошел	O	_	_	
1-115	внутрь	O	_	_	
1-116	:	O	_	_	
1-117	своды	B-NC	Holonym	1-61	
1-118	,	O	_	_	
1-119	некогда	O	_	_	
1-120	внимавшие	O	_	_	
1-121	богослужениям	B-NC	Hypernym	1-44	
1-122	клириков	B-NC	Co-Hyponym|Holonym	1-26|1-123	
1-123	конгрегации	B-NC	_	_	
1-124	святого	B-NC	_	_	
1-125	Павла	B-NC	_	_	
1-126	,	O	_	_	
1-127	облаченных	O	_	_	
1-128	в	O	_	_	
1-129	стихари	B-NC	_	_	
1-130	,	O	_	_	
1-131	теперь	O	_	_	
1-132	глядели	O	_	_	
1-133	на	O	_	_	
1-134	патриотов	B-NC	_	_	
1-135	в	O	_	_	
1-136	красных	O	_	_	
1-137	колпаках	B-NC	Co-Hyponym	1-129	
1-138	,	O	_	_	
