 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Tōkyō ( Japan ) , 14.03.2011 – Das infolge des Seebebens nordöstlich von Tōkyō mit der inzwischen von der USGS nach oben korrigierten Magnitude von 9,0 am Freitag beschädigte Kernkraftwerk Fukushima I in Ōkuma ist offenbar außer Kontrolle geraten . Das Reaktorgebäude von Block 1 wurde am Samstag durch eine Explosion schwer beschädigt , ebenso das von Block 2 am Montag . Die Regierung sprach von einer „ nie dagewesenen Katastrophe “ . Die japanische Regierung hat allerdings Gerüchte über eine Kernschmelze in dem Kernkraftwerk dementiert . Die Atomaufsichtbehörde geht von der Gefahr einer Kernschmelze aus . Regierungssprecher Edano stellte klar , man wisse nicht , ob es dazu gekommen sei . Da der Prozess im Innersten des Reaktors ablaufe , könne man nicht in ihn hineinsehen , ergänzte er
1-1	Tōkyō	B-NC	_	_	
1-2	(	O	_	_	
1-3	Japan	B-NC	_	_	
1-4	)	O	_	_	
1-5	,	O	_	_	
1-6	14.03.2011	O	_	_	
1-7	–	O	_	_	
1-8	Das	O	_	_	
1-9	infolge	O	_	_	
1-10	des	O	_	_	
1-11	Seebebens	B-NC	_	_	
1-12	nordöstlich	O	_	_	
1-13	von	O	_	_	
1-14	Tōkyō	B-NC	_	_	
1-15	mit	O	_	_	
1-16	der	O	_	_	
1-17	inzwischen	O	_	_	
1-18	von	O	_	_	
1-19	der	O	_	_	
1-20	USGS	B-NC	_	_	
1-21	nach	O	_	_	
1-22	oben	O	_	_	
1-23	korrigierten	O	_	_	
1-24	Magnitude	B-NC	_	_	
1-25	von	O	_	_	
1-26	9,0	O	_	_	
1-27	am	O	_	_	
1-28	Freitag	B-NC	_	_	
1-29	beschädigte	O	_	_	
1-30	Kernkraftwerk	B-NC	_	_	
1-31	Fukushima	B-NC	_	_	
1-32	I	B-NC	_	_	
1-33	in	O	_	_	
1-34	Ōkuma	B-NC	_	_	
1-35	ist	O	_	_	
1-36	offenbar	O	_	_	
1-37	außer	O	_	_	
1-38	Kontrolle	B-NC	_	_	
1-39	geraten	O	_	_	
1-40	.	O	_	_	
1-41	Das	O	_	_	
1-42	Reaktorgebäude	B-NC	Holonym	1-30	
1-43	von	O	_	_	
1-44	Block	B-NC	_	_	
1-45	1	O	_	_	
1-46	wurde	O	_	_	
1-47	am	O	_	_	
1-48	Samstag	B-NC	_	_	
1-49	durch	O	_	_	
1-50	eine	O	_	_	
1-51	Explosion	B-NC	_	_	
1-52	schwer	O	_	_	
1-53	beschädigt	O	_	_	
1-54	,	O	_	_	
1-55	ebenso	O	_	_	
1-56	das	O	_	_	
1-57	von	O	_	_	
1-58	Block	B-NC	_	_	
1-59	2	O	_	_	
1-60	am	O	_	_	
1-61	Montag	B-NC	_	_	
1-62	.	O	_	_	
1-63	Die	O	_	_	
1-64	Regierung	B-NC	_	_	
1-65	sprach	O	_	_	
1-66	von	O	_	_	
1-67	einer	O	_	_	
1-68	„	O	_	_	
1-69	nie	O	_	_	
1-70	dagewesenen	O	_	_	
1-71	Katastrophe	B-NC	_	_	
1-72	“	O	_	_	
1-73	.	O	_	_	
1-74	Die	O	_	_	
1-75	japanische	O	_	_	
1-76	Regierung	B-NC	_	_	
1-77	hat	O	_	_	
1-78	allerdings	O	_	_	
1-79	Gerüchte	B-NC	_	_	
1-80	über	O	_	_	
1-81	eine	O	_	_	
1-82	Kernschmelze	B-NC	_	_	
1-83	in	O	_	_	
1-84	dem	O	_	_	
1-85	Kernkraftwerk	B-NC	_	_	
1-86	dementiert	O	_	_	
1-87	.	O	_	_	
1-88	Die	O	_	_	
1-89	Atomaufsichtbehörde	B-NC	Co-Hyponym	1-76	
1-90	geht	O	_	_	
1-91	von	O	_	_	
1-92	der	O	_	_	
1-93	Gefahr	B-NC	_	_	
1-94	einer	O	_	_	
1-95	Kernschmelze	B-NC	_	_	
1-96	aus	O	_	_	
1-97	.	O	_	_	
1-98	Regierungssprecher	B-NC	Holonym	1-76	
1-99	Edano	B-NC	_	_	
1-100	stellte	O	_	_	
