 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Japan 's government has declared its first ever " nuclear emergency " after pressure rises in the No. 1 reactor at the Fukushima Daiichi power plant , combined with a minor radiation leak , caused a 10 km radius around the plant to be evacuated . An attempt to relieve the pressure inside the containment vessels of the plant has been delayed Japan 's government has declared its first ever " nuclear emergency " after pressure rises in the No. 1 reactor at the Fukushima Daiichi power plant , combined with a minor radiation leak , caused a 10 km radius around the plant to be evacuated . An attempt to relieve the pressure inside the containment vessels of the plant has been delayed
1-1	Japan	B-NC	_	_	
1-2	's	O	_	_	
1-3	government	B-NC	_	_	
1-4	has	O	_	_	
1-5	declared	O	_	_	
1-6	its	O	_	_	
1-7	first	O	_	_	
1-8	ever	O	_	_	
1-9	"	O	_	_	
1-10	nuclear	O	_	_	
1-11	emergency	B-NC	_	_	
1-12	"	O	_	_	
1-13	after	O	_	_	
1-14	pressure	B-NC	_	_	
1-15	rises	I-NC	_	_	
1-16	in	O	_	_	
1-17	the	O	_	_	
1-18	No.	B-NC	_	_	
1-19	1	O	_	_	
1-20	reactor	B-NC	Holonym	1-25	
1-21	at	O	_	_	
1-22	the	O	_	_	
1-23	Fukushima	B-NC	_	_	
1-24	Daiichi	I-NC	_	_	
1-25	power	I-NC|B-NC	Hypernym	1-42	
1-26	plant	I-NC|I-NC	_	_	
1-27	,	O	_	_	
1-28	combined	O	_	_	
1-29	with	O	_	_	
1-30	a	O	_	_	
1-31	minor	O	_	_	
1-32	radiation	B-NC	_	_	
1-33	leak	I-NC	_	_	
1-34	,	O	_	_	
1-35	caused	O	_	_	
1-36	a	O	_	_	
1-37	10	O	_	_	
1-38	km	O	_	_	
1-39	radius	B-NC	_	_	
1-40	around	O	_	_	
1-41	the	O	_	_	
1-42	plant	B-NC	_	_	
1-43	to	O	_	_	
1-44	be	O	_	_	
1-45	evacuated	O	_	_	
1-46	.	O	_	_	
1-47	An	O	_	_	
1-48	attempt	B-NC	_	_	
1-49	to	O	_	_	
1-50	relieve	O	_	_	
1-51	the	O	_	_	
1-52	pressure	B-NC	_	_	
1-53	inside	O	_	_	
1-54	the	O	_	_	
1-55	containment	B-NC	Holonym	1-20	
1-56	vessels	I-NC	_	_	
1-57	of	O	_	_	
1-58	the	O	_	_	
1-59	plant	B-NC	_	_	
1-60	has	O	_	_	
1-61	been	O	_	_	
1-62	delayed	O	_	_	
1-63	Japan	B-NC	_	_	
1-64	's	O	_	_	
1-65	government	B-NC	_	_	
1-66	has	O	_	_	
1-67	declared	O	_	_	
1-68	its	O	_	_	
1-69	first	O	_	_	
1-70	ever	O	_	_	
1-71	"	O	_	_	
1-72	nuclear	O	_	_	
1-73	emergency	B-NC	_	_	
1-74	"	O	_	_	
1-75	after	O	_	_	
1-76	pressure	B-NC	_	_	
1-77	rises	I-NC	_	_	
1-78	in	O	_	_	
1-79	the	O	_	_	
1-80	No.	B-NC	_	_	
1-81	1	O	_	_	
1-82	reactor	B-NC	_	_	
1-83	at	O	_	_	
1-84	the	O	_	_	
1-85	Fukushima	B-NC	_	_	
1-86	Daiichi	I-NC	_	_	
1-87	power	I-NC	_	_	
1-88	plant	I-NC	_	_	
1-89	,	O	_	_	
1-90	combined	O	_	_	
1-91	with	O	_	_	
1-92	a	O	_	_	
1-93	minor	O	_	_	
1-94	radiation	B-NC	_	_	
1-95	leak	I-NC	_	_	
1-96	,	O	_	_	
1-97	caused	O	_	_	
1-98	a	O	_	_	
1-99	10	O	_	_	
1-100	km	O	_	_	
1-101	radius	B-NC	_	_	
1-102	around	O	_	_	
1-103	the	O	_	_	
1-104	plant	B-NC	_	_	
1-105	to	O	_	_	
1-106	be	O	_	_	
1-107	evacuated	O	_	_	
1-108	.	O	_	_	
1-109	An	O	_	_	
1-110	attempt	B-NC	_	_	
1-111	to	O	_	_	
1-112	relieve	O	_	_	
1-113	the	O	_	_	
1-114	pressure	B-NC	_	_	
1-115	inside	O	_	_	
1-116	the	O	_	_	
1-117	containment	B-NC	_	_	
1-118	vessels	I-NC	_	_	
1-119	of	O	_	_	
1-120	the	O	_	_	
1-121	plant	B-NC	_	_	
1-122	has	O	_	_	
1-123	been	O	_	_	
1-124	delayed	O	_	_	

#id=2
#text=The Tokyo Electric Power Company 's 40-year old nuclear facility , 270 km NE of Tokyo , reported mechanical difficulties with its cooling system , although the automated shutdown systems worked correctly . With the core reaction shut down the plant is no longer actively generating heat , but the fuel rods continue to generate excess heat and radiation and need constant cooling The Tokyo Electric Power Company 's 40-year old nuclear facility , 270 km NE of Tokyo , reported mechanical difficulties with its cooling system , although the automated shutdown systems worked correctly . With the core reaction shut down the plant is no longer actively generating heat , but the fuel rods continue to generate excess heat and radiation and need constant cooling
2-1	The	B-NC	_	_	
2-2	Tokyo	I-NC	_	_	
2-3	Electric	I-NC	_	_	
2-4	Power	I-NC	_	_	
2-5	Company	I-NC	_	_	
2-6	's	O	_	_	
2-7	40-year	O	_	_	
2-8	old	O	_	_	
2-9	nuclear	B-NC	Hypernym	2-41	
2-10	facility	I-NC|B-NC	_	_	
2-11	,	O	_	_	
2-12	270	O	_	_	
2-13	km	O	_	_	
2-14	NE	O	_	_	
2-15	of	O	_	_	
2-16	Tokyo	B-NC	_	_	
2-17	,	O	_	_	
2-18	reported	O	_	_	
2-19	mechanical	O	_	_	
2-20	difficulties	B-NC	_	_	
2-21	with	O	_	_	
2-22	its	O	_	_	
2-23	cooling	B-NC	Holonym	2-9	
