 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Японские власти намерены объявить некоторые территории , расположенные вблизи аварийной АЭС «Фукусима-1» , полностью закрытыми для людей даже после ликвидации последствий аварии на станции . Причина такого решения — в высоком количестве радиоактивных веществ , попавших в окружающую среду . Как сообщает РБК , в зоне отчуждения появятся сразу два закрытых города : Футаба и Окума — общей численностью населения около 18 тыс . человек , расположены всего в 3 км от АЭС
1-1	Японские	O	_	_	
1-2	власти	B-NC	_	_	
1-3	намерены	O	_	_	
1-4	объявить	O	_	_	
1-5	некоторые	O	_	_	
1-6	территории	B-NC	_	_	
1-7	,	O	_	_	
1-8	расположенные	O	_	_	
1-9	вблизи	O	_	_	
1-10	аварийной	O	_	_	
1-11	АЭС	B-NC	_	_	
1-12	«Фукусима-1»	O	_	_	
1-13	,	O	_	_	
1-14	полностью	O	_	_	
1-15	закрытыми	O	_	_	
1-16	для	O	_	_	
1-17	людей	B-NC	Holonym	1-60	
1-18	даже	O	_	_	
1-19	после	O	_	_	
1-20	ликвидации	B-NC	_	_	
1-21	последствий	B-NC	_	_	
1-22	аварии	B-NC	_	_	
1-23	на	O	_	_	
1-24	станции	B-NC	_	_	
1-25	.	O	_	_	
1-26	Причина	B-NC	_	_	
1-27	такого	O	_	_	
1-28	решения	B-NC	_	_	
1-29	—	O	_	_	
1-30	в	O	_	_	
1-31	высоком	O	_	_	
1-32	количестве	B-NC	_	_	
1-33	радиоактивных	O	_	_	
1-34	веществ	B-NC	_	_	
1-35	,	O	_	_	
1-36	попавших	O	_	_	
1-37	в	O	_	_	
1-38	окружающую	O	_	_	
1-39	среду	B-NC	Hypernym	1-6	
1-40	.	O	_	_	
1-41	Как	O	_	_	
1-42	сообщает	O	_	_	
1-43	РБК	B-NC	_	_	
1-44	,	O	_	_	
1-45	в	O	_	_	
1-46	зоне	B-NC	Hypernym	1-6	
1-47	отчуждения	B-NC	_	_	
1-48	появятся	O	_	_	
1-49	сразу	O	_	_	
1-50	два	O	_	_	
1-51	закрытых	O	_	_	
1-52	города	B-NC	Hypernym	1-6	
1-53	:	O	_	_	
1-54	Футаба	B-NC	_	_	
1-55	и	O	_	_	
1-56	Окума	B-NC	_	_	
1-57	—	O	_	_	
1-58	общей	O	_	_	
1-59	численностью	B-NC	Hypernym	1-32	
1-60	населения	B-NC	_	_	
1-61	около	O	_	_	
1-62	18	O	_	_	
1-63	тыс	B-NC	_	_	
1-64	.	O	_	_	
1-65	человек	B-NC	Synonym	1-17	
1-66	,	O	_	_	
1-67	расположены	O	_	_	
1-68	всего	O	_	_	
1-69	в	O	_	_	
1-70	3	O	_	_	
1-71	км	B-NC	_	_	
1-72	от	O	_	_	
1-73	АЭС	B-NC	_	_	

#id=2
#text=Министр по делам ликвидации аварии на АЭС Японии Госи Хосоно заявил , что в сентябре 2011 года в 20-километровой зоне отчуждения вокруг атомной станции «Фукусима-1» начнут проводиться полномасштабные меры по дезактивации региона . Спасатели намерены очистить зону от радиоактивных материалов , снять верхний слой земли , чтобы в будущем японцы могли вернуться в брошенные дома . В январе 2012 года должна завершиться вторая стадия работ по охлаждению повреждённых ядерных реакторов
2-1	Министр	B-NC	_	_	
2-2	по	O	_	_	
2-3	делам	B-NC	_	_	
2-4	ликвидации	B-NC	_	_	
2-5	аварии	B-NC	_	_	
2-6	на	O	_	_	
2-7	АЭС	B-NC	_	_	
2-8	Японии	B-NC	_	_	
2-9	Госи	B-NC	_	_	
2-10	Хосоно	B-NC	_	_	
2-11	заявил	O	_	_	
2-12	,	O	_	_	
2-13	что	O	_	_	
2-14	в	O	_	_	
2-15	сентябре	B-NC	_	_	
2-16	2011	O	_	_	
2-17	года	B-NC	_	_	
2-18	в	O	_	_	
2-19	20-километровой	O	_	_	
2-20	зоне	B-NC	_	_	
2-21	отчуждения	B-NC	_	_	
2-22	вокруг	O	_	_	
2-23	атомной	B-NC	_	_	
2-24	станции	I-NC|B-NC	_	_	
2-25	«Фукусима-1»	O	_	_	
2-26	начнут	O	_	_	
2-27	проводиться	O	_	_	
2-28	полномасштабные	O	_	_	
2-29	меры	B-NC	_	_	
2-30	по	O	_	_	
2-31	дезактивации	B-NC	_	_	
2-32	региона	B-NC	Synonym	2-20	
2-33	.	O	_	_	
2-34	Спасатели	B-NC	_	_	
2-35	намерены	O	_	_	
2-36	очистить	O	_	_	
2-37	зону	B-NC	_	_	
2-38	от	O	_	_	
2-39	радиоактивных	O	_	_	
2-40	материалов	B-NC	_	_	
2-41	,	O	_	_	
2-42	снять	O	_	_	
2-43	верхний	O	_	_	
2-44	слой	B-NC	_	_	
2-45	земли	B-NC	_	_	
2-46	,	O	_	_	
2-47	чтобы	O	_	_	
2-48	в	O	_	_	
2-49	будущем	B-NC	_	_	
2-50	японцы	B-NC	_	_	
2-51	могли	O	_	_	
2-52	вернуться	O	_	_	
2-53	в	O	_	_	
2-54	брошенные	O	_	_	
2-55	дома	B-NC	_	_	
2-56	.	O	_	_	
2-57	В	O	_	_	
2-58	январе	B-NC	_	_	
2-59	2012	O	_	_	
2-60	года	B-NC	_	_	
2-61	должна	O	_	_	
2-62	завершиться	O	_	_	
2-63	вторая	O	_	_	
2-64	стадия	B-NC	_	_	
2-65	работ	B-NC	_	_	
2-66	по	O	_	_	
2-67	охлаждению	B-NC	_	_	
2-68	повреждённых	O	_	_	
2-69	ядерных	O	_	_	
2-70	реакторов	B-NC	Holonym	2-23	

#id=3
#text=Напомним , ещё в начале августа сотрудники компании — оператора станции Tokyo Electric Power Co зафиксировали самый высокий уровень радиоактивного фона с момента мартовского землетрясения . В туннеле , соединяющем первый и второй энергоблоки АЭС , уровень радиации составил более 10 000 миллизивертов в час . Кроме того , в подвальном помещении «Фукусимы-1» 1 августа было обнаружено около 700 тонн высокорадиоактивной воды , содержащей 19 тыс . беккерелей радиоактивного цезия-134 на кубический сантиметр и 22 тыс . беккерелей цезия-137 на кубический сантиметр . Спасатели работают над предотвращением попадания воды за пределы станции
3-1	Напомним	O	_	_	
3-2	,	O	_	_	
3-3	ещё	B-NC	_	_	
3-4	в	O	_	_	
3-5	начале	B-NC	_	_	
3-6	августа	B-NC	_	_	
3-7	сотрудники	B-NC	_	_	
3-8	компании	B-NC	_	_	
3-9	—	O	_	_	
3-10	оператора	B-NC	Hypernym	3-7	
3-11	станции	B-NC	_	_	
3-12	Tokyo	O	_	_	
3-13	Electric	O	_	_	
3-14	Power	O	_	_	
3-15	Co	O	_	_	
3-16	зафиксировали	O	_	_	
3-17	самый	O	_	_	
3-18	высокий	O	_	_	
3-19	уровень	B-NC	_	_	
3-20	радиоактивного	O	_	_	
3-21	фона	B-NC	_	_	
3-22	с	O	_	_	
3-23	момента	B-NC	_	_	
3-24	мартовского	O	_	_	
3-25	землетрясения	B-NC	_	_	
3-26	.	O	_	_	
3-27	В	O	_	_	
3-28	туннеле	B-NC	_	_	
3-29	,	O	_	_	
3-30	соединяющем	O	_	_	
3-31	первый	O	_	_	
3-32	и	O	_	_	
3-33	второй	O	_	_	
3-34	энергоблоки	B-NC	Holonym	3-11	
3-35	АЭС	B-NC	Hypernym	3-11	
3-36	,	O	_	_	
3-37	уровень	B-NC	_	_	
3-38	радиации	B-NC	_	_	
3-39	составил	O	_	_	
3-40	более	O	_	_	
3-41	10	O	_	_	
3-42	000	O	_	_	
3-43	миллизивертов	B-NC	_	_	
3-44	в	O	_	_	
3-45	час	B-NC	_	_	
3-46	.	O	_	_	
3-47	Кроме	O	_	_	
3-48	того	O	_	_	
3-49	,	O	_	_	
3-50	в	O	_	_	
3-51	подвальном	B-NC	Holonym	3-11	
3-52	помещении	I-NC|B-NC	_	_	
3-53	«Фукусимы-1»	O	_	_	
3-54	1	O	_	_	
3-55	августа	B-NC	_	_	
3-56	было	O	_	_	
3-57	обнаружено	O	_	_	
3-58	около	O	_	_	
3-59	700	O	_	_	
3-60	тонн	B-NC	_	_	
3-61	высокорадиоактивной	O	_	_	
3-62	воды	B-NC	_	_	
3-63	,	O	_	_	
3-64	содержащей	O	_	_	
3-65	19	O	_	_	
3-66	тыс	B-NC	_	_	
3-67	.	O	_	_	
3-68	беккерелей	B-NC	_	_	
3-69	радиоактивного	O	_	_	
3-70	цезия-134	B-NC	_	_	
3-71	на	O	_	_	
3-72	кубический	O	_	_	
3-73	сантиметр	B-NC	_	_	
3-74	и	O	_	_	
3-75	22	O	_	_	
3-76	тыс	B-NC	_	_	
3-77	.	O	_	_	
3-78	беккерелей	B-NC	_	_	
3-79	цезия-137	O	_	_	
3-80	на	O	_	_	
3-81	кубический	O	_	_	
3-82	сантиметр	B-NC	_	_	
3-83	.	O	_	_	
3-84	Спасатели	B-NC	_	_	
3-85	работают	O	_	_	
3-86	над	O	_	_	
3-87	предотвращением	B-NC	_	_	
3-88	попадания	B-NC	_	_	
3-89	воды	B-NC	_	_	
3-90	за	O	_	_	
3-91	пределы	B-NC	_	_	
3-92	станции	B-NC	_	_	

