 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=" Come , do n't take on so , funny one ! I 'll manage for you to-morrow if you cannot find a place . " Her quiet persuasive whispering sounded in my ears as if it came through a dream
1-1	"	O	_	_	
1-2	Come	O	_	_	
1-3	,	O	_	_	
1-4	do	O	_	_	
1-5	n't	O	_	_	
1-6	take	O	_	_	
1-7	on	O	_	_	
1-8	so	O	_	_	
1-9	,	O	_	_	
1-10	funny	O	_	_	
1-11	one	O	_	_	
1-12	!	O	_	_	
1-13	I	O	_	_	
1-14	'll	O	_	_	
1-15	manage	O	_	_	
1-16	for	O	_	_	
1-17	you	O	_	_	
1-18	to-morrow	O	_	_	
1-19	if	O	_	_	
1-20	you	O	_	_	
1-21	cannot	O	_	_	
1-22	find	O	_	_	
1-23	a	O	_	_	
1-24	place	B-NC	_	_	
1-25	.	O	_	_	
1-26	"	O	_	_	
1-27	Her	O	_	_	
1-28	quiet	O	_	_	
1-29	persuasive	O	_	_	
1-30	whispering	B-NC	_	_	
1-31	sounded	O	_	_	
1-32	in	O	_	_	
1-33	my	O	_	_	
1-34	ears	B-NC	_	_	
1-35	as	O	_	_	
1-36	if	O	_	_	
1-37	it	O	_	_	
1-38	came	O	_	_	
1-39	through	O	_	_	
1-40	a	O	_	_	
1-41	dream	B-NC	_	_	

#id=2
#text=There we lay till dawn
2-1	There	O	_	_	
2-2	we	O	_	_	
2-3	lay	O	_	_	
2-4	till	O	_	_	
2-5	dawn	B-NC	_	_	

#id=3
#text=And when the dawn came , we crept from behind the skiff and went into the town ... Then we took friendly leave of each other and never met again , although for half a year I searched in every hole and corner for that kind Natasha , with whom I spent the autumn night just described
3-1	And	O	_	_	
3-2	when	O	_	_	
3-3	the	O	_	_	
3-4	dawn	B-NC	Holonym	3-54	
3-5	came	O	_	_	
3-6	,	O	_	_	
3-7	we	O	_	_	
3-8	crept	O	_	_	
3-9	from	O	_	_	
3-10	behind	O	_	_	
3-11	the	O	_	_	
3-12	skiff	B-NC	_	_	
3-13	and	O	_	_	
3-14	went	O	_	_	
3-15	into	O	_	_	
3-16	the	O	_	_	
3-17	town	B-NC	_	_	
3-18	...	O	_	_	
3-19	Then	O	_	_	
3-20	we	O	_	_	
3-21	took	O	_	_	
3-22	friendly	O	_	_	
3-23	leave	B-NC	_	_	
3-24	of	O	_	_	
3-25	each	O	_	_	
3-26	other	O	_	_	
3-27	and	O	_	_	
3-28	never	O	_	_	
3-29	met	O	_	_	
3-30	again	O	_	_	
3-31	,	O	_	_	
3-32	although	O	_	_	
3-33	for	O	_	_	
3-34	half	O	_	_	
3-35	a	O	_	_	
3-36	year	B-NC	_	_	
3-37	I	O	_	_	
3-38	searched	O	_	_	
3-39	in	O	_	_	
3-40	every	O	_	_	
3-41	hole	B-NC	_	_	
3-42	and	O	_	_	
3-43	corner	B-NC	_	_	
3-44	for	O	_	_	
3-45	that	O	_	_	
3-46	kind	B-NC	_	_	
3-47	Natasha	B-NC	_	_	
3-48	,	O	_	_	
3-49	with	O	_	_	
3-50	whom	O	_	_	
3-51	I	O	_	_	
3-52	spent	O	_	_	
3-53	the	O	_	_	
3-54	autumn	B-NC|B-NC	_	_	
3-55	night	I-NC|B-NC	_	_	
3-56	just	O	_	_	
3-57	described	O	_	_	

#id=4
#text=If she be already dead--and well for her if it were so--may she rest in peace ! And if she be alive ... still I say " Peace to her soul ! " And may the consciousness of her fall never enter her soul ... for that would be a superfluous and fruitless suffering if life is to be lived
4-1	If	O	_	_	
4-2	she	O	_	_	
4-3	be	O	_	_	
4-4	already	O	_	_	
4-5	dead--and	O	_	_	
4-6	well	O	_	_	
4-7	for	O	_	_	
4-8	her	O	_	_	
4-9	if	O	_	_	
4-10	it	O	_	_	
4-11	were	O	_	_	
4-12	so--may	O	_	_	
4-13	she	O	_	_	
4-14	rest	B-NC	_	_	
4-15	in	O	_	_	
4-16	peace	B-NC	_	_	
4-17	!	O	_	_	
4-18	And	O	_	_	
4-19	if	O	_	_	
4-20	she	O	_	_	
4-21	be	O	_	_	
4-22	alive	O	_	_	
4-23	...	O	_	_	
4-24	still	O	_	_	
4-25	I	O	_	_	
4-26	say	O	_	_	
4-27	"	O	_	_	
4-28	Peace	B-NC	_	_	
4-29	to	O	_	_	
4-30	her	O	_	_	
4-31	soul	B-NC	_	_	
4-32	!	O	_	_	
4-33	"	O	_	_	
4-34	And	O	_	_	
4-35	may	O	_	_	
4-36	the	O	_	_	
4-37	consciousness	B-NC	_	_	
4-38	of	O	_	_	
4-39	her	O	_	_	
4-40	fall	O	_	_	
4-41	never	O	_	_	
4-42	enter	O	_	_	
4-43	her	O	_	_	
4-44	soul	B-NC	_	_	
4-45	...	O	_	_	
4-46	for	O	_	_	
4-47	that	O	_	_	
4-48	would	O	_	_	
4-49	be	O	_	_	
4-50	a	O	_	_	
4-51	superfluous	O	_	_	
4-52	and	O	_	_	
4-53	fruitless	O	_	_	
4-54	suffering	B-NC	_	_	
4-55	if	O	_	_	
4-56	life	B-NC	_	_	
4-57	is	O	_	_	
4-58	to	O	_	_	
4-59	be	O	_	_	
4-60	lived	O	_	_	

