 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Einmal im Herbst begab es sich , daß ich mich in einer sehr unangenehmen und unbequemen Lage befand : in einer Stadt , in der ich eben erst angekommen war und keinen einzigen Bekannten besaß , sah ich mich plötzlich ohne einen Groschen in der Tasche und ohne Wohnung
1-1	Einmal	O	_	_	
1-2	im	O	_	_	
1-3	Herbst	B-NC	_	_	
1-4	begab	O	_	_	
1-5	es	O	_	_	
1-6	sich	O	_	_	
1-7	,	O	_	_	
1-8	daß	O	_	_	
1-9	ich	O	_	_	
1-10	mich	O	_	_	
1-11	in	O	_	_	
1-12	einer	O	_	_	
1-13	sehr	O	_	_	
1-14	unangenehmen	O	_	_	
1-15	und	O	_	_	
1-16	unbequemen	O	_	_	
1-17	Lage	B-NC	_	_	
1-18	befand	O	_	_	
1-19	:	O	_	_	
1-20	in	O	_	_	
1-21	einer	O	_	_	
1-22	Stadt	B-NC	_	_	
1-23	,	O	_	_	
1-24	in	O	_	_	
1-25	der	O	_	_	
1-26	ich	O	_	_	
1-27	eben	O	_	_	
1-28	erst	O	_	_	
1-29	angekommen	O	_	_	
1-30	war	O	_	_	
1-31	und	O	_	_	
1-32	keinen	O	_	_	
1-33	einzigen	O	_	_	
1-34	Bekannten	B-NC	_	_	
1-35	besaß	O	_	_	
1-36	,	O	_	_	
1-37	sah	O	_	_	
1-38	ich	O	_	_	
1-39	mich	O	_	_	
1-40	plötzlich	O	_	_	
1-41	ohne	O	_	_	
1-42	einen	O	_	_	
1-43	Groschen	B-NC	_	_	
1-44	in	O	_	_	
1-45	der	O	_	_	
1-46	Tasche	B-NC	_	_	
1-47	und	O	_	_	
1-48	ohne	O	_	_	
1-49	Wohnung	B-NC	Holonym	1-22	

#id=2
#text=Nachdem ich in den ersten Tagen von meiner Kleidung alles verkauft hatte , was zu entbehren möglich war , begab ich mich aus der Stadt nach der Gegend »Münde« genannt , wo sich Dampferanlegeplätze befanden und zur Zeit der Schiffahrt ein reges Arbeitsleben herrschte . Jetzt aber war es dort öde und still , denn es war in den letzten Tagen des Oktober
2-1	Nachdem	O	_	_	
2-2	ich	O	_	_	
2-3	in	O	_	_	
2-4	den	O	_	_	
2-5	ersten	O	_	_	
2-6	Tagen	B-NC	_	_	
2-7	von	O	_	_	
2-8	meiner	O	_	_	
2-9	Kleidung	B-NC	_	_	
2-10	alles	O	_	_	
2-11	verkauft	O	_	_	
2-12	hatte	O	_	_	
2-13	,	O	_	_	
2-14	was	O	_	_	
2-15	zu	O	_	_	
2-16	entbehren	O	_	_	
2-17	möglich	O	_	_	
2-18	war	O	_	_	
2-19	,	O	_	_	
2-20	begab	O	_	_	
2-21	ich	O	_	_	
