 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Once in the autumn I happened to be in a very unpleasant and inconvenient position . In the town where I had just arrived and where I knew not a soul , I found myself without a farthing in my pocket and without a night 's lodging
1-1	Once	O	_	_	
1-2	in	O	_	_	
1-3	the	O	_	_	
1-4	autumn	B-NC	_	_	
1-5	I	O	_	_	
1-6	happened	O	_	_	
1-7	to	O	_	_	
1-8	be	O	_	_	
1-9	in	O	_	_	
1-10	a	O	_	_	
1-11	very	O	_	_	
1-12	unpleasant	O	_	_	
1-13	and	O	_	_	
1-14	inconvenient	O	_	_	
1-15	position	B-NC	_	_	
1-16	.	O	_	_	
1-17	In	O	_	_	
1-18	the	O	_	_	
1-19	town	B-NC	_	_	
1-20	where	O	_	_	
1-21	I	O	_	_	
1-22	had	O	_	_	
1-23	just	O	_	_	
1-24	arrived	O	_	_	
1-25	and	O	_	_	
1-26	where	O	_	_	
1-27	I	O	_	_	
1-28	knew	O	_	_	
1-29	not	O	_	_	
1-30	a	O	_	_	
1-31	soul	B-NC	_	_	
1-32	,	O	_	_	
1-33	I	O	_	_	
1-34	found	O	_	_	
1-35	myself	O	_	_	
1-36	without	O	_	_	
1-37	a	O	_	_	
1-38	farthing	B-NC	_	_	
1-39	in	O	_	_	
1-40	my	O	_	_	
1-41	pocket	B-NC	_	_	
1-42	and	O	_	_	
1-43	without	O	_	_	
1-44	a	O	_	_	
1-45	night	B-NC	_	_	
1-46	's	O	_	_	
1-47	lodging	B-NC	_	_	

#id=2
#text=Having sold during the first few days every part of my costume without which it was still possible to go about , I passed from the town into the quarter called " Yste , " where were the steamship wharves - - a quarter which during the navigation season fermented with boisterous , laborious life , but now was silent and deserted , for we were in the last days of October
2-1	Having	O	_	_	
2-2	sold	O	_	_	
2-3	during	O	_	_	
2-4	the	O	_	_	
2-5	first	O	_	_	
2-6	few	O	_	_	
2-7	days	B-NC	_	_	
2-8	every	O	_	_	
2-9	part	B-NC	_	_	
