 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=…Однажды осенью мне привелось стать в очень неприятное и неудобное положение , в городе , куда я только что приехал и где у меня не было ни одного знакомого человека , – я очутился без гроша в кармане и без квартиры
1-1	…Однажды	O	_	_	
1-2	осенью	B-NC	_	_	
1-3	мне	O	_	_	
1-4	привелось	O	_	_	
1-5	стать	O	_	_	
1-6	в	O	_	_	
1-7	очень	O	_	_	
1-8	неприятное	O	_	_	
1-9	и	O	_	_	
1-10	неудобное	O	_	_	
1-11	положение	B-NC	_	_	
1-12	,	O	_	_	
1-13	в	O	_	_	
1-14	городе	B-NC	_	_	
1-15	,	O	_	_	
1-16	куда	O	_	_	
1-17	я	O	_	_	
1-18	только	O	_	_	
1-19	что	O	_	_	
1-20	приехал	O	_	_	
1-21	и	O	_	_	
1-22	где	O	_	_	
1-23	у	O	_	_	
1-24	меня	O	_	_	
1-25	не	O	_	_	
1-26	было	O	_	_	
1-27	ни	O	_	_	
1-28	одного	O	_	_	
1-29	знакомого	O	_	_	
1-30	человека	B-NC	_	_	
1-31	,	O	_	_	
1-32	–	O	_	_	
1-33	я	O	_	_	
1-34	очутился	O	_	_	
1-35	без	O	_	_	
1-36	гроша	B-NC	_	_	
1-37	в	O	_	_	
1-38	кармане	B-NC	_	_	
1-39	и	O	_	_	
1-40	без	O	_	_	
1-41	квартиры	B-NC	Holonym	1-14	

#id=2
#text=Продав в первые дни всё то из костюма , без чего можно было обойтись , я ушёл из города в местность , называемую Устье , где стояли пароходные пристани и в навигационное время кипела бойкая трудовая жизнь , а теперь было пустынно и тихо , – дело происходило в последних числах октября
2-1	Продав	O	_	_	
2-2	в	O	_	_	
2-3	первые	O	_	_	
2-4	дни	B-NC	_	_	
2-5	всё	O	_	_	
2-6	то	O	_	_	
2-7	из	O	_	_	
2-8	костюма	B-NC	_	_	
2-9	,	O	_	_	
2-10	без	O	_	_	
2-11	чего	O	_	_	
2-12	можно	O	_	_	
2-13	было	O	_	_	
2-14	обойтись	O	_	_	
2-15	,	O	_	_	
2-16	я	O	_	_	
2-17	ушёл	O	_	_	
2-18	из	O	_	_	
2-19	города	B-NC	_	_	
2-20	в	O	_	_	
2-21	местность	B-NC	Co-Hyponym	2-19	
2-22	,	O	_	_	
2-23	называемую	O	_	_	
2-24	Устье	B-NC	_	_	
2-25	,	O	_	_	
2-26	где	O	_	_	
2-27	стояли	O	_	_	
2-28	пароходные	O	_	_	
2-29	пристани	B-NC	_	_	
2-30	и	O	_	_	
2-31	в	O	_	_	
2-32	навигационное	O	_	_	
2-33	время	B-NC	_	_	
2-34	кипела	O	_	_	
2-35	бойкая	O	_	_	
2-36	трудовая	O	_	_	
2-37	жизнь	B-NC	_	_	
2-38	,	O	_	_	
2-39	а	O	_	_	
2-40	теперь	O	_	_	
2-41	было	O	_	_	
2-42	пустынно	O	_	_	
2-43	и	O	_	_	
2-44	тихо	O	_	_	
2-45	,	O	_	_	
2-46	–	O	_	_	
2-47	дело	B-NC	_	_	
2-48	происходило	O	_	_	
2-49	в	O	_	_	
2-50	последних	O	_	_	
2-51	числах	B-NC	_	_	
2-52	октября	B-NC	_	_	

#id=3
#text=Шлёпая ногами по сырому песку и упорно разглядывая его с желанием открыть в нём какие - нибудь остатки питательных веществ , я бродил одиноко среди пустынных зданий и торговых ларей и думал о том , как хорошо быть сытым
3-1	Шлёпая	O	_	_	
3-2	ногами	B-NC	_	_	
3-3	по	O	_	_	
3-4	сырому	O	_	_	
3-5	песку	B-NC	_	_	
3-6	и	O	_	_	
3-7	упорно	O	_	_	
3-8	разглядывая	O	_	_	
3-9	его	O	_	_	
3-10	с	O	_	_	
3-11	желанием	B-NC	_	_	
3-12	открыть	O	_	_	
3-13	в	O	_	_	
3-14	нём	O	_	_	
3-15	какие	O	_	_	
3-16	-	O	_	_	
3-17	нибудь	O	_	_	
3-18	остатки	B-NC	_	_	
3-19	питательных	O	_	_	
3-20	веществ	B-NC	_	_	
3-21	,	O	_	_	
3-22	я	O	_	_	
3-23	бродил	O	_	_	
3-24	одиноко	O	_	_	
3-25	среди	O	_	_	
3-26	пустынных	O	_	_	
3-27	зданий	B-NC	_	_	
3-28	и	O	_	_	
3-29	торговых	O	_	_	
3-30	ларей	B-NC	Co-Hyponym	3-27	
3-31	и	O	_	_	
3-32	думал	O	_	_	
3-33	о	O	_	_	
3-34	том	O	_	_	
3-35	,	O	_	_	
3-36	как	O	_	_	
3-37	хорошо	O	_	_	
3-38	быть	O	_	_	
3-39	сытым	O	_	_	

#id=4
