 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Haare ( lat. pili , capillus , crinis , coma ) sind lange Hornfäden . Sie bestehen im Wesentlichen aus Keratin . Haare in diesem Sinne kommen nur bei Säugetieren vor , die alle auf ihrer Haut zumindest teilweise Haare tragen . Die Schleimhäute sind immer unbehaart . Mit wenigen Ausnahmen ( Handflächen , Fingerinnenseiten , Fußsohlen , Brustwarzen , Lippenrot ) ist die gesamte äußere Haut des Menschen behaart
1-1	Haare	B-NC	Hypernym	1-14	
1-2	(	O	_	_	
1-3	lat.	B-NC	_	_	
1-4	pili	B-NC	_	_	
1-5	,	O	_	_	
1-6	capillus	B-NC	_	_	
1-7	,	O	_	_	
1-8	crinis	B-NC	_	_	
1-9	,	O	_	_	
1-10	coma	B-NC	_	_	
1-11	)	O	_	_	
1-12	sind	O	_	_	
1-13	lange	O	_	_	
1-14	Hornfäden	B-NC	_	_	
1-15	.	O	_	_	
1-16	Sie	O	_	_	
1-17	bestehen	O	_	_	
1-18	im	O	_	_	
1-19	Wesentlichen	B-NC	_	_	
1-20	aus	O	_	_	
1-21	Keratin	B-NC	Holonym	1-23	
1-22	.	O	_	_	
1-23	Haare	B-NC	_	_	
1-24	in	O	_	_	
1-25	diesem	O	_	_	
1-26	Sinne	B-NC	_	_	
1-27	kommen	O	_	_	
1-28	nur	O	_	_	
1-29	bei	O	_	_	
1-30	Säugetieren	B-NC	_	_	
1-31	vor	O	_	_	
1-32	,	O	_	_	
1-33	die	O	_	_	
1-34	alle	O	_	_	
1-35	auf	O	_	_	
1-36	ihrer	O	_	_	
1-37	Haut	B-NC	Holonym	1-30	
1-38	zumindest	O	_	_	
1-39	teilweise	O	_	_	
1-40	Haare	B-NC	Holonym	1-30	
1-41	tragen	O	_	_	
1-42	.	O	_	_	
1-43	Die	O	_	_	
1-44	Schleimhäute	B-NC	Holonym|Hypernym	1-30|1-37	
1-45	sind	O	_	_	
1-46	immer	O	_	_	
1-47	unbehaart	O	_	_	
1-48	.	O	_	_	
1-49	Mit	O	_	_	
1-50	wenigen	O	_	_	
1-51	Ausnahmen	B-NC	_	_	
1-52	(	O	_	_	
1-53	Handflächen	B-NC	Holonym	1-69	
1-54	,	O	_	_	
1-55	Fingerinnenseiten	B-NC	Holonym	1-69	
1-56	,	O	_	_	
1-57	Fußsohlen	B-NC	Holonym	1-69	
1-58	,	O	_	_	
1-59	Brustwarzen	B-NC	Holonym	1-69	
1-60	,	O	_	_	
1-61	Lippenrot	B-NC	Holonym	1-69	
1-62	)	O	_	_	
1-63	ist	O	_	_	
1-64	die	O	_	_	
1-65	gesamte	O	_	_	
1-66	äußere	O	_	_	
1-67	Haut	B-NC	Holonym|Holonym|Holonym|Holonym	1-53|1-55|1-57|1-61	
1-68	des	O	_	_	
1-69	Menschen	B-NC	Hypernym	1-30	
1-70	behaart	O	_	_	

