 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Во́лосы — составная часть защитного покрова , главным образом , у млекопитающих , филогенетически являются производными эпидермиса кожных покровов . У животных густой волосяной покров называется мехом или шерстью . Так называемые «волоски» ( трихомы ) также встречаются на различных органах растений
1-1	Во́лосы	B-NC	Holonym	1-5	
1-2	—	O	_	_	
1-3	составная	O	_	_	
1-4	часть	B-NC	_	_	
1-5	защитного	B-NC	_	_	
1-6	покрова	I-NC|B-NC	_	_	
1-7	,	O	_	_	
1-8	главным	O	_	_	
1-9	образом	B-NC	_	_	
1-10	,	O	_	_	
1-11	у	O	_	_	
1-12	млекопитающих	B-NC	Hypernym	1-22	
1-13	,	O	_	_	
1-14	филогенетически	O	_	_	
1-15	являются	O	_	_	
1-16	производными	B-NC	_	_	
1-17	эпидермиса	B-NC	Holonym	1-18	
1-18	кожных	B-NC|B-NC	Hypernym	1-5	
1-19	покровов	I-NC|I-NC|B-NC	_	_	
1-20	.	O	_	_	
1-21	У	O	_	_	
1-22	животных	B-NC	_	_	
1-23	густой	O	_	_	
1-24	волосяной	O	_	_	
1-25	покров	B-NC	_	_	
1-26	называется	O	_	_	
1-27	мехом	B-NC	Hypernym	1-1	
1-28	или	O	_	_	
1-29	шерстью	B-NC	Hypernym	1-1	
1-30	.	O	_	_	
1-31	Так	O	_	_	
1-32	называемые	O	_	_	
1-33	«волоски»	B-Text mistake	Holonym|Holonym	1-42|1-41	
1-34	(	O	_	_	
1-35	трихомы	B-NC	Synonym	1-33	
1-36	)	O	_	_	
1-37	также	O	_	_	
1-38	встречаются	O	_	_	
1-39	на	O	_	_	
1-40	различных	O	_	_	
1-41	органах	B-NC	Holonym	1-42	
1-42	растений	B-NC	Co-Hyponym	1-22	

