 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Hiroshima ( Japan ) , 06.08.2005 – Am 60 . Jahrestag des Atombombenabwurfs von Hiroshima gedachten Zehntausende von Menschen der vielen Toten . Um genau 08:15 Uhr Ortszeit ( 01:15 Uhr MESZ ) hallten Glockenschläge , die von einem Kind ausgelöst wurden , über den großen Platz vor dem Mahnmal im Friedenspark von Hiroshima , genau zu dieser Uhrzeit schlug die Bombe ein , die von einem US-amerikanischen Flugzeug abgeworfen wurde . 140.000 Menschen sind bis heute an den direkten Folgen der Atomexplosion ums Leben gekommen
1-1	Hiroshima	B-NC	_	_	
1-2	(	O	_	_	
1-3	Japan	B-NC	_	_	
1-4	)	O	_	_	
1-5	,	O	_	_	
1-6	06.08.2005	O	_	_	
1-7	–	B-NC	_	_	
1-8	Am	O	_	_	
1-9	60	O	_	_	
1-10	.	O	_	_	
1-11	Jahrestag	B-NC	_	_	
1-12	des	O	_	_	
1-13	Atombombenabwurfs	B-NC	_	_	
1-14	von	O	_	_	
1-15	Hiroshima	B-NC	_	_	
1-16	gedachten	O	_	_	
1-17	Zehntausende	B-NC	_	_	
1-18	von	O	_	_	
1-19	Menschen	B-NC	_	_	
1-20	der	O	_	_	
1-21	vielen	O	_	_	
1-22	Toten	B-NC	_	_	
1-23	.	O	_	_	
1-24	Um	O	_	_	
1-25	genau	O	_	_	
1-26	08:15	O	_	_	
1-27	Uhr	B-NC	_	_	
1-28	Ortszeit	B-NC	_	_	
1-29	(	O	_	_	
1-30	01:15	O	_	_	
1-31	Uhr	B-NC	_	_	
1-32	MESZ	B-NC	_	_	
1-33	)	O	_	_	
1-34	hallten	O	_	_	
1-35	Glockenschläge	B-NC	_	_	
1-36	,	O	_	_	
1-37	die	O	_	_	
1-38	von	O	_	_	
1-39	einem	O	_	_	
1-40	Kind	B-NC	Hypernym	1-19	
1-41	ausgelöst	O	_	_	
1-42	wurden	O	_	_	
1-43	,	O	_	_	
1-44	über	O	_	_	
1-45	den	O	_	_	
1-46	großen	O	_	_	
1-47	Platz	B-NC	_	_	
1-48	vor	O	_	_	
1-49	dem	O	_	_	
1-50	Mahnmal	B-NC	_	_	
1-51	im	O	_	_	
1-52	Friedenspark	B-NC	_	_	
1-53	von	O	_	_	
1-54	Hiroshima	B-NC	_	_	
1-55	,	O	_	_	
1-56	genau	O	_	_	
1-57	zu	O	_	_	
1-58	dieser	O	_	_	
1-59	Uhrzeit	B-NC	_	_	
1-60	schlug	O	_	_	
1-61	die	O	_	_	
1-62	Bombe	B-NC	Holonym	1-13	
1-63	ein	O	_	_	
1-64	,	O	_	_	
1-65	die	O	_	_	
1-66	von	O	_	_	
1-67	einem	O	_	_	
1-68	US-amerikanischen	O	_	_	
1-69	Flugzeug	B-NC	_	_	
1-70	abgeworfen	O	_	_	
1-71	wurde	O	_	_	
1-72	.	O	_	_	
1-73	140.000	O	_	_	
1-74	Menschen	B-NC	_	_	
1-75	sind	O	_	_	
1-76	bis	O	_	_	
1-77	heute	O	_	_	
1-78	an	O	_	_	
1-79	den	O	_	_	
1-80	direkten	O	_	_	
1-81	Folgen	B-NC	_	_	
1-82	der	O	_	_	
1-83	Atomexplosion	B-NC	_	_	
1-84	ums	O	_	_	
1-85	Leben	B-NC	_	_	
1-86	gekommen	O	_	_	

#id=2
#text=Der japanische Ministerpräsident Junichiro Koizumi legte einen Kranz vor dem Monument nieder , das ganz in der Nähe des so genannten Atombomben-Dom steht . Dabei handelt es sich um das Gebäudeskelett eines Kuppelbaus , das die Druckwelle der Explosion und das anschließende Großfeuer überstanden hatte . Der Bürgermeister Hiroshimas rief die Atommächte der Welt zur Aufgabe ihrer Waffen auf
2-1	Der	O	_	_	
2-2	japanische	O	_	_	
2-3	Ministerpräsident	B-NC	_	_	
2-4	Junichiro	B-NC	_	_	
2-5	Koizumi	B-NC	_	_	
2-6	legte	O	_	_	
2-7	einen	O	_	_	
2-8	Kranz	B-NC	_	_	
2-9	vor	O	_	_	
2-10	dem	O	_	_	
2-11	Monument	B-NC	_	_	
2-12	nieder	O	_	_	
2-13	,	O	_	_	
2-14	das	O	_	_	
2-15	ganz	O	_	_	
2-16	in	O	_	_	
2-17	der	O	_	_	
2-18	Nähe	B-NC	_	_	
2-19	des	O	_	_	
2-20	so	O	_	_	
2-21	genannten	O	_	_	
2-22	Atombomben-Dom	B-NC	Co-Hyponym	2-11	
2-23	steht	O	_	_	
2-24	.	O	_	_	
2-25	Dabei	O	_	_	
2-26	handelt	O	_	_	
2-27	es	O	_	_	
2-28	sich	O	_	_	
2-29	um	O	_	_	
2-30	das	O	_	_	
2-31	Gebäudeskelett	B-NC	Holonym	2-33	
2-32	eines	O	_	_	
2-33	Kuppelbaus	B-NC	Holonym	2-22	
2-34	,	O	_	_	
2-35	das	O	_	_	
2-36	die	O	_	_	
2-37	Druckwelle	B-NC	_	_	
2-38	der	O	_	_	
2-39	Explosion	B-NC	_	_	
2-40	und	O	_	_	
2-41	das	O	_	_	
2-42	anschließende	O	_	_	
2-43	Großfeuer	B-NC	_	_	
2-44	überstanden	O	_	_	
2-45	hatte	O	_	_	
2-46	.	O	_	_	
2-47	Der	O	_	_	
2-48	Bürgermeister	B-NC	Co-Hyponym	2-3	
2-49	Hiroshimas	B-NC	_	_	
2-50	rief	O	_	_	
2-51	die	O	_	_	
2-52	Atommächte	B-NC	_	_	
2-53	der	O	_	_	
2-54	Welt	B-NC	_	_	
2-55	zur	O	_	_	
2-56	Aufgabe	B-NC	_	_	
2-57	ihrer	O	_	_	
2-58	Waffen	B-NC	_	_	
2-59	auf	O	_	_	

