 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The 60th anniversary of the first use of an atomic bomb against people has been remembered in a ceremony yesterday in Hiroshima , Japan
1-1	The	O	_	_	
1-2	60th	O	_	_	
1-3	anniversary	B-NC	_	_	
1-4	of	O	_	_	
1-5	the	O	_	_	
1-6	first	O	_	_	
1-7	use	B-NC	_	_	
1-8	of	O	_	_	
1-9	an	O	_	_	
1-10	atomic	O	_	_	
1-11	bomb	B-NC	_	_	
1-12	against	O	_	_	
1-13	people	B-NC	_	_	
1-14	has	O	_	_	
1-15	been	O	_	_	
1-16	remembered	O	_	_	
1-17	in	O	_	_	
1-18	a	O	_	_	
1-19	ceremony	B-NC	_	_	
1-20	yesterday	B-NC	_	_	
1-21	in	O	_	_	
1-22	Hiroshima	B-NC	_	_	
1-23	,	O	_	_	
1-24	Japan	B-NC	_	_	

#id=2
#text=The atomic bomb , code-named " Little Boy " , was dropped on Hiroshima at precisely 08:15 on August 6 , 1945 by the specially converted United States Army Air Force B-29 Superfortress Enola Gay
2-1	The	O	_	_	
2-2	atomic	O	_	_	
2-3	bomb	B-NC	_	_	
2-4	,	O	_	_	
2-5	code-named	O	_	_	
2-6	"	O	_	_	
2-7	Little	B-NC	_	_	
2-8	Boy	B-NC	_	_	
2-9	"	O	_	_	
2-10	,	O	_	_	
2-11	was	O	_	_	
2-12	dropped	O	_	_	
2-13	on	O	_	_	
2-14	Hiroshima	B-NC	_	_	
2-15	at	O	_	_	
2-16	precisely	O	_	_	
2-17	08:15	O	_	_	
2-18	on	O	_	_	
2-19	August	B-NC	_	_	
2-20	6	O	_	_	
2-21	,	O	_	_	
2-22	1945	O	_	_	
2-23	by	O	_	_	
2-24	the	O	_	_	
2-25	specially	O	_	_	
2-26	converted	O	_	_	
2-27	United	B-NC	_	_	
2-28	States	B-NC	_	_	
2-29	Army	B-NC	_	_	
2-30	Air	B-NC	_	_	
2-31	Force	B-NC	_	_	
2-32	B-29	B-NC	_	_	
2-33	Superfortress	B-NC	_	_	
2-34	Enola	B-NC	_	_	
2-35	Gay	B-NC	_	_	

#id=3
#text=The recommendation to drop the atomic bomb without warning was made by an eight-man committee headed by George Harrison who was Secretary of War Henry Stimson 's special assistant for matters relating to the development of the atomic bomb . Both Harrison and Stimson were members of Skull and
3-1	The	O	_	_	
3-2	recommendation	B-NC	_	_	
3-3	to	O	_	_	
3-4	drop	O	_	_	
3-5	the	O	_	_	
3-6	atomic	O	_	_	
3-7	bomb	B-NC	_	_	
3-8	without	O	_	_	
3-9	warning	B-NC	Hypernym	3-2	
3-10	was	O	_	_	
3-11	made	O	_	_	
3-12	by	O	_	_	
3-13	an	O	_	_	
3-14	eight-man	B-NC	_	_	
3-15	committee	B-NC	_	_	
3-16	headed	O	_	_	
3-17	by	O	_	_	
3-18	George	B-NC	_	_	
3-19	Harrison	B-NC	_	_	
3-20	who	O	_	_	
3-21	was	O	_	_	
3-22	Secretary	B-NC	Holonym	3-15	
3-23	of	O	_	_	
3-24	War	B-NC	_	_	
3-25	Henry	B-NC	_	_	
3-26	Stimson	B-NC	_	_	
3-27	's	O	_	_	
3-28	special	O	_	_	
3-29	assistant	B-NC	Co-Hyponym	3-22	
3-30	for	O	_	_	
3-31	matters	B-NC	_	_	
3-32	relating	O	_	_	
3-33	to	O	_	_	
3-34	the	O	_	_	
3-35	development	B-NC	_	_	
3-36	of	O	_	_	
3-37	the	O	_	_	
3-38	atomic	O	_	_	
3-39	bomb	B-NC	_	_	
3-40	.	O	_	_	
3-41	Both	O	_	_	
3-42	Harrison	B-NC	_	_	
3-43	and	O	_	_	
3-44	Stimson	B-NC	_	_	
3-45	were	O	_	_	
3-46	members	B-NC	Holonym	3-15	
3-47	of	O	_	_	
3-48	Skull	B-NC	_	_	
3-49	and	O	_	_	

#id=4
#text=Three days later , another atomic bomb " Fat Man " , was dropped on nearby Nagasaki
4-1	Three	B-NC	_	_	
4-2	days	B-NC	_	_	
4-3	later	O	_	_	
4-4	,	O	_	_	
4-5	another	O	_	_	
4-6	atomic	O	_	_	
4-7	bomb	B-NC	_	_	
4-8	"	O	_	_	
4-9	Fat	B-NC	_	_	
4-10	Man	B-NC	_	_	
4-11	"	O	_	_	
4-12	,	O	_	_	
4-13	was	O	_	_	
4-14	dropped	O	_	_	
4-15	on	O	_	_	
4-16	nearby	O	_	_	
4-17	Nagasaki	B-NC	_	_	

#id=5
#text=The Japanese Government surrendered unconditionally on 15 August , and signed the formal surrender on the USS Missouri on 2 September in Tokyo Bay
5-1	The	O	_	_	
5-2	Japanese	O	_	_	
5-3	Government	B-NC	_	_	
5-4	surrendered	O	_	_	
5-5	unconditionally	O	_	_	
5-6	on	O	_	_	
5-7	15	O	_	_	
5-8	August	B-NC	_	_	
5-9	,	O	_	_	
5-10	and	O	_	_	
5-11	signed	O	_	_	
5-12	the	O	_	_	
5-13	formal	O	_	_	
5-14	surrender	B-NC	_	_	
5-15	on	O	_	_	
5-16	the	O	_	_	
5-17	USS	B-NC	_	_	
5-18	Missouri	B-NC	_	_	
5-19	on	O	_	_	
5-20	2	O	_	_	
5-21	September	B-NC	_	_	
5-22	in	O	_	_	
5-23	Tokyo	B-NC	_	_	
5-24	Bay	B-NC	_	_	

#id=6
#text=The dropping of the bomb has been condemned by critics and anti-nuclear campaigners , who say other methods could have been used to end the war . Advocates , however , say that an invasion of Japan — to be known as Operation Downfall — would have cost millions of Allied and Japanese lives , citing the ferocity of fighting experienced during the Battle of Okinawa , and that the bombings avoided this
6-1	The	B-NC	_	_	
6-2	dropping	O	_	_	
6-3	of	O	_	_	
6-4	the	O	_	_	
6-5	bomb	B-NC	_	_	
6-6	has	O	_	_	
6-7	been	O	_	_	
6-8	condemned	O	_	_	
6-9	by	O	_	_	
6-10	critics	B-NC	_	_	
6-11	and	O	_	_	
6-12	anti-nuclear	O	_	_	
6-13	campaigners	B-NC	_	_	
6-14	,	O	_	_	
6-15	who	O	_	_	
6-16	say	O	_	_	
6-17	other	O	_	_	
6-18	methods	B-NC	_	_	
6-19	could	O	_	_	
6-20	have	O	_	_	
6-21	been	O	_	_	
6-22	used	O	_	_	
6-23	to	O	_	_	
6-24	end	O	_	_	
6-25	the	O	_	_	
6-26	war	B-NC	_	_	
6-27	.	O	_	_	
6-28	Advocates	B-NC	_	_	
6-29	,	O	_	_	
6-30	however	O	_	_	
6-31	,	O	_	_	
6-32	say	O	_	_	
6-33	that	O	_	_	
6-34	an	O	_	_	
6-35	invasion	B-NC	_	_	
6-36	of	O	_	_	
6-37	Japan	B-NC	_	_	
6-38	—	O	_	_	
6-39	to	O	_	_	
6-40	be	O	_	_	
6-41	known	O	_	_	
6-42	as	O	_	_	
6-43	Operation	B-NC	_	_	
