 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=6 августа 61 год назад Соединенными Штатами Америки на Хиросиму была сброшена ядерная бомба . Спустя три дня – 9 августа – бомба упала и на Нагасаки . Взрывы унесли жизни более чем 200 тысяч японцев . До сих пор поколения жителей этих японских городов испытывают на себе последствия лучевой болезни
1-1	6	O	_	_	
1-2	августа	B-NC	_	_	
1-3	61	O	_	_	
1-4	год	B-NC	_	_	
1-5	назад	O	_	_	
1-6	Соединенными	O	_	_	
1-7	Штатами	B-NC	_	_	
1-8	Америки	B-NC	_	_	
1-9	на	O	_	_	
1-10	Хиросиму	B-NC	_	_	
1-11	была	O	_	_	
1-12	сброшена	O	_	_	
1-13	ядерная	B-NC	Hypernym	1-23	
1-14	бомба	I-NC|B-NC	_	_	
1-15	.	O	_	_	
1-16	Спустя	O	_	_	
1-17	три	O	_	_	
1-18	дня	B-NC	_	_	
1-19	–	O	_	_	
1-20	9	O	_	_	
1-21	августа	B-NC	_	_	
1-22	–	O	_	_	
1-23	бомба	B-NC	_	_	
1-24	упала	O	_	_	
1-25	и	O	_	_	
1-26	на	O	_	_	
1-27	Нагасаки	B-NC	_	_	
1-28	.	O	_	_	
1-29	Взрывы	B-NC	_	_	
1-30	унесли	O	_	_	
1-31	жизни	B-NC	_	_	
1-32	более	O	_	_	
1-33	чем	O	_	_	
1-34	200	O	_	_	
1-35	тысяч	B-NC	_	_	
1-36	японцев	B-NC	_	_	
1-37	.	O	_	_	
1-38	До	O	_	_	
1-39	сих	O	_	_	
1-40	пор	B-NC	_	_	
1-41	поколения	B-NC	_	_	
1-42	жителей	B-NC	_	_	
1-43	этих	O	_	_	
1-44	японских	O	_	_	
1-45	городов	B-NC	_	_	
1-46	испытывают	O	_	_	
1-47	на	O	_	_	
1-48	себе	O	_	_	
1-49	последствия	B-NC	_	_	
1-50	лучевой	O	_	_	
1-51	болезни	B-NC	_	_	

#id=2
#text=На площади 12 квадратных километров строения были стерты с лица земли , из 90 тысяч домов уничтожены 62 тысячи . Уже 6 августа 1955 года , через десять лет после бомбандировки , в Хиросиме состоялась первая международная конференция за запрещение атомного и водородного оружия . А в 1985 году южная часть Тихого океана была объявлена безъядерной зоной ( Договор Раротонга )
2-1	На	O	_	_	
2-2	площади	B-NC	_	_	
2-3	12	O	_	_	
2-4	квадратных	O	_	_	
2-5	километров	B-NC	_	_	
2-6	строения	B-NC	_	_	
2-7	были	O	_	_	
2-8	стерты	O	_	_	
2-9	с	O	_	_	
2-10	лица	B-NC	_	_	
2-11	земли	B-NC	_	_	
2-12	,	O	_	_	
2-13	из	O	_	_	
2-14	90	O	_	_	
2-15	тысяч	B-NC	_	_	
2-16	домов	B-NC	Hypernym	2-6	
2-17	уничтожены	O	_	_	
2-18	62	O	_	_	
2-19	тысячи	B-NC	_	_	
2-20	.	O	_	_	
2-21	Уже	O	_	_	
2-22	6	O	_	_	
2-23	августа	B-NC	_	_	
2-24	1955	O	_	_	
2-25	года	B-NC	_	_	
2-26	,	O	_	_	
2-27	через	O	_	_	
2-28	десять	O	_	_	
2-29	лет	B-NC	_	_	
2-30	после	O	_	_	
2-31	бомбандировки	B-NC	_	_	
2-32	,	O	_	_	
2-33	в	O	_	_	
2-34	Хиросиме	B-NC	_	_	
2-35	состоялась	O	_	_	
2-36	первая	O	_	_	
2-37	международная	O	_	_	
2-38	конференция	B-NC	_	_	
2-39	за	O	_	_	
2-40	запрещение	B-NC	_	_	
2-41	атомного	O	_	_	
2-42	и	O	_	_	
2-43	водородного	O	_	_	
2-44	оружия	B-NC	_	_	
2-45	.	O	_	_	
2-46	А	O	_	_	
2-47	в	O	_	_	
2-48	1985	O	_	_	
2-49	году	B-NC	_	_	
2-50	южная	O	_	_	
2-51	часть	B-NC	_	_	
2-52	Тихого	O	_	_	
2-53	океана	B-NC	_	_	
2-54	была	O	_	_	
2-55	объявлена	O	_	_	
2-56	безъядерной	O	_	_	
2-57	зоной	B-NC	_	_	
2-58	(	O	_	_	
2-59	Договор	B-NC	_	_	
2-60	Раротонга	B-NC	_	_	
2-61	)	O	_	_	

#id=3
#text=Сегодня отмечается Всемирный день борьбы за запрещение ядерного оружия
3-1	Сегодня	O	_	_	
3-2	отмечается	O	_	_	
3-3	Всемирный	O	_	_	
3-4	день	B-NC	_	_	
3-5	борьбы	B-NC	_	_	
3-6	за	O	_	_	
3-7	запрещение	B-NC	_	_	
3-8	ядерного	O	_	_	
3-9	оружия	B-NC	_	_	

