 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Trousers are an item of clothing worn from the waist to the ankles , covering both legs separately ( rather than with cloth extending across both legs as in robes , skirts , and dresses ) . They are also called pants in the United States , Canada and elsewhere . In the UK and Ireland , the word " pants " generally means underwear and not trousers . [ 1 ] Shorts are similar to trousers , but with legs that come down only to around the area of the knee , higher or lower depending on the style of the garment . To distinguish them from shorts , trousers may be called " long trousers " in certain contexts such as school uniform , where tailored shorts may be called " short trousers " , especially in the UK
1-1	Trousers	B-NC	_	_	
1-2	are	O	_	_	
1-3	an	O	_	_	
1-4	item	B-NC	_	_	
1-5	of	O	_	_	
1-6	clothing	B-NC	_	_	
1-7	worn	O	_	_	
1-8	from	O	_	_	
1-9	the	O	_	_	
1-10	waist	B-NC	_	_	
1-11	to	O	_	_	
1-12	the	O	_	_	
1-13	ankles	B-NC	Co-Hyponym	1-10	
1-14	,	O	_	_	
1-15	covering	O	_	_	
1-16	both	O	_	_	
1-17	legs	B-NC	Co-Hyponym	1-10	
1-18	separately	O	_	_	
1-19	(	O	_	_	
1-20	rather	O	_	_	
1-21	than	O	_	_	
1-22	with	O	_	_	
1-23	cloth	B-NC	_	_	
1-24	extending	O	_	_	
1-25	across	O	_	_	
1-26	both	O	_	_	
1-27	legs	B-NC	_	_	
1-28	as	O	_	_	
1-29	in	O	_	_	
1-30	robes	B-NC	Hypernym	1-6	
1-31	,	O	_	_	
1-32	skirts	B-NC	Hypernym|Holonym	1-6|1-124	
1-33	,	O	_	_	
1-34	and	O	_	_	
1-35	dresses	B-NC	Hypernym	1-6	
1-36	)	O	_	_	
1-37	.	O	_	_	
1-38	They	O	_	_	
1-39	are	O	_	_	
1-40	also	O	_	_	
1-41	called	O	_	_	
1-42	pants	B-NC	Synonym	1-1	
1-43	in	O	_	_	
1-44	the	O	_	_	
1-45	United	B-NC	_	_	
1-46	States	B-NC	_	_	
1-47	,	O	_	_	
1-48	Canada	B-NC	_	_	
1-49	and	O	_	_	
1-50	elsewhere	O	_	_	
1-51	.	O	_	_	
1-52	In	O	_	_	
1-53	the	O	_	_	
1-54	UK	B-NC	_	_	
1-55	and	O	_	_	
1-56	Ireland	B-NC	_	_	
1-57	,	O	_	_	
1-58	the	O	_	_	
1-59	word	B-NC	_	_	
1-60	"	O	_	_	
1-61	pants	B-NC	_	_	
1-62	"	O	_	_	
1-63	generally	O	_	_	
1-64	means	O	_	_	
1-65	underwear	B-NC	Hypernym	1-6	
1-66	and	O	_	_	
1-67	not	O	_	_	
1-68	trousers	B-NC	Synonym	1-61	
1-69	.	O	_	_	
1-70	[	O	_	_	
1-71	1	O	_	_	
1-72	]	O	_	_	
1-73	Shorts	B-NC	Hypernym	1-77	
1-74	are	O	_	_	
1-75	similar	O	_	_	
1-76	to	O	_	_	
1-77	trousers	B-NC	_	_	
1-78	,	O	_	_	
1-79	but	O	_	_	
1-80	with	O	_	_	
1-81	legs	B-NC	Holonym	1-61	
1-82	that	O	_	_	
1-83	come	O	_	_	
1-84	down	O	_	_	
1-85	only	O	_	_	
1-86	to	O	_	_	
1-87	around	O	_	_	
1-88	the	O	_	_	
