 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Брю́ки ( нидерл . broek ) , — предмет верхней одежды , покрывающий нижнюю часть тела , в том числе каждую ногу отдельно , и закрывающий колени . В классическом варианте брюки внизу достигают щиколоток или верхней части стопы . Носятся на талии или на бёдрах . Для фиксации верхнего края могут быть использованы поясной ремень , лямки , подтяжки . Часто имеется ширинка , или гульфик — прорезь-клапан , которая застёгивается с помощью пуговиц , кнопок или молнии
1-1	Брю́ки	B-NC	Hypernym	1-11	
1-2	(	O	_	_	
1-3	нидерл	B-NC	_	_	
1-4	.	O	_	_	
1-5	broek	O	_	_	
1-6	)	O	_	_	
1-7	,	O	_	_	
1-8	—	O	_	_	
1-9	предмет	B-NC	_	_	
1-10	верхней	O	_	_	
1-11	одежды	B-NC	_	_	
1-12	,	O	_	_	
1-13	покрывающий	O	_	_	
1-14	нижнюю	O	_	_	
1-15	часть	B-NC	_	_	
1-16	тела	B-NC	_	_	
1-17	,	O	_	_	
1-18	в	O	_	_	
1-19	том	O	_	_	
1-20	числе	B-NC	_	_	
1-21	каждую	O	_	_	
1-22	ногу	B-NC	Holonym	1-16	
1-23	отдельно	O	_	_	
1-24	,	O	_	_	
1-25	и	O	_	_	
1-26	закрывающий	O	_	_	
1-27	колени	B-NC	Holonym	1-22	
1-28	.	O	_	_	
1-29	В	O	_	_	
1-30	классическом	O	_	_	
1-31	варианте	B-NC	_	_	
1-32	брюки	B-NC	_	_	
1-33	внизу	O	_	_	
1-34	достигают	O	_	_	
1-35	щиколоток	B-NC	Holonym	1-22	
1-36	или	O	_	_	
1-37	верхней	O	_	_	
1-38	части	B-NC	_	_	
1-39	стопы	B-NC	Holonym	1-22	
1-40	.	O	_	_	
1-41	Носятся	O	_	_	
1-42	на	O	_	_	
1-43	талии	B-NC	Holonym	1-16	
1-44	или	O	_	_	
1-45	на	O	_	_	
1-46	бёдрах	B-NC	Holonym	1-16	
1-47	.	O	_	_	
1-48	Для	O	_	_	
1-49	фиксации	B-NC	_	_	
1-50	верхнего	O	_	_	
1-51	края	B-NC	_	_	
1-52	могут	O	_	_	
1-53	быть	O	_	_	
1-54	использованы	O	_	_	
1-55	поясной	O	_	_	
1-56	ремень	B-NC	Hypernym	1-11	
1-57	,	O	_	_	
1-58	лямки	B-NC	Hypernym	1-11	
1-59	,	O	_	_	
1-60	подтяжки	B-NC	Hypernym	1-11	
1-61	.	O	_	_	
1-62	Часто	O	_	_	
1-63	имеется	O	_	_	
1-64	ширинка	B-NC	Holonym	1-32	
1-65	,	O	_	_	
1-66	или	O	_	_	
1-67	гульфик	B-NC	Holonym|Co-Hyponym	1-32|1-64	
1-68	—	O	_	_	
1-69	прорезь-клапан	B-NC	Synonym	1-67	
1-70	,	O	_	_	
1-71	которая	O	_	_	
1-72	застёгивается	O	_	_	
1-73	с	O	_	_	
1-74	помощью	B-NC	_	_	
1-75	пуговиц	B-NC	Holonym|Co-Hyponym	1-32|1-64	
1-76	,	O	_	_	
1-77	кнопок	B-NC	Holonym|Co-Hyponym	1-32|1-64	
1-78	или	O	_	_	
1-79	молнии	B-NC	Holonym|Co-Hyponym	1-32|1-64	

