 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Der Hut ist eine Kopfbedeckung , die sich durch die feste Form und die umlaufende Krempe von einer Mütze unterscheidet . Verläuft dieser Rand um den Hut nicht ganz um den Kopf , spricht man von einer „ Kappe “ . Unter der Bedeutung Hut gleich Schutz gibt es differenzierende Bezeichnungen wie Regenhut , Sommer- oder Sonnenhut , wobei der breite Rand den Träger vor dem Wetter schützt , kühlt oder wärmt , wie zum Beispiel beim Sombrero und beim Südwester . Dient die Kopfbedeckung ursprünglich zum Schutz vor Verletzungen , spricht man vom Helm . Den Hutstumpen benutzen Modisten und Hutmacher als Zwischenprodukt für die Herstellung der verschiedensten Hutformen . Neben seiner praktischen Funktion kann der Hut zur Unterstreichung und zum Ausdruck der Persönlichkeit seines Trägers dienen und die Zugehörigkeit des Trägers zu einer Gesellschaftsschicht , Berufsgruppe oder ähnlichen Vereinigung symbolisieren
1-1	Der	O	_	_	
1-2	Hut	B-NC	Hypernym	1-5	
1-3	ist	O	_	_	
1-4	eine	O	_	_	
1-5	Kopfbedeckung	B-NC	_	_	
1-6	,	O	_	_	
1-7	die	O	_	_	
1-8	sich	O	_	_	
1-9	durch	O	_	_	
1-10	die	O	_	_	
1-11	feste	O	_	_	
1-12	Form	B-NC	_	_	
1-13	und	O	_	_	
1-14	die	O	_	_	
1-15	umlaufende	O	_	_	
1-16	Krempe	B-NC	Holonym|Hypernym	1-2|1-24	
1-17	von	O	_	_	
1-18	einer	O	_	_	
1-19	Mütze	B-NC	Hypernym	1-5	
1-20	unterscheidet	O	_	_	
1-21	.	O	_	_	
1-22	Verläuft	O	_	_	
1-23	dieser	O	_	_	
1-24	Rand	B-NC	Holonym	1-27	
1-25	um	O	_	_	
1-26	den	O	_	_	
1-27	Hut	B-NC	_	_	
1-28	nicht	O	_	_	
1-29	ganz	O	_	_	
1-30	um	O	_	_	
1-31	den	O	_	_	
1-32	Kopf	B-NC	Holonym	1-64	
1-33	,	O	_	_	
1-34	spricht	O	_	_	
