 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=A hat is a head covering . It can be worn for protection against the elements , for ceremonial reason , religious reasons , for safety , or as a fashion accessory . [ 1 ] In the past , hats were an indicator of social status . [ 2 ] In the military , they may denote nationality , branch of service , rank and/or regiment . [ 3 ] Some hats have a protective function . As examples , the hard hat protects construction workers ' heads from injury by falling objects , a sun hat shades the face and shoulders from the sun , and a Ushanka fur hat with fold-down ear-flaps keeps the head warm . Some hats are worn for ceremonial purposes , such as the mortarboard , which is worn during graduation ceremonies . Some hats are worn by members of a certain profession , such as the Toque worn by chefs . Some hats have a religious functions , such as the turban worn by Sihks
1-1	A	O	_	_	
1-2	hat	B-NC	Hypernym	1-5	
1-3	is	O	_	_	
1-4	a	O	_	_	
1-5	head	B-NC|B-NC	Hypernym	1-31	
1-6	covering	I-NC|B-NC	_	_	
1-7	.	O	_	_	
1-8	It	O	_	_	
1-9	can	O	_	_	
1-10	be	O	_	_	
1-11	worn	O	_	_	
1-12	for	O	_	_	
1-13	protection	B-NC	_	_	
1-14	against	O	_	_	
1-15	the	O	_	_	
1-16	elements	B-NC	_	_	
1-17	,	O	_	_	
1-18	for	O	_	_	
1-19	ceremonial	O	_	_	
1-20	reason	B-NC	_	_	
1-21	,	O	_	_	
1-22	religious	O	_	_	
1-23	reasons	B-NC	_	_	
1-24	,	O	_	_	
1-25	for	O	_	_	
1-26	safety	B-NC	_	_	
1-27	,	O	_	_	
1-28	or	O	_	_	
1-29	as	O	_	_	
1-30	a	O	_	_	
1-31	fashion	B-NC|B-NC	_	_	
1-32	accessory	I-NC|B-NC	_	_	
1-33	.	O	_	_	
1-34	[	O	_	_	
1-35	1	O	_	_	
1-36	]	O	_	_	
1-37	In	O	_	_	
1-38	the	O	_	_	
1-39	past	B-NC	_	_	
1-40	,	O	_	_	
1-41	hats	B-NC	_	_	
1-42	were	O	_	_	
1-43	an	O	_	_	
1-44	indicator	B-NC	_	_	
1-45	of	O	_	_	
1-46	social	O	_	_	
1-47	status	B-NC	_	_	
1-48	.	O	_	_	
1-49	[	O	_	_	
1-50	2	O	_	_	
1-51	]	O	_	_	
1-52	In	O	_	_	
1-53	the	O	_	_	
1-54	military	B-NC	_	_	
1-55	,	O	_	_	
1-56	they	O	_	_	
1-57	may	O	_	_	
1-58	denote	O	_	_	
1-59	nationality	B-NC	_	_	
1-60	,	O	_	_	
1-61	branch	B-NC	_	_	
1-62	of	O	_	_	
1-63	service	B-NC	_	_	
1-64	,	O	_	_	
1-65	rank	B-NC	Hypernym	1-47	
1-66	and/or	O	_	_	
1-67	regiment	B-NC	Holonym	1-54	
1-68	.	O	_	_	
1-69	[	O	_	_	
1-70	3	O	_	_	
1-71	]	O	_	_	
1-72	Some	O	_	_	
1-73	hats	B-NC	_	_	
1-74	have	O	_	_	
1-75	a	O	_	_	
1-76	protective	O	_	_	
1-77	function	B-NC	_	_	
1-78	.	O	_	_	
1-79	As	O	_	_	
1-80	examples	B-NC	_	_	
1-81	,	O	_	_	
1-82	the	O	_	_	
1-83	hard	B-NC	Hypernym	1-73	
1-84	hat	I-NC|B-NC	_	_	
1-85	protects	O	_	_	
1-86	construction	B-NC|B-NC	_	_	
1-87	workers	I-NC|B-NC	_	_	
1-88	'	O	_	_	
1-89	heads	B-NC	Holonym	1-86	
1-90	from	O	_	_	
1-91	injury	B-NC	_	_	
1-92	by	O	_	_	
1-93	falling	O	_	_	
1-94	objects	B-NC	_	_	
1-95	,	O	_	_	
1-96	a	O	_	_	
1-97	sun	B-NC|B-NC	Hypernym	1-73	
1-98	hat	I-NC|B-NC	_	_	
1-99	shades	O	_	_	
1-100	the	O	_	_	
1-101	face	B-NC	Holonym	1-89	
1-102	and	O	_	_	
1-103	shoulders	B-NC	Holonym	1-86	
1-104	from	O	_	_	
1-105	the	O	_	_	
1-106	sun	B-NC	_	_	
1-107	,	O	_	_	
1-108	and	O	_	_	
1-109	a	O	_	_	
1-110	Ushanka	B-NC	_	_	
1-111	fur	B-NC|B-NC	Hypernym	1-122	
1-112	hat	I-NC|B-NC	_	_	
1-113	with	O	_	_	
