 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Шляпа — головной убор , состоящий из тульи́ — покрывающей голову части — и полей — выступающей за края тульи полосы материала . Шляпы могут украшаться перьями , чучелами , лентами и т . п
1-1	Шляпа	B-NC	Hypernym	1-3	
1-2	—	O	_	_	
1-3	головной	B-NC	_	_	
1-4	убор	I-NC|B-NC	_	_	
1-5	,	O	_	_	
1-6	состоящий	O	_	_	
1-7	из	O	_	_	
1-8	тульи́	B-NC	Holonym	1-1	
1-9	—	O	_	_	
1-10	покрывающей	O	_	_	
1-11	голову	B-NC	_	_	
1-12	части	B-NC	_	_	
1-13	—	O	_	_	
1-14	и	O	_	_	
1-15	полей	B-NC	Holonym	1-1	
1-16	—	O	_	_	
1-17	выступающей	O	_	_	
1-18	за	O	_	_	
1-19	края	B-NC	_	_	
1-20	тульи	B-NC	_	_	
1-21	полосы	B-NC	_	_	
1-22	материала	B-NC	_	_	
1-23	.	O	_	_	
1-24	Шляпы	B-NC	_	_	
1-25	могут	O	_	_	
1-26	украшаться	O	_	_	
1-27	перьями	B-NC	_	_	
1-28	,	O	_	_	
1-29	чучелами	B-NC	Co-Hyponym	1-27	
1-30	,	O	_	_	
1-31	лентами	B-NC	Co-Hyponym	1-27	
1-32	и	O	_	_	
1-33	т	O	_	_	
1-34	.	O	_	_	
1-35	п	O	_	_	

#id=2
#text=Шляпа может использоваться как средство защиты головы и волос ( от осадков , ветра , солнца ) , а также может выполнять и декоративную функцию
2-1	Шляпа	B-NC	_	_	
2-2	может	O	_	_	
2-3	использоваться	O	_	_	
2-4	как	O	_	_	
2-5	средство	B-NC	_	_	
2-6	защиты	B-NC	_	_	
2-7	головы	B-NC	_	_	
2-8	и	O	_	_	
2-9	волос	B-NC	Holonym	2-7	
2-10	(	O	_	_	
2-11	от	O	_	_	
2-12	осадков	B-NC	_	_	
2-13	,	O	_	_	
2-14	ветра	B-NC	Co-Hyponym	2-12	
2-15	,	O	_	_	
2-16	солнца	B-NC	Co-Hyponym	2-14	
2-17	)	O	_	_	
2-18	,	O	_	_	
2-19	а	O	_	_	
2-20	также	O	_	_	
2-21	может	O	_	_	
2-22	выполнять	O	_	_	
2-23	и	O	_	_	
2-24	декоративную	O	_	_	
2-25	функцию	B-NC	_	_	

