 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=»Die Karten sind hier ... « , versetzte Rogoshin , nachdem er noch länger geschwiegen hatte . »Da ...
1-1	»Die	B-NC	_	_	
1-2	Karten	B-NC	_	_	
1-3	sind	O	_	_	
1-4	hier	O	_	_	
1-5	...	O	_	_	
1-6	«	O	_	_	
1-7	,	O	_	_	
1-8	versetzte	O	_	_	
1-9	Rogoshin	B-NC	_	_	
1-10	,	O	_	_	
1-11	nachdem	O	_	_	
1-12	er	O	_	_	
1-13	noch	O	_	_	
1-14	länger	O	_	_	
1-15	geschwiegen	O	_	_	
1-16	hatte	O	_	_	
1-17	.	O	_	_	
1-18	»Da	B-NC	_	_	
1-19	...	O	_	_	

#id=2
#text=Er zog ein gebrauchtes , in Papier gewickeltes Spiel Karten aus der Tasche und reichte es dem Fürsten . Dieser nahm es , aber mit einer Art von Befremden . Ein neues , trauriges , trostloses Gefühl schnürte ihm das Herz zusammen ; er wurde sich auf einmal bewußt , daß er in diesem Augenblick und schon längst immer nicht von dem redete , wovon er reden mußte , und immer nicht das tat , was er tun mußte , und daß dies Kartenspiel , das er in den Händen hielt und über das er sich so freute , jetzt zu nichts helfen konnte , zu gar nichts . Er stand auf und schlug die Hände zusammen . Rogoshin lag da , ohne sich zu rühren , und schien seine Bewegung weder zu hören noch zu sehen ; aber seine Augen leuchteten hell durch die Dunkelheit und waren weit geöffnet und starr . Der Fürst setzte sich auf einen Stuhl und begann ihn angstvoll anzusehen . So verging etwa eine halbe Stunde ; auf einmal fing Rogoshin an , laut und stoßweise zu schreien und zu lachen , als hätte er vergessen , daß sie nur flüsternd reden durften
2-1	Er	O	_	_	
2-2	zog	O	_	_	
2-3	ein	O	_	_	
2-4	gebrauchtes	O	_	_	
2-5	,	O	_	_	
2-6	in	O	_	_	
2-7	Papier	B-NC	_	_	
2-8	gewickeltes	O	_	_	
2-9	Spiel	B-NC	_	_	
2-10	Karten	B-NC	Holonym	2-84	
2-11	aus	O	_	_	
2-12	der	O	_	_	
2-13	Tasche	B-NC	_	_	
2-14	und	O	_	_	
2-15	reichte	O	_	_	
2-16	es	O	_	_	
2-17	dem	O	_	_	
2-18	Fürsten	B-NC	_	_	
2-19	.	O	_	_	
2-20	Dieser	O	_	_	
2-21	nahm	O	_	_	
2-22	es	O	_	_	
2-23	,	O	_	_	
2-24	aber	O	_	_	
2-25	mit	O	_	_	
2-26	einer	O	_	_	
2-27	Art	B-NC	_	_	
2-28	von	O	_	_	
2-29	Befremden	B-NC	_	_	
2-30	.	O	_	_	
2-31	Ein	O	_	_	
2-32	neues	O	_	_	
2-33	,	O	_	_	
2-34	trauriges	O	_	_	
2-35	,	O	_	_	
2-36	trostloses	O	_	_	
2-37	Gefühl	B-NC	_	_	
2-38	schnürte	O	_	_	
2-39	ihm	O	_	_	
2-40	das	O	_	_	
2-41	Herz	B-NC	_	_	
2-42	zusammen	O	_	_	
2-43	;	O	_	_	
2-44	er	O	_	_	
2-45	wurde	O	_	_	
2-46	sich	O	_	_	
2-47	auf	O	_	_	
2-48	einmal	O	_	_	
2-49	bewußt	O	_	_	
2-50	,	O	_	_	
2-51	daß	O	_	_	
2-52	er	O	_	_	
2-53	in	O	_	_	
2-54	diesem	O	_	_	
2-55	Augenblick	B-NC	_	_	
2-56	und	O	_	_	
2-57	schon	O	_	_	
2-58	längst	O	_	_	
2-59	immer	O	_	_	
2-60	nicht	O	_	_	
2-61	von	O	_	_	
2-62	dem	O	_	_	
2-63	redete	O	_	_	
2-64	,	O	_	_	
2-65	wovon	O	_	_	
2-66	er	O	_	_	
2-67	reden	O	_	_	
2-68	mußte	O	_	_	
2-69	,	O	_	_	
2-70	und	O	_	_	
2-71	immer	O	_	_	
2-72	nicht	O	_	_	
2-73	das	O	_	_	
2-74	tat	O	_	_	
2-75	,	O	_	_	
2-76	was	O	_	_	
2-77	er	O	_	_	
2-78	tun	O	_	_	
2-79	mußte	O	_	_	
2-80	,	O	_	_	
2-81	und	O	_	_	
2-82	daß	O	_	_	
2-83	dies	O	_	_	
2-84	Kartenspiel	B-NC	Hypernym	2-9	
2-85	,	O	_	_	
2-86	das	O	_	_	
2-87	er	O	_	_	
2-88	in	O	_	_	
2-89	den	O	_	_	
2-90	Händen	B-NC	Holonym	2-18	
2-91	hielt	O	_	_	
2-92	und	O	_	_	
2-93	über	O	_	_	
2-94	das	O	_	_	
2-95	er	O	_	_	
2-96	sich	O	_	_	
2-97	so	O	_	_	
2-98	freute	O	_	_	
2-99	,	O	_	_	
2-100	jetzt	O	_	_	
2-101	zu	O	_	_	
2-102	nichts	O	_	_	
2-103	helfen	O	_	_	
2-104	konnte	O	_	_	
2-105	,	O	_	_	
2-106	zu	O	_	_	
2-107	gar	O	_	_	
2-108	nichts	O	_	_	
2-109	.	O	_	_	
2-110	Er	O	_	_	
2-111	stand	O	_	_	
2-112	auf	O	_	_	
2-113	und	O	_	_	
2-114	schlug	O	_	_	
2-115	die	O	_	_	
2-116	Hände	B-NC	Co-Hyponym	2-41	
2-117	zusammen	O	_	_	
2-118	.	O	_	_	
2-119	Rogoshin	B-NC	_	_	
2-120	lag	O	_	_	
2-121	da	O	_	_	
2-122	,	O	_	_	
2-123	ohne	O	_	_	
2-124	sich	O	_	_	
2-125	zu	O	_	_	
2-126	rühren	O	_	_	
2-127	,	O	_	_	
2-128	und	O	_	_	
2-129	schien	O	_	_	
2-130	seine	O	_	_	
2-131	Bewegung	B-NC	_	_	
2-132	weder	O	_	_	
2-133	zu	O	_	_	
2-134	hören	O	_	_	
2-135	noch	O	_	_	
2-136	zu	O	_	_	
2-137	sehen	O	_	_	
2-138	;	O	_	_	
2-139	aber	O	_	_	
2-140	seine	O	_	_	
2-141	Augen	B-NC	Holonym|Co-Hyponym	2-18|2-41	
2-142	leuchteten	O	_	_	
2-143	hell	O	_	_	
2-144	durch	O	_	_	
2-145	die	O	_	_	
2-146	Dunkelheit	B-NC	_	_	
2-147	und	O	_	_	
2-148	waren	O	_	_	
2-149	weit	O	_	_	
2-150	geöffnet	O	_	_	
2-151	und	O	_	_	
2-152	starr	O	_	_	
2-153	.	O	_	_	
2-154	Der	O	_	_	
2-155	Fürst	B-NC	_	_	
2-156	setzte	O	_	_	
2-157	sich	O	_	_	
2-158	auf	O	_	_	
2-159	einen	O	_	_	
2-160	Stuhl	B-NC	_	_	
2-161	und	O	_	_	
2-162	begann	O	_	_	
2-163	ihn	O	_	_	
2-164	angstvoll	O	_	_	
2-165	anzusehen	O	_	_	
2-166	.	O	_	_	
2-167	So	O	_	_	
2-168	verging	O	_	_	
2-169	etwa	O	_	_	
2-170	eine	O	_	_	
2-171	halbe	O	_	_	
2-172	Stunde	B-NC	_	_	
2-173	;	O	_	_	
2-174	auf	O	_	_	
2-175	einmal	O	_	_	
2-176	fing	O	_	_	
2-177	Rogoshin	B-NC	_	_	
2-178	an	O	_	_	
2-179	,	O	_	_	
2-180	laut	O	_	_	
2-181	und	O	_	_	
2-182	stoßweise	O	_	_	
2-183	zu	O	_	_	
2-184	schreien	O	_	_	
2-185	und	O	_	_	
2-186	zu	O	_	_	
2-187	lachen	O	_	_	
2-188	,	O	_	_	
2-189	als	O	_	_	
2-190	hätte	O	_	_	
2-191	er	O	_	_	
2-192	vergessen	O	_	_	
2-193	,	O	_	_	
2-194	daß	O	_	_	
2-195	sie	O	_	_	
2-196	nur	O	_	_	
2-197	flüsternd	O	_	_	
2-198	reden	O	_	_	
2-199	durften	O	_	_	

#id=3
#text=»Den Offizier , den Offizier ... erinnerst du dich , wie sie den Offizier beim Konzert mit dem Spazierstöckchen ins Gesicht schlug , erinnerst du dich ? Hahaha ! Und wie der Leutnant hinzusprang ... Der Leutnant ... der Leutnant ...
3-1	»Den	O	_	_	
3-2	Offizier	B-NC	_	_	
3-3	,	O	_	_	
3-4	den	O	_	_	
3-5	Offizier	B-NC	_	_	
3-6	...	O	_	_	
3-7	erinnerst	O	_	_	
3-8	du	O	_	_	
3-9	dich	O	_	_	
3-10	,	O	_	_	
3-11	wie	O	_	_	
3-12	sie	O	_	_	
3-13	den	O	_	_	
3-14	Offizier	B-NC	_	_	
3-15	beim	O	_	_	
3-16	Konzert	B-NC	_	_	
3-17	mit	O	_	_	
3-18	dem	O	_	_	
3-19	Spazierstöckchen	B-NC	_	_	
3-20	ins	O	_	_	
3-21	Gesicht	B-NC	Holonym	3-14	
3-22	schlug	O	_	_	
3-23	,	O	_	_	
3-24	erinnerst	O	_	_	
3-25	du	O	_	_	
3-26	dich	O	_	_	
3-27	?	O	_	_	
3-28	Hahaha	B-NC	_	_	
3-29	!	O	_	_	
3-30	Und	O	_	_	
3-31	wie	O	_	_	
3-32	der	O	_	_	
3-33	Leutnant	B-NC	Co-Hyponym	3-14	
3-34	hinzusprang	O	_	_	
3-35	...	O	_	_	
3-36	Der	O	_	_	
3-37	Leutnant	B-NC	_	_	
3-38	...	O	_	_	
3-39	der	O	_	_	
3-40	Leutnant	B-NC	_	_	
3-41	...	O	_	_	

#id=4
#text=Der Fürst sprang in neuem Schrecken vom Stuhl auf . Als Rogoshin verstummt war ( und das geschah plötzlich ) , beugte sich der Fürst leise zu ihm herab , setzte sich neben ihn und begann ihn mit stark klopfendem Herzen und nur mühsam atmend zu betrachten . Rogoshin drehte den Kopf nicht zu ihm hin und schien seine Anwesenheit ganz vergessen zu haben . Der Fürst sah ihn an und wartete ; die Zeit verging , es begann hell zu werden . Rogoshin fing mitunter plötzlich an zu murmeln , laut , scharf und unzusammenhängend ; er schrie und lachte ; der Fürst streckte dann seine zitternde Hand nach ihm aus und berührte leise seinen Kopf und sein Haar , streichelte dieses und streichelte seine Wangen ... mehr vermochte er nicht zu tun ! Er selbst begann wieder zu zittern , und seine Beine waren auf einmal wieder wie gelähmt . Eine ganz neue Empfindung quälte sein Herz mit grenzenlosem Schmerz . Unterdessen war es ganz hell geworden ; er legte sich endlich ganz kraftlos und verzweifelt auf das Kissen und schmiegte sein Gesicht an das blasse , regungslose Gesicht Rogoshins . Tränen strömten aus seinen Augen auf Rogoshins Wangen , aber vielleicht bemerkte er damals schon seine eigenen Tränen nicht mehr und wußte nichts mehr von ihnen
4-1	Der	O	_	_	
4-2	Fürst	B-NC	_	_	
4-3	sprang	O	_	_	
4-4	in	O	_	_	
4-5	neuem	O	_	_	
4-6	Schrecken	B-NC	Hypernym	4-156	
4-7	vom	O	_	_	
4-8	Stuhl	B-NC	_	_	
4-9	auf	O	_	_	
4-10	.	O	_	_	
4-11	Als	O	_	_	
4-12	Rogoshin	B-NC	_	_	
4-13	verstummt	O	_	_	
4-14	war	O	_	_	
4-15	(	O	_	_	
4-16	und	O	_	_	
4-17	das	O	_	_	
4-18	geschah	O	_	_	
4-19	plötzlich	O	_	_	
4-20	)	O	_	_	
4-21	,	O	_	_	
4-22	beugte	O	_	_	
4-23	sich	O	_	_	
4-24	der	O	_	_	
4-25	Fürst	B-NC	_	_	
4-26	leise	O	_	_	
4-27	zu	O	_	_	
4-28	ihm	O	_	_	
4-29	herab	O	_	_	
4-30	,	O	_	_	
4-31	setzte	O	_	_	
4-32	sich	O	_	_	
4-33	neben	O	_	_	
4-34	ihn	O	_	_	
4-35	und	O	_	_	
4-36	begann	O	_	_	
4-37	ihn	O	_	_	
4-38	mit	O	_	_	
4-39	stark	O	_	_	
4-40	klopfendem	O	_	_	
4-41	Herzen	B-NC	Holonym	4-25	
4-42	und	O	_	_	
4-43	nur	O	_	_	
4-44	mühsam	O	_	_	
4-45	atmend	O	_	_	
4-46	zu	O	_	_	
4-47	betrachten	O	_	_	
4-48	.	O	_	_	
4-49	Rogoshin	B-NC	_	_	
4-50	drehte	O	_	_	
4-51	den	O	_	_	
4-52	Kopf	B-NC	Co-Hyponym	4-41	
4-53	nicht	O	_	_	
4-54	zu	O	_	_	
4-55	ihm	O	_	_	
4-56	hin	O	_	_	
4-57	und	O	_	_	
4-58	schien	O	_	_	
4-59	seine	O	_	_	
4-60	Anwesenheit	B-NC	_	_	
4-61	ganz	O	_	_	
4-62	vergessen	O	_	_	
4-63	zu	O	_	_	
4-64	haben	O	_	_	
4-65	.	O	_	_	
4-66	Der	O	_	_	
4-67	Fürst	B-NC	_	_	
4-68	sah	O	_	_	
4-69	ihn	O	_	_	
4-70	an	O	_	_	
4-71	und	O	_	_	
4-72	wartete	O	_	_	
4-73	;	O	_	_	
4-74	die	O	_	_	
4-75	Zeit	B-NC	_	_	
4-76	verging	O	_	_	
4-77	,	O	_	_	
4-78	es	O	_	_	
4-79	begann	O	_	_	
4-80	hell	O	_	_	
4-81	zu	O	_	_	
4-82	werden	O	_	_	
4-83	.	O	_	_	
4-84	Rogoshin	B-NC	_	_	
4-85	fing	O	_	_	
4-86	mitunter	O	_	_	
4-87	plötzlich	O	_	_	
4-88	an	O	_	_	
4-89	zu	O	_	_	
4-90	murmeln	O	_	_	
4-91	,	O	_	_	
4-92	laut	O	_	_	
4-93	,	O	_	_	
4-94	scharf	O	_	_	
4-95	und	O	_	_	
4-96	unzusammenhängend	O	_	_	
