 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=" Here they are , " said Rogojin , after a still longer pause "
1-1	"	O	_	_	
1-2	Here	O	_	_	
1-3	they	O	_	_	
1-4	are	O	_	_	
1-5	,	O	_	_	
1-6	"	O	_	_	
1-7	said	O	_	_	
1-8	Rogojin	B-NC	_	_	
1-9	,	O	_	_	
1-10	after	O	_	_	
1-11	a	O	_	_	
1-12	still	O	_	_	
1-13	longer	O	_	_	
1-14	pause	B-NC	_	_	
1-15	"	O	_	_	

#id=2
#text=He pulled out a pack of cards , wrapped in a bit of paper , from his pocket , and handed them to the prince . The latter took them , with a sort of perplexity . A new , sad , helpless feeling weighed on his heart ; he had suddenly realized that not only at this moment , but for a long while , he had not been saying what he wanted to say , had not been acting as he wanted to act ; and that these cards which he held in his hand , and which he had been so delighted to have at first , were now of no use--no use ... He rose , and wrung his hands . Rogojin lay motionless , and seemed neither to hear nor see his movements ; but his eyes blazed in the darkness , and were fixed in a wild stare 
2-1	He	O	_	_	
2-2	pulled	O	_	_	
2-3	out	O	_	_	
2-4	a	O	_	_	
2-5	pack	B-NC	_	_	
2-6	of	O	_	_	
2-7	cards	B-NC	_	_	
2-8	,	O	_	_	
2-9	wrapped	O	_	_	
2-10	in	O	_	_	
2-11	a	O	_	_	
2-12	bit	B-NC	_	_	
2-13	of	O	_	_	
2-14	paper	B-NC	_	_	
2-15	,	O	_	_	
2-16	from	O	_	_	
2-17	his	O	_	_	
2-18	pocket	B-NC	_	_	
2-19	,	O	_	_	
2-20	and	O	_	_	
2-21	handed	O	_	_	
2-22	them	O	_	_	
2-23	to	O	_	_	
2-24	the	O	_	_	
2-25	prince	B-NC	_	_	
2-26	.	O	_	_	
2-27	The	O	_	_	
2-28	latter	B-NC	_	_	
2-29	took	O	_	_	
2-30	them	O	_	_	
2-31	,	O	_	_	
2-32	with	O	_	_	
2-33	a	O	_	_	
2-34	sort	B-NC	_	_	
2-35	of	O	_	_	
2-36	perplexity	B-NC	_	_	
2-37	.	O	_	_	
2-38	A	O	_	_	
2-39	new	O	_	_	
2-40	,	O	_	_	
2-41	sad	O	_	_	
2-42	,	O	_	_	
2-43	helpless	O	_	_	
2-44	feeling	B-NC	_	_	
2-45	weighed	O	_	_	
2-46	on	O	_	_	
2-47	his	O	_	_	
2-48	heart	B-NC	Holonym	2-25	
2-49	;	O	_	_	
2-50	he	O	_	_	
2-51	had	O	_	_	
2-52	suddenly	O	_	_	
2-53	realized	O	_	_	
2-54	that	O	_	_	
2-55	not	O	_	_	
2-56	only	O	_	_	
2-57	at	O	_	_	
2-58	this	O	_	_	
2-59	moment	B-NC	_	_	
2-60	,	O	_	_	
2-61	but	O	_	_	
2-62	for	O	_	_	
2-63	a	O	_	_	
2-64	long	O	_	_	
2-65	while	B-NC	Co-Hyponym	2-59	
2-66	,	O	_	_	
2-67	he	O	_	_	
2-68	had	O	_	_	
2-69	not	O	_	_	
2-70	been	O	_	_	
2-71	saying	O	_	_	
2-72	what	O	_	_	
2-73	he	O	_	_	
2-74	wanted	O	_	_	
2-75	to	O	_	_	
2-76	say	O	_	_	
2-77	,	O	_	_	
2-78	had	O	_	_	
2-79	not	O	_	_	
2-80	been	O	_	_	
2-81	acting	O	_	_	
2-82	as	O	_	_	
2-83	he	O	_	_	
2-84	wanted	O	_	_	
2-85	to	O	_	_	
2-86	act	O	_	_	
2-87	;	O	_	_	
2-88	and	O	_	_	
2-89	that	O	_	_	
2-90	these	O	_	_	
2-91	cards	B-NC	_	_	
2-92	which	O	_	_	
2-93	he	O	_	_	
2-94	held	O	_	_	
2-95	in	O	_	_	
2-96	his	O	_	_	
2-97	hand	B-NC	Holonym	2-25	
2-98	,	O	_	_	
2-99	and	O	_	_	
2-100	which	O	_	_	
2-101	he	O	_	_	
2-102	had	O	_	_	
2-103	been	O	_	_	
2-104	so	O	_	_	
2-105	delighted	O	_	_	
2-106	to	O	_	_	
2-107	have	O	_	_	
2-108	at	O	_	_	
2-109	first	O	_	_	
2-110	,	O	_	_	
2-111	were	O	_	_	
2-112	now	O	_	_	
2-113	of	O	_	_	
2-114	no	O	_	_	
2-115	use--no	B-NC	_	_	
2-116	use	I-NC	_	_	
2-117	...	O	_	_	
2-118	He	O	_	_	
2-119	rose	O	_	_	
2-120	,	O	_	_	
2-121	and	O	_	_	
2-122	wrung	O	_	_	
2-123	his	O	_	_	
2-124	hands	B-NC	_	_	
2-125	.	O	_	_	
2-126	Rogojin	B-NC	_	_	
2-127	lay	O	_	_	
2-128	motionless	O	_	_	
2-129	,	O	_	_	
2-130	and	O	_	_	
2-131	seemed	O	_	_	
2-132	neither	O	_	_	
2-133	to	O	_	_	
2-134	hear	O	_	_	
2-135	nor	O	_	_	
2-136	see	O	_	_	
2-137	his	O	_	_	
2-138	movements	B-NC	_	_	
2-139	;	O	_	_	
2-140	but	O	_	_	
2-141	his	O	_	_	
2-142	eyes	B-NC	Holonym	2-25	
2-143	blazed	O	_	_	
2-144	in	O	_	_	
2-145	the	O	_	_	
2-146	darkness	B-NC	_	_	
2-147	,	O	_	_	
2-148	and	O	_	_	
2-149	were	O	_	_	
2-150	fixed	O	_	_	
2-151	in	O	_	_	
2-152	a	O	_	_	
2-153	wild	O	_	_	
2-154	stare	B-NC	_	_	

#id=3
#text=The prince sat down on a chair , and watched him in alarm . Half an hour went by 
3-1	The	O	_	_	
3-2	prince	B-NC	_	_	
3-3	sat	O	_	_	
3-4	down	O	_	_	
3-5	on	O	_	_	
3-6	a	O	_	_	
3-7	chair	B-NC	_	_	
3-8	,	O	_	_	
3-9	and	O	_	_	
3-10	watched	O	_	_	
3-11	him	O	_	_	
3-12	in	O	_	_	
3-13	alarm	B-NC	_	_	
3-14	.	O	_	_	
3-15	Half	O	_	_	
3-16	an	O	_	_	
3-17	hour	B-NC	_	_	
3-18	went	O	_	_	
3-19	by	O	_	_	

#id=4
#text=Suddenly Rogojin burst into a loud abrupt laugh , as though he had quite forgotten that they must speak in whispers
4-1	Suddenly	O	_	_	
4-2	Rogojin	B-NC	_	_	
4-3	burst	I-NC	_	_	
4-4	into	O	_	_	
4-5	a	O	_	_	
4-6	loud	O	_	_	
4-7	abrupt	O	_	_	
4-8	laugh	B-NC	_	_	
4-9	,	O	_	_	
