 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=-- Здесь карты ... -- выговорил Рогожин , помолчав еще больше , -- вот
1-1	--	O	_	_	
1-2	Здесь	O	_	_	
1-3	карты	B-NC	_	_	
1-4	...	O	_	_	
1-5	--	O	_	_	
1-6	выговорил	O	_	_	
1-7	Рогожин	B-NC	_	_	
1-8	,	O	_	_	
1-9	помолчав	O	_	_	
1-10	еще	O	_	_	
1-11	больше	O	_	_	
1-12	,	O	_	_	
1-13	--	O	_	_	
1-14	вот	O	_	_	

#id=2
#text=Он вынул игранную , завернутую в бумажку колоду из кармана и протянул к князю . Тот взял , но как бы с недоумением . Новое , грустное и безотрадное чувство сдавило ему сердце ; он вдруг понял , что в эту минуту , и давно уже , всё говорит не о том , о чем надо ему говорить , и делает всё не то , что бы надо делать , и что вот эти карты , которые он держит в руках и которым он так обрадовался , ничему , ничему не помогут теперь . Он встал и всплеснул руками . Рогожин лежал неподвижно и как бы не слыхал и не видал его движения ; но глаза его ярко блистали сквозь темноту и были совершенно открыты и неподвижны . Князь сел на стул и стал со страхом смотреть на него . Прошло с полчаса ; вдруг Рогожин громко и отрывисто закричал и захохотал , как бы забыв , что надо говорить шепотом
2-1	Он	O	_	_	
2-2	вынул	O	_	_	
2-3	игранную	O	_	_	
2-4	,	O	_	_	
2-5	завернутую	O	_	_	
2-6	в	O	_	_	
2-7	бумажку	B-NC	_	_	
2-8	колоду	B-NC	_	_	
2-9	из	O	_	_	
2-10	кармана	B-NC	_	_	
2-11	и	O	_	_	
2-12	протянул	O	_	_	
2-13	к	O	_	_	
2-14	князю	B-NC	_	_	
2-15	.	O	_	_	
2-16	Тот	O	_	_	
2-17	взял	O	_	_	
2-18	,	O	_	_	
2-19	но	O	_	_	
2-20	как	O	_	_	
2-21	бы	O	_	_	
2-22	с	O	_	_	
2-23	недоумением	B-NC	Hypernym	2-30	
2-24	.	O	_	_	
2-25	Новое	O	_	_	
2-26	,	O	_	_	
2-27	грустное	O	_	_	
2-28	и	O	_	_	
2-29	безотрадное	O	_	_	
2-30	чувство	B-NC	_	_	
2-31	сдавило	O	_	_	
2-32	ему	O	_	_	
