 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Es war gegen Ende des November , bei Tauwetter , als sich um neun Uhr morgens ein Zug der Petersburg-Warschauer Bahn in voller Fahrt Petersburg näherte . Das Wetter war so feucht und neblig , daß das Tageslicht kaum zur Geltung kam ; man konnte rechts und links von der Bahn aus den Fenstern der Wagen nur auf zehn Schritte mit Mühe etwas erkennen . Unter den Passagieren waren einige , die aus dem Ausland zurückkehrten ; am meisten gefüllt waren aber die Abteile dritter Klasse , und zwar fast ausschließlich mit kleinen Geschäftsleuten , die aus nicht sehr weiter Entfernung kamen . Alle waren , wie das so zu sein pflegt , müde ; allen waren während der Nacht die Augenlider schwer geworden , alle fröstelten , alle Gesichter waren gelblich , von derselben Farbe wie der Nebel
1-1	Es	O	_	_	
1-2	war	O	_	_	
1-3	gegen	O	_	_	
1-4	Ende	B-NC	_	_	
1-5	des	O	_	_	
1-6	November	B-NC	_	_	
1-7	,	O	_	_	
1-8	bei	O	_	_	
1-9	Tauwetter	B-NC	Hypernym	1-29	
1-10	,	O	_	_	
1-11	als	O	_	_	
1-12	sich	O	_	_	
1-13	um	O	_	_	
1-14	neun	O	_	_	
1-15	Uhr	B-NC	_	_	
1-16	morgens	O	_	_	
1-17	ein	O	_	_	
1-18	Zug	B-NC	Holonym	1-21	
1-19	der	O	_	_	
1-20	Petersburg-Warschauer	B-NC	_	_	
1-21	Bahn	B-NC	_	_	
1-22	in	O	_	_	
1-23	voller	O	_	_	
1-24	Fahrt	B-NC	_	_	
1-25	Petersburg	B-NC	_	_	
1-26	näherte	O	_	_	
1-27	.	O	_	_	
1-28	Das	O	_	_	
1-29	Wetter	B-NC	_	_	
1-30	war	O	_	_	
1-31	so	O	_	_	
1-32	feucht	O	_	_	
1-33	und	O	_	_	
1-34	neblig	O	_	_	
1-35	,	O	_	_	
1-36	daß	O	_	_	
1-37	das	O	_	_	
1-38	Tageslicht	B-NC	_	_	
1-39	kaum	O	_	_	
1-40	zur	O	_	_	
1-41	Geltung	B-NC	_	_	
1-42	kam	O	_	_	
1-43	;	O	_	_	
1-44	man	O	_	_	
1-45	konnte	O	_	_	
1-46	rechts	O	_	_	
1-47	und	O	_	_	
1-48	links	O	_	_	
1-49	von	O	_	_	
1-50	der	O	_	_	
1-51	Bahn	B-NC	_	_	
1-52	aus	O	_	_	
1-53	den	O	_	_	
1-54	Fenstern	B-NC	Holonym	1-56	
1-55	der	O	_	_	
1-56	Wagen	B-NC	Holonym	1-18	
1-57	nur	O	_	_	
1-58	auf	O	_	_	
1-59	zehn	O	_	_	
1-60	Schritte	B-NC	_	_	
1-61	mit	O	_	_	
1-62	Mühe	B-NC	_	_	
1-63	etwas	O	_	_	
1-64	erkennen	O	_	_	
1-65	.	O	_	_	
1-66	Unter	O	_	_	
1-67	den	O	_	_	
1-68	Passagieren	B-NC	_	_	
1-69	waren	O	_	_	
1-70	einige	O	_	_	
1-71	,	O	_	_	
1-72	die	O	_	_	
1-73	aus	O	_	_	
1-74	dem	O	_	_	
1-75	Ausland	B-NC	_	_	
1-76	zurückkehrten	O	_	_	
1-77	;	O	_	_	
1-78	am	O	_	_	
1-79	meisten	O	_	_	
1-80	gefüllt	O	_	_	
1-81	waren	O	_	_	
1-82	aber	O	_	_	
1-83	die	O	_	_	
1-84	Abteile	B-NC	Holonym	1-56	
1-85	dritter	O	_	_	
1-86	Klasse	B-NC	_	_	
1-87	,	O	_	_	
1-88	und	O	_	_	
1-89	zwar	O	_	_	
1-90	fast	O	_	_	
1-91	ausschließlich	O	_	_	
1-92	mit	O	_	_	
1-93	kleinen	O	_	_	
1-94	Geschäftsleuten	B-NC	Co-Hyponym	1-68	
1-95	,	O	_	_	
1-96	die	O	_	_	
1-97	aus	O	_	_	
1-98	nicht	O	_	_	
1-99	sehr	O	_	_	
1-100	weiter	O	_	_	
1-101	Entfernung	B-NC	_	_	
1-102	kamen	O	_	_	
1-103	.	O	_	_	
1-104	Alle	O	_	_	
1-105	waren	O	_	_	
1-106	,	O	_	_	
1-107	wie	O	_	_	
1-108	das	O	_	_	
1-109	so	O	_	_	
1-110	zu	O	_	_	
1-111	sein	O	_	_	
1-112	pflegt	O	_	_	
1-113	,	O	_	_	
1-114	müde	O	_	_	
1-115	;	O	_	_	
1-116	allen	O	_	_	
1-117	waren	O	_	_	
1-118	während	O	_	_	
1-119	der	O	_	_	
1-120	Nacht	B-NC	_	_	
1-121	die	O	_	_	
1-122	Augenlider	B-NC	Holonym	1-130	
1-123	schwer	O	_	_	
1-124	geworden	O	_	_	
1-125	,	O	_	_	
1-126	alle	O	_	_	
1-127	fröstelten	O	_	_	
1-128	,	O	_	_	
1-129	alle	O	_	_	
1-130	Gesichter	B-NC	Holonym|Holonym	1-68|1-94	
1-131	waren	O	_	_	
1-132	gelblich	O	_	_	
1-133	,	O	_	_	
1-134	von	O	_	_	
1-135	derselben	O	_	_	
1-136	Farbe	B-NC	_	_	
1-137	wie	O	_	_	
1-138	der	O	_	_	
1-139	Nebel	B-NC	Hypernym	1-29	

#id=2
