 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Towards the end of November , during a thaw , at nine o'clock one morning , a train on the Warsaw and Petersburg railway was approaching the latter city at full speed . The morning was so damp and misty that it was only with great difficulty that the day succeeded in breaking ; and it was impossible to distinguish anything more than a few yards away from the carriage windows
1-1	Towards	O	_	_	
1-2	the	O	_	_	
1-3	end	B-NC	_	_	
1-4	of	O	_	_	
1-5	November	B-NC	_	_	
1-6	,	O	_	_	
1-7	during	O	_	_	
1-8	a	O	_	_	
1-9	thaw	B-NC	_	_	
1-10	,	O	_	_	
1-11	at	O	_	_	
1-12	nine	O	_	_	
1-13	o'clock	O	_	_	
1-14	one	O	_	_	
1-15	morning	B-NC	_	_	
1-16	,	O	_	_	
1-17	a	O	_	_	
1-18	train	B-NC	_	_	
1-19	on	O	_	_	
1-20	the	O	_	_	
1-21	Warsaw	B-NC	_	_	
1-22	and	O	_	_	
1-23	Petersburg	B-NC	_	_	
1-24	railway	B-NC	_	_	
1-25	was	O	_	_	
1-26	approaching	O	_	_	
1-27	the	O	_	_	
1-28	latter	O	_	_	
1-29	city	B-NC	_	_	
1-30	at	O	_	_	
1-31	full	O	_	_	
1-32	speed	B-NC	_	_	
1-33	.	O	_	_	
1-34	The	O	_	_	
1-35	morning	B-NC	_	_	
1-36	was	O	_	_	
1-37	so	O	_	_	
1-38	damp	O	_	_	
1-39	and	O	_	_	
1-40	misty	O	_	_	
1-41	that	O	_	_	
1-42	it	O	_	_	
1-43	was	O	_	_	
1-44	only	O	_	_	
1-45	with	O	_	_	
1-46	great	O	_	_	
1-47	difficulty	B-NC	_	_	
1-48	that	O	_	_	
1-49	the	O	_	_	
1-50	day	B-NC	_	_	
1-51	succeeded	O	_	_	
1-52	in	O	_	_	
1-53	breaking	B-NC	_	_	
1-54	;	O	_	_	
1-55	and	O	_	_	
1-56	it	O	_	_	
1-57	was	O	_	_	
1-58	impossible	O	_	_	
1-59	to	O	_	_	
1-60	distinguish	O	_	_	
1-61	anything	B-NC	_	_	
1-62	more	O	_	_	
1-63	than	O	_	_	
1-64	a	O	_	_	
1-65	few	O	_	_	
1-66	yards	B-NC	_	_	
1-67	away	O	_	_	
1-68	from	O	_	_	
1-69	the	O	_	_	
1-70	carriage	B-NC|B-NC	Holonym	1-18	
1-71	windows	I-NC|B-NC	_	_	

#id=2
#text=Some of the passengers by this particular train were returning from abroad ; but the third-class carriages were the best filled , chiefly with insignificant persons of various occupations and degrees , picked up at the different stations nearer town . All of them seemed weary , and most of them had sleepy eyes and a shivering expression , while their complexions generally appeared to have taken on the colour of the fog outside
2-1	Some	O	_	_	
2-2	of	O	_	_	
2-3	the	O	_	_	
2-4	passengers	B-NC	Hypernym	2-26	
2-5	by	O	_	_	
2-6	this	O	_	_	
2-7	particular	O	_	_	
2-8	train	B-NC	_	_	
2-9	were	O	_	_	
2-10	returning	O	_	_	
2-11	from	O	_	_	
2-12	abroad	O	_	_	
2-13	;	O	_	_	
2-14	but	O	_	_	
2-15	the	O	_	_	
2-16	third-class	O	_	_	
2-17	carriages	B-NC	Holonym	2-8	
2-18	were	O	_	_	
2-19	the	O	_	_	
2-20	best	O	_	_	
2-21	filled	O	_	_	
2-22	,	O	_	_	
2-23	chiefly	O	_	_	
2-24	with	O	_	_	
2-25	insignificant	O	_	_	
2-26	persons	B-NC	_	_	
2-27	of	O	_	_	
2-28	various	O	_	_	
2-29	occupations	B-NC	_	_	
2-30	and	O	_	_	
2-31	degrees	B-NC	_	_	
2-32	,	O	_	_	
2-33	picked	O	_	_	
2-34	up	O	_	_	
2-35	at	O	_	_	
2-36	the	O	_	_	
2-37	different	O	_	_	
2-38	stations	B-NC	_	_	
2-39	nearer	O	_	_	
2-40	town	B-NC	_	_	
2-41	.	O	_	_	
2-42	All	O	_	_	
2-43	of	O	_	_	
2-44	them	O	_	_	
2-45	seemed	O	_	_	
2-46	weary	O	_	_	
2-47	,	O	_	_	
2-48	and	O	_	_	
2-49	most	O	_	_	
2-50	of	O	_	_	
2-51	them	O	_	_	
2-52	had	O	_	_	
2-53	sleepy	O	_	_	
2-54	eyes	B-NC	Holonym	2-26	
2-55	and	O	_	_	
2-56	a	O	_	_	
2-57	shivering	O	_	_	
2-58	expression	B-NC	_	_	
2-59	,	O	_	_	
2-60	while	O	_	_	
2-61	their	O	_	_	
2-62	complexions	B-NC	_	_	
2-63	generally	O	_	_	
2-64	appeared	O	_	_	
2-65	to	O	_	_	
2-66	have	O	_	_	
2-67	taken	O	_	_	
2-68	on	O	_	_	
2-69	the	O	_	_	
2-70	colour	B-NC	_	_	
2-71	of	O	_	_	
2-72	the	O	_	_	
2-73	fog	B-NC	_	_	
2-74	outside	B-NC	_	_	

#id=3
#text=When day dawned , two passengers in one of the third-class carriages found themselves opposite each other . Both were young fellows , both were rather poorly dressed , both had remarkable faces , and both were evidently anxious to start a conversation . If they had but known why , at this particular moment , they were both remarkable persons , they would undoubtedly have wondered at the strange chance which had set them down opposite to one another in a third-class carriage of the Warsaw Railway Company
3-1	When	O	_	_	
3-2	day	B-NC	_	_	
3-3	dawned	O	_	_	
3-4	,	O	_	_	
3-5	two	O	_	_	
3-6	passengers	B-NC	Hypernym	3-61	
3-7	in	O	_	_	
3-8	one	O	_	_	
3-9	of	O	_	_	
3-10	the	O	_	_	
3-11	third-class	O	_	_	
3-12	carriages	B-NC	_	_	
3-13	found	O	_	_	
3-14	themselves	O	_	_	
3-15	opposite	O	_	_	
3-16	each	O	_	_	
3-17	other	O	_	_	
3-18	.	O	_	_	
3-19	Both	O	_	_	
3-20	were	O	_	_	
3-21	young	O	_	_	
3-22	fellows	B-NC	Hypernym	3-61	
3-23	,	O	_	_	
3-24	both	O	_	_	
3-25	were	O	_	_	
3-26	rather	O	_	_	
3-27	poorly	O	_	_	
