 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=В конце ноября , в оттепель , часов в девять утра , поезд Петербургско-Варшавской железной дороги на всех парах подходил к Петербургу . Было так сыро и туманно , что насилу рассвело ; в десяти шагах , вправо и влево от дороги , трудно было разглядеть хоть что-нибудь из окон вагона . Из пассажиров были и возвращавшиеся из-за границы ; но более были наполнены отделения для третьего класса , и всё людом мелким и деловым , не из очень далека . Все , как водится , устали , у всех отяжелели за ночь глаза , все назяблись , все лица были бледно-желтые , под цвет тумана
1-1	В	O	_	_	
1-2	конце	B-NC	_	_	
1-3	ноября	B-NC	_	_	
1-4	,	O	_	_	
1-5	в	O	_	_	
1-6	оттепель	B-NC	_	_	
1-7	,	O	_	_	
1-8	часов	B-NC	_	_	
1-9	в	O	_	_	
1-10	девять	O	_	_	
1-11	утра	B-NC	_	_	
1-12	,	O	_	_	
1-13	поезд	B-NC	_	_	
1-14	Петербургско-Варшавской	O	_	_	
1-15	железной	O	_	_	
1-16	дороги	B-NC	_	_	
1-17	на	O	_	_	
1-18	всех	O	_	_	
1-19	парах	B-NC	_	_	
1-20	подходил	O	_	_	
1-21	к	O	_	_	
1-22	Петербургу	B-NC	_	_	
1-23	.	O	_	_	
1-24	Было	O	_	_	
1-25	так	O	_	_	
1-26	сыро	O	_	_	
1-27	и	O	_	_	
1-28	туманно	O	_	_	
1-29	,	O	_	_	
1-30	что	O	_	_	
1-31	насилу	O	_	_	
1-32	рассвело	O	_	_	
1-33	;	O	_	_	
1-34	в	O	_	_	
1-35	десяти	O	_	_	
1-36	шагах	B-NC	_	_	
1-37	,	O	_	_	
1-38	вправо	O	_	_	
1-39	и	O	_	_	
1-40	влево	O	_	_	
1-41	от	O	_	_	
1-42	дороги	B-NC	_	_	
1-43	,	O	_	_	
1-44	трудно	O	_	_	
1-45	было	O	_	_	
1-46	разглядеть	O	_	_	
1-47	хоть	O	_	_	
1-48	что-нибудь	O	_	_	
1-49	из	O	_	_	
1-50	окон	B-NC	Holonym	1-51	
1-51	вагона	B-NC	Holonym	1-13	
1-52	.	O	_	_	
1-53	Из	O	_	_	
1-54	пассажиров	B-NC	Hypernym	1-72	
1-55	были	O	_	_	
1-56	и	O	_	_	
1-57	возвращавшиеся	O	_	_	
1-58	из-за	O	_	_	
1-59	границы	B-NC	_	_	
1-60	;	O	_	_	
1-61	но	O	_	_	
1-62	более	O	_	_	
1-63	были	O	_	_	
1-64	наполнены	O	_	_	
1-65	отделения	B-NC	Holonym	1-51	
1-66	для	O	_	_	
1-67	третьего	O	_	_	
1-68	класса	B-NC	_	_	
1-69	,	O	_	_	
1-70	и	O	_	_	
1-71	всё	B-NC	_	_	
1-72	людом	B-NC	_	_	
1-73	мелким	O	_	_	
1-74	и	O	_	_	
1-75	деловым	O	_	_	
1-76	,	O	_	_	
1-77	не	O	_	_	
1-78	из	O	_	_	
1-79	очень	O	_	_	
1-80	далека	O	_	_	
1-81	.	O	_	_	
1-82	Все	O	_	_	
1-83	,	O	_	_	
1-84	как	O	_	_	
1-85	водится	O	_	_	
1-86	,	O	_	_	
1-87	устали	O	_	_	
1-88	,	O	_	_	
1-89	у	O	_	_	
1-90	всех	O	_	_	
1-91	отяжелели	O	_	_	
1-92	за	O	_	_	
1-93	ночь	B-NC	Co-Hyponym	1-11	
1-94	глаза	B-NC	Holonym	1-100	
1-95	,	O	_	_	
1-96	все	O	_	_	
1-97	назяблись	O	_	_	
1-98	,	O	_	_	
1-99	все	O	_	_	
1-100	лица	B-NC	Holonym	1-72	
1-101	были	O	_	_	
1-102	бледно-желтые	O	_	_	
1-103	,	O	_	_	
1-104	под	O	_	_	
1-105	цвет	B-NC	_	_	
1-106	тумана	B-NC	_	_	

#id=2
#text=В одном из вагонов третьего класса , с рассвета , очутились друг против друга , у самого окна , два пассажира -- оба люди молодые , оба почти налегке , оба не щегольски одетые , оба с довольно замечательными физиономиями и оба пожелавшие , наконец , войти друг с другом в разговор . Если б они оба знали один про другого , чем они особенно в эту минуту замечательны , то , конечно , подивились бы , что случай так странно посадил их друг против друга в третьеклассном вагоне петербургско-варшавского поезда . Один из них был небольшого роста , лет двадцати семи , курчавый и почти черноволосый , с серыми маленькими , но огненными глазами . Нос его был широк и сплюснут , лицо скулистое ; тонкие губы беспрерывно складывались в какую-то наглую , насмешливую и даже злую улыбку ; но лоб его был высок и хорошо сформирован и скрашивал неблагородно развитую нижнюю часть лица
2-1	В	O	_	_	
2-2	одном	O	_	_	
2-3	из	O	_	_	
2-4	вагонов	B-NC	Holonym	2-91	
2-5	третьего	O	_	_	
2-6	класса	B-NC	_	_	
2-7	,	O	_	_	
2-8	с	O	_	_	
2-9	рассвета	B-NC	_	_	
2-10	,	O	_	_	
2-11	очутились	O	_	_	
2-12	друг	O	_	_	
2-13	против	O	_	_	
2-14	друга	O	_	_	
2-15	,	O	_	_	
2-16	у	O	_	_	
2-17	самого	O	_	_	
2-18	окна	B-NC	_	_	
2-19	,	O	_	_	
2-20	два	O	_	_	
2-21	пассажира	B-NC	Hypernym	2-24	
2-22	--	O	_	_	
2-23	оба	O	_	_	
2-24	люди	B-NC	_	_	
2-25	молодые	O	_	_	
2-26	,	O	_	_	
2-27	оба	O	_	_	
2-28	почти	O	_	_	
2-29	налегке	O	_	_	
2-30	,	O	_	_	
2-31	оба	O	_	_	
2-32	не	O	_	_	
2-33	щегольски	O	_	_	
2-34	одетые	O	_	_	
2-35	,	O	_	_	
2-36	оба	O	_	_	
2-37	с	O	_	_	
2-38	довольно	O	_	_	
2-39	замечательными	O	_	_	
2-40	физиономиями	B-NC	Holonym	2-24	
2-41	и	O	_	_	
2-42	оба	O	_	_	
2-43	пожелавшие	O	_	_	
2-44	,	O	_	_	
2-45	наконец	O	_	_	
2-46	,	O	_	_	
2-47	войти	O	_	_	
2-48	друг	O	_	_	
2-49	с	O	_	_	
2-50	другом	O	_	_	
2-51	в	O	_	_	
2-52	разговор	B-NC	_	_	
2-53	.	O	_	_	
2-54	Если	O	_	_	
2-55	б	O	_	_	
2-56	они	O	_	_	
2-57	оба	O	_	_	
2-58	знали	O	_	_	
2-59	один	O	_	_	
2-60	про	O	_	_	
2-61	другого	O	_	_	
2-62	,	O	_	_	
2-63	чем	O	_	_	
2-64	они	O	_	_	
2-65	особенно	O	_	_	
2-66	в	O	_	_	
2-67	эту	O	_	_	
2-68	минуту	B-NC	_	_	
2-69	замечательны	O	_	_	
2-70	,	O	_	_	
2-71	то	O	_	_	
2-72	,	O	_	_	
2-73	конечно	O	_	_	
2-74	,	O	_	_	
2-75	подивились	O	_	_	
2-76	бы	O	_	_	
2-77	,	O	_	_	
2-78	что	O	_	_	
2-79	случай	B-NC	_	_	
2-80	так	O	_	_	
2-81	странно	O	_	_	
2-82	посадил	O	_	_	
2-83	их	O	_	_	
2-84	друг	O	_	_	
2-85	против	O	_	_	
2-86	друга	O	_	_	
2-87	в	O	_	_	
2-88	третьеклассном	O	_	_	
2-89	вагоне	B-NC	Holonym	2-91	
2-90	петербургско-варшавского	O	_	_	
2-91	поезда	B-NC	_	_	
2-92	.	O	_	_	
2-93	Один	O	_	_	
2-94	из	O	_	_	
2-95	них	O	_	_	
2-96	был	O	_	_	
2-97	небольшого	O	_	_	
2-98	роста	B-NC	_	_	
2-99	,	O	_	_	
2-100	лет	B-NC	_	_	
2-101	двадцати	O	_	_	
2-102	семи	O	_	_	
2-103	,	O	_	_	
2-104	курчавый	O	_	_	
2-105	и	O	_	_	
2-106	почти	O	_	_	
2-107	черноволосый	O	_	_	
2-108	,	O	_	_	
2-109	с	O	_	_	
2-110	серыми	O	_	_	
2-111	маленькими	O	_	_	
2-112	,	O	_	_	
2-113	но	O	_	_	
2-114	огненными	O	_	_	
2-115	глазами	B-NC	Holonym	2-40	
2-116	.	O	_	_	
2-117	Нос	B-NC	Holonym	2-40	
2-118	его	O	_	_	
2-119	был	O	_	_	
2-120	широк	O	_	_	
2-121	и	O	_	_	
2-122	сплюснут	O	_	_	
2-123	,	O	_	_	
2-124	лицо	B-NC	Synonym	2-40	
2-125	скулистое	O	_	_	
2-126	;	O	_	_	
2-127	тонкие	O	_	_	
2-128	губы	B-NC	Holonym	2-40	
2-129	беспрерывно	O	_	_	
2-130	складывались	O	_	_	
2-131	в	O	_	_	
2-132	какую-то	O	_	_	
2-133	наглую	O	_	_	
2-134	,	O	_	_	
2-135	насмешливую	O	_	_	
2-136	и	O	_	_	
2-137	даже	O	_	_	
2-138	злую	O	_	_	
2-139	улыбку	B-NC	_	_	
2-140	;	O	_	_	
2-141	но	O	_	_	
2-142	лоб	B-NC	Holonym	2-40	
2-143	его	O	_	_	
2-144	был	O	_	_	
2-145	высок	O	_	_	
2-146	и	O	_	_	
2-147	хорошо	O	_	_	
2-148	сформирован	O	_	_	
2-149	и	O	_	_	
2-150	скрашивал	O	_	_	
2-151	неблагородно	O	_	_	
2-152	развитую	O	_	_	
2-153	нижнюю	O	_	_	
2-154	часть	B-NC	_	_	
2-155	лица	B-NC	_	_	

#id=3
#text=Особенно приметна была в этом лице его мертвая бледность , придававшая всей физиономии молодого человека изможденный вид , несмотря на довольно крепкое сложение , и вместе с тем что-то страстное , до страдания , не гармонировавшее с нахальною и грубою улыбкой и с резким , самодовольным его взглядом . Он был тепло одет , в широкий мерлушечий черный крытый тулуп , и за ночь не зяб , тогда как сосед его принужден был вынести на своей издрогшей спине всю сладость сырой ноябрьской русской ночи , к которой , очевидно , был не приготовлен . На нем был довольно широкий и толстый плащ без рукавов и с огромным капюшоном , точь-в-точь как употребляют часто дорожные , по зимам , где-нибудь далеко за границей , в Швейцарии или , например , в Северной Италии , не рассчитывая , конечно , при этом и на такие концы по дороге , как от Эйдткунена до Петербурга . Но что годилось и вполне удовлетворяло в Италии , то оказалось не совсем пригодным в России . Обладатель плаща с капюшоном был молодой человек , тоже лет двадцати шести или двадцати семи , роста немного повыше среднего , очень белокур , густоволос , со впалыми щеками и с легонькою , востренькою , почти совершенно белою бородкой . Глаза его были большие , голубые и пристальные ; во взгляде их было что-то тихое , но тяжелое , что-то полное того странного выражения , по которому некоторые угадывают с первого взгляда в субъекте падучую болезнь . Лицо молодого человека было , впрочем , приятное , тонкое и сухое , но бесцветное , а теперь даже досиня иззябшее . В руках его болтался тощий узелок из старого , полинялого фуляра , заключавший , кажется , всё его дорожное достояние . На ногах его были толстоподошвенные башмаки с штиблетами , -- всё не по-русски . Черноволосый сосед в крытом тулупе всё это разглядел , частию от нечего делать , и наконец спросил с тою неделикатною усмешкой , в которой так бесцеремонно и небрежно выражается иногда людское удовольствие при неудачах ближнего
3-1	Особенно	O	_	_	
3-2	приметна	O	_	_	
3-3	была	O	_	_	
3-4	в	O	_	_	
3-5	этом	O	_	_	
3-6	лице	B-NC	Holonym	3-15	
3-7	его	O	_	_	
3-8	мертвая	O	_	_	
3-9	бледность	B-NC	_	_	
3-10	,	O	_	_	
3-11	придававшая	O	_	_	
3-12	всей	O	_	_	
3-13	физиономии	B-NC	Synonym	3-6	
3-14	молодого	O	_	_	
3-15	человека	B-NC	_	_	
3-16	изможденный	O	_	_	
3-17	вид	B-NC	_	_	
3-18	,	O	_	_	
3-19	несмотря	O	_	_	
3-20	на	O	_	_	
3-21	довольно	O	_	_	
3-22	крепкое	O	_	_	
3-23	сложение	B-NC	_	_	
3-24	,	O	_	_	
3-25	и	O	_	_	
3-26	вместе	O	_	_	
3-27	с	O	_	_	
3-28	тем	O	_	_	
3-29	что-то	B-NC	_	_	
3-30	страстное	O	_	_	
3-31	,	O	_	_	
3-32	до	O	_	_	
3-33	страдания	B-NC	_	_	
3-34	,	O	_	_	
3-35	не	O	_	_	
3-36	гармонировавшее	O	_	_	
3-37	с	O	_	_	
3-38	нахальною	O	_	_	
3-39	и	O	_	_	
3-40	грубою	O	_	_	
3-41	улыбкой	B-NC	_	_	
3-42	и	O	_	_	
3-43	с	O	_	_	
3-44	резким	O	_	_	
3-45	,	O	_	_	
3-46	самодовольным	O	_	_	
3-47	его	O	_	_	
3-48	взглядом	B-NC	_	_	
3-49	.	O	_	_	
3-50	Он	O	_	_	
3-51	был	O	_	_	
3-52	тепло	O	_	_	
3-53	одет	O	_	_	
3-54	,	O	_	_	
3-55	в	O	_	_	
