 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Irkutsk ( Russland ) , 09.07.2006 – Am heutigen Sonntag um 07:50 Uhr Ortszeit ( 00:50 Uhr MESZ ) ist in der am Baikalsee gelegenen Stadt Irkutsk ein Airbus A310 der russischen Fluggesellschaft Sibir verunglückt . Das in Moskau gestartete Flugzeug kam von der Landebahn ab und prallte gegen ein Gebäude . Dabei kamen mindestens 140 Menschen ums Leben , darunter die acht Besatzungsmitglieder . Insgesamt standen 192 Namen auf der Passagierliste , zuzüglich der acht Besatzungsmitglieder insgesamt mindestens 200 Personen . Es sollen jedoch laut „ Russland-Aktuell “ auch Passagiere an Bord gewesen sein , die nicht auf der Passagierliste standen
1-1	Irkutsk	B-NC	_	_	
1-2	(	O	_	_	
1-3	Russland	B-NC	_	_	
1-4	)	O	_	_	
1-5	,	O	_	_	
1-6	09.07.2006	O	_	_	
1-7	–	B-NC	_	_	
1-8	Am	O	_	_	
1-9	heutigen	O	_	_	
1-10	Sonntag	B-NC	_	_	
1-11	um	O	_	_	
1-12	07:50	O	_	_	
1-13	Uhr	B-NC	_	_	
1-14	Ortszeit	B-NC	_	_	
1-15	(	O	_	_	
1-16	00:50	O	_	_	
1-17	Uhr	B-NC	_	_	
1-18	MESZ	B-NC	_	_	
1-19	)	O	_	_	
1-20	ist	O	_	_	
1-21	in	O	_	_	
1-22	der	O	_	_	
1-23	am	O	_	_	
1-24	Baikalsee	B-NC	_	_	
1-25	gelegenen	O	_	_	
1-26	Stadt	B-NC	_	_	
1-27	Irkutsk	O	_	_	
1-28	ein	O	_	_	
1-29	Airbus	B-NC	_	_	
1-30	A310	B-NC	_	_	
1-31	der	O	_	_	
1-32	russischen	O	_	_	
1-33	Fluggesellschaft	B-NC	_	_	
1-34	Sibir	B-NC	_	_	
1-35	verunglückt	O	_	_	
1-36	.	O	_	_	
1-37	Das	O	_	_	
1-38	in	O	_	_	
1-39	Moskau	B-NC	_	_	
1-40	gestartete	O	_	_	
1-41	Flugzeug	B-NC	_	_	
1-42	kam	O	_	_	
1-43	von	O	_	_	
1-44	der	O	_	_	
1-45	Landebahn	B-NC	_	_	
1-46	ab	O	_	_	
1-47	und	O	_	_	
1-48	prallte	O	_	_	
1-49	gegen	O	_	_	
1-50	ein	O	_	_	
1-51	Gebäude	B-NC	Holonym	1-26	
1-52	.	O	_	_	
1-53	Dabei	O	_	_	
1-54	kamen	O	_	_	
1-55	mindestens	O	_	_	
1-56	140	O	_	_	
1-57	Menschen	B-NC	_	_	
1-58	ums	O	_	_	
1-59	Leben	B-NC	_	_	
1-60	,	O	_	_	
1-61	darunter	O	_	_	
1-62	die	O	_	_	
1-63	acht	O	_	_	
1-64	Besatzungsmitglieder	B-NC	Hypernym	1-57	
1-65	.	O	_	_	
1-66	Insgesamt	O	_	_	
1-67	standen	O	_	_	
1-68	192	O	_	_	
1-69	Namen	B-NC	Holonym	1-72	
1-70	auf	O	_	_	
1-71	der	O	_	_	
1-72	Passagierliste	B-NC	_	_	
1-73	,	O	_	_	
1-74	zuzüglich	O	_	_	
1-75	der	O	_	_	
1-76	acht	O	_	_	
1-77	Besatzungsmitglieder	B-NC	Hypernym	1-57	
1-78	insgesamt	O	_	_	
1-79	mindestens	O	_	_	
1-80	200	O	_	_	
1-81	Personen	B-NC	Synonym	1-57	
1-82	.	O	_	_	
1-83	Es	O	_	_	
1-84	sollen	O	_	_	
1-85	jedoch	O	_	_	
1-86	laut	O	_	_	
1-87	„	O	_	_	
1-88	Russland-Aktuell	B-NC	_	_	
1-89	“	O	_	_	
1-90	auch	O	_	_	
1-91	Passagiere	B-NC	Hypernym	1-57	
1-92	an	O	_	_	
1-93	Bord	B-NC	Holonym	1-41	
1-94	gewesen	O	_	_	
1-95	sein	O	_	_	
1-96	,	O	_	_	
1-97	die	O	_	_	
1-98	nicht	O	_	_	
1-99	auf	O	_	_	
1-100	der	O	_	_	
1-101	Passagierliste	B-NC	_	_	
1-102	standen	O	_	_	

#id=2
#text=Zwischen 54 und 56 Personen sollen sich inzwischen in Krankenhäusern in Irkutsk befinden . Die Unglücksursache ist zurzeit noch unbekannt . Mit der Klärung der Unfallursache ist eine Regierungskommission befasst
2-1	Zwischen	O	_	_	
2-2	54	O	_	_	
2-3	und	O	_	_	
2-4	56	O	_	_	
2-5	Personen	B-NC	Holonym	2-29	
2-6	sollen	O	_	_	
2-7	sich	O	_	_	
2-8	inzwischen	O	_	_	
2-9	in	O	_	_	
2-10	Krankenhäusern	B-NC	_	_	
2-11	in	O	_	_	
2-12	Irkutsk	B-NC	_	_	
2-13	befinden	O	_	_	
2-14	.	O	_	_	
2-15	Die	O	_	_	
2-16	Unglücksursache	B-NC	_	_	
2-17	ist	O	_	_	
2-18	zurzeit	O	_	_	
2-19	noch	O	_	_	
2-20	unbekannt	O	_	_	
2-21	.	O	_	_	
2-22	Mit	O	_	_	
2-23	der	O	_	_	
2-24	Klärung	B-NC	_	_	
2-25	der	O	_	_	
2-26	Unfallursache	B-NC	Hypernym	2-16	
2-27	ist	O	_	_	
2-28	eine	O	_	_	
2-29	Regierungskommission	B-NC	_	_	
2-30	befasst	O	_	_	

