 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=A Russian passenger plane has crashed after landing at Irkutsk Airport , in Siberia and up to 150 people are feared dead in the crash . At 7:44 a. m. local time ( 2244 UTC Saturday ) , the plane veered off the rain-slipped runway as it was landing , tore through a concrete barrier , and crashed into the nearby garage buildings , causing the plane to burst into flames . Witnesses have said that the aircraft appeared out of control shortly before touchdown , and was travelling at a terrific speed
1-1	A	O	_	_	
1-2	Russian	O	_	_	
1-3	passenger	B-NC|B-NC	Hypernym	1-40	
1-4	plane	I-NC|B-NC	_	_	
1-5	has	O	_	_	
1-6	crashed	O	_	_	
1-7	after	O	_	_	
1-8	landing	B-NC	_	_	
1-9	at	O	_	_	
1-10	Irkutsk	B-NC	_	_	
1-11	Airport	B-NC	Hypernym	1-63	
1-12	,	O	_	_	
1-13	in	O	_	_	
1-14	Siberia	B-NC	_	_	
1-15	and	O	_	_	
1-16	up	O	_	_	
1-17	to	O	_	_	
1-18	150	O	_	_	
1-19	people	B-NC	_	_	
1-20	are	O	_	_	
1-21	feared	O	_	_	
1-22	dead	O	_	_	
1-23	in	O	_	_	
1-24	the	O	_	_	
1-25	crash	B-NC	_	_	
1-26	.	O	_	_	
1-27	At	O	_	_	
1-28	7:44	O	_	_	
1-29	a.	O	_	_	
1-30	m.	O	_	_	
1-31	local	O	_	_	
1-32	time	B-NC	_	_	
1-33	(	O	_	_	
1-34	2244	O	_	_	
1-35	UTC	B-NC	_	_	
1-36	Saturday	B-NC	_	_	
1-37	)	O	_	_	
1-38	,	O	_	_	
1-39	the	O	_	_	
1-40	plane	B-NC	_	_	
1-41	veered	O	_	_	
1-42	off	O	_	_	
1-43	the	O	_	_	
1-44	rain-slipped	O	_	_	
1-45	runway	B-NC	Holonym	1-11	
1-46	as	O	_	_	
1-47	it	O	_	_	
1-48	was	O	_	_	
1-49	landing	B-NC	_	_	
1-50	,	O	_	_	
1-51	tore	O	_	_	
1-52	through	O	_	_	
1-53	a	O	_	_	
1-54	concrete	O	_	_	
1-55	barrier	B-NC	_	_	
1-56	,	O	_	_	
1-57	and	O	_	_	
1-58	crashed	O	_	_	
1-59	into	O	_	_	
1-60	the	O	_	_	
1-61	nearby	O	_	_	
1-62	garage	B-NC	_	_	
1-63	buildings	B-NC	_	_	
1-64	,	O	_	_	
1-65	causing	O	_	_	
1-66	the	O	_	_	
1-67	plane	B-NC	_	_	
1-68	to	O	_	_	
1-69	burst	O	_	_	
1-70	into	O	_	_	
1-71	flames	B-NC	_	_	
1-72	.	O	_	_	
1-73	Witnesses	B-NC	Hypernym	1-19	
1-74	have	O	_	_	
1-75	said	O	_	_	
1-76	that	O	_	_	
1-77	the	O	_	_	
1-78	aircraft	B-NC	Synonym	1-67	
1-79	appeared	O	_	_	
1-80	out	O	_	_	
1-81	of	O	_	_	
1-82	control	B-NC	_	_	
1-83	shortly	O	_	_	
1-84	before	O	_	_	
1-85	touchdown	B-NC	Holonym	1-8	
1-86	,	O	_	_	
1-87	and	O	_	_	
1-88	was	O	_	_	
1-89	travelling	O	_	_	
1-90	at	O	_	_	
1-91	a	O	_	_	
1-92	terrific	O	_	_	
1-93	speed	B-NC	_	_	

#id=2
#text=There were 192 passengers and 8 crew onboard the aircraft . So far , 68 passengers have emerged injured and 124 bodies have been recovered . Russian officials suggest that the final death toll is likely to be closer to 150 . None of the crew has survived . Many of the passengers were holidaymakers , and there were many children onboard . A few of the survivors are said to owe their lives to a flight attendant , who managed to open the emergency escape hatch in the rear of the aircraft
2-1	There	O	_	_	
2-2	were	O	_	_	
2-3	192	O	_	_	
2-4	passengers	B-NC	_	_	
2-5	and	O	_	_	
2-6	8	O	_	_	
2-7	crew	B-NC	_	_	
2-8	onboard	O	_	_	
2-9	the	O	_	_	
2-10	aircraft	B-NC	_	_	
2-11	.	O	_	_	
2-12	So	O	_	_	
2-13	far	O	_	_	
2-14	,	O	_	_	
2-15	68	O	_	_	
2-16	passengers	B-NC	_	_	
2-17	have	O	_	_	
2-18	emerged	O	_	_	
2-19	injured	O	_	_	
2-20	and	O	_	_	
2-21	124	O	_	_	
2-22	bodies	B-NC	_	_	
2-23	have	O	_	_	
2-24	been	O	_	_	
2-25	recovered	O	_	_	
2-26	.	O	_	_	
2-27	Russian	O	_	_	
2-28	officials	B-NC	_	_	
2-29	suggest	O	_	_	
2-30	that	O	_	_	
2-31	the	O	_	_	
2-32	final	O	_	_	
2-33	death	B-NC	_	_	
2-34	toll	B-NC	_	_	
2-35	is	O	_	_	
2-36	likely	O	_	_	
2-37	to	O	_	_	
2-38	be	O	_	_	
2-39	closer	O	_	_	
2-40	to	O	_	_	
2-41	150	O	_	_	
2-42	.	O	_	_	
2-43	None	B-NC	_	_	
2-44	of	O	_	_	
2-45	the	O	_	_	
2-46	crew	B-NC	_	_	
2-47	has	O	_	_	
2-48	survived	O	_	_	
2-49	.	O	_	_	
2-50	Many	O	_	_	
2-51	of	O	_	_	
2-52	the	O	_	_	
2-53	passengers	B-NC	_	_	
2-54	were	O	_	_	
2-55	holidaymakers	B-NC	Hypernym	2-53	
2-56	,	O	_	_	
2-57	and	O	_	_	
2-58	there	O	_	_	
2-59	were	O	_	_	
2-60	many	O	_	_	
2-61	children	B-NC	Hypernym	2-53	
2-62	onboard	O	_	_	
2-63	.	O	_	_	
2-64	A	O	_	_	
2-65	few	O	_	_	
2-66	of	O	_	_	
2-67	the	O	_	_	
2-68	survivors	B-NC	Hypernym	2-53	
2-69	are	O	_	_	
2-70	said	O	_	_	
2-71	to	O	_	_	
2-72	owe	O	_	_	
2-73	their	O	_	_	
2-74	lives	B-NC	_	_	
2-75	to	O	_	_	
2-76	a	O	_	_	
2-77	flight	B-NC|B-NC	Holonym	2-46	
2-78	attendant	I-NC|B-NC	_	_	
2-79	,	O	_	_	
2-80	who	O	_	_	
2-81	managed	O	_	_	
2-82	to	O	_	_	
2-83	open	O	_	_	
2-84	the	O	_	_	
2-85	emergency	B-NC|B-NC	Holonym	2-93	
2-86	escape	I-NC|B-NC	_	_	
2-87	hatch	I-NC|B-NC	_	_	
2-88	in	O	_	_	
2-89	the	O	_	_	
2-90	rear	B-NC	Holonym	2-93	
2-91	of	O	_	_	
2-92	the	O	_	_	
2-93	aircraft	B-NC	_	_	

#id=3
#text=The Aircraft was an Airbus A310 , travelling from Moscow airport
3-1	The	B-NC	_	_	
3-2	Aircraft	B-NC	_	_	
3-3	was	O	_	_	
3-4	an	O	_	_	
3-5	Airbus	B-NC	_	_	
3-6	A310	B-NC	_	_	
3-7	,	O	_	_	
3-8	travelling	O	_	_	
3-9	from	O	_	_	
3-10	Moscow	B-NC	_	_	
3-11	airport	B-NC	_	_	

#id=4
#text=A failure of brakes on a wet runway was cited as the possible cause of the crash ( although unlikely )
4-1	A	O	_	_	
4-2	failure	B-NC	_	_	
4-3	of	O	_	_	
4-4	brakes	B-NC	_	_	
4-5	on	O	_	_	
4-6	a	O	_	_	
4-7	wet	O	_	_	
4-8	runway	B-NC	_	_	
4-9	was	O	_	_	
