 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=При посадке в Иркутске разбился пассажирский самолёт А-310 авиакомпании «Сибирь» , по предварительным данным погибло более 120 человек . В 7:44 по местному времени ( 2:44 по Москве ) самолёт выехал за пределы посадочной полосы , пробил заграждение и врезался в гаражный бокс , вследствии чего на борту начался пожар
1-1	При	O	_	_	
1-2	посадке	B-NC	_	_	
1-3	в	O	_	_	
1-4	Иркутске	B-NC	_	_	
1-5	разбился	O	_	_	
1-6	пассажирский	O	_	_	
1-7	самолёт	B-NC	_	_	
1-8	А-310	O	_	_	
1-9	авиакомпании	B-NC	_	_	
1-10	«Сибирь»	O	_	_	
1-11	,	O	_	_	
1-12	по	O	_	_	
1-13	предварительным	O	_	_	
1-14	данным	B-NC	_	_	
1-15	погибло	O	_	_	
1-16	более	O	_	_	
1-17	120	O	_	_	
1-18	человек	B-NC	_	_	
1-19	.	O	_	_	
1-20	В	O	_	_	
1-21	7:44	O	_	_	
1-22	по	O	_	_	
1-23	местному	O	_	_	
1-24	времени	B-NC	_	_	
1-25	(	O	_	_	
1-26	2:44	O	_	_	
1-27	по	O	_	_	
1-28	Москве	B-NC	_	_	
1-29	)	O	_	_	
1-30	самолёт	B-NC	_	_	
1-31	выехал	O	_	_	
1-32	за	O	_	_	
1-33	пределы	B-NC	_	_	
1-34	посадочной	O	_	_	
1-35	полосы	B-NC	_	_	
1-36	,	O	_	_	
1-37	пробил	O	_	_	
1-38	заграждение	B-NC	Hypernym	1-33	
1-39	и	O	_	_	
1-40	врезался	O	_	_	
1-41	в	O	_	_	
1-42	гаражный	O	_	_	
1-43	бокс	B-NC	_	_	
1-44	,	O	_	_	
1-45	вследствии	B-NC	_	_	
1-46	чего	O	_	_	
1-47	на	O	_	_	
1-48	борту	B-NC	Holonym	1-30	
1-49	начался	O	_	_	
1-50	пожар	B-NC	_	_	

#id=2
#text=На борту было 193 пассажира и 10 членов экипажа . По последним данным , в больницы Иркутска поступил 71 человек . Из под обломков самолёта извлечены тела 124 человек
2-1	На	O	_	_	
2-2	борту	B-NC	Holonym	2-25	
2-3	было	O	_	_	
2-4	193	O	_	_	
2-5	пассажира	B-NC	Hypernym	2-20	
2-6	и	O	_	_	
2-7	10	O	_	_	
2-8	членов	B-NC|B-NC	Hypernym	2-20	
2-9	экипажа	I-NC|B-NC	_	_	
2-10	.	O	_	_	
2-11	По	O	_	_	
2-12	последним	O	_	_	
2-13	данным	B-NC	_	_	
2-14	,	O	_	_	
2-15	в	O	_	_	
2-16	больницы	B-NC	_	_	
2-17	Иркутска	B-NC	_	_	
2-18	поступил	O	_	_	
2-19	71	O	_	_	
2-20	человек	B-NC	_	_	
2-21	.	O	_	_	
2-22	Из	O	_	_	
2-23	под	O	_	_	
2-24	обломков	B-NC	_	_	
2-25	самолёта	B-NC	_	_	
2-26	извлечены	O	_	_	
2-27	тела	B-NC	Holonym	2-29	
2-28	124	O	_	_	
2-29	человек	B-NC	_	_	

