 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ein Großteil des europäischen Luftraums wurde am Freitag für sämtliche Flüge gesperrt , weil eine riesige Wolke mit Vulkanasche den Luftverkehr gefährdet . Diese war durch die Eruption des zuvor von einem Gletscher bedeckten Vulkans Eyjafjallajökull entstanden . Im Vereinigten Königreich ruhte seit dem 15 . April um 13 Uhr MESZ der Luftverkehr auf den internationalen Flughäfen Stanstead , Heathrow und Gatwick sowie auf allen Flughäfen in Schottland . Später wurden auch Luftraumsperrungen im gesamten Vereinigten Königreich und Irland sowie in sechs weiteren Staaten verhängt : Belgien , Dänemark , Finnland , den Niederlanden , Norwegen und Schweden . Außerdem wurde der Flugverkehr in Nordfinnland zumindest bis 15 Uhr MESZ am Freitag eingestellt . Betroffen sind auch weite Teile Frankreichs und des russischen Luftraumes . Um 23:00 Uhr MESZ stellten auch die beiden Pariser Flughäfen Orly und Charles de Gaulle den Betrieb ein . In Deutschland wurden zunächst die Flughäfen in Berlin , Bremen , Hamburg und Hannover geschlossen , in Düsseldorf wurde der Flugbetrieb am Freitagmorgen nicht aufgenommen
1-1	Ein	O	_	_	
1-2	Großteil	B-NC	_	_	
1-3	des	O	_	_	
1-4	europäischen	O	_	_	
1-5	Luftraums	B-NC	_	_	
1-6	wurde	O	_	_	
1-7	am	O	_	_	
1-8	Freitag	B-NC	_	_	
1-9	für	O	_	_	
1-10	sämtliche	O	_	_	
1-11	Flüge	B-NC	_	_	
1-12	gesperrt	O	_	_	
1-13	,	O	_	_	
1-14	weil	O	_	_	
1-15	eine	O	_	_	
1-16	riesige	O	_	_	
1-17	Wolke	B-NC	_	_	
1-18	mit	O	_	_	
1-19	Vulkanasche	B-NC	_	_	
1-20	den	O	_	_	
1-21	Luftverkehr	B-NC	_	_	
1-22	gefährdet	O	_	_	
1-23	.	O	_	_	
1-24	Diese	O	_	_	
1-25	war	O	_	_	
1-26	durch	O	_	_	
1-27	die	O	_	_	
1-28	Eruption	B-NC	_	_	
1-29	des	O	_	_	
1-30	zuvor	O	_	_	
1-31	von	O	_	_	
1-32	einem	O	_	_	
1-33	Gletscher	B-NC	_	_	
1-34	bedeckten	O	_	_	
1-35	Vulkans	B-NC	_	_	
1-36	Eyjafjallajökull	B-NC	_	_	
1-37	entstanden	O	_	_	
1-38	.	O	_	_	
1-39	Im	O	_	_	
1-40	Vereinigten	O	_	_	
1-41	Königreich	B-NC	_	_	
1-42	ruhte	O	_	_	
1-43	seit	O	_	_	
1-44	dem	O	_	_	
1-45	15	O	_	_	
1-46	.	O	_	_	
1-47	April	B-NC	_	_	
1-48	um	O	_	_	
1-49	13	O	_	_	
1-50	Uhr	B-NC	_	_	
1-51	MESZ	B-NC	_	_	
1-52	der	O	_	_	
1-53	Luftverkehr	B-NC	_	_	
1-54	auf	O	_	_	
1-55	den	O	_	_	
1-56	internationalen	O	_	_	
1-57	Flughäfen	B-NC	_	_	
1-58	Stanstead	B-NC	_	_	
1-59	,	O	_	_	
1-60	Heathrow	B-NC	_	_	
1-61	und	O	_	_	
1-62	Gatwick	B-NC	_	_	
1-63	sowie	O	_	_	
1-64	auf	O	_	_	
1-65	allen	O	_	_	
1-66	Flughäfen	B-NC	_	_	
1-67	in	O	_	_	
1-68	Schottland	B-NC	_	_	
1-69	.	O	_	_	
1-70	Später	O	_	_	
1-71	wurden	O	_	_	
1-72	auch	O	_	_	
1-73	Luftraumsperrungen	B-NC	_	_	
1-74	im	O	_	_	
1-75	gesamten	O	_	_	
1-76	Vereinigten	O	_	_	
1-77	Königreich	B-NC	_	_	
1-78	und	O	_	_	
1-79	Irland	B-NC	_	_	
1-80	sowie	O	_	_	
1-81	in	O	_	_	
1-82	sechs	O	_	_	
1-83	weiteren	O	_	_	
1-84	Staaten	B-NC	_	_	
1-85	verhängt	O	_	_	
1-86	:	O	_	_	
1-87	Belgien	B-NC	_	_	
1-88	,	O	_	_	
1-89	Dänemark	B-NC	_	_	
1-90	,	O	_	_	
1-91	Finnland	B-NC	_	_	
1-92	,	O	_	_	
1-93	den	O	_	_	
1-94	Niederlanden	B-NC	_	_	
1-95	,	O	_	_	
1-96	Norwegen	B-NC	_	_	
1-97	und	O	_	_	
1-98	Schweden	B-NC	_	_	
1-99	.	O	_	_	
1-100	Außerdem	O	_	_	
1-101	wurde	O	_	_	
1-102	der	O	_	_	
1-103	Flugverkehr	B-NC	_	_	
1-104	in	O	_	_	
1-105	Nordfinnland	B-NC	_	_	
1-106	zumindest	O	_	_	
1-107	bis	O	_	_	
1-108	15	O	_	_	
1-109	Uhr	B-NC	_	_	
1-110	MESZ	B-NC	_	_	
1-111	am	O	_	_	
1-112	Freitag	B-NC	_	_	
1-113	eingestellt	O	_	_	
1-114	.	O	_	_	
1-115	Betroffen	O	_	_	
1-116	sind	O	_	_	
1-117	auch	O	_	_	
1-118	weite	O	_	_	
1-119	Teile	B-NC	_	_	
1-120	Frankreichs	B-NC	_	_	
1-121	und	O	_	_	
1-122	des	O	_	_	
1-123	russischen	O	_	_	
1-124	Luftraumes	B-NC	_	_	
1-125	.	O	_	_	
1-126	Um	O	_	_	
1-127	23:00	O	_	_	
1-128	Uhr	B-NC	_	_	
1-129	MESZ	B-NC	_	_	
1-130	stellten	O	_	_	
1-131	auch	O	_	_	
1-132	die	O	_	_	
1-133	beiden	O	_	_	
1-134	Pariser	B-NC	_	_	
1-135	Flughäfen	B-NC	_	_	
1-136	Orly	B-NC	_	_	
1-137	und	O	_	_	
1-138	Charles	B-NC	_	_	
1-139	de	B-NC	_	_	
1-140	Gaulle	B-NC	_	_	
1-141	den	O	_	_	
1-142	Betrieb	B-NC	_	_	
1-143	ein	O	_	_	
1-144	.	O	_	_	
1-145	In	O	_	_	
1-146	Deutschland	B-NC	_	_	
1-147	wurden	O	_	_	
1-148	zunächst	O	_	_	
1-149	die	O	_	_	
1-150	Flughäfen	B-NC	_	_	
1-151	in	O	_	_	
1-152	Berlin	B-NC	_	_	
1-153	,	O	_	_	
1-154	Bremen	B-NC	_	_	
1-155	,	O	_	_	
1-156	Hamburg	B-NC	_	_	
1-157	und	O	_	_	
1-158	Hannover	B-NC	_	_	
1-159	geschlossen	O	_	_	
1-160	,	O	_	_	
1-161	in	O	_	_	
1-162	Düsseldorf	B-NC	_	_	
1-163	wurde	O	_	_	
1-164	der	O	_	_	
1-165	Flugbetrieb	B-NC	_	_	
1-166	am	O	_	_	
1-167	Freitagmorgen	B-NC	_	_	
1-168	nicht	O	_	_	
1-169	aufgenommen	O	_	_	

#id=2
#text=Am 15 . April abends wurde laut einer Meldung der Hessenschau bei der Deutschen Flugsicherung in einer Krisensitzung darüber verhandelt , ob der deutsche Luftraum komplett oder stufenweise gesperrt wird . Inzwischen ist der Luftverkehr mit Ausnahme von Saarbrücken , Stuttgart und München an allen internationalen Flughäfen in Deutschland gestoppt . Diese Flughäfen stellen Starts und Landungen voraussichtlich am Abend ein
2-1	Am	O	_	_	
2-2	15	O	_	_	
2-3	.	O	_	_	
2-4	April	B-NC	_	_	
2-5	abends	O	_	_	
2-6	wurde	O	_	_	
2-7	laut	O	_	_	
2-8	einer	O	_	_	
2-9	Meldung	B-NC	_	_	
2-10	der	O	_	_	
2-11	Hessenschau	B-NC	_	_	
2-12	bei	O	_	_	
2-13	der	O	_	_	
2-14	Deutschen	O	_	_	
2-15	Flugsicherung	B-NC	_	_	
2-16	in	O	_	_	
2-17	einer	O	_	_	
2-18	Krisensitzung	B-NC	_	_	
2-19	darüber	O	_	_	
2-20	verhandelt	O	_	_	
2-21	,	O	_	_	
2-22	ob	O	_	_	
2-23	der	O	_	_	
2-24	deutsche	O	_	_	
2-25	Luftraum	B-NC	_	_	
2-26	komplett	O	_	_	
2-27	oder	O	_	_	
2-28	stufenweise	O	_	_	
2-29	gesperrt	O	_	_	
2-30	wird	O	_	_	
2-31	.	O	_	_	
2-32	Inzwischen	O	_	_	
2-33	ist	O	_	_	
2-34	der	O	_	_	
2-35	Luftverkehr	B-NC	_	_	
2-36	mit	O	_	_	
2-37	Ausnahme	B-NC	_	_	
2-38	von	O	_	_	
