 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Hundreds of thousands of air travelers had their travel plans disrupted in Europe by volcanic ash from the Eyjafjallajökull eruption 
1-1	Hundreds	B-NC	_	_	
1-2	of	O	_	_	
1-3	thousands	B-NC	_	_	
1-4	of	O	_	_	
1-5	air	B-NC	_	_	
1-6	travelers	I-NC	_	_	
1-7	had	O	_	_	
1-8	their	O	_	_	
1-9	travel	B-NC	_	_	
1-10	plans	I-NC	_	_	
1-11	disrupted	O	_	_	
1-12	in	O	_	_	
1-13	Europe	B-NC	_	_	
1-14	by	O	_	_	
1-15	volcanic	O	_	_	
1-16	ash	B-NC	_	_	
1-17	from	O	_	_	
1-18	the	O	_	_	
1-19	Eyjafjallajökull	B-NC	_	_	
1-20	eruption	I-NC	_	_	

#id=2
#text=Tens of thousands of air travelers were stranded when all flights into and out of the United Kingdom were grounded , as it became one of the first nations to be affected . The grounding was even more extensive than that following the September 11 attacks of 2001 when only trans-Atlantic flights were canceled 
2-1	Tens	B-NC	_	_	
2-2	of	O	_	_	
2-3	thousands	B-NC	_	_	
2-4	of	O	_	_	
2-5	air	B-NC	_	_	
2-6	travelers	I-NC	_	_	
2-7	were	O	_	_	
2-8	stranded	O	_	_	
2-9	when	O	_	_	
2-10	all	O	_	_	
2-11	flights	B-NC	_	_	
2-12	into	O	_	_	
2-13	and	O	_	_	
2-14	out	O	_	_	
2-15	of	O	_	_	
2-16	the	O	_	_	
2-17	United	B-NC	_	_	
2-18	Kingdom	I-NC	_	_	
2-19	were	O	_	_	
2-20	grounded	O	_	_	
2-21	,	O	_	_	
2-22	as	O	_	_	
2-23	it	O	_	_	
2-24	became	O	_	_	
2-25	one	O	_	_	
2-26	of	O	_	_	
2-27	the	O	_	_	
2-28	first	O	_	_	
2-29	nations	B-NC	_	_	
2-30	to	O	_	_	
2-31	be	O	_	_	
2-32	affected	O	_	_	
2-33	.	O	_	_	
2-34	The	O	_	_	
2-35	grounding	B-NC	_	_	
2-36	was	O	_	_	
2-37	even	O	_	_	
2-38	more	O	_	_	
2-39	extensive	O	_	_	
2-40	than	O	_	_	
2-41	that	O	_	_	
2-42	following	O	_	_	
2-43	the	O	_	_	
2-44	September	B-NC	_	_	
2-45	11	O	_	_	
2-46	attacks	B-NC	_	_	
2-47	of	O	_	_	
2-48	2001	O	_	_	
2-49	when	O	_	_	
2-50	only	O	_	_	
2-51	trans-Atlantic	O	_	_	
2-52	flights	B-NC	_	_	
2-53	were	O	_	_	
2-54	canceled	O	_	_	

#id=3
#text=Eurocontrol released a statement saying " ... most air traffic in the United Kingdom , Ireland , Denmark , Norway and Sweden is suspended . 
3-1	Eurocontrol	B-NC	_	_	
3-2	released	O	_	_	
3-3	a	O	_	_	
3-4	statement	B-NC	_	_	
3-5	saying	O	_	_	
3-6	"	O	_	_	
3-7	...	O	_	_	
3-8	most	O	_	_	
3-9	air	B-NC	_	_	
3-10	traffic	I-NC	_	_	
3-11	in	O	_	_	
3-12	the	O	_	_	
3-13	United	B-NC	_	_	
3-14	Kingdom	I-NC	_	_	
3-15	,	O	_	_	
3-16	Ireland	B-NC	_	_	
3-17	,	O	_	_	
3-18	Denmark	B-NC	_	_	
3-19	,	O	_	_	
3-20	Norway	B-NC	_	_	
3-21	and	O	_	_	
3-22	Sweden	B-NC	_	_	
3-23	is	O	_	_	
3-24	suspended	O	_	_	
3-25	.	O	_	_	

#id=4
#text=The grounding is because the volcanic ash drawn into the jet stream is of a particle size which allows it to remain aloft in the atmosphere . Ingestion of this foreign matter , because of its distribution , would lead to flame outs in all aircraft engines . The composition of the ash also means that it would first melt into glass if it were to enter the engine of an aircraft before solidifying again as it cooled . This could lead to damage to the compressors and fan blades , which would make it impossible to restart the engines , even if the aircraft were to exit the cloud The grounding is because the volcanic ash drawn into the jet stream is of a particle size which allows it to remain aloft in the atmosphere . Ingestion of this foreign matter , because of its distribution , would lead to flame outs in all aircraft engines . The composition of the ash also means that it would first melt into glass if it were to enter the engine of an aircraft before solidifying again as it cooled . This could lead to damage to the compressors and fan blades , which would make it impossible to restart the engines , even if the aircraft were to exit the cloud
4-1	The	O	_	_	
4-2	grounding	B-NC	_	_	
4-3	is	O	_	_	
4-4	because	O	_	_	
4-5	the	O	_	_	
4-6	volcanic	O	_	_	
4-7	ash	B-NC	_	_	
4-8	drawn	O	_	_	
4-9	into	O	_	_	
4-10	the	O	_	_	
4-11	jet	B-NC	_	_	
4-12	stream	I-NC	_	_	
4-13	is	O	_	_	
4-14	of	O	_	_	
4-15	a	O	_	_	
4-16	particle	B-NC	_	_	
4-17	size	I-NC	_	_	
4-18	which	O	_	_	
4-19	allows	O	_	_	
4-20	it	O	_	_	
4-21	to	O	_	_	
4-22	remain	O	_	_	
4-23	aloft	O	_	_	
4-24	in	O	_	_	
4-25	the	O	_	_	
4-26	atmosphere	B-NC	_	_	
4-27	.	O	_	_	
4-28	Ingestion	B-NC	_	_	
4-29	of	O	_	_	
4-30	this	O	_	_	
4-31	foreign	O	_	_	
4-32	matter	B-NC	_	_	
4-33	,	O	_	_	
4-34	because	O	_	_	
4-35	of	O	_	_	
4-36	its	O	_	_	
4-37	distribution	B-NC	_	_	
4-38	,	O	_	_	
4-39	would	O	_	_	
4-40	lead	O	_	_	
4-41	to	O	_	_	
4-42	flame	O	_	_	
4-43	outs	B-NC	_	_	
4-44	in	O	_	_	
4-45	all	O	_	_	
4-46	aircraft	B-NC	Hypernym	4-69	
4-47	engines	I-NC	_	_	
4-48	.	O	_	_	
4-49	The	O	_	_	
4-50	composition	B-NC	_	_	
4-51	of	O	_	_	
4-52	the	O	_	_	
4-53	ash	B-NC	_	_	
4-54	also	O	_	_	
4-55	means	O	_	_	
4-56	that	O	_	_	
4-57	it	O	_	_	
4-58	would	O	_	_	
4-59	first	O	_	_	
4-60	melt	O	_	_	
4-61	into	O	_	_	
4-62	glass	B-NC	Holonym	4-32	
4-63	if	O	_	_	
4-64	it	O	_	_	
4-65	were	O	_	_	
4-66	to	O	_	_	
4-67	enter	O	_	_	
4-68	the	O	_	_	
4-69	engine	B-NC	Holonym	4-72	
4-70	of	O	_	_	
4-71	an	O	_	_	
4-72	aircraft	B-NC	_	_	
4-73	before	O	_	_	
4-74	solidifying	O	_	_	
4-75	again	O	_	_	
4-76	as	O	_	_	
4-77	it	O	_	_	
4-78	cooled	O	_	_	
4-79	.	O	_	_	
4-80	This	O	_	_	
4-81	could	O	_	_	
4-82	lead	O	_	_	
4-83	to	O	_	_	
4-84	damage	O	_	_	
4-85	to	O	_	_	
4-86	the	O	_	_	
4-87	compressors	B-NC	Holonym	4-69	
4-88	and	O	_	_	
4-89	fan	B-NC	Holonym	4-69	
4-90	blades	I-NC	_	_	
4-91	,	O	_	_	
4-92	which	O	_	_	
4-93	would	O	_	_	
4-94	make	O	_	_	
4-95	it	O	_	_	
4-96	impossible	O	_	_	
4-97	to	O	_	_	
4-98	restart	O	_	_	
4-99	the	O	_	_	
4-100	engines	B-NC	Holonym	4-105	
4-101	,	O	_	_	
4-102	even	O	_	_	
4-103	if	O	_	_	
4-104	the	O	_	_	
4-105	aircraft	B-NC	_	_	
4-106	were	O	_	_	
4-107	to	O	_	_	
4-108	exit	O	_	_	
4-109	the	O	_	_	
4-110	cloud	B-NC	Holonym	4-26	

#id=5
