 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ещё в конце февраля 2010 года Метеорологическии институт Исландии обнаружил движение земной коры . Сейсмическая активность всё увеличивалась и вот 20 марта началось извержение считавшегося спящим вулкана под ледником Эйяфьядлайёкюдль на юге Исландии . 14 апреля извержение стало интенсивнее , были эвакуированы свыше 700 человек живущих недалеко от вулкана , однако оказались под ударом и жители континентальной Европы
1-1	Ещё	B-NC	_	_	
1-2	в	O	_	_	
1-3	конце	B-NC	_	_	
1-4	февраля	B-NC	_	_	
1-5	2010	O	_	_	
1-6	года	B-NC	_	_	
1-7	Метеорологическии	B-NC	_	_	
1-8	институт	B-NC	_	_	
1-9	Исландии	B-NC	_	_	
1-10	обнаружил	O	_	_	
1-11	движение	B-NC	Hypernym	1-16	
1-12	земной	O	_	_	
1-13	коры	B-NC	_	_	
1-14	.	O	_	_	
1-15	Сейсмическая	O	_	_	
1-16	активность	B-NC	_	_	
1-17	всё	B-NC	_	_	
1-18	увеличивалась	O	_	_	
1-19	и	O	_	_	
1-20	вот	O	_	_	
1-21	20	O	_	_	
1-22	марта	B-NC	_	_	
1-23	началось	O	_	_	
1-24	извержение	B-NC	Hypernym	1-16	
1-25	считавшегося	O	_	_	
1-26	спящим	O	_	_	
1-27	вулкана	B-NC	_	_	
1-28	под	O	_	_	
1-29	ледником	B-NC	Co-Hyponym	1-27	
1-30	Эйяфьядлайёкюдль	B-NC	_	_	
1-31	на	O	_	_	
1-32	юге	B-NC	_	_	
1-33	Исландии	B-NC	_	_	
1-34	.	O	_	_	
1-35	14	O	_	_	
1-36	апреля	B-NC	_	_	
1-37	извержение	B-NC	_	_	
1-38	стало	O	_	_	
1-39	интенсивнее	O	_	_	
1-40	,	O	_	_	
1-41	были	O	_	_	
1-42	эвакуированы	O	_	_	
1-43	свыше	O	_	_	
1-44	700	O	_	_	
1-45	человек	B-NC	_	_	
1-46	живущих	O	_	_	
1-47	недалеко	O	_	_	
1-48	от	O	_	_	
1-49	вулкана	B-NC	_	_	
1-50	,	O	_	_	
1-51	однако	O	_	_	
1-52	оказались	O	_	_	
1-53	под	O	_	_	
1-54	ударом	B-NC	_	_	
1-55	и	O	_	_	
1-56	жители	B-NC	Hypernym	1-45	
1-57	континентальной	O	_	_	
1-58	Европы	B-NC	_	_	

#id=2
#text=Дело в том , что в воздух при извержении попало большое количество вулканического пепла . Этот пепел не похож на всем известный пепел от бумаги , а скорее представляет собой мельчайшие осколки обсидиана , что , разумеется , очень опасно для двигателей самолётов попавших в столб вулканического пепла
2-1	Дело	B-NC	_	_	
2-2	в	O	_	_	
2-3	том	O	_	_	
2-4	,	O	_	_	
2-5	что	O	_	_	
2-6	в	O	_	_	
2-7	воздух	B-NC	_	_	
2-8	при	O	_	_	
2-9	извержении	B-NC	_	_	
2-10	попало	O	_	_	
2-11	большое	O	_	_	
2-12	количество	B-NC	_	_	
2-13	вулканического	O	_	_	
2-14	пепла	B-NC	Holonym	2-9	
2-15	.	O	_	_	
2-16	Этот	O	_	_	
2-17	пепел	B-NC	_	_	
2-18	не	O	_	_	
2-19	похож	O	_	_	
2-20	на	O	_	_	
2-21	всем	O	_	_	
2-22	известный	O	_	_	
2-23	пепел	B-NC	_	_	
2-24	от	O	_	_	
2-25	бумаги	B-NC	_	_	
2-26	,	O	_	_	
2-27	а	O	_	_	
2-28	скорее	O	_	_	
2-29	представляет	O	_	_	
2-30	собой	O	_	_	
2-31	мельчайшие	O	_	_	
2-32	осколки	B-NC	_	_	
2-33	обсидиана	B-NC	_	_	
2-34	,	O	_	_	
2-35	что	O	_	_	
2-36	,	O	_	_	
2-37	разумеется	O	_	_	
2-38	,	O	_	_	
2-39	очень	O	_	_	
2-40	опасно	O	_	_	
2-41	для	O	_	_	
2-42	двигателей	B-NC	Holonym	2-43	
2-43	самолётов	B-NC	_	_	
2-44	попавших	O	_	_	
2-45	в	O	_	_	
2-46	столб	B-NC	_	_	
2-47	вулканического	O	_	_	
2-48	пепла	B-NC	_	_	

#id=3
#text=Ветер понёс продукты извержения вулкана в сторону Европы и упреждая несчастные случаи в воздухе стали один за одним закрываться аэропорты Исландии , Финляндии , Швеции , Дании и Норвегии . Часть аэропортов на севере Великобритании тоже были закрыты , самый загруженный аэропорт Европы — лондонский Хитроу ещё открыт , но и он отменил порядка 150 рейсов
3-1	Ветер	B-NC	_	_	
3-2	понёс	B-NC	_	_	
3-3	продукты	B-NC	_	_	
3-4	извержения	B-NC	_	_	
3-5	вулкана	B-NC	_	_	
3-6	в	O	_	_	
3-7	сторону	B-NC	_	_	
3-8	Европы	B-NC	_	_	
3-9	и	O	_	_	
3-10	упреждая	O	_	_	
3-11	несчастные	O	_	_	
3-12	случаи	B-NC	_	_	
3-13	в	O	_	_	
3-14	воздухе	B-NC	_	_	
3-15	стали	O	_	_	
3-16	один	O	_	_	
3-17	за	O	_	_	
3-18	одним	O	_	_	
3-19	закрываться	O	_	_	
3-20	аэропорты	B-NC	_	_	
3-21	Исландии	B-NC	_	_	
3-22	,	O	_	_	
3-23	Финляндии	B-NC	_	_	
3-24	,	O	_	_	
3-25	Швеции	B-NC	_	_	
3-26	,	O	_	_	
3-27	Дании	B-NC	_	_	
3-28	и	O	_	_	
3-29	Норвегии	B-NC	_	_	
3-30	.	O	_	_	
3-31	Часть	B-NC	_	_	
3-32	аэропортов	B-NC	_	_	
3-33	на	O	_	_	
3-34	севере	B-NC	_	_	
3-35	Великобритании	B-NC	_	_	
3-36	тоже	O	_	_	
3-37	были	O	_	_	
3-38	закрыты	O	_	_	
3-39	,	O	_	_	
3-40	самый	O	_	_	
3-41	загруженный	O	_	_	
3-42	аэропорт	B-NC	_	_	
3-43	Европы	B-NC	_	_	
3-44	—	O	_	_	
3-45	лондонский	O	_	_	
3-46	Хитроу	B-NC	_	_	
3-47	ещё	B-NC	_	_	
3-48	открыт	O	_	_	
3-49	,	O	_	_	
3-50	но	O	_	_	
3-51	и	O	_	_	
3-52	он	O	_	_	
3-53	отменил	O	_	_	
3-54	порядка	B-NC	_	_	
3-55	150	O	_	_	
3-56	рейсов	B-NC	_	_	

#id=4
#text=Экологи ожидают , что в ближайшее время облако пепла и пыли доберется до центральной и даже южной Европы
4-1	Экологи	B-NC	_	_	
4-2	ожидают	O	_	_	
4-3	,	O	_	_	
4-4	что	O	_	_	
4-5	в	O	_	_	
4-6	ближайшее	O	_	_	
4-7	время	B-NC	_	_	
4-8	облако	B-NC	_	_	
4-9	пепла	B-NC	_	_	
4-10	и	O	_	_	
4-11	пыли	B-NC	Co-Hyponym	4-9	
4-12	доберется	O	_	_	
4-13	до	O	_	_	
4-14	центральной	O	_	_	
4-15	и	O	_	_	
